simplified	IT	example_IT
宇宙	universo	L'umanità continua a esplorare l'universo.
羽绒服	piumino	In inverno bisogna indossare un piumino.
寓言	favola	Questa favola ha un grande valore educativo.
愈	guarire	La condizione sta migliorando sempre di più.
欲望	desiderio	Lui ha controllato il desiderio di fare acquisti.
熨	stirare	Lei ha stirato la camicia.
玉	giada	Questo pezzo di giada ha un colore caldo.
预料	previsione	Lo sviluppo degli eventi ha superato le previsioni.
预期	aspettativa	Le vendite sono state inferiori alle aspettative.
预算	budget	Il budget del progetto deve essere modificato.
预先	in anticipo	Prepara i materiali in anticipo.
预言	predizione	La sua predizione non si è avverata.
预兆	segnale premonitore	Il dolore può essere un segnale premonitore di malattia.
冤枉	fare torto	Non fare torto a una persona innocente.
元首	capo di Stato	I capi di Stato dei due paesi hanno tenuto colloqui.
元素	elemento	L'ossigeno è un elemento chimico.
元宵节	Festa delle Lanterne	Durante la Festa delle Lanterne la gente ammira le lanterne.
原告	querelante	Il querelante ha presentato nuove prove.
原理	principio	L'insegnante ha spiegato il principio della macchina.
原始	originale	Hanno conservato i documenti originali.
原先	originario	Il piano originario è già cambiato.
园林	giardini	I giardini di Suzhou sono molto famosi.
圆满	completo	La riunione ha ottenuto un successo completo.
源泉	fonte	La pratica è fonte di conoscenza.
缘故	motivo	Lui si è dimesso per motivi di salute.
约束	limitare	Il sistema limita il comportamento dei dipendenti.
乐谱	partitura	Lei ha letto attentamente la partitura.
岳母	suocera	Nel fine settimana è andato a trovare la suocera.
孕育	nutrire	Il suolo nutre nuova vita.
蕴藏	contenere	La zona montuosa contiene ricche risorse minerarie.
运算	operazione	Gli studenti si esercitano nelle operazioni matematiche.
运行	funzionare	Il sistema sta funzionando in modo stabile.
酝酿	elaborare	Le due parti stanno elaborando un nuovo piano.
杂技	acrobazia	Ai bambini piace guardare spettacoli di acrobazia.
杂交	ibrido	Gli scienziati studiano il riso ibrido.
砸	sfracellarsi	La tazza si è sfracellata sul pavimento e si è rotta.
咋	come mai	Come mai non sei ancora tornato?
栽培	coltivare	Il giardiniere ha coltivato molti fiori.
灾难	disastro	Dopo il disastro, la città ha iniziato la ricostruzione.
宰	macellare	Durante la festa gli abitanti del villaggio macellano pecore.
再接再厉	continuare con impegno	Dopo il premio, il team ha continuato con impegno.
在意	importare	Lei dà molta importanza alle opinioni degli altri.
攒	risparmiare	Lui risparmia denaro per comprare un computer.
暂且	per il momento	Mettiamo da parte questo problema per il momento.
赞叹	ammirare	Il pubblico ha ammirato la performance dell'attore.
赞助	sponsorizzare	L'azienda ha sponsorizzato questa competizione.
糟蹋	sprecare	Non sprecare questi alimenti freschi.
遭受	subire	I campi hanno subito una grave siccità.
遭殃	subire una disgrazia	Quando il ponte è crollato, i residenti vicini hanno subito una disgrazia.
遭遇	incontrare	Hanno incontrato una tempesta di neve durante il viaggio.
噪音	rumore	Il rumore dei lavori disturba il riposo.
造型	forma	Questa auto ha una forma molto particolare.
责怪	incolpare	Per favore non incolpare sempre il bambino.
贼	ladro	La polizia ha catturato quel ladro.
增添	aggiungere	I fiori freschi aggiungono colore alla stanza.
赠送	regalare	Il negozio regala piccoli omaggi.
扎	pungere	L'infermiera gli ha fatto un'iniezione.
扎实	solido	La sua base grammaticale è solida.
渣	residuo	Sul fondo della tazza sono rimasti residui di caffè.
眨	sbattere le palpebre	Lei ha sbattuto le palpebre.
诈骗	frode	La polizia ha risolto un caso di frode telefonica.
摘要	riassunto	Il riassunto dell'articolo è scritto chiaramente.
债券	obbligazione	Gli investitori acquistano obbligazioni governative.
沾光	beneficiare anch'io	Anch'io ho beneficiato del mio amico.
瞻仰	rendere omaggio	I turisti rendono omaggio al monumento degli eroi.
展示	mostrare	L'azienda ha mostrato i prodotti più recenti.
展望	prospettiva	Il rapporto guarda alle tendenze future.
展现	mostrare	L'opera mostra la vita rurale.
崭新	nuovissimo	Lui ha comprato una bicicletta nuovissima.
斩钉截铁	deciso	Lei ha rifiutato in modo deciso.
占据	occupare	La pubblicità occupava l'intera pagina.
占领	occupare	L'esercito ha occupato il passo di montagna.
战斗	battaglia	La battaglia è durata tre ore.
战略	strategia	L'azienda ha modificato la strategia di sviluppo.
战术	tattica	L'allenatore ha cambiato la tattica della partita.
战役	campagna militare	Questa campagna militare ha cambiato la situazione.
章程	regolamento	L'associazione ha adottato un nuovo regolamento.
帐篷	tenda	Hanno montato le tende vicino al lago.
障碍	barriera	Le barriere linguistiche influenzano la comunicazione.
招标	indire una gara	Il progetto di ingegneria ha indetto una gara pubblica.
招收	reclutare	La scuola recluta nuovi studenti quest'anno.
朝气蓬勃	pieno di energia	Il team giovane è pieno di energia.
着迷	affascinato	Il bambino è affascinato dall'astronomia.
沼泽	palude	La spedizione ha attraversato la palude.
照样	come al solito	Ha piovuto, ma l'allenamento è continuato come al solito.
照耀	illuminare	La luce del sole illumina la piazza.
折腾	tormentare	Smetti di tormentare questo vecchio computer.
遮挡	bloccare	I rami bloccavano la finestra.
折	piegare	Lui ha piegato la carta a forma di aereo.
折磨	tormentare	L'insonnia prolungata la tormenta.
侦探	detective	Il detective ha trovato un indizio chiave.
斟酌	valutare	Valuta attentamente le parole.
珍贵	prezioso	Queste foto sono molto preziose.
珍稀	raro	Proteggi gli animali selvatici rari.
珍珠	perla	Lei indossa orecchini di perla.
真理	verità	La pratica mette alla prova la verità.
真相	verità	Il giornalista ha cercato con impegno di scoprire la verità.
真挚	sincero	Lei ha espresso ringraziamenti sinceri.
枕头	cuscino	Questo cuscino è troppo alto.
振奋	incoraggiare	La buona notizia ha incoraggiato tutti.
振兴	rivitalizzare	Il governo promuove la rivitalizzazione rurale.
镇定	calmo	Nell'emergenza lui è rimasto calmo.
镇静	calmo	L'infermiera ha detto al paziente di restare calmo.
阵地	posizione	I soldati hanno mantenuto la posizione.
阵容	formazione	La squadra ha annunciato la formazione titolare.
震撼	sconvolgente	Questo film è estremamente sconvolgente.
震惊	scioccare	La notizia ha scioccato tutto il paese.
争端	disputa	Le due parti hanno cercato di risolvere la disputa di confine.
争夺	competere	Le due aziende competono per la quota di mercato.
争气	far onore	Lui studia duramente per far onore alla famiglia.
争先恐后	accalcarsi	I turisti si sono accalcati per salire sull'autobus.
争议	controversia	Questa decisione ha causato controversia.
征服	conquistare	L'alpinista ha conquistato la vetta.
征收	imporre	Il governo impone tasse secondo la legge.
挣扎	lottare	L'uccellino lottava nella rete.
正月	primo mese lunare	Durante il primo mese lunare i parenti si scambiano visite.
蒸发	evaporare	L'umidità è evaporata rapidamente.
整顿	riorganizzare	L'azienda ha iniziato a riorganizzare la gestione.
政策	politica	La nuova politica sostiene le piccole imprese.
政权	regime	La guerra ha cambiato il regime locale.
正当	legittimo	Lui ha avanzato una richiesta legittima.
正负	positivo e negativo	Lo strumento mostra un errore positivo e negativo.
正规	regolare	Il bambino è entrato in una scuola regolare.
正经	serio	Alla fine lui ha iniziato a parlare seriamente.
正气	rettitudine	La società deve promuovere la rettitudine.
正义	giustizia	L'avvocato ha difeso la giustizia.
正宗	autentico	Questo ristorante vende autentica cucina del Sichuan.
症状	sintomo	La febbre è un sintomo comune.
证实	confermare	L'indagine ha confermato la sua dichiarazione.
证书	certificato	Lei ha ottenuto un certificato professionale.
郑重	solenne	Lui ha promesso solennemente di assumersi la responsabilità.
之际	al momento di	All'avvicinarsi della Festa di Primavera, tutti sono occupati.
支撑	sostenere	Le colonne sostengono il tetto.
支出	spesa	Le spese familiari sono aumentate chiaramente.
支流	affluente	Questo fiume è un affluente dello Yangtze.
支配	dominare	Le emozioni non dovrebbero dominare il giudizio.
支援	sostenere	Medici da molti luoghi sono venuti a sostenere.
支柱	pilastro	La manifattura è un pilastro dell'economia locale.
枝	ramo	Lei ha staccato un ramo con fiori.
知觉	coscienza	Il ferito ha gradualmente ripreso conoscenza.
知足常乐	essere contenti di ciò che si ha	L'anziano dice spesso che essere contenti porta felicità.
脂肪	grasso	La frutta secca contiene grassi sani.
侄子	nipote	Mio nipote ha iniziato la scuola primaria quest'anno.
值班	essere di turno	L'infermiera è di turno stasera.
执行	eseguire	Il tribunale ha eseguito la sentenza.
执着	perseverante	Lui è molto perseverante nei suoi ideali.
殖民地	colonia	Quest'isola un tempo era una colonia.
直播	diretta	La partita sarà trasmessa in diretta online stasera.
直径	diametro	Il diametro di questo cerchio è di dieci centimetri.
职能	funzione	Le funzioni del dipartimento devono essere ridefinite.
职位	posizione	Lei ha fatto domanda per una posizione manageriale.
职务	incarico	Il suo incarico è supervisore del progetto.
指标	obiettivo	L'obiettivo di vendita è già stato raggiunto.
指定	designare	L'insegnante lo ha designato per rispondere alla domanda.
指甲	unghia	Lei si è tagliata le unghie corte.
指令	comando	Il computer ha ricevuto un nuovo comando.
指南针	bussola	L'alpinista ha portato una bussola.
指示	istruzione	Il manager ha dato istruzioni chiare.
指望	contare su	Non contare sugli altri per finirlo al posto tuo.
指责	criticare	Il pubblico ha criticato l'azienda per l'inquinamento ambientale.
制裁	sanzione	La comunità internazionale ha imposto sanzioni economiche.
制服	uniforme	La guardia indossava un'uniforme blu scuro.
制约	limitare	La carenza di fondi limita lo sviluppo.
制止	fermare	La polizia ha fermato il conflitto in tempo.
志气	ambizione	I giovani devono avere ambizione.
智力	intelligenza	I giochi possono allenare l'intelligenza.
智能	intelligente	I dispositivi intelligenti sono sempre più diffusi.
智商	quoziente intellettivo	Il quoziente intellettivo non può determinare tutto.
治安	sicurezza pubblica	La sicurezza pubblica nella comunità è migliorata chiaramente.
治理	governare	Il governo ha rafforzato la gestione dei fiumi.
滞留	restare bloccato	I passeggeri sono rimasti bloccati in aeroporto a causa della neve.
致辞	tenere un discorso	Il preside ha tenuto un discorso alla cerimonia.
致力	dedicarsi	Il team si dedica all'innovazione tecnologica.
致使	causare	Errori di gestione hanno causato il rinvio del progetto.
中断	interruzione	La pioggia intensa ha causato l'interruzione delle comunicazioni.
中立	neutrale	Quel paese mantiene una posizione neutrale.
中央	centro	La fontana si trova al centro della piazza.
忠诚	leale	I dipendenti sono leali verso l'azienda.
忠实	fedele	Lui è un lettore fedele di questo giornale.
终点	traguardo	Il traguardo è proprio davanti.
终究	alla fine	Il problema alla fine sarà risolto.
终身	per tutta la vita	Lui ha deciso di lavorare nell'istruzione per tutta la vita.
终止	terminare	Il contratto termina alla fine del mese prossimo.
衷心	sincero	Ti ringrazio sinceramente per il tuo aiuto.
种子	seme	Gli agricoltori hanno seminato nuovi semi.
种族	etnia	La legge proibisce la discriminazione etnica.
肿瘤	tumore	Il medico ha trovato un tumore benigno.
众所周知	come tutti sanno	Come tutti sanno, l'acqua è importante.
种植	coltivare	Questo luogo è adatto a coltivare uva.
重心	focus	Il focus del lavoro si è spostato verso il servizio.
周边	dintorni	Il traffico nei dintorni della scuola è congestionato.
周密	accurato	Hanno elaborato un piano accurato.
周年	anniversario	L'azienda ha celebrato il decimo anniversario della fondazione.
周期	ciclo	Il ciclo di aggiornamento del prodotto si è accorciato.
周折	complicazione	La gestione delle procedure ha comportato molte complicazioni.
周转	rotazione di cassa	L'azienda ha difficoltà di rotazione di cassa.
州	stato	Lui vive nello stato della California negli Stati Uniti.
粥	porridge	Il paziente ha mangiato porridge al mattino.
舟	barca	La piccola barca si è avvicinata lentamente alla riva.
昼夜	giorno e notte	Gli operai hanno riparato la strada giorno e notte.
皱纹	ruga	La nonna ha molte rughe sul viso.
株	pianta	Nel cortile sono stati piantati tre alberi.
诸位	tutti	Grazie a tutti per essere venuti oggi.
逐年	anno dopo anno	I costi operativi aumentano anno dopo anno.
主办	organizzare	La scuola ha organizzato il festival artistico.
主导	guidare	La domanda di mercato guida il design del prodotto.
主管	supervisore	Il supervisore è responsabile dell'approvazione del budget.
主流	corrente principale	Le idee ambientaliste sono diventate la corrente principale.
主权	sovranità	La sovranità nazionale deve essere rispettata.
主义	ideologia	Lui studia diverse ideologie politiche.
嘱咐	raccomandare	Sua madre gli ha raccomandato ripetutamente di portare l'ombrello.
拄	appoggiarsi	Il vecchio cammina appoggiandosi a un bastone.
住宅	residenza	Questa zona è principalmente residenziale.
助理	assistente	L'assistente ha organizzato i materiali della riunione.
助手	aiutante	Il robot è un aiutante di laboratorio.
注射	iniettare	Il medico ha iniettato il farmaco al paziente.
注视	fissare	Lei fissava l'orizzonte.
注释	annotazione	Ci sono annotazioni dettagliate accanto al testo.
注重	dare importanza a	L'azienda dà importanza alla qualità del prodotto.
著作	opera	Quest'opera ha un'influenza profonda.
铸造	fondere	La fabbrica fonde grandi componenti.
驻扎	stazionare	Le truppe sono stazionate al confine.
拽	trascinare	Lui ha trascinato la scatola dentro casa.
专长	specialità	L'analisi dei dati è la sua specialità.
专程	viaggio apposito	Lui ha fatto un viaggio apposito per visitare l'insegnante.
专利	brevetto	L'azienda ha richiesto un nuovo brevetto.
专题	argomento speciale	La televisione ha trasmesso un programma speciale sulla protezione ambientale.
砖	mattone	Gli operai hanno portato un carrello di mattoni.
转达	riferire	Per favore riferisci i miei ringraziamenti.
转让	trasferire	Lui ha deciso di trasferire il negozio.
转移	trasferire	L'infermiera ha trasferito i feriti.
转折	punto di svolta	Nella storia è apparso un grande punto di svolta.
传记	biografia	Lei sta scrivendo la biografia di suo padre.
庄稼	colture	La pioggia ha nutrito le colture.
庄严	solenne	L'atmosfera della cerimonia era solenne.
庄重	dignitoso	Lui indossava abiti formali dignitosi.
装备	equipaggiamento	La squadra è dotata di equipaggiamento avanzato.
装卸	caricare e scaricare	Gli operai del porto sono responsabili di caricare e scaricare le merci.
壮观	spettacolare	Il paesaggio della cascata è molto spettacolare.
壮丽	maestoso	Qui ci sono montagne e fiumi maestosi.
壮烈	eroico	L'eroe è morto eroicamente.
幢	edificio	All'angolo della strada c'è un vecchio edificio.
追悼	commemorazione	La gente ha partecipato alla cerimonia di commemorazione.
追究	indagare	L'azienda indagherà sulle responsabilità.
坠	cadere	Le foglie sono cadute dai rami.
准则	principio	L'onestà è un principio della cooperazione.
卓越	eccellente	Lei ha ottenuto risultati eccellenti.
琢磨	riflettere	Lui ha riflettuto ripetutamente su questo problema.
着手	iniziare	Il team inizierà l'indagine domani.
着想	tenere conto	I genitori tengono sempre conto dei bisogni dei figli.
着重	sottolineare	Il rapporto sottolinea l'analisi dei costi.
姿态	atteggiamento	Lei ha mantenuto un atteggiamento modesto.
滋润	inumidire	La pioggia primaverile ha inumidito la terra.
滋味	sapore	La sensazione del fallimento è difficile da sopportare.
资本	capitale	Avviare un'impresa richiede un certo capitale.
资产	beni	I beni dell'azienda continuano a crescere.
资深	senior	Un avvocato senior ha gestito questo caso.
资助	finanziare	La fondazione finanzia studenti poveri.
子弹	proiettile	Il proiettile ha colpito il muro.
自卑	sentirsi inferiore	Lui non si sente più inferiore.
自发	spontaneo	I residenti hanno pulito spontaneamente la strada.
自力更生	autosufficienza	Gli abitanti del villaggio insistono sull'autosufficienza.
自满	compiaciuto	Non bisogna diventare compiaciuti dopo il successo.
自主	autonomo	Gli studenti devono sviluppare la capacità di apprendimento autonomo.
宗教	religione	Lui studia le religioni del mondo.
宗旨	scopo	Lo scopo dell'organizzazione è servire la comunità.
棕色	marrone	Lei ha comprato scarpe di pelle marroni.
踪迹	tracce	La polizia ha trovato tracce del sospettato.
总而言之	in breve	In breve, il piano è fattibile.
总和	somma	Il profitto è la differenza tra ricavi totali e costi.
纵横	incrociarsi	I fiumi si incrociano nella pianura.
走廊	corridoio	I bambini si sono messi in fila nel corridoio.
走漏	far trapelare	La notizia non deve trapelare.
走私	contrabbandare	La dogana ha sequestrato merci di contrabbando.
揍	picchiare	Lui è stato picchiato da alcuni ubriachi.
租赁	affittare	L'azienda ha affittato un nuovo ufficio.
足以	sufficiente	Queste prove sono sufficienti a spiegare il problema.
祖父	nonno paterno	Il nonno paterno ama raccontare vecchie storie.
祖国	patria	Lui ama profondamente la patria.
祖先	antenati	Loro venerano i propri antenati.
阻碍	ostacolare	La mancanza di fondi ostacola l'avanzamento del progetto.
阻拦	fermare	La guardia ha fermato gli estranei all'ingresso.
阻挠	ostruire	Qualcuno ha deliberatamente ostruito l'indagine.
钻研	studiare a fondo	Lei studia a fondo la letteratura antica.
钻石	diamante	Nell'anello è incastonato un diamante.
嘴唇	labbra	Il vento freddo ha screpolato le labbra.
罪犯	criminale	La polizia ha arrestato il criminale fuggito.
尊严	dignità	Ogni persona dovrebbe avere dignità.
遵循	seguire	I medici seguono standard rigorosi.
作弊	barare	Barare agli esami sarà punito.
作废	annullare	Il vecchio biglietto è già annullato.
作风	stile di lavoro	Lo stile di lavoro del leader è pragmatico.
作息	ritmo di lavoro e riposo	Un ritmo regolare di lavoro e riposo giova alla salute.
做主	decidere	Decidi tu su questa faccenda.
座右铭	motto	Il suo motto è non arrendersi mai.
