simplified	TE	example_TE
教养	పెంపకం; సంస్కారం	మంచి సంస్కారం వివరాల్లో కనిపిస్తుంది.
较量	పోటీపడడం	రెండు బలమైన జట్లు త్వరలో పోటీపడనున్నాయి.
接连	వరుసగా	అతనికి వరుసగా మూడు ఇమెయిళ్లు వచ్చాయి.
揭露	బయటపెట్టడం	రిపోర్టర్ ఆహార భద్రత సమస్యను బయటపెట్టాడు.
皆	అందరూ; ప్రతి ఒక్కరూ	ఈ నియమాలు అందరికీ తెలిసినవి.
阶层	సామాజిక వర్గం	వివిధ సామాజిక వర్గాలకు వేర్వేరు అవసరాలు ఉంటాయి.
截止	ముగియడం; గడువు ముగియడం	నమోదు రేపు మధ్యాహ్నం ముగుస్తుంది.
截至	వరకు; నాటికి	ఈరోజు వరకు రెండు వందల మంది నమోదు చేసుకున్నారు.
杰出	ప్రతిభావంతమైన; విశిష్టమైన	ఆమె ఒక విశిష్ట శాస్త్రవేత్త.
竭尽全力	పూర్తి శక్తితో ప్రయత్నించడం	మేము పనిని పూర్తి చేయడానికి పూర్తి శక్తితో ప్రయత్నిస్తాము.
结晶	కృషి ఫలం; స్ఫటికీకరణ	ఈ ఫలితం ఎన్నో సంవత్సరాల కృషి ఫలం.
结局	ముగింపు	కథ ముగింపు అనూహ్యంగా ఉంది.
结算	లెక్కలు ముగించడం; చెల్లింపులు సర్దుబాటు చేయడం	కస్టమర్ నెలాఖరులో ఖర్చులను సర్దుబాటు చేయాలని కోరాడు.
节制	నియంత్రణ; మితంగా ఉంచడం	తినడంలో, తాగడంలో మితంగా ఉండాలి.
节奏	లయ; రిథమ్	ఈ పాట లయ చాలా వేగంగా ఉంది.
解除	తొలగించడం; ఎత్తివేయడం	కంపెనీ భద్రతా హెచ్చరికను ఎత్తివేసింది.
解放	విముక్తి చేయడం	సంస్కరణ ఉత్పాదక శక్తులను విముక్తి చేసింది.
解雇	ఉద్యోగం నుండి తొలగించడం	యజమాని ఆ ఉద్యోగిని తొలగించాలని నిర్ణయించాడు.
解剖	శరీర నిర్మాణం; చీల్చి అధ్యయనం చేయడం	వైద్య విద్యార్థులు శరీర నిర్మాణాన్ని నేర్చుకుంటున్నారు.
解散	చెల్లాచెదరుగా కావడం; రద్దు చేయడం	సమావేశం ముగిసిన తర్వాత బృందం చెల్లాచెదరైంది.
解体	విభజన చెంది కూలిపోవడం	ఆ కూటమి చివరకు కూలిపోయింది.
借鉴	అనుభవం నుంచి నేర్చుకోవడం	మనం విదేశీ అనుభవం నుంచి నేర్చుకోవచ్చు.
借助	సహాయంతో ఉపయోగించడం	అతను మ్యాప్ సహాయంతో మార్గాన్ని కనుగొన్నాడు.
戒备	అప్రమత్త రక్షణ	సరిహద్దు ప్రాంతం అధిక అప్రమత్తతలో ఉంది.
界限	హద్దు	పని, జీవితం మధ్య స్పష్టమైన హద్దులు అవసరం.
津津有味	చాలా ఆసక్తిగా	పిల్లలు కథను చాలా ఆసక్తిగా విన్నారు.
