simplified	KN	example_KN
高涨	ನಿರಂತರವಾಗಿ ಏರಿಕೆ	ಪ್ರೇಕ್ಷಕರ ಉತ್ಸಾಹ ನಿರಂತರವಾಗಿ ಏರಿತು.
稿件	ಕರಡು ಲೇಖನ	ಸಂಪಾದಕರು ಕರಡು ಲೇಖನವನ್ನು ತಿದ್ದುಪಡಿಸುತ್ತಿದ್ದಾರೆ.
告辞	ವಿದಾಯ ಹೇಳಿ ಹೊರಡುವುದು	ಈಗಲೇ ಕತ್ತಲಾಗಿದೆ, ನಾವು ಮೊದಲು ವಿದಾಯ ಹೇಳಿ ಹೊರಡುತ್ತೇವೆ.
告诫	ಎಚ್ಚರಿಸುವುದು	ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ನಕಲು ಮಾಡಬೇಡಿ ಎಂದು ಎಚ್ಚರಿಸಿದರು.
割	ಕತ್ತರಿಸುವುದು	ಅವನು ಅಜಾಗರೂಕತೆಯಿಂದ ಬೆರಳನ್ನು ಕತ್ತರಿಸಿಕೊಂಡ.
搁	ಇಡುವುದು	ದಯವಿಟ್ಟು ದಾಖಲೆಗಳನ್ನು ಮೇಜಿನ ಮೇಲೆ ಇಡಿ.
歌颂	ಸ್ತುತಿಸುವುದು	ಈ ಕವಿತೆ ಕಾರ್ಮಿಕರನ್ನು ಸ್ತುತಿಸುತ್ತದೆ.
疙瘩	ಗಡ್ಡೆ	ಅವನ ಕೈ ಮೇಲೆ ಒಂದು ಗಡ್ಡೆ ಮೂಡಿತು.
鸽子	ಪಾರಿವಾಳ	ಚೌಕದಲ್ಲಿ ಬಹಳಷ್ಟು ಪಾರಿವಾಳಗಳಿವೆ.
格局	ವಿನ್ಯಾಸ	ಈ ಮನೆಯ ವಿನ್ಯಾಸ ಬಹಳ ಯುಕ್ತಿಯುಕ್ತವಾಗಿದೆ.
格式	ಸ್ವರೂಪ	ದಯವಿಟ್ಟು ನಿಗದಿತ ಸ್ವರೂಪದಲ್ಲಿ ಫಾರ್ಮ್ ತುಂಬಿ.
隔阂	ಮನಸ್ತಾಪ	ತಪ್ಪು ಅರ್ಥೈಸಿಕೆ ಅವರ ನಡುವಿನ ಮನಸ್ತಾಪವನ್ನು ಹೆಚ್ಚಿಸಿತು.
隔离	ಪ್ರತ್ಯೇಕಿಸುವುದು	ರೋಗಿಯನ್ನು ತಾತ್ಕಾಲಿಕವಾಗಿ ಪ್ರತ್ಯೇಕಿಸಬೇಕು.
革命	ಕ್ರಾಂತಿ	ಈ ಕ್ರಾಂತಿ ದೇಶದ ಭಾಗ್ಯವನ್ನು ಬದಲಿಸಿತು.
个体	ವ್ಯಕ್ತಿ	ಪ್ರತಿ ವ್ಯಕ್ತಿಗೂ ಬೇರೆ ಬೇರೆ ಅಗತ್ಯಗಳಿವೆ.
各抒己见	ಪ್ರತಿಯೊಬ್ಬರೂ ತಮ್ಮ ಅಭಿಪ್ರಾಯ ಹೇಳುವುದು	ಸಭೆಯಲ್ಲಿ ಎಲ್ಲರೂ ತಮ್ಮ ತಮ್ಮ ಅಭಿಪ್ರಾಯಗಳನ್ನು ಹೇಳಿದರು.
根深蒂固	ಆಳವಾಗಿ ಬೇರೂರಿರುವ	ಈ ಕಲ್ಪನೆ ಈಗಾಗಲೇ ಆಳವಾಗಿ ಬೇರೂರಿದೆ.
根源	ಮೂಲ ಕಾರಣ	ಬಡತನದ ಮೂಲ ಕಾರಣಗಳು ಬಹಳ ಸಂಕೀರ್ಣವಾಗಿವೆ.
跟前	ಮುಂದೆ	ಮಗುವು ತಾಯಿಯ ಮುಂದೆ ಓಡಿಬಂದಿತು.
跟随	ಹಿಂಬಾಲಿಸುವುದು	ವರದಿಗಾರನು ತಂಡವನ್ನು ಹಿಂಬಾಲಿಸಿ ಪರ್ವತ ಪ್ರದೇಶಕ್ಕೆ ಪ್ರವೇಶಿಸಿದ.
跟踪	ಜಾಡುಹಿಡಿದು ಹಿಂಬಾಲಿಸುವುದು	ಪೊಲೀಸರು ಸಂಶಯಿತರ ಚಲನವಲನವನ್ನು ಜಾಡುಹಿಡಿದು ಹಿಂಬಾಲಿಸುತ್ತಿದ್ದಾರೆ.
更新	ನವೀಕರಿಸುವುದು	ವ್ಯವಸ್ಥೆ ಇಂದು ರಾತ್ರಿ ಸ್ವಯಂಚಾಲಿತವಾಗಿ ನವೀಕರಿಸುತ್ತದೆ.
更正	ಸರಿಪಡಿಸುವುದು	ಪತ್ರಿಕೆ ಮುಂದಿನ ದಿನ ತಪ್ಪನ್ನು ಸರಿಪಡಿಸಿತು.
耕地	ಭೂಮಿ ಒರೆಯುವುದು	ವಸಂತಕಾಲದಲ್ಲಿ ರೈತರು ಹೊಲಗಳನ್ನು ಒರೆಯುತ್ತಿದ್ದಾರೆ.
供不应求	ಪೂರೈಕೆ ಬೇಡಿಕೆಗೆ ಸಾಲದಿರುವುದು	ಈ ಔಷಧಿ ಈಗ ಪೂರೈಕೆ ಬೇಡಿಕೆಗೆ ಸಾಲುತ್ತಿಲ್ಲ.
供给	ಪೂರೈಕೆ	ನಗರಕ್ಕೆ ಸ್ಥಿರ ನೀರು ಮತ್ತು ವಿದ್ಯುತ್ ಪೂರೈಕೆ ಬೇಕು.
公安局	ಸಾರ್ವಜನಿಕ ಭದ್ರತಾ ಕಚೇರಿ	ಅವನು ಪ್ರಕರಣವನ್ನು ವರದಿ ಮಾಡಲು ಸಾರ್ವಜನಿಕ ಭದ್ರತಾ ಕಚೇರಿಗೆ ಹೋದ.
公道	ನ್ಯಾಯ	ಎಲ್ಲರೂ ನ್ಯಾಯವಾದ ನಿರ್ವಹಣೆಯನ್ನು ಪಡೆಯಲು ಆಶಿಸುತ್ತಾರೆ.
公告	ಪ್ರಕಟಣೆ	ಶಾಲೆ ತರಗತಿ ರದ್ದು ಪ್ರಕಟಣೆ ಹೊರಡಿಸಿತು.
公关	ಜನಸಂಪರ್ಕ	ಕಂಪನಿ ವೃತ್ತಿಪರ ಜನಸಂಪರ್ಕ ತಂಡವನ್ನು ನೇಮಿಸಿತು.
公民	ನಾಗರಿಕ	ಪ್ರತಿ ನಾಗರಿಕನು ಕಾನೂನನ್ನು ಪಾಲಿಸಬೇಕು.
公然	ಬಯಲಾಗಿಯೇ	ಅವನು ಸ್ಪರ್ಧೆಯ ನಿಯಮಗಳನ್ನು ಬಯಲಾಗಿಯೇ ಉಲ್ಲಂಘಿಸಿದ.
公认	ಸಾರ್ವಜನಿಕವಾಗಿ ಅಂಗೀಕರಿಸಲ್ಪಟ್ಟ	ಅವಳು ಸಾರ್ವಜನಿಕವಾಗಿ ಅಂಗೀಕರಿಸಲ್ಪಟ್ಟ ಉತ್ತಮ ಶಿಕ್ಷಕಿ.
公式	ಸೂತ್ರ	ದಯವಿಟ್ಟು ಈ ಗಣಿತ ಸೂತ್ರವನ್ನು ಬರೆದುಕೊಳ್ಳಿ.
公务	ಸರ್ಕಾರಿ ಕೆಲಸ	ಅವನು ಸರ್ಕಾರಿ ಕೆಲಸಕ್ಕಾಗಿ ಮೂರು ದಿನ ಪ್ರಯಾಣಕ್ಕೆ ಹೋದ.
公正	ನಿಷ್ಪಕ್ಷಪಾತ	ನ್ಯಾಯಾಧೀಶರು ನಿಷ್ಪಕ್ಷಪಾತರಾಗಿರಬೇಕು.
公证	ನೋಟರಿ ದೃಢೀಕರಣ	ಈ ದಾಖಲೆ ನೋಟರಿ ದೃಢೀಕರಣಕ್ಕೆ ಒಳಪಡಬೇಕು.
功劳	ಕೀರ್ತಿ ಪಾಲು	ಈ ಯಶಸ್ಸಿನಲ್ಲಿ ಎಲ್ಲರಿಗೂ ಕೀರ್ತಿ ಪಾಲಿದೆ.
功效	ಪ್ರಭಾವಕಾರಿತ್ವ	ಈ ಔಷಧಿಯ ಪ್ರಭಾವಕಾರಿತ್ವವನ್ನು ಇನ್ನೂ ಪರಿಶೀಲಿಸಬೇಕು.
宫殿	ಅರಮನೆ	ಪ್ರವಾಸಿಗರು ಪುರಾತನ ಅರಮನೆಯನ್ನು ನೋಡಿದರು.
工艺品	ಕೈಗಾರಿಕಾ ಕಲಾಕೃತಿ	ಈ ಕೈಗಾರಿಕಾ ಕಲಾಕೃತಿ ಕೈಯಿಂದ ತಯಾರಿಸಲ್ಪಟ್ಟಿದೆ.
恭敬	ಗೌರವಪೂರ್ಣ	ಅವನು ಹಿರಿಯರಿಗೆ ಗೌರವಪೂರ್ಣವಾಗಿ ಶುಭಾಶಯ ಹೇಳಿದ.
攻击	ದಾಳಿ ಮಾಡುವುದು	ಹ್ಯಾಕರ್‌ಗಳು ಕಂಪನಿಯ ಜಾಲತಾಣದ ಮೇಲೆ ದಾಳಿ ಮಾಡಿದರು.
攻克	ಜಯಿಸಿ ಪರಿಹರಿಸುವುದು	ಸಂಶೋಧನಾ ತಂಡವು ತಾಂತ್ರಿಕ ಕಠಿಣ ಸಮಸ್ಯೆಯನ್ನು ಜಯಿಸಿ ಪರಿಹರಿಸಿತು.
巩固	ಬಲಪಡಿಸುವುದು	ಪುನರವಲೋಕನ ಕಲಿತ ಜ್ಞಾನವನ್ನು ಬಲಪಡಿಸಬಹುದು.
共和国	ಗಣರಾಜ್ಯ	ಈ ಗಣರಾಜ್ಯ ಕಳೆದ ಶತಮಾನದಲ್ಲಿ ಸ್ಥಾಪಿಸಲ್ಪಟ್ಟಿತು.
共计	ಒಟ್ಟು	ಈ ಸರಕುಗಳ ಗುಂಪು ಒಟ್ಟು ಮುನ್ನೂರು ಪೆಟ್ಟಿಗೆಗಳು.
共鸣	ಸಹಾನುಭೂತಿಯ ಪ್ರತಿಧ್ವನಿ	ಈ ಹಾಡು ಅನೇಕ ಜನರಲ್ಲಿ ಸಹಾನುಭೂತಿಯ ಪ್ರತಿಧ್ವನಿಯನ್ನು ಉಂಟುಮಾಡಿತು.
勾结	ಸಂಚು ಮಾಡುವುದು	ಅವರು ಹೊರಗಿನವರೊಂದಿಗೆ ಸಂಚು ಮಾಡಿ ಹಣವನ್ನು ಮೋಸದಿಂದ ಪಡೆದುಕೊಂಡರು.
钩子	ಕೊಕ್ಕು	ಗೋಡಿಯ ಮೇಲೆ ಕೆಲವು ಕೊಕ್ಕುಗಳು ತೂಗುತ್ತಿವೆ.
构思	ಕಲ್ಪನೆ ರೂಪಿಸುವುದು	ಲೇಖಕನು ಹೊಸ ಕಾದಂಬರಿಯ ಕಲ್ಪನೆಯನ್ನು ರೂಪಿಸುತ್ತಿದ್ದಾನೆ.
姑且	ತಾತ್ಕಾಲಿಕವಾಗಿ	ಈ ಯೋಜನೆಯನ್ನು ತಾತ್ಕಾಲಿಕವಾಗಿ ಒಂದು ವಾರ ಪ್ರಯತ್ನಿಸೋಣ.
孤独	ಏಕಾಂಗಿ	ಹೊಸ ನಗರಕ್ಕೆ ಸ್ಥಳಾಂತರವಾದ ನಂತರ ಅವನು ಏಕಾಂಗಿತನ ಅನುಭವಿಸಿದ.
孤立	ಪ್ರತ್ಯೇಕವಾಗಿ ನೋಡುವುದು	ಈ ಸಮಸ್ಯೆಯನ್ನು ಪ್ರತ್ಯೇಕವಾಗಿ ನೋಡಬೇಡಿ.
辜负	ನಿರಾಶೆಗೊಳಿಸುವುದು	ನಾನು ಪೋಷಕರ ನಿರೀಕ್ಷೆಯನ್ನು ನಿರಾಶೆಗೊಳಿಸಲು ಇಷ್ಟಪಡುವುದಿಲ್ಲ.
古董	ಪುರಾತನ ವಸ್ತು	ಅಜ್ಜ ಕೆಲವು ಪುರಾತನ ವಸ್ತುಗಳನ್ನು ಸಂಗ್ರಹಿಸಿದ್ದರು.
古怪	ವಿಚಿತ್ರ	ಅವನ ಕಲ್ಪನೆ ಸ್ವಲ್ಪ ವಿಚಿತ್ರವಾಗಿದೆ.
股东	ಷೇರುದಾರ	ಷೇರುದಾರರ ಸಭೆ ಮುಂದಿನ ವಾರ ನಡೆಯಲಿದೆ.
股份	ಷೇರು ಪಾಲು	ಅವನು ಕಂಪನಿಯ ಷೇರು ಪಾಲನ್ನು ಹೊಂದಿದ್ದಾನೆ.
骨干	ಮುಖ್ಯ ಆಧಾರ	ಈ ಇಂಜಿನಿಯರ್‌ಗಳು ತಂಡದ ಮುಖ್ಯ ಆಧಾರ.
鼓动	ಪ್ರಚೋದಿಸುವುದು	ಯಾರೋ ಜನರನ್ನು ಪ್ರತಿಭಟನೆಗೆ ಪ್ರಚೋದಿಸಿದರು.
固然	ಒಪ್ಪಲೇಬೇಕು	ಈ ವಿಧಾನ ಸರಳವೆಂಬುದು ಒಪ್ಪಲೇಬೇಕು, ಆದರೆ ಅಪಾಯ ಕಡಿಮೆ ಅಲ್ಲ.
固体	ಘನ	ಹಿಮವು ನೀರಿನ ಘನ ರೂಪ.
固有	ಸ್ವಭಾವಸಿದ್ಧ	ಪ್ರತಿ ಸಂಸ್ಕೃತಿಗೂ ಸ್ವಭಾವಸಿದ್ಧ ಲಕ್ಷಣಗಳಿವೆ.
固执	ಹಠಗಾರ	ಅವನು ತುಂಬಾ ಹಠಗಾರ, ಸಲಹೆ ಕೇಳಲು ಸಿದ್ಧನಿಲ್ಲ.
故乡	ಹುಟ್ಟೂರು	ಅನೇಕ ವರ್ಷಗಳ ನಂತರ ಅವನು ಹುಟ್ಟೂರಿಗೆ ಮರಳಿದ.
故障	ದೋಷ	ಲಿಫ್ಟ್‌ಗೆ ದೋಷ ಬಂದು ತಾತ್ಕಾಲಿಕವಾಗಿ ನಿಲ್ಲಿಸಲಾಗಿದೆ.
雇佣	ಕೆಲಸಕ್ಕೆ ನೇಮಿಸುವುದು	ಕಂಪನಿ ಇನ್ನಷ್ಟು ತಾಂತ್ರಿಕ ಸಿಬ್ಬಂದಿಯನ್ನು ಕೆಲಸಕ್ಕೆ ನೇಮಿಸಲು ನಿರ್ಧರಿಸಿತು.
顾虑	ಚಿಂತೆ	ನಿನಗೆ ಯಾವ ಚಿಂತೆ ಇದ್ದರೂ ನೇರವಾಗಿ ಹೇಳಬಹುದು.
顾问	ಸಲಹೆಗಾರ	ನಾವು ಒಬ್ಬ ಕಾನೂನು ಸಲಹೆಗಾರರನ್ನು ನೇಮಿಸಿದ್ದೇವೆ.
拐杖	ನಡೆಯುವ ಕೋಲು	ಮುದುಕರು ಹೊರಗೆ ಹೋಗುವಾಗ ಸಾಮಾನ್ಯವಾಗಿ ನಡೆಯುವ ಕೋಲನ್ನು ತೆಗೆದುಕೊಂಡು ಹೋಗುತ್ತಾರೆ.
关怀	ಕಾಳಜಿ	ಶಿಕ್ಷಕರು ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಬಹಳ ಕಾಳಜಿ ತೋರಿದರು.
关照	ನೋಡಿಕೊಳ್ಳುವುದು	ದಯವಿಟ್ಟು ದಾರಿಯಲ್ಲಿ ಮಗುವನ್ನು ಚೆನ್ನಾಗಿ ನೋಡಿಕೊಳ್ಳಿ.
官方	ಅಧಿಕೃತ	ಅಧಿಕೃತ ಸುದ್ದಿ ನಾಳೆ ಪ್ರಕಟವಾಗುತ್ತದೆ.
观光	ಪ್ರವಾಸ ವೀಕ್ಷಣೆ	ಪ್ರವಾಸಿಗರು ದೋಣಿಯಲ್ಲಿ ಪ್ರವಾಸ ವೀಕ್ಷಣೆ ಮಾಡಿದರು.
管辖	ಆಡಳಿತ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಇರುವುದು	ಈ ಪ್ರದೇಶ ನಗರ ಸರ್ಕಾರದ ಆಡಳಿತ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಇದೆ.
惯例	ಪದ್ದತಿ	ಸಭೆ ಆರಂಭಕ್ಕೂ ಮೊದಲು ಅತಿಥಿಗಳನ್ನು ಪರಿಚಯಿಸುವುದು ಪದ್ದತಿ.
灌溉	ನೀರಾವರಿ ಮಾಡುವುದು	ರೈತರು ನದಿನೀರಿನಿಂದ ಹೊಲಗಳಿಗೆ ನೀರಾವರಿ ಮಾಡುತ್ತಾರೆ.
罐	ಡಬ್ಬಿ	ಮೇಜಿನ ಮೇಲೆ ಒಂದು ಚಹಾ ಎಲೆಗಳ ಡಬ್ಬಿಯಿದೆ.
贯彻	ಅಮಲಿಗೆ ತರುವುದು	ಕಂಪನಿ ಹೊಸ ಸುರಕ್ಷತಾ ಮಾನದಂಡಗಳನ್ನು ಅಮಲಿಗೆ ತರಬೇಕು.
光彩	ತೆಜಸ್ಸು	ಈ ಬಟ್ಟೆ ಅವಳನ್ನು ಹೆಚ್ಚು ತೆಜಸ್ವಿಯಾಗಿ ಕಾಣುವಂತೆ ಮಾಡಿತು.
光辉	ಪ್ರಭಾವಂತ ಕಿರಣ	ಅವನ ಸಾಧನೆಗಳು ಪ್ರಭಾವಂತ ಪುಟವೊಂದನ್ನು ಬಿಟ್ಟಿವೆ.
光芒	ಕಿರಣ	ಸೂರ್ಯನ ಕಿರಣಗಳು ಕಣಿವೆಯನ್ನು ಬೆಳಗಿಸಿದವು.
光荣	ಗೌರವಯುತ	ದೇಶಕ್ಕೆ ಸೇವೆ ಮಾಡುವುದು ಗೌರವಯುತ.
广阔	ವಿಶಾಲ	ಹುಲ್ಲುಗಾವಲು ಅಂತ್ಯವಿಲ್ಲದಂತೆ ಹರಡಿಕೊಂಡಿದ್ದು ಬಹಳ ವಿಶಾಲವಾಗಿದೆ.
归根到底	ಕೊನೆಗೂ ಮೂಲವಾಗಿ	ಕೊನೆಗೂ ಮೂಲವಾಗಿ ಸಮಸ್ಯೆ ನಿರ್ವಹಣೆಯಲ್ಲಿದೆ.
归还	ಹಿಂತಿರುಗಿಸುವುದು	ದಯವಿಟ್ಟು ಪುಸ್ತಕಗಳನ್ನು ಸಮಯಕ್ಕೆ ಹಿಂತಿರುಗಿಸಿ.
规范	ನಿಯಮಿತ ಮಾನದಂಡ	ಶಾಲೆ ಪ್ರಯೋಗಾಲಯವನ್ನು ನಿರ್ವಹಿಸಲು ನಿಯಮಿತ ಮಾನದಂಡಗಳನ್ನು ರೂಪಿಸಿತು.
规格	ವಿನಿಯಮ ಗಾತ್ರ	ಈ ಭಾಗಗಳ ಗುಂಪಿನ ವಿನಿಯಮ ಗಾತ್ರ ಒಂದೇ ರೀತಿಯಲ್ಲಿಲ್ಲ.
规划	ಯೋಜನೆ ರೂಪಿಸುವುದು	ನಗರ ಯೋಜನೆ ಸಂಚಾರವನ್ನು ಪರಿಗಣಿಸಬೇಕು.
规章	ನಿಯಮಾವಳಿ	ನೌಕರರು ಕಂಪನಿಯ ನಿಯಮಾವಳಿಗಳನ್ನು ಪಾಲಿಸಬೇಕು.
轨道	ಹಳಿ	ರೈಲು ಹಳಿಗಳ ಮೇಲೆ ಮುಂದೆ ಸಾಗುತ್ತದೆ.
贵族	ಉನ್ನತ ವರ್ಗ	ಈ ಜಮೀನು ಒಮ್ಮೆ ಉನ್ನತ ವರ್ಗಕ್ಕೆ ಸೇರಿತ್ತು.
跪	ಮಂಡಿಯೂರುವುದು	ಅವನು ದೇವರ ಮೂರ್ತಿಯ ಮುಂದೆ ಮಂಡಿಯೂರಿದ.
棍棒	ಕೋಲು	ಪೊಲೀಸರು ಸ್ಥಳದಲ್ಲಿದ್ದ ಕೋಲುಗಳನ್ನು ವಶಪಡಿಸಿಕೊಂಡರು.
国防	ರಾಷ್ಟ್ರರಕ್ಷಣೆ	ರಾಷ್ಟ್ರರಕ್ಷಣೆ ನಿರ್ಮಾಣಕ್ಕೆ ದೀರ್ಘಕಾಲದ ಹೂಡಿಕೆ ಬೇಕು.
国务院	ರಾಜ್ಯ ಮಂಡಳಿ	ರಾಜ್ಯ ಮಂಡಳಿ ಹೊಸ ಪ್ರಕಟಣೆಯನ್ನು ಹೊರಡಿಸಿತು.
果断	ದೃಢ ನಿರ್ಧಾರದಿಂದ	ನಾಯಕರು ದೃಢ ನಿರ್ಧಾರದಿಂದ ತೀರ್ಮಾನ ಮಾಡಿದರು.
过度	ಅತಿಯಾದ	ಮೊಬೈಲ್ ಫೋನ್ ಅನ್ನು ಅತಿಯಾಗಿ ಬಳಸುವುದು ನಿದ್ರೆಗೆ ಪರಿಣಾಮ ಬೀರುತ್ತದೆ.
过渡	ಸಂಕ್ರಮಣ	ಕಂಪನಿ ರೂಪಾಂತರದ ಸಂಕ್ರಮಣ ಹಂತದಲ್ಲಿದೆ.
过奖	ಅತಿಯಾಗಿ ಹೊಗಳುವುದು	ನೀವು ಅತಿಯಾಗಿ ಹೊಗಳುತ್ತಿದ್ದೀರಿ, ನಾನು ಇನ್ನೂ ಕಲಿಯಬೇಕು.
过滤	ಶೋಧಿಸುವುದು	ಈ ಸಾಧನ ಅಶುದ್ಧಿಗಳನ್ನು ಶೋಧಿಸಬಹುದು.
过失	ತಪ್ಪು	ಈ ಅಪಘಾತ ಮಾನವ ತಪ್ಪಿನಿಂದ ಉಂಟಾಯಿತು.
过问	ತಲೆಹಾಕುವುದು	ಮ್ಯಾನೇಜರ್ ಇಂತಹ ಸಣ್ಣ ವಿಷಯಗಳಲ್ಲಿ ವಿರಳವಾಗಿ ತಲೆಹಾಕುತ್ತಾರೆ.
过瘾	ತುಂಬಾ ತೃಪ್ತಿಕರ	ಈ ಪಂದ್ಯವನ್ನು ನೋಡುವುದು ನಿಜಕ್ಕೂ ತುಂಬಾ ತೃಪ್ತಿಕರವಾಗಿತ್ತು.
过于	ಅತಿಯಾಗಿ	ಈ ಯೋಜನೆ ಅತಿಯಾಗಿ ಸಂಕೀರ್ಣವಾಗಿದೆ.
嗨	ಹೇ	ಹೇ, ನೀನು ಕೂಡ ಏಕೆ ಬಂದೆ?
海拔	ಸಮುದ್ರಮಟ್ಟದ ಮೇಲಿನ ಎತ್ತರ	ಈ ಗ್ರಾಮದ ಸಮುದ್ರಮಟ್ಟದ ಮೇಲಿನ ಎತ್ತರ ಹೆಚ್ಚು.
海滨	ಸಮುದ್ರತೀರ	ಅವರು ವಾರಾಂತ್ಯವನ್ನು ಸಮುದ್ರತೀರದಲ್ಲಿ ಕಳೆಯಿದರು.
含糊	ಅಸ್ಪಷ್ಟ	ಅವನ ಉತ್ತರ ಬಹಳ ಅಸ್ಪಷ್ಟವಾಗಿತ್ತು.
含义	ಅಂತರ್ನಿಹಿತ ಅರ್ಥ	ಈ ಪದಕ್ಕೆ ವಿಶೇಷ ಅಂತರ್ನಿಹಿತ ಅರ್ಥವಿದೆ.
寒暄	ಸೌಜನ್ಯ ಮಾತುಕತೆ	ಭೇಟಿಯಾದ ನಂತರ ಅವರು ಮೊದಲು ಕೆಲವು ಸೌಜನ್ಯ ಮಾತುಕತೆ ನಡೆಸಿದರು.
罕见	ಅಪರೂಪದ	ಈ ರೋಗ ಬಹಳ ಅಪರೂಪದದು.
捍卫	ರಕ್ಷಿಸಿ ಉಳಿಸುವುದು	ವಕೀಲರು ಗ್ರಾಹಕರ ಹಕ್ಕುಗಳನ್ನು ರಕ್ಷಿಸಿ ಉಳಿಸಲು ಪ್ರಯತ್ನಿಸಿದರು.
航空	ವಿಮಾನಯಾನ	ವಿಮಾನಯಾನ ಕಂಪನಿ ವಿಮಾನವನ್ನು ರದ್ದುಗೊಳಿಸಿತು.
航天	ಅಂತರಿಕ್ಷಯಾನ	ಚೀನಾದ ಅಂತರಿಕ್ಷಯಾನ ಕ್ಷೇತ್ರ ವೇಗವಾಗಿ ಅಭಿವೃದ್ಧಿಯಾಗುತ್ತಿದೆ.
航行	ಸಾಗರಯಾನ ಮಾಡುವುದು	ಹಡಗು ಸಮುದ್ರದಲ್ಲಿ ಸಾಗರಯಾನ ಮಾಡುತ್ತಿದೆ.
行列	ಸರತಿ	ಅವಳು ಸ್ವಯಂಸೇವಕರ ಸರತಿಗೆ ಸೇರಿದರು.
毫米	ಮಿಲಿಮೀಟರ್	ಈ ಗಾಜಿನ ದಪ್ಪ ಐದು ಮಿಲಿಮೀಟರ್.
毫无	ಒಂದೂ ಇಲ್ಲದ	ಅವನ ವಿವರಣೆಗೆ ಒಂದೂ ಆಧಾರವಿಲ್ಲ.
豪迈	ಧೈರ್ಯಶಾಲಿ ಮತ್ತು ವಿಶಾಲ	ಅವನ ಹಾಡಿನ ಧ್ವನಿ ಧೈರ್ಯಶಾಲಿ ಮತ್ತು ಶಕ್ತಿಯುತವಾಗಿತ್ತು.
号召	ಕರೆ ನೀಡುವುದು	ಸರ್ಕಾರ ಎಲ್ಲರಿಗೂ ನೀರು ಉಳಿಸಲು ಕರೆ ನೀಡಿತು.
耗费	ವೆಚ್ಚಿಸುವುದು	ಈ ಯೋಜನೆ ಬಹಳಷ್ಟು ಹಣ ವೆಚ್ಚಿಸಿತು.
呵	ಗದರಿಸುವ ಶಬ್ದ	ತಂದೆ ಗದರಿಸಿದ ಕೂಡಲೇ ಮಗು ನಿಂತಿತು.
合并	ವಿಲೀನಗೊಳಿಸುವುದು	ಎರಡು ಕಂಪನಿಗಳು ಮುಂದಿನ ವರ್ಷ ವಿಲೀನಗೊಳ್ಳಲು ಯೋಜಿಸುತ್ತಿವೆ.
合成	ಸಂಶ್ಲೇಷಿಸುವುದು	ಈ ವಸ್ತುವನ್ನು ಕೃತಕವಾಗಿ ಸಂಶ್ಲೇಷಿಸಬಹುದು.
合伙	ಭಾಗೀದಾರಿಕೆಯಲ್ಲಿ ಮಾಡುವುದು	ಅವರು ಭಾಗೀದಾರಿಕೆಯಲ್ಲಿ ಒಂದು ರೆಸ್ಟೊರೆಂಟ್ ತೆರೆದರು.
合算	ಲಾಭದಾಯಕ	ಬಸ್‌ನಲ್ಲಿ ಹೋಗುವುದು ಟ್ಯಾಕ್ಸಿಗಿಂತ ಹೆಚ್ಚು ಲಾಭದಾಯಕ.
和蔼	ಸೌಮ್ಯ	ಈ ವೈದ್ಯರು ತುಂಬಾ ಸೌಮ್ಯವಾಗಿ ಮಾತನಾಡುತ್ತಾರೆ.
和解	ಸಮರಸ	ಎರಡು ಪಕ್ಷಗಳು ಕೊನೆಗೆ ಸಮರಸಕ್ಕೆ ಬಂದವು.
和睦	ಸೌಹಾರ್ದ	ನೆರೆಹೊರೆಯವರು ಪರಸ್ಪರ ಸೌಹಾರ್ದದಿಂದ ಬದುಕುತ್ತಾರೆ.
和气	ಮೃದುಸ್ವಭಾವದ	ಬಾಸ್ ಜನರೊಂದಿಗೆ ಮೃದುಸ್ವಭಾವದಿಂದ ವರ್ತಿಸುತ್ತಾರೆ.
和谐	ಸೌಹಾರ್ದಯುತ	ಸಂಗೀತವು ವಾತಾವರಣವನ್ನು ಇನ್ನಷ್ಟು ಸೌಹಾರ್ದಯುತ ಮಾಡಿತು.
嘿	ಹೇ	ಹೇ, ನೀನು ಕೇಳಿದೆಯಾ?
痕迹	ಗುರುತು	ನೆಲದ ಮೇಲೆ ಚಕ್ರದ ಗುರುತುಗಳು ಉಳಿದಿದ್ದವು.
狠心	ಕಠೋರಮನಸ್ಸಿನ	ಅವನು ಸ್ನೇಹಿತನ ವಿನಂತಿಯನ್ನು ಕಠೋರಮನಸ್ಸಿನಿಂದ ತಿರಸ್ಕರಿಸಿದ.
恨不得	ತಕ್ಷಣ ಮಾಡಬೇಕೆಂದು ತೀವ್ರವಾಗಿ ಬಯಸುವುದು	ನಾನು ತಕ್ಷಣ ಮನೆಗೆ ಹೋಗಿ ವಿಶ್ರಾಂತಿ ಪಡೆಯಬೇಕೆಂದು ತೀವ್ರವಾಗಿ ಬಯಸುತ್ತೇನೆ.
哼	ಮೂಗಿನಿಂದ ಅಸಮಾಧಾನ ಶಬ್ದ ಮಾಡುವುದು	ಅವನು ಅಸಂತೋಷದಿಂದ ಮೂಗಿನಿಂದ ಶಬ್ದ ಮಾಡಿದ.
