simplified	BN	example_BN
公安局	জননিরাপত্তা দপ্তর	সে ঘটনা জানাতে জননিরাপত্তা দপ্তরে গেল।
公道	ন্যায্য	সবাই ন্যায্য ব্যবস্থাপনা আশা করে।
公告	ঘোষণা	স্কুল ক্লাস স্থগিতের ঘোষণা প্রকাশ করেছে।
公关	জনসংযোগ	কোম্পানি পেশাদার জনসংযোগ দল নিয়েছে।
公民	নাগরিক	প্রতিটি নাগরিকের আইন মানা উচিত।
公然	প্রকাশ্যে	সে প্রকাশ্যে প্রতিযোগিতার নিয়ম ভঙ্গ করেছে।
公认	সর্বজনস্বীকৃত	সে সর্বজনস্বীকৃত উৎকৃষ্ট শিক্ষক।
公式	সূত্র	দয়া করে এই গণিতের সূত্রটি লিখে রাখুন।
公务	সরকারি কাজ	সে সরকারি কাজে তিন দিনের জন্য বাইরে গেছে।
公正	ন্যায়নিষ্ঠ	বিচারকের ন্যায়নিষ্ঠ থাকা আবশ্যক।
公证	নোটারি করা	এই নথিটি নোটারি করা দরকার।
功劳	অবদান	এই সাফল্যে সবার অবদান আছে।
功效	কার্যকারিতা	এই ওষুধের কার্যকারিতা এখনও যাচাই করা দরকার।
宫殿	প্রাসাদ	পর্যটকেরা প্রাচীন প্রাসাদটি দেখলেন।
工艺品	হস্তশিল্প	এই হস্তশিল্পটি হাতে তৈরি।
恭敬	শ্রদ্ধাভরে	সে শ্রদ্ধাভরে বৃদ্ধকে অভিবাদন জানাল।
攻击	আক্রমণ করা	হ্যাকার কোম্পানির ওয়েবসাইটে আক্রমণ করেছে।
攻克	জয় করা	গবেষণা দল প্রযুক্তিগত কঠিন সমস্যা জয় করেছে।
巩固	মজবুত করা	পুনরাবৃত্তি শেখা জ্ঞান মজবুত করতে পারে।
共和国	প্রজাতন্ত্র	এই প্রজাতন্ত্র গত শতকে প্রতিষ্ঠিত হয়েছিল।
共计	মোট	এই চালানে মোট তিনশো বাক্স আছে।
共鸣	অনুরণন	এই গান অনেক মানুষের মনে অনুরণন সৃষ্টি করেছে।
勾结	আঁতাত করা	তারা বাইরের লোকের সঙ্গে আঁতাত করে অর্থ হাতিয়েছে।
钩子	হুক	দেয়ালে কয়েকটি হুক ঝুলছে।
构思	ভাবনা গঠন করা	লেখক নতুন উপন্যাসের ভাবনা গঠন করছেন।
姑且	আপাতত	এই পরিকল্পনা আপাতত এক সপ্তাহ পরীক্ষা করে দেখা যাক।
孤独	একাকী	নতুন শহরে যাওয়ার পর সে একাকী বোধ করল।
孤立	বিচ্ছিন্নভাবে দেখা	এই সমস্যাকে বিচ্ছিন্নভাবে দেখা উচিত নয়।
辜负	আশা ভঙ্গ করা	আমি বাবা-মায়ের আশা ভঙ্গ করতে চাই না।
古董	প্রাচীন সামগ্রী	দাদু কয়েকটি প্রাচীন সামগ্রী সংগ্রহ করেছেন।
古怪	অদ্ভুত	তার ভাবনা কিছুটা অদ্ভুত।
股东	শেয়ারহোল্ডার	শেয়ারহোল্ডার সভা আগামী সপ্তাহে হবে।
股份	শেয়ার	সে কোম্পানির শেয়ার ধরে রেখেছে।
骨干	মূল সদস্য	এই প্রকৌশলীরা দলের মূল সদস্য।
鼓动	উসকানি দেওয়া	কেউ জনতাকে প্রতিবাদে উসকানি দিয়েছে।
固然	নিশ্চয়ই	এই পদ্ধতি নিশ্চয়ই সহজ, কিন্তু ঝুঁকি কম নয়।
固体	কঠিন পদার্থ	বরফ হলো পানির কঠিন রূপ।
固有	স্বভাবগত	প্রতিটি সংস্কৃতির স্বভাবগত বৈশিষ্ট্য আছে।
