simplified	SL	example_SL
照样	kot običajno	Deževalo je, a trening se je nadaljeval kot običajno.
照耀	obsijati	Sončna svetloba obsije trg.
折腾	mučiti se	Nehaj se mučiti s tem starim računalnikom.
遮挡	zakrivati	Veje so zakrivale okno.
折	prepogniti	Papir je prepognil v letalo.
折磨	mučiti	Dolgotrajna nespečnost jo muči.
侦探	detektiv	Detektiv je našel ključno sled.
斟酌	premisliti	Prosimo, skrbno premisli besedilo.
珍贵	dragocen	Te fotografije so zelo dragocene.
珍稀	redka	Zaščitimo redke divje živali.
珍珠	biser	Nosi biserne uhane.
真理	resnica	Praksa preverja resnico.
真相	resnično stanje	Novinar si je prizadeval ugotoviti resnično stanje.
真挚	iskren	Izrazila je iskreno zahvalo.
枕头	vzglavnik	Ta vzglavnik je previsok.
振奋	dvigniti duha	Dobra novica je vsem dvignila duha.
振兴	oživiti	Vlada spodbuja oživitev podeželja.
镇定	miren	V nujnih razmerah je ostal miren.
镇静	miren	Medicinska sestra je bolniku rekla, naj ostane miren.
阵地	položaj	Vojaki so držali položaj.
阵容	postava	Ekipa je objavila začetno postavo.
震撼	pretresljiv	Ta film je izjemno pretresljiv.
震惊	šokirati	Novica je šokirala vso državo.
争端	spor	Obe strani sta skušali rešiti mejni spor.
争夺	tekmovati za	Podjetji tekmujeta za tržni delež.
争气	truditi se za uspeh	Pridno se uči, da bi bila družina ponosna nanj.
争先恐后	hiteti drug pred drugim	Turisti so hiteli drug pred drugim na avtobus.
争议	polemika	Ta odločitev je povzročila polemiko.
征服	osvojiti	Plezalec je osvojil vrh.
征收	pobirati	Vlada pobira davke v skladu z zakonom.
挣扎	boriti se	Ptica se je borila v mreži.
正月	prvi lunarni mesec	V prvem lunarnem mesecu se sorodniki obiskujejo.
蒸发	izhlapeti	Vlaga je hitro izhlapela.
整顿	reorganizirati	Podjetje je začelo reorganizirati upravljanje.
政策	politika	Nova politika podpira mala podjetja.
政权	režim	Vojna je spremenila lokalni režim.
正当	upravičen	Podal je upravičeno zahtevo.
正负	pozitiven in negativen	Instrument kaže pozitivno in negativno napako.
正规	reden	Otroka so vpisali v redno šolo.
正经	resno	Končno je začel govoriti resno.
正气	moralna pokončnost	Družba mora spodbujati moralno pokončnost.
正义	pravičnost	Odvetnik je branil pravičnost.
正宗	pristen	Ta restavracija prodaja pristno sečuansko hrano.
症状	simptom	Vročina je pogost simptom.
证实	potrditi	Preiskava je potrdila njegovo izjavo.
证书	potrdilo	Pridobila je strokovno potrdilo.
郑重	resen	Resno je obljubil, da bo prevzel odgovornost.
之际	ob času	Ob prihodu pomladnega praznika so vsi zaposleni.
支撑	podpirati	Stebri podpirajo streho.
支出	izdatek	Gospodinjski izdatki so se očitno povečali.
支流	pritok	Ta reka je pritok Jangceja.
支配	obvladovati	Čustva ne smejo obvladovati presoje.
支援	podpora	Zdravniki iz številnih krajev so prišli ponuditi podporo.
支柱	steber	Proizvodnja je steber lokalnega gospodarstva.
枝	veja	Odlomila je vejo cvetja.
知觉	zavest	Poškodovanec je postopoma ponovno pridobil zavest.
知足常乐	zadovoljstvo prinaša srečo	Starec pogosto pravi, da zadovoljstvo prinaša srečo.
脂肪	maščoba	Oreščki vsebujejo zdrave maščobe.
侄子	nečak	Moj nečak je letos začel osnovno šolo.
值班	dežurati	Medicinska sestra nocoj dežura.
执行	izvršiti	Sodišče je izvršilo sodbo.
执着	vztrajen	Do svojih idealov je zelo vztrajen.
殖民地	kolonija	Ta otok je bil nekoč kolonija.
直播	prenos v živo	Tekma bo nocoj prenašana v živo po spletu.
直径	premer	Premer tega kroga je deset centimetrov.
职能	funkcija	Funkcije oddelka je treba prerazporediti.
职位	delovno mesto	Prijavila se je za vodstveno delovno mesto.
职务	dolžnost	Njegova dolžnost je nadzor projekta.
指标	cilj	Prodajni cilj je že dosežen.
指定	določiti	Učitelj ga je določil, naj odgovori na vprašanje.
指甲	noht	Nohte si je postrigla na kratko.
指令	ukaz	Računalnik je prejel nov ukaz.
指南针	kompas	Plezalec je prinesel kompas.
指示	navodilo	Vodja je dal jasna navodila.
指望	računati na	Ne računaj na druge, da bodo to dokončali namesto tebe.
指责	kritizirati	Javnost je kritizirala podjetje zaradi onesnaževanja okolja.
制裁	sankcije	Mednarodna skupnost je uvedla gospodarske sankcije.
制服	uniforma	Varuh je nosil temno modro uniformo.
制约	omejevanje	Pomanjkanje sredstev omejuje razvoj.
制止	ustaviti	Policija je pravočasno ustavila spor.
志气	ambicija	Mladi bi morali imeti ambicijo.
智力	inteligenca	Igre lahko urijo inteligenco.
智能	pameten	Pametne naprave so vse pogostejše.
智商	inteligenčni količnik	Inteligenčni količnik ne more določiti vsega.
治安	javna varnost	Javna varnost v soseski se je očitno izboljšala.
治理	upravljanje	Vlada je okrepila upravljanje reke.
滞留	obtičati	Potniki so zaradi močnega sneženja obtičali na letališču.
致辞	imeti govor	Ravnatelj je imel govor na slovesnosti.
致力	posvetiti se	Ekipa je posvečena tehnološkim inovacijam.
致使	povzročiti	Napake pri upravljanju so povzročile zamudo projekta.
中断	prekiniti	Močan dež je povzročil prekinitev komunikacije.
中立	nevtralen	Ta država ohranja nevtralno stališče.
中央	središče	Vodnjak je v središču trga.
忠诚	zvest	Zaposleni so zvesti podjetju.
忠实	zvest	Je zvest bralec tega časopisa.
终点	cilj	Cilj je tik pred nami.
终究	na koncu	Težava bo na koncu rešena.
终身	vse življenje	Odločil se je vse življenje delati v izobraževanju.
终止	prenehati veljati	Pogodba preneha veljati konec naslednjega meseca.
衷心	iskreno	Iskreno se ti zahvaljujem za pomoč.
种子	seme	Kmetje so posejali nova semena.
种族	rasa	Zakon prepoveduje rasno diskriminacijo.
肿瘤	tumor	Zdravnik je našel benigni tumor.
众所周知	kot je vsem znano	Kot je vsem znano, je voda pomembna.
种植	gojiti	Ta kraj je primeren za gojenje grozdja.
重心	težišče	Težišče dela se je premaknilo k storitvam.
周边	okolica	Promet v okolici šole je zgoščen.
周密	temeljit	Pripravili so temeljit načrt.
周年	obletnica	Podjetje je praznovalo deseto obletnico.
周期	cikel	Cikel posodabljanja izdelka se je skrajšal.
周折	zaplet	Pri urejanju postopkov je bilo veliko zapletov.
周转	denarni tok	Podjetje ima težave z denarnim tokom.
州	zvezna država	Živi v zvezni državi Kalifornija v Združenih državah.
粥	kaša	Bolnik je zjutraj jedel kašo.
舟	čoln	Majhen čoln se je počasi približal obali.
昼夜	dan in noč	Delavci so dan in noč popravljali cesto.
皱纹	guba	Babica ima na obrazu veliko gub.
株	rastlina	Na dvorišču so posadili tri drevesa.
诸位	vsi	Hvala vsem, da ste danes prišli.
逐年	iz leta v leto	Stroški poslovanja iz leta v leto naraščajo.
主办	gostiti	Šola je gostila umetniški festival.
主导	voditi	Tržno povpraševanje vodi oblikovanje izdelkov.
主管	nadzornik	Nadzornik je odgovoren za odobritev proračuna.
主流	glavni tok	Okoljske ideje so postale glavni tok.
主权	suverenost	Nacionalno suverenost je treba spoštovati.
主义	ideologija	Preučuje različne politične ideologije.
嘱咐	naročiti	Mati mu je večkrat naročila, naj prinese dežnik.
拄	opirati se	Starec hodi tako, da se opira na palico.
住宅	stanovanje	To območje je večinoma stanovanjsko.
助理	pomočnik	Pomočnik je uredil gradivo za sestanek.
助手	pomočnik	Robot je laboratorijski pomočnik.
注射	injekcija	Zdravnik je bolniku vbrizgal zdravilo.
注视	zreti	Zrla je v daljavo.
注释	opomba	Ob besedilu so podrobne opombe.
注重	poudarjati	Podjetje poudarja kakovost izdelkov.
著作	delo	To delo ima daljnosežen vpliv.
铸造	ulivati	Tovarna uliva velike dele.
驻扎	biti nameščen	Enote so nameščene na meji.
拽	vleči	Škatlo je privlekel v sobo.
专长	strokovno področje	Analiza podatkov je njeno strokovno področje.
专程	posebej zato	Posebej zato je odpotoval obiskat učitelja.
专利	patent	Podjetje je zaprosilo za nov patent.
专题	posebna tema	Televizijska postaja je predvajala posebno oddajo o varstvu okolja.
砖	opeka	Delavci so pripeljali voziček opek.
转达	posredovati	Prosimo, posreduj mojo zahvalo.
转让	prenesti	Odločil se je prenesti trgovino.
转移	premestiti	Medicinska sestra je premestila ranjence.
转折	preobrat	V zgodbi se je pojavil velik preobrat.
传记	biografija	Piše biografijo svojega očeta.
庄稼	pridelek	Dež je nahranil pridelke.
庄严	svečan	Slovesnost je imela svečano vzdušje.
庄重	dostojanstven	Nosil je dostojanstvena svečana oblačila.
装备	oprema	Ekipa je opremljena z napredno opremo.
装卸	nakladanje in razkladanje	Pristaniški delavci so odgovorni za nakladanje in razkladanje blaga.
壮观	spektakularen	Pokrajina s slapom je zelo spektakularna.
壮丽	veličasten	Tukaj so veličastne gore in reke.
壮烈	junaški	Junak je umrl junaško.
幢	klasifikator za stavbe	Na vogalu stoji stara hiša.
追悼	žalna slovesnost	Ljudje so se udeležili žalne slovesnosti.
追究	raziskati	Podjetje bo raziskalo odgovornost.
坠	pasti	Listi so padali z vej.
准则	merilo	Poštenost je merilo sodelovanja.
卓越	izjemen	Dosegla je izjemne dosežke.
琢磨	premišljevati	Vedno znova je premišljeval o tem problemu.
着手	začeti	Ekipa bo jutri začela preiskavo.
着想	upoštevati	Starši vedno upoštevajo potrebe svojih otrok.
着重	poudarjati	Poročilo poudarja analizo stroškov.
姿态	drža	Ohranila je skromno držo.
滋润	navlažiti	Pomladni dež je navlažil zemljo.
滋味	občutek	Občutek neuspeha je težko prenesti.
资本	kapital	Za začetek podjetja je potreben nekaj kapitala.
资产	premoženje	Premoženje podjetja nenehno raste.
资深	izkušen	Izkušen odvetnik je obravnaval ta primer.
资助	finančno podpreti	Fundacija finančno podpira revne študente.
子弹	krogla	Krogla je zadela zid.
自卑	počutiti se manjvrednega	Ne počuti se več manjvrednega.
自发	spontan	Prebivalci so spontano očistili ulico.
自力更生	samostojnost	Vaščani vztrajajo pri samostojnosti.
自满	samozadovoljen	Po uspehu ne smemo postati samozadovoljni.
自主	samostojen	Študenti morajo razviti sposobnost samostojnega učenja.
宗教	vera	Preučuje svetovne vere.
宗旨	namen	Namen organizacije je služiti skupnosti.
棕色	rjav	Kupila je rjave usnjene čevlje.
踪迹	sled	Policija je našla sledi osumljenca.
总而言之	skratka	Skratka, načrt je izvedljiv.
总和	vsota	Dobiček je razlika med vsoto prihodkov in stroški.
纵横	prepreden	Reke prepredajo ravnino.
走廊	hodnik	Otroci so se postavili v vrsto na hodniku.
走漏	uhajati	Novica ne sme uhajati.
走私	tihotapiti	Carina je zasegla tihotapljeno blago.
揍	pretepsti	Preteplo ga je več pijanih moških.
租赁	najeti	Podjetje je najelo novo pisarno.
足以	zadostovati	Ti dokazi zadostujejo za razlago težave.
祖父	dedek	Dedek rad pripoveduje stare zgodbe.
祖国	domovina	Globoko ljubi svojo domovino.
祖先	prednik	Častijo svoje prednike.
阻碍	ovirati	Pomanjkanje sredstev ovira napredek projekta.
阻拦	ustaviti	Varuh je ustavil tujce pri vstopu.
阻挠	namerno ovirati	Nekdo je namerno oviral preiskavo.
钻研	poglobljeno preučevati	Poglobljeno preučuje starodavno književnost.
钻石	diamant	V prstan je vdelan diamant.
嘴唇	ustnica	Hladen veter je razpokal ustnice.
罪犯	zločinec	Policija je aretirala pobeglega zločinca.
尊严	dostojanstvo	Vsak bi moral imeti dostojanstvo.
遵循	upoštevati	Zdravniki upoštevajo stroge standarde.
作弊	goljufati	Goljufanje na izpitih bo kaznovano.
作废	postati neveljaven	Stara vozovnica je že neveljavna.
作风	delovni slog	Delovni slog vodje je praktičen.
作息	urnik dela in počitka	Reden urnik dela in počitka koristi zdravju.
做主	odločiti	Ti odloči o tej zadevi.
座右铭	življenjsko vodilo	Njegovo življenjsko vodilo je nikoli ne obupati.
