simplified	MY	example_MY
控制	ထိန်းချုပ်သည်	ယာဉ်မောင်းက ကားအမြန်နှုန်းကို ထိန်းချုပ်နိုင်ခဲ့သည်။
空闲	အားလပ်ချိန်	မနက်ဖြန် မွန်းလွဲပိုင်းတွင် သင့်မှာ အားလပ်ချိန် ရှိလား။
口味	အရသာ; စားသောက်အကြိုက်	သူ၏ အစားအစာအကြိုက်က အတော်ပေါ့ပါးသည်။
夸	ချီးကျူးသည်	ဆရာက သူ၏ တိုးတက်မှု ကြီးမားကြောင်း ချီးကျူးခဲ့သည်။
夸张	လွန်ကဲသော; ချဲ့ကားသည်	သူ၏ မျက်နှာအမူအရာက နည်းနည်းလွန်ကဲသည်။
会计	စာရင်းကိုင်	သူမသည် ကုမ္ပဏီတွင် စာရင်းကိုင်အဖြစ် အလုပ်လုပ်သည်။
宽	ကျယ်သော	ဒီလမ်းက အလွန်ကျယ်သည်။
昆虫	အင်းဆက်	ကလေးများသည် အင်းဆက်များကို စောင့်ကြည့်နေကြသည်။
扩大	ချဲ့ထွင်သည်	ကျောင်းက စာကြည့်တိုက်ကို ချဲ့ထွင်ရန် စီစဉ်ထားသည်။
辣椒	ငရုတ်သီး	ဟင်းထဲတွင် ငရုတ်သီးများစွာ ထည့်ထားသည်။
拦	တားဆီးသည်	ရဲက ကားတစ်စီးကို တားခဲ့သည်။
烂	ပုပ်သွားသော; ပျက်စီးသော	ဒီပန်းသီး ပုပ်သွားပြီ။
朗读	အသံထွက်ဖတ်သည်	ကျေးဇူးပြု၍ စာပိုဒ်ကို အသံကျယ်ကျယ် ဖတ်ပါ။
劳动	အလုပ်လုပ်ခြင်း; အလုပ်အား	အလုပ်လုပ်ခြင်းက လူကို ပြည့်ဝမှုခံစားစေသည်။
劳驾	တစ်ဆိတ်လောက်	တစ်ဆိတ်လောက်၊ မြေအောက်ရထားဘူတာ ဘယ်မှာလဲ။
姥姥	မိခင်ဘက်အဖွား	ကျွန်တော့် မိခင်ဘက်အဖွားက ဟင်းချက်ကောင်းသည်။
老百姓	သာမန်ပြည်သူ	သာမန်ပြည်သူများသည် နေထိုင်မှုစရိတ်ကို စိုးရိမ်ကြသည်။
老板	သူဌေး; အလုပ်ရှင်	သူဌေး ယနေ့ ရုံးမှာ မရှိပါ။
老婆	ဇနီး	သူ ဇနီးအတွက် ပန်းများ ဝယ်ခဲ့သည်။
老实	ရိုးသားသော	သူသည် ရိုးသားသောလူတစ်ဦး ဖြစ်သည်။
老鼠	ကြွက်	မီးဖိုချောင်ထဲတွင် ကြွက်တစ်ကောင် ရှိသည်။
乐观	အကောင်းမြင်သော	သူမသည် အနာဂတ်အပေါ် အကောင်းမြင်သည်။
雷	မိုးကြိုး	မနေ့ညက မိုးကြိုးသံ အလွန်ကျယ်သည်။
类型	အမျိုးအစား	ဒီလိုရုပ်ရှင်က ဘယ်အမျိုးအစားထဲ ပါသလဲ။
冷淡	အေးစက်သော; စိတ်မဝင်စားသော	သူ၏ သဘောထားက နည်းနည်းအေးစက်သည်။
厘米	စင်တီမီတာ	ဒီဘောပင်သည် ဆယ့်ငါးစင်တီမီတာ ရှည်သည်။
梨	သစ်တော်သီး	ကျွန်တော် သစ်တော်သီးအချို့ ဝယ်ခဲ့သည်။
离婚	ကွာရှင်းသည်	သူတို့ မနှစ်က ကွာရှင်းခဲ့ကြသည်။
理论	သီအိုရီ	ဒီသီအိုရီက အလွန်ရှုပ်ထွေးသည်။
理由	အကြောင်းပြချက်	နောက်ကျရတဲ့ အကြောင်းပြချက် ဘာရှိလဲ။
利润	အမြတ်အစွန်း	ယခုနှစ် ကုမ္ပဏီ၏ အမြတ်အစွန်း တိုးလာသည်။
利息	အတိုး	ဘဏ်အတိုး မမြင့်ပါ။
利益	အကျိုးစီးပွား	ကျွန်ုပ်တို့ လူတိုင်း၏ အကျိုးစီးပွားကို ကာကွယ်ရမည်။
利用	အသုံးချသည်	သူ စနေ၊ တနင်္ဂနွေကို တရုတ်စာသင်ရန် အသုံးချသည်။
力量	အား; စွမ်းအား	စည်းလုံးခြင်းသည် စွမ်းအားဖြစ်သည်။
立即	ချက်ချင်း	ကျေးဇူးပြု၍ ဒီနေရာမှ ချက်ချင်း ထွက်ခွာပါ။
立刻	ချက်ချင်း	သတင်းကြားပြီးနောက် သူ ချက်ချင်း ထွက်ခွာခဲ့သည်။
联合	ပူးပေါင်းသည်	ကုမ္ပဏီနှစ်ခုသည် ထုတ်ကုန်ကို ပူးပေါင်းဖော်ဆောင်ခဲ့ကြသည်။
连忙	အမြန်ပင်; ချက်ချင်း	ဖုန်းမြည်သံ ကြားတော့ သူ ချက်ချင်း ကိုင်လိုက်သည်။
连续	ဆက်တိုက်	သူ ဆယ်နာရီ ဆက်တိုက် အလုပ်လုပ်ခဲ့သည်။
恋爱	ချစ်ကြိုက်နေသည်	သူတို့ ချစ်ကြိုက်နေကြသည်။
粮食	စပါးသီးနှံ; အစားအစာကောက်ပဲသီးနှံ	ယခုနှစ် စပါးသီးနှံထွက်နှုန်း တိုးလာသည်။
良好	ကောင်းမွန်သော	သူတွင် ကောင်းမွန်သော သင်ယူမှုအလေ့အထ ရှိသည်။
亮	တောက်ပသော	အခန်းထဲရှိ မီးက အလွန်တောက်ပသည်။
了不起	ထူးချွန်လှသော	သူမ ထူးချွန်လှသော ရလဒ်များ ရရှိခဲ့သည်။
列车	ရထား	ရထား မကြာမီ ထွက်တော့မည်။
临时	ယာယီ; ခဏတာ	ဒါက ယာယီဆုံးဖြတ်ချက်တစ်ခု ဖြစ်သည်။
灵活	ပြောင်းလွယ်ပြင်လွယ်သော	သင်ယူနည်းများသည် ပြောင်းလွယ်ပြင်လွယ် ဖြစ်သင့်သည်။
铃	ခေါင်းလောင်း	အတန်းခေါင်းလောင်း မြည်သွားသည်။
零件	အစိတ်အပိုင်း	စက်တွင် အစိတ်အပိုင်းတစ်ခု လျော့နေသည်။
零食	မုန့်ပဲသရေစာ	ကလေးများသည် မုန့်ပဲသရေစာ စားရတာ ကြိုက်ကြသည်။
领导	ခေါင်းဆောင်; ဦးဆောင်သည်	ခေါင်းဆောင်သည် အစည်းအဝေးလုပ်နေသည်။
领域	နယ်ပယ်	သူမသည် ပညာရေးနယ်ပယ်တွင် အလုပ်လုပ်သည်။
流传	လက်ဆင့်ကမ်းပျံ့နှံ့သည်	ဒီပုံပြင်သည် အချိန်ကြာကြာ လက်ဆင့်ကမ်းလာခဲ့သည်။
流泪	မျက်ရည်ကျသည်	ဒီသတင်းကို ကြားပြီးနောက် သူမ မျက်ရည်ကျခဲ့သည်။
浏览	လျှောက်ကြည့်သည်; အမြန်ဖတ်သည်	ကျွန်တော် ဝက်ဘ်စာမျက်နှာကို အရင်လျှောက်ကြည့်မည်။
龙	နဂါး	တရုတ်ယဉ်ကျေးမှုထဲတွင် နဂါး ရှိသည်။
漏	ယိုသည်; ကျန်ခဲ့သည်	အိမ်မိုးက မိုးရေယိုနေသည်။
录取	လက်ခံရွေးချယ်သည်	သူ တက္ကသိုလ်က လက်ခံရွေးချယ်ခံခဲ့ရသည်။
