simplified	ES-419	example_ES-419
抗议	protestar; protesta	Los residentes protestaron contra la construcción de una nueva fábrica.
考察	inspeccionar; investigar sobre el terreno	Los expertos fueron al lugar para inspeccionar el entorno.
考古	arqueología	El equipo arqueológico descubrió tumbas antiguas.
考核	evaluar; examinar	La empresa evalúa cada año el desempeño de los empleados.
考验	poner a prueba	Esta crisis puso a prueba la capacidad del equipo.
靠拢	acercarse; juntarse	Los miembros del equipo se acercaron hacia el centro.
磕	golpearse; chocar	Se golpeó accidentalmente con la esquina de la mesa.
科目	asignatura	Las matemáticas son su asignatura favorita.
可观	notable; considerable	Esta inversión generó rendimientos considerables.
可口	sabroso; apetitoso	La comida de este restaurante es sabrosa.
可恶	odioso; detestable	Este tipo de engaño es realmente detestable.
可行	factible; viable	Este plan es básicamente viable.
渴望	anhelar; desear intensamente	Los niños anhelan más oportunidades.
克制	contener; controlar	Hay que controlar las emociones durante una discusión.
刻不容缓	no admitir demora	Proteger las fuentes de agua no admite demora.
客户	cliente	El cliente está muy satisfecho con el servicio.
课题	tema; cuestión	Este tema merece una investigación profunda.
啃	roer; mordisquear	El niño está mordisqueando una mazorca de maíz.
恳切	sincero; ferviente	Él pidió sinceramente ayuda a todos.
坑	hoyo; foso	Hay un hoyo profundo junto al camino.
空洞	vacío; hueco	Este informe está vacío de contenido.
空前绝后	sin precedentes e irrepetible	Esta actuación puede considerarse sin precedentes e irrepetible.
空想	fantasía; soñar despierto	Depender solo de fantasías no puede resolver el problema.
空虚	vacío; vaciedad	Después de tanta actividad, se sintió vacío.
孔	agujero; abertura	Hay un pequeño agujero en la pared.
恐怖	aterrador; terror	La atmósfera de esa película era muy aterradora.
恐吓	amenazar; intimidar	La otra parte usó amenazas para intimidar al testigo.
恐惧	miedo; temor	La oscuridad hizo que el niño sintiera miedo.
空白	espacio en blanco	Por favor, firma en el espacio en blanco.
空隙	hueco; espacio	Hay un hueco entre la puerta y el suelo.
口气	tono; forma de hablar	Su tono al hablar era muy duro.
口腔	cavidad oral	El médico examinó su cavidad oral.
口头	oral; de palabra	Ellos solo tienen un acuerdo verbal.
口音	acento	Su mandarín tiene un ligero acento.
扣	abrochar; sujetar	Por favor, abróchate el cinturón de seguridad.
哭泣	llorar	La niña se escondió en un rincón y lloró.
枯萎	marchitarse	La falta de agua hizo que las flores se marchitaran.
枯燥	aburrido; monótono	Este trabajo es un poco monótono.
苦尽甘来	después de la amargura viene la dulzura	Después de años de perseverancia, por fin llegó la recompensa.
苦涩	amargo y áspero	Este té medicinal sabe amargo y áspero.
挎	llevar colgado del brazo	Ella salió con una bolsa de tela colgada del brazo.
跨	cruzar; pasar por encima	Él cruzó la zanja y siguió caminando.
快活	feliz; alegre	Los niños jugaron felices en el pasto.
宽敞	espacioso; amplio	Esta aula es luminosa y espaciosa.
宽容	tolerancia; tolerante	La sociedad necesita más comprensión y tolerancia.
款待	recibir cordialmente; agasajar	El anfitrión recibió cordialmente a los invitados.
款式	estilo; diseño	Esta prenda tiene un estilo muy novedoso.
筐	cesta	Él volvió a casa cargando una cesta de manzanas.
况且	además; por otra parte	El camino es largo y, además, está anocheciendo.
旷课	faltar a clase; saltarse clases	Los estudiantes que falten a clase sin motivo serán registrados.
框架	marco; estructura	El informe necesita definir primero su estructura.
矿产	recursos minerales	Esta región es rica en recursos minerales.
亏待	tratar injustamente	La empresa no tratará injustamente a los empleados que trabajan seriamente.
亏损	pérdida; déficit	La fábrica sufrió pérdidas graves este año.
捆绑	atar; amarrar	Por favor, ata bien estas cajas.
扩充	ampliar; expandir	La escuela planea ampliar la colección de la biblioteca.
扩散	difundirse; propagarse	El rumor se difundió rápidamente por internet.
扩张	expansión; expandirse	La empresa está expandiendo el negocio con cautela.
啦	partícula final	No te preocupes, todo mejorará.
喇叭	bocina; altavoz	La bocina del auto sonó de repente.
蜡烛	vela	Había velas colocadas sobre el pastel de cumpleaños.
来历	origen; procedencia	El origen de esta reliquia cultural no está claro.
来源	fuente; origen	Las noticias deben indicar la fuente de la información.
栏目	columna; sección	Esta sección se emite una vez por semana.
懒惰	pereza; perezoso	La pereza puede afectar los resultados del aprendizaje.
狼狈	en apuros; en mal estado	Después de la lluvia, estaba empapado y se veía muy miserable.
狼吞虎咽	comer vorazmente	Estaba muerto de hambre y comió vorazmente.
捞	sacar del agua	El pescador sacó una red del río.
唠叨	regañar; insistir	Mamá siempre insiste por cosas pequeñas.
牢固	firme; sólido	La estructura de este puente es muy sólida.
牢骚	queja; descontento	Él está lleno de quejas, pero no quiere cambiar.
乐趣	placer; diversión	Leer le trae mucho placer.
乐意	estar dispuesto; con gusto	Estoy dispuesto a ayudarte a revisar tu currículum.
雷达	radar	El radar detectó un avión a lo lejos.
类似	similar	Problemas similares han ocurrido antes.
冷酷	frío; insensible	Su tono sonaba muy frío.
冷落	descuidar; tratar con frialdad	El nuevo empleado sintió que lo habían descuidado.
冷却	enfriarse; enfriar	La máquina necesita enfriarse antes de la reparación.
愣	quedarse atónito	Al oír la noticia, se quedó atónito.
黎明	amanecer	Al amanecer, la ciudad se despertó poco a poco.
理睬	hacer caso; prestar atención	Estaba enfadado y no hizo caso a nadie.
理所当然	dar por sentado	No des por sentada la ayuda de otras personas.
理直气壮	con plena confianza por tener razón	Con pruebas suficientes, habló con plena confianza.
理智	razón; racionalidad	Hay que mantenerse racional ante un conflicto.
礼节	etiqueta; cortesía	Distintas culturas tienen distintas normas de cortesía.
礼尚往来	corresponder la cortesía	Entre vecinos se valora corresponder la cortesía.
里程碑	hito	Este éxito es un hito para el proyecto.
例外	excepción	Todos deben participar, sin excepción.
利害	pros y contras; intereses	Esto involucra los intereses de ambas partes.
力求	esforzarse por	Nos esforzamos por reducir los errores al mínimo.
力所能及	dentro de las propias posibilidades	Por favor, haz algo que esté dentro de tus posibilidades.
力争	esforzarse por; luchar por	El equipo se esfuerza por completar la tarea antes de lo previsto.
历代	generaciones pasadas; dinastías sucesivas	Académicos de generaciones pasadas han estudiado este problema.
历来	siempre; desde siempre	Esta ciudad siempre ha valorado la educación.
立场	postura; posición	Él expresó su postura en la reunión.
立方	cúbico	Este tanque de agua tiene una capacidad de tres metros cúbicos.
立交桥	paso elevado; puente vial	Este paso elevado alivió la congestión del tráfico.
立体	tridimensional	Esta pintura tiene un fuerte efecto tridimensional.
立足	establecerse; apoyarse	Las empresas deben apoyarse en el mercado local.
粒	grano; partícula	Hay algunos granos de arroz sobre la mesa.
廉洁	honrado; íntegro	Los funcionarios públicos deben mantenerse honrados e íntegros.
联欢	reunión festiva; celebración conjunta	Los compañeros celebraron una fiesta de Año Nuevo.
联络	contactar; ponerse en contacto	Por favor, contacta al cliente cuanto antes.
联盟	alianza; coalición	Varios países formaron una alianza comercial.
联想	asociar; recordar	Esta foto me recuerda mi infancia.
连年	durante años consecutivos	Esta región ha sufrido inundaciones durante años consecutivos.
连锁	cadena	Esta empresa opera supermercados en cadena.
连同	junto con	Por favor, envía la factura junto con el contrato.
良心	conciencia	Uno debe vivir sin traicionar su conciencia.
晾	secar al aire	Ella colgó la ropa para secarla en el balcón.
谅解	comprensión	Espero que puedas comprender nuestras dificultades.
辽阔	vasto; extenso	La pradera es vasta y se extiende más allá de la vista.
列举	enumerar; listar	El profesor enumeró tres ejemplos.
临床	clínico	Este medicamento está en ensayos clínicos.
淋	empaparse; mojarse	No te empapes bajo la lluvia durante demasiado tiempo.
吝啬	tacaño; mezquino	Él nunca es tacaño con sus amigos.
伶俐	listo; despierto	Esta niña es lista y despierta.
凌晨	madrugada	El avión despega a las tres de la madrugada.
灵感	inspiración	La música le dio inspiración creativa.
灵魂	alma; espíritu	La libertad es el alma de esta obra.
灵敏	sensible; ágil	Este instrumento responde con mucha sensibilidad.
零星	disperso; esporádico	En el cielo nocturno había luces dispersas.
领会	entender; captar	Él captó rápidamente lo que quería decir el profesor.
领事馆	consulado	Fue al consulado para tramitar la visa.
领土	territorio	Todos los países valoran la integridad territorial.
领悟	comprender; darse cuenta	Después de experimentar el fracaso, comprendió la responsabilidad.
领先	ir por delante; liderar	Su tecnología va actualmente por delante de la competencia.
领袖	líder	Este líder es profundamente respetado por el pueblo.
溜	escaparse; deslizarse	El cachorro se escapó por la rendija de la puerta.
流浪	vagar; andar errante	De joven, vagó de un lugar a otro.
流露	revelar; mostrar	La alegría se le notaba en la cara.
流氓	matón; delincuente	La policía atrapó a varios matones callejeros.
流通	circular	Esta moneda circuló una vez en la zona local.
留恋	sentirse apegado; no querer irse	Al graduarse, todos se sentían apegados al campus.
留念	guardar como recuerdo	Nos tomamos fotos en la puerta de la escuela como recuerdo.
留神	prestar atención; tener cuidado	Hay que prestar atención al cruzar la calle.
聋哑	sordomudo	La escuela ofrece ayuda a niños sordomudos.
隆重	solemne; grandioso	La conferencia se celebró solemnemente en el auditorio.
垄断	monopolizar; monopolio	El monopolio puede perjudicar la competencia del mercado.
笼罩	cubrir; envolver	Una densa niebla cubría todo el pueblo.
搂	abrazar; rodear con los brazos	La madre abrazó suavemente al niño.
炉灶	cocina; fogón	La cocina de la casa necesita limpieza.
轮船	barco; vapor	El barco salió lentamente del puerto.
轮廓	contorno; silueta	El contorno de las montañas lejanas era muy claro.
轮胎	neumático	Los neumáticos del auto necesitan cambiarse.
论坛	foro	Los expertos dieron discursos en el foro.
论证	argumentar; demostrar	El informe necesita fundamentar mejor su argumento.
啰唆	ser prolijo; hablar de más	No hables de más y ve directo al punto.
络绎不绝	en flujo continuo	Los visitantes llegaron a la ciudad antigua en flujo continuo.
落成	completarse una obra	El nuevo gimnasio se inaugurará oficialmente mañana.
落实	implementar; llevar a la práctica	La reunión exigió implementar cuanto antes la nueva política.
屡次	repetidamente; una y otra vez	Él recordó repetidamente a todos que prestaran atención a la seguridad.
履行	cumplir; ejecutar	Ambas partes deben cumplir las obligaciones del contrato.
掠夺	saquear; expoliar	La guerra provocó el saqueo de recursos.
嘛	partícula modal	No te preocupes, este asunto es sencillo.
麻痹	parálisis; descuido	Un largo periodo sin problemas puede hacer que la gente se descuide.
麻木	entumecido; insensible	El frío le dejó los dedos entumecidos.
麻醉	anestesia; anestesiar	Antes de la operación, el médico anestesió al paciente.
码头	muelle; embarcadero	El carguero atracó junto al muelle.
蚂蚁	hormiga	Las hormigas están transportando comida.
埋伏	emboscada	Los soldados estaban emboscados en el valle.
埋没	enterrar; dejar pasar desapercibido	No dejes que el talento pase desapercibido.
埋葬	enterrar	Los aldeanos enterraron al anciano en la ladera.
脉搏	pulso	La enfermera le está midiendo el pulso.
迈	dar un paso	Él avanzó con grandes pasos hacia la puerta.
