simplified	PL	example_PL	NL	example_NL	SV	example_SV	NO	example_NO
祝贺	gratulować; gratulacje	Gratuluję wam dobrych wyników.	feliciteren; de felicitaties	Gefeliciteerd met jullie goede resultaten.	gratulera; gratulationer	Grattis till era goda resultat.	gratulere; gratulasjoner	Gratulerer med gode resultater.
著名	sławny; znany	On jest znanym aktorem.	beroemd; bekend	Hij is een beroemde acteur.	berömd; känd	Han är en berömd skådespelare.	kjent; berømt	Han er en kjent skuespiller.
专门	specjalnie; wyspecjalizowany	Przyszedłem specjalnie, żeby cię zobaczyć.	speciaal; gespecialiseerd	Ik ben speciaal gekomen om je te zien.	speciellt; specialiserad	Jag kom speciellt för att träffa dig.	spesielt; spesialisert	Jeg kom spesielt for å se deg.
专业	kierunek studiów; specjalizacja	Studiuję prawo na uniwersytecie.	de studierichting; het vakgebied	Ik studeer rechten aan de universiteit.	ett huvudämne; ett fackområde	Jag studerar juridik på universitetet.	et fagområde; en studieretning	Jeg studerer jus ved universitetet.
转	skręcić; obrócić; zmienić kierunek	Na pierwszym skrzyżowaniu przed tobą skręć w lewo, a zobaczysz szpital.	draaien; afslaan; veranderen van richting	Sla linksaf bij de eerste kruising verderop, dan zie je het ziekenhuis.	svänga; vända; byta riktning	Sväng vänster vid första korsningen framför dig, så ser du sjukhuset.	svinge; snu; endre retning	Sving til venstre i første veikryss foran deg, så ser du sykehuset.
赚	zarobić; osiągnąć zysk	On zarobił niemało pieniędzy na biznesie.	verdienen; winst maken	Hij heeft veel geld verdiend met zaken doen.	tjäna; göra vinst	Han tjänade ganska mycket pengar på affärer.	tjene; gå med overskudd	Han tjente ganske mye penger på forretninger.
准确	dokładny; trafny	Twoja odpowiedź jest bardzo dokładna.	nauwkeurig; precies	Je antwoord is heel nauwkeurig.	exakt; noggrann	Ditt svar är mycket exakt.	nøyaktig; presis	Svaret ditt er veldig nøyaktig.
准时	punktualnie; na czas	Spotkanie zaczęło się punktualnie.	op tijd; stipt	De vergadering begon op tijd.	i tid; punktlig	Mötet började i tid.	presis; i tide	Møtet begynte presis.
仔细	dokładny; uważny	Ona robi wszystko bardzo starannie.	zorgvuldig; aandachtig	Zij doet dingen heel zorgvuldig.	noggrann; uppmärksam	Hon gör saker mycket noggrant.	nøye; oppmerksom	Hun gjør ting veldig nøye.
自然	natura; naturalny	Musimy chronić środowisko naturalne.	de natuur; natuurlijk	We moeten de natuurlijke omgeving beschermen.	natur; naturlig	Vi behöver skydda den naturliga miljön.	natur; naturlig	Vi må beskytte det naturlige miljøet.
自信	pewność siebie; pewny siebie	On jest bardzo pewny siebie i lubi rywalizować z innymi.	het zelfvertrouwen; zelfverzekerd	Hij is erg zelfverzekerd en concurreert graag met anderen.	självförtroende; självsäker	Han är mycket självsäker och tycker om att tävla med andra.	selvtillit; selvsikker	Han er veldig selvsikker og liker å konkurrere med andre.
总结	podsumować; podsumowanie	Proszę podsumować dla nas swoje doświadczenia związane z sukcesem.	samenvatten; de samenvatting	Vat alstublieft uw succesvolle ervaringen voor ons samen.	sammanfatta; en sammanfattning	Sammanfatta era framgångsrika erfarenheter för oss.	oppsummere; en oppsummering	Vennligst oppsummer deres vellykkede erfaringer for oss.
租	wynająć; wynajmować	Wynająłem mieszkanie niedaleko firmy.	huren; verhuren	Ik heb een woning gehuurd in de buurt van het bedrijf.	hyra; hyra ut	Jag hyrde en bostad nära företaget.	leie; leie ut	Jeg leide en bolig i nærheten av selskapet.
最好	najlepszy; najlepiej	Ona jest moją najlepszą przyjaciółką.	het best; beter	Zij is mijn beste vriendin.	bäst; helst	Hon är min bästa vän.	best; helst	Hun er min beste venn.
尊重	szanować; szacunek	Uczciwi ludzie zasługują na nasz szacunek.	respecteren; het respect	Eerlijke mensen verdienen ons respect.	respektera; respekt	Ärliga människor förtjänar vår respekt.	respektere; respekt	Ærlige mennesker fortjener vår respekt.
左右	około; lewo i prawo	On wygląda na około czterdzieści lat.	ongeveer; links en rechts	Hij ziet eruit alsof hij ongeveer veertig is.	ungefär; vänster och höger	Han ser ut att vara omkring fyrtio år.	omtrent; venstre og høyre	Han ser ut til å være rundt førti år.
作家	pisarz; pisarka	Czy czytałeś powieści tego pisarza?	de schrijver; de auteur	Heb je de romans van deze schrijver gelezen?	en författare	Har du läst den här författarens romaner?	en forfatter	Har du lest romanene til denne forfatteren?
作用	efekt; funkcja; rola	Ten lek na przeziębienie prawie na mnie nie działa.	het effect; de functie	Dit verkoudheidsmedicijn heeft nauwelijks effect op mij.	en effekt; en funktion	Den här förkylningsmedicinen har nästan ingen effekt på mig.	en effekt; en funksjon	Denne forkjølelsesmedisinen har nesten ingen effekt på meg.
作者	autor; pisarz	Autor tej książki jest bardzo znany.	de auteur; de schrijver	De auteur van dit boek is erg beroemd.	en författare	Författaren till den här boken är mycket känd.	en forfatter	Forfatteren av denne boken er veldig kjent.
座	liczebnik klasyfikujący dla budynków, gór i mostów; miejsce siedzące	Nad rzeką jest mały most.	het telwoord voor gebouwen, bergen en bruggen; de zitplaats	Er is een kleine brug over de rivier.	ett räkneord för byggnader, berg och broar; en sittplats	Det finns en liten bro över floden.	et telleord for bygninger, fjell og broer; et sete	Det er en liten bro over elven.
座位	miejsce siedzące	Ustąpił miejsca starszej osobie.	de zitplaats	Hij stond zijn zitplaats af aan een oudere persoon.	en sittplats	Han lämnade sin sittplats till en äldre person.	et sete	Han ga setet sitt til en eldre person.
