simplified	ML	example_ML
机械	യന്ത്രം	ഫാക്ടറിയിൽ പുതിയ യന്ത്രം സ്ഥാപിച്ചു.
机遇	അവസരം	ഈ മാറ്റം കമ്പനിക്ക് പുതിയ അവസരം നൽകി.
机智	സമയോചിതബുദ്ധിയുള്ള	അവൻ സമയോചിതബുദ്ധിയോടെ അപകടം ഒഴിവാക്കി.
激发	ഉണർത്തുക	അധ്യാപകന്റെ വാക്കുകൾ വിദ്യാർത്ഥികളുടെ താൽപര്യം ഉണർത്തി.
激励	പ്രോത്സാഹിപ്പിക്കുക	വിജയം അവനെ കൂടുതൽ പരിശ്രമിക്കാൻ പ്രോത്സാഹിപ്പിച്ചു.
激情	ആവേശം	അവന്റെ പ്രസംഗം ആവേശം നിറഞ്ഞതായിരുന്നു.
讥笑	പരിഹസിക്കുക	മറ്റുള്ളവരുടെ പിഴവിനെ പരിഹസിക്കരുത്.
饥饿	വിശപ്പ്	ദീർഘയാത്രയ്ക്ക് ശേഷം എല്ലാവർക്കും വിശപ്പ് തോന്നി.
即便	എങ്കിലും	കഷ്ടമായാലും അവൻ പദ്ധതി ഉപേക്ഷിക്കില്ല.
即将	ഉടൻ	ട്രെയിൻ ഉടൻ പുറപ്പെടും.
及早	എത്രയും വേഗം	പ്രശ്നം കണ്ടെത്തിയാൽ എത്രയും വേഗം പരിഹരിക്കണം.
吉祥	ശുഭമായ	ചുവപ്പ് നിറം ഇവിടെ ശുഭമായതെന്നു കരുതുന്നു.
嫉妒	അസൂയപ്പെടുക	മറ്റുള്ളവരുടെ വിജയത്തിൽ അസൂയപ്പെടേണ്ടതില്ല.
急功近利	വേഗം ലാഭം തേടുന്ന	വേഗം ലാഭം തേടുന്ന മനോഭാവം ദീർഘകാല വികസനത്തിന് ദോഷകരമാണ്.
急剧	വേഗത്തിൽ	താപനില വേഗത്തിൽ കുറഞ്ഞു.
急切	ആകാംക്ഷയുള്ള	അവൾ മറുപടി അറിയാൻ ആകാംക്ഷയോടെ കാത്തിരുന്നു.
急于求成	വേഗം ഫലം വേണമെന്ന് ആവേശപ്പെടുക	പഠനത്തിൽ വേഗം ഫലം വേണമെന്ന് ആവേശപ്പെടരുത്.
急躁	അവസരപ്പെടുന്ന	അവൻ അവസരപ്പെടുന്ന സ്വഭാവം കാരണം പലപ്പോഴും തെറ്റുകൾ ചെയ്യും.
极端	അത്യന്തമായ	അത്യന്തമായ അഭിപ്രായങ്ങൾ പ്രശ്നം പരിഹരിക്കില്ല.
极限	പരിധി	കായികതാരം തന്റെ ശരീരത്തിന്റെ പരിധിയെ വെല്ലുവിളിച്ചു.
疾病	രോഗം	ഈ രോഗം സമയത്ത് ചികിത്സിക്കണം.
籍贯	പൂർവ്വികരുടെ സ്വദേശം	ഫോമിൽ പൂർവ്വികരുടെ സ്വദേശം എഴുതണം.
级别	നില	ഈ മത്സരത്തിന്റെ നില വളരെ ഉയർന്നതാണ്.
集团	സംഘം	ഈ വ്യാപാര സംഘം പല രാജ്യങ്ങളിലും പ്രവർത്തിക്കുന്നു.
给予	നൽകുക	സമൂഹം കുട്ടികൾക്ക് കൂടുതൽ സംരക്ഷണം നൽകണം.
季军	മൂന്നാം സ്ഥാനം നേടിയവൻ	അവൻ ഓട്ടപ്പന്തയത്തിൽ മൂന്നാം സ്ഥാനം നേടി.
季度	ത്രൈമാസം	ഈ ത്രൈമാസത്തിലെ വിൽപ്പന വർധിച്ചു.
寂静	നിശ്ശബ്ദമായ	രാത്രിയിൽ കാട് നിശ്ശബ്ദമായിരുന്നു.
寄托	നിക്ഷേപിക്കുക	മാതാപിതാക്കൾ കുട്ടികളിൽ വലിയ പ്രതീക്ഷ നിക്ഷേപിക്കുന്നു.
忌讳	നിഷിദ്ധം	ഈ സംസ്കാരത്തിൽ ചില വിഷയങ്ങൾ പറയുന്നത് നിഷിദ്ധമാണ്.
技巧	സാങ്കേതികത	ഈ ജോലി ചെയ്യാൻ പ്രത്യേക സാങ്കേതികത വേണം.
纪要	യോഗസംഗ്രഹം	സെക്രട്ടറി യോഗസംഗ്രഹം തയ്യാറാക്കി.
继承	പാരമ്പര്യം തുടരുക	യുവതലമുറ നല്ല പാരമ്പര്യം തുടരേണ്ടതാണ്.
计较	കണക്കുകൂട്ടി തർക്കിക്കുക	ഇത്തരം ചെറിയ കാര്യത്തിൽ കണക്കുകൂട്ടി തർക്കിക്കേണ്ട.
记性	ഓർമ്മശക്തി	അവന്റെ ഓർമ്മശക്തി വളരെ നല്ലതാണ്.
记载	രേഖപ്പെടുത്തുക	ഈ സംഭവം ചരിത്രപുസ്തകത്തിൽ രേഖപ്പെടുത്തിയിട്ടുണ്ട്.
迹象	ലക്ഷണം	വിപണിയിൽ മെച്ചപ്പെടലിന്റെ ലക്ഷണങ്ങൾ കാണുന്നു.
佳肴	രുചികരമായ വിഭവം	വിരുന്നിൽ പല രുചികരമായ വിഭവങ്ങളും ഉണ്ടായിരുന്നു.
加工	സംസ്കരിക്കുക	ഫാക്ടറി കച്ചവസ്തുക്കൾ ഉൽപ്പന്നങ്ങളാക്കി സംസ്കരിക്കുന്നു.
加剧	തീവ്രമാക്കുക	തുടർച്ചയായ മഴ വെള്ളപ്പൊക്കം തീവ്രമാക്കി.
夹杂	കലർന്നിരിക്കുക	അവന്റെ ശബ്ദത്തിൽ കോപവും ആശങ്കയും കലർന്നിരുന്നു.
家常	വീട്ടുസാധാരണ	അമ്മ വീട്ടുസാധാരണ വിഭവങ്ങൾ പാചകം ചെയ്തു.
家伙	ആൾ	ആ ആൾ കാണുന്നതിൽ വളരെ ശാന്തനാണ്.
家属	കുടുംബാംഗം	രോഗിയുടെ കുടുംബാംഗങ്ങൾ പുറത്തു കാത്തിരിക്കുന്നു.
家喻户晓	എല്ലാവർക്കും അറിയാവുന്ന	ഈ ഗാനം എല്ലാവർക്കും അറിയാവുന്നതാണ്.
坚定	ദൃഢമായ	അവന്റെ നിലപാട് വളരെ ദൃഢമാണ്.
坚固	ഉറച്ച	ഈ പാലം വളരെ ഉറച്ചതാണ്.
坚韧	ദൃഢസഹനശക്തിയുള്ള	അവൾ ദൃഢസഹനശക്തിയോടെ ബുദ്ധിമുട്ടുകൾ മറികടന്നു.
坚实	ദൃഢമായ	നല്ല വിദ്യാഭ്യാസം ജീവിതത്തിന് ദൃഢമായ അടിസ്ഥാനം നൽകുന്നു.
坚硬	കഠിനമായ	ഈ കല്ല് വളരെ കഠിനമാണ്.
尖端	അത്യാധുനിക	കമ്പനി അത്യാധുനിക സാങ്കേതികവിദ്യ വികസിപ്പിക്കുന്നു.
尖锐	മൂർച്ചയുള്ള	അവൻ വളരെ മൂർച്ചയുള്ള ചോദ്യം ചോദിച്ചു.
煎	വറുക്കുക	അവൾ മുട്ട പാനിൽ വറുക്കുന്നു.
监督	മേൽനോട്ടം വഹിക്കുക	മാനേജർ നിർമ്മാണപ്രക്രിയയ്ക്ക് മേൽനോട്ടം വഹിക്കുന്നു.
监视	നിരീക്ഷിക്കുക	സുരക്ഷാ ക്യാമറ പ്രവേശനം നിരീക്ഷിക്കുന്നു.
监狱	ജയിൽ	അവനെ പത്ത് വർഷം ജയിലിൽ അടച്ചു.
艰难	കഠിനമായ	അവർ കഠിനമായ കാലഘട്ടം കടന്നു.
剪彩	റിബൺ മുറിച്ച് ഉദ്ഘാടനം ചെയ്യുക	മേയർ പുതിയ പാലം റിബൺ മുറിച്ച് ഉദ്ഘാടനം ചെയ്തു.
拣	തിരഞ്ഞെടുക്കുക	അവൾ വിപണിയിൽ നല്ല പഴങ്ങൾ തിരഞ്ഞെടുക്കുന്നു.
检讨	പരിശോധിച്ച് സ്വയംവിമർശിക്കുക	പരാജയത്തിന് ശേഷം ടീം പിഴവുകൾ പരിശോധിച്ച് സ്വയംവിമർശിച്ചു.
检验	പരിശോധിക്കുക	ഈ മരുന്നിന്റെ സുരക്ഷ പരിശോധിക്കണം.
简化	ലളിതമാക്കുക	പ്രക്രിയ ലളിതമാക്കിയതോടെ സമയം ലാഭിച്ചു.
简陋	ലളിതവും അപര്യാപ്തവുമായ	അവരുടെ താമസസ്ഥലം ലളിതവും അപര്യാപ്തവുമാണ്.
简体字	ലളിത ചൈനീസ് അക്ഷരം	ഇവിടെ ലളിത ചൈനീസ് അക്ഷരങ്ങൾ ഉപയോഗിക്കുന്നു.
简要	ചുരുക്കമായ	ദയവായി ഒരു ചുരുക്കമായ വിശദീകരണം കൊടുക്കൂ.
健全	സമ്പൂർണ്ണവും ആരോഗ്യകരവുമായ	കമ്പനിക്ക് സമ്പൂർണ്ണവും ആരോഗ്യകരവുമായ മാനേജ്മെന്റ് സംവിധാനം വേണം.
剑	വാൾ	മ്യൂസിയത്തിൽ പഴയ ഒരു വാൾ പ്രദർശിപ്പിച്ചിരിക്കുന്നു.
溅	തെറിക്കുക	കാർ കടന്നുപോയപ്പോൾ ചെളി വസ്ത്രത്തിൽ തെറിച്ചു.
舰艇	യുദ്ധക്കപ്പൽ	യുദ്ധക്കപ്പൽ തുറമുഖത്ത് നങ്കൂരമിട്ടു.
见多识广	അനുഭവസമ്പന്നനും അറിവുള്ളവനും	മുത്തച്ഛൻ അനുഭവസമ്പന്നനും അറിവുള്ളവനുമാണ്.
见解	കാഴ്ചപ്പാട്	ഈ വിഷയത്തിൽ അവന് സ്വന്തം കാഴ്ചപ്പാട് ഉണ്ട്.
见闻	കണ്ടറിവ്	യാത്ര അവന്റെ കണ്ടറിവ് വർധിപ്പിച്ചു.
见义勇为	നീതി കണ്ടാൽ ധൈര്യമായി പ്രവർത്തിക്കുക	അവൻ നീതി കണ്ടാൽ ധൈര്യമായി പ്രവർത്തിക്കുന്നതിന് പ്രശംസിക്കപ്പെട്ടു.
