simplified	NE	example_NE
公认	सर्वमान्य	उनी सर्वमान्य उत्कृष्ट शिक्षिका हुन्।
公式	सूत्र	कृपया यो गणितीय सूत्र याद गर्नुहोस्।
公务	सरकारी काम	ऊ सरकारी कामका कारण तीन दिनको यात्रामा गयो।
公正	निष्पक्ष	न्यायाधीशले निष्पक्ष रहनुपर्छ।
公证	नोटरी प्रमाणित गर्नु	यो कागजात नोटरी प्रमाणित गर्नुपर्छ।
功劳	योगदान	यो सफलतामा सबैको योगदान छ।
功效	प्रभावकारिता	यो औषधिको प्रभावकारिता अझै प्रमाणित गर्नुपर्छ।
宫殿	दरबार	पर्यटकहरूले पुरानो दरबार अवलोकन गरे।
工艺品	हस्तकला वस्तु	यो हस्तकला वस्तु हातैले बनाइएको हो।
恭敬	आदरपूर्वक	उसले वृद्धलाई आदरपूर्वक अभिवादन गर्‍यो।
攻击	आक्रमण गर्नु	ह्याकरहरूले कम्पनीको वेबसाइटमा आक्रमण गरे।
