simplified	SK	example_SK
周年	výročie	Firma oslávila desiate výročie
周期	cyklus	Cyklus aktualizácie produktu sa skrátil
周折	komplikácie	Vybavovanie postupov malo veľa komplikácií
周转	obrat kapitálu	Firma má problém s obratom hotovosti
州	štát	Žije v Kalifornii v Spojených štátoch
粥	kaša	Pacient ráno jedol kašu
舟	čln	Malý čln sa pomaly priblížil k brehu
昼夜	dňom i nocou	Pracovníci opravovali cestu dňom i nocou
皱纹	vráska	Stará mama má na tvári veľa vrások
株	kus rastliny	Na dvore zasadili tri stromy
诸位	všetci	Ďakujem všetkým, že ste dnes prišli
逐年	z roka na rok	Prevádzkové náklady z roka na rok rastú
主办	usporiadať	Škola usporiadala festival umenia
主导	viesť	Trhový dopyt vedie dizajn produktov
主管	vedúci	Vedúci zodpovedá za schvaľovanie rozpočtu
主流	hlavný prúd	Environmentálne myšlienky sa stali hlavným prúdom
主权	suverénita	Národnú suverenitu treba rešpektovať
主义	ideológia	Študuje rôzne politické ideológie
嘱咐	prikázať	Matka mu opakovane prikázala vziať si dáždnik
拄	opierať sa	Starý muž chodí opierajúc sa o palicu
住宅	obytný dom	Táto oblasť je prevažne obytná
助理	asistent	Asistent usporiadal materiály na schôdzu
助手	pomocník	Robot je pomocníkom v laboratóriu
注射	injekcia	Lekár vpichol pacientovi liek
注视	hľadieť	Hľadela do diaľky
注释	poznámka	Vedľa textu sú podrobné poznámky
注重	klásť dôraz	Firma kladie dôraz na kvalitu výrobkov
著作	dielo	Toto dielo má ďalekosiahly vplyv
铸造	odlievať	Továreň odlieva veľké súčiastky
驻扎	byť rozmiestnený	Jednotky sú rozmiestnené na hranici
拽	ťahať	Vtiahol škatuľu do miestnosti
专长	špecializácia	Analýza dát je jej špecializácia
专程	osobitná cesta	Podnikol osobitnú cestu, aby navštívil učiteľa
专利	patent	Firma požiadala o nový patent
专题	špeciálna téma	Televízna stanica odvysielala špeciálny program o ochrane životného prostredia
砖	tehla	Pracovníci priviezli vozík tehál
转达	odovzdať	Prosím, odovzdajte moju vďaku
转让	previesť	Rozhodol sa previesť obchod
转移	premiestniť	Zdravotná sestra premiestnila zranených
转折	obrat	V príbehu sa objavil veľký obrat
传记	životopis	Píše životopis svojho otca
庄稼	poľnohospodárske plodiny	Dážď vyživil plodiny
庄严	slávnostný	Ceremónia mala slávnostnú atmosféru
庄重	dôstojný	Mal na sebe dôstojný formálny odev
装备	vybavenie	Tím je vybavený pokročilým vybavením
装卸	nakládka a vykládka	Prístavní pracovníci zodpovedajú za nakládku a vykládku tovaru
壮观	veľkolepý	Scenéria vodopádu je veľmi veľkolepá
壮丽	majestátny	Sú tu majestátne hory a rieky
壮烈	hrdinsky	Hrdina zomrel hrdinsky
幢	budova	Na rohu stojí starý dom
追悼	spomienkový	Ľudia sa zúčastnili spomienkovej ceremónie
追究	vyšetriť	Firma vyšetrí zodpovednosť
坠	padať	Listy padali z konárov
准则	zásada	Čestnosť je zásadou spolupráce
卓越	vynikajúci	Dosiahla vynikajúce úspechy
琢磨	premýšľať	Opakovane premýšľal nad týmto problémom
着手	začať	Tím zajtra začne vyšetrovanie
着想	brať ohľad	Rodičia vždy berú ohľad na potreby svojich detí
着重	zdôrazniť	Správa zdôrazňuje analýzu nákladov
姿态	postoj	Zachovala si skromný postoj
滋润	zvlhčiť	Jarný dážď zvlhčil zem
滋味	pocit	Pocit neúspechu sa ťažko znáša
资本	kapitál	Začatie podnikania si vyžaduje určitý kapitál
资产	majetok	Majetok firmy neustále rastie
资深	skúsený	Tento prípad riešil skúsený advokát
资助	finančne podporiť	Nadácia finančne podporuje chudobných študentov
子弹	guľka	Guľka zasiahla stenu
自卑	cítiť sa menejcenne	Už sa necíti menejcenne
自发	spontánny	Obyvatelia spontánne vyčistili ulicu
自力更生	samostatnosť	Dedinčania trvajú na samostatnosti
自满	sebauspokojený	Po úspechu by človek nemal byť sebauspokojený
自主	samostatný	Študenti si musia rozvíjať schopnosť samostatného učenia
宗教	náboženstvo	Študuje svetové náboženstvá
宗旨	cieľ	Cieľom organizácie je slúžiť komunite
棕色	hnedý	Kúpila si hnedé kožené topánky
踪迹	stopy	Polícia našla stopy podozrivého
总而言之	stručne povedané	Stručne povedané, plán je uskutočniteľný
总和	súčet	Zisk je rozdiel medzi celkovými príjmami a nákladmi
纵横	krížom-krážom	Rieky križujú rovinu krížom-krážom
走廊	chodba	Deti sa zoradili na chodbe
走漏	uniknúť	Správa nesmie uniknúť von
走私	pašovať	Colníci zadržali pašovaný tovar
揍	zbiť	Zbilo ho niekoľko opitých mužov
租赁	prenajať	Firma si prenajala novú kanceláriu
足以	dostatočný	Tento dôkaz stačí na vysvetlenie problému
祖父	starý otec	Starý otec rád rozpráva staré príbehy
祖国	vlasť	Hlboko miluje svoju vlasť
祖先	predok	Uctievajú si svojich predkov
阻碍	brániť	Nedostatok financií bráni postupu projektu
阻拦	zastaviť	Strážnik zastavil cudzincov pred vstupom
阻挠	mariť	Niekto zámerne maril vyšetrovanie
钻研	hĺbkovo študovať	Hĺbkovo študuje starovekú literatúru
钻石	diamant	V prsteni je vsadený diamant
嘴唇	pery	Studený vietor popraskal pery
罪犯	zločinec	Polícia zatkla utečeného zločinca
尊严	dôstojnosť	Každý by mal mať dôstojnosť
遵循	dodržiavať	Lekári dodržiavajú prísne normy
作弊	podvádzať	Podvádzanie pri skúškach bude potrestané
作废	neplatný	Starý lístok je už neplatný
作风	pracovný štýl	Pracovný štýl vedúceho je praktický
作息	denný režim	Pravidelný denný režim prospieva zdraviu
做主	rozhodnúť	O tejto veci rozhodni ty
座右铭	motto	Jeho motto je nikdy sa nevzdať
