simplified	HY	example_HY
毁灭	կործանել; ոչնչացնել	Պատերազմը գրեթե կործանեց այս քաղաքը։
会晤	հանդիպել; հանդիպում	Երկու երկրների ղեկավարները վաղը կհանդիպեն։
汇报	զեկուցել; հաշվետվություն տալ	Նա առաջընթացի մասին զեկուցեց մենեջերին։
贿赂	կաշառք; կաշառել	Պաշտոնյան հետաքննվեց կաշառքի համար։
昏迷	գիտակցությունը կորցնել; կոմայի մեջ լինել	Հիվանդը դեռ կոմայի մեջ է։
荤	մսային; ոչ բուսական ուտեստ	Այս ուտեստը միս է պարունակում և բուսակերներին հարմար չէ։
浑身	ամբողջ մարմնով; ոտքից գլուխ	Վազելուց հետո նա ամբողջ մարմնով քրտնած էր։
混合	խառնել; միախառնել	Խնդրում եմ երկու նյութերը հավասարապես խառնիր։
混乱	խառնաշփոթ; քաոս	Դեպքի վայրը մի պահ շատ խառնաշփոթ էր։
混淆	շփոթել; խառնել իրար	Մի շփոթիր այս երկու հասկացությունները։
混浊	պղտոր; կեղտոտ	Անձրևից հետո գետի ջուրը պղտոր դարձավ։
活该	արժանի լինել պատժին; տեղն է	Նա չլսեց խորհուրդը, ուստի ձախողվելը իր տեղն էր։
活力	կենսունակություն; եռանդ	Այս քաղաքը լի է կենսունակությամբ։
火箭	հրթիռ	Հրթիռը հաջողությամբ մտավ նախատեսված ուղեծիր։
火焰	բոց; կրակ	Քամին բոցերը ավելի բարձրացրեց։
火药	վառոդ	Վառոդը փոխեց հին ժամանակների պատերազմը։
货币	արժույթ; դրամական	Դրամական քաղաքականությունը ազդում է տնտեսության զարգացման վրա։
基地	բազա; հենակետ	Սա երբեմն կարևոր ուսումնական բազա էր։
基金	հիմնադրամ	Դպրոցը հիմնեց կրթաթոշակային հիմնադրամ։
基因	գեն	Գիտնականները ուսումնասիրում են այս գենը։
机动	շարժուն; ճկուն; շարժիչային	Այս թիմը պահպանում է բարձր շարժունակություն։
机构	կազմակերպություն; կառույց	Այս կազմակերպությունը պատասխանատու է որակի ստուգման համար։
机灵	ճարպիկ; արագամիտ	Այս երեխան շատ արագամիտ է։
机密	գաղտնի; դասակարգված	Այս նյութերը գաղտնի են։
机械	մեքենա; մեխանիկական սարքավորում	Գործարանը նոր սարքավորումներ ներմուծեց։
机遇	հնարավորություն; բարենպաստ առիթ	Երիտասարդները պետք է օգտագործեն հնարավորությունները։
机智	սրամիտ; հնարամիտ	Նրա պատասխանը շատ սրամիտ էր։
激发	առաջացնել; խթանել	Ուսուցիչը խթանեց աշակերտների հետաքրքրությունը։
激励	ոգևորել; խրախուսել	Այս հաջողությունը ոգևորեց ամբողջ թիմին։
激情	կիրք; խանդավառություն	Նա խոսելիս լի էր խանդավառությամբ։
讥笑	ծաղրել; քմծիծաղել	Մի ծաղրիր ուրիշների սխալները։
饥饿	քաղց; սով	Երկարատև քաղցը կարող է ազդել առողջության վրա։
即便	նույնիսկ եթե	Նույնիսկ եթե անձրև գա, մենք ժամանակին ճանապարհ կընկնենք։
即将	շուտով; քիչ անց	Ժողովը շուտով կսկսվի։
及早	որքան հնարավոր է շուտ	Խնդիրները պետք է որքան հնարավոր է շուտ լուծել։
吉祥	բարենպաստ; հաջողակ; օրհնաբեր	Չինաստանում կարմիրը հաճախ բարենպաստ բախտ է խորհրդանշում։
嫉妒	նախանձել; նախանձ	Նա չպետք է նախանձի գործընկերոջ հաջողությանը։
急功近利	արագ օգուտի հետևից ընկնել; կարճատես լինել	Հետազոտությունը չպետք է արվի արագ օգուտի կարճատես ցանկությամբ։
急剧	կտրուկ; արագ	Վաճառքները կտրուկ նվազեցին։
急切	անհամբեր; շտապող	Նա անհամբեր սպասում էր լուրերին։
急于求成	արագ արդյունքի ձգտել; շտապել հաջողության	Լեզու սովորելիս չի կարելի շտապել արագ արդյունքի համար։
急躁	անհամբեր; դյուրագրգիռ	Դժվարությունների հանդիպելիս մի նյարդայնացիր։
极端	ծայրահեղ	Այսպիսի ծայրահեղ եղանակը ավելի հաճախ է հանդիպում։
极限	սահման; ծայրագույն սահման	Այս մարզումը փորձեց նրա սահմանները։
疾病	հիվանդություն	Լավ սովորությունները կարող են կանխել հիվանդությունները։
籍贯	ծննդավայր; նախնիների վայր	Ձևաթղթում պետք է լրացնել ծննդավայրը։
级别	մակարդակ; աստիճան; կարգ	Այս մրցույթը բաժանված է երեք մակարդակի։
集团	խումբ; կորպորացիա	Այս խումբը արտասահմանում մասնաճյուղեր ունի։
给予	տալ; տրամադրել	Դպրոցը օգնություն է տրամադրում աղքատ ուսանողներին։
季军	երրորդ տեղ զբաղեցրած մասնակից	Նա մրցույթում երրորդ տեղը գրավեց։
季度	եռամսյակ	Ընկերությունը յուրաքանչյուր եռամսյակ ֆինանսական հաշվետվություն է հրապարակում։
寂静	լռություն; լուռ	Գիշերը հովիտը հատկապես լուռ է։
寄托	վստահել; հույսը դնել	Նա իր հույսերը դրեց երեխայի վրա։
忌讳	արգելված թեմա; տաբու	Տեղացիները ճաշի սեղանի շուրջ այս մասին խոսելը տաբու են համարում։
技巧	հմտություն; տեխնիկա	Հմտություններին տիրապետելը կարող է բարձրացնել արդյունավետությունը։
纪要	արձանագրություն; ժողովի ամփոփում	Քարտուղարը կազմեց ժողովի արձանագրությունը։
继承	ժառանգել; շարունակել	Նա շարունակեց հոր գործը։
计较	հաշվի նստել մանրուքների հետ; վիճել	Մի վիճիր այսպիսի փոքր բանի համար։
记性	հիշողություն	Նա շատ լավ հիշողություն ունի։
记载	գրանցել; արձանագրել	Պատմական գրքերը արձանագրել են այս պատերազմը։
迹象	նշան; ցուցիչ	Ներկայում բարելավման նշաններ չկան։
佳肴	համեղ ուտեստ; նրբահամ կերակուր	Սեղանը լի էր համեղ ուտեստներով։
加工	մշակել; վերամշակում	Այս հումքը պետք է հետագա մշակման ենթարկվի։
加剧	սաստկացնել; սրվել	Հակամարտությունը սրվում է։
夹杂	խառնվել; խառնուրդ լինել	Անձրևի ձայնին խառնվում էր ամպրոպը։
家常	տնական; առօրյա ընտանեկան	Ես սիրում եմ տնական ուտեստներ ուտել։
家伙	տիպ; մարդ; գործիք	Այդ տիպը միշտ ուշանում է։
家属	ընտանիքի անդամ; հարազատ	Բժիշկը տեղեկացրեց հիվանդի ընտանիքի անդամներին։
家喻户晓	բոլորին հայտնի; տուն առ տուն հայտնի	Այս պատմությունը բոլորին հայտնի է։
