simplified	JA	example_JA
力求	努める	私たちは誤りを最小限に抑えるよう努めます。
力所能及	できる範囲の	できる範囲のことをしてください。
力争	努めて勝ち取る	チームは任務を前倒しで完了するよう努めています。
历代	歴代	歴代の学者がこの問題を研究してきました。
历来	昔から	この都市は昔から教育を重視してきました。
立场	立場	彼は会議で立場を明らかにしました。
立方	立方	この水槽には三立方メートルの容量があります。
立交桥	立体交差橋	この立体交差橋は交通渋滞を緩和しました。
立体	立体的な	この絵には強い立体感があります。
立足	足場を置く	企業は地元市場に足場を置くべきです。
粒	粒	机の上に米が数粒あります。
廉洁	清廉な	公務員は清廉さを保たなければなりません。
联欢	親睦会を開く	同級生たちは新年の親睦会を開きました。
联络	連絡する	できるだけ早く顧客に連絡してください。
联盟	同盟	いくつかの国が貿易同盟を結成しました。
联想	連想する	この写真は私に子どものころを連想させます。
连年	何年も続けて	この地域は何年も続けて洪水に見舞われています。
连锁	チェーン	この会社はチェーンスーパーを経営しています。
连同	一緒に	請求書を契約書と一緒に送ってください。
良心	良心	人として良心に恥じないようにすべきです。
晾	干す	彼女は服をベランダに干しました。
谅解	理解	私たちの困難を理解していただければと思います。
辽阔	広大な	草原は広大で、見渡しても果てがありません。
列举	列挙する	先生は三つの例を列挙しました。
临床	臨床	この薬は臨床試験中です。
淋	ぬれる	雨の中であまり長くぬれないでください。
吝啬	けちな	彼は友人に対して決してけちではありません。
伶俐	利発な	この小さな女の子は賢く利発です。
凌晨	未明	飛行機は未明三時に離陸します。
灵感	ひらめき	音楽は彼に創作のひらめきを与えました。
灵魂	魂	自由はこの作品の魂です。
灵敏	敏感な	この機器は反応がとても敏感です。
零星	まばらな	夜空にはまばらな灯りがありました。
领会	理解する	彼は先生の意味をすぐに理解しました。
领事馆	領事館	彼はビザ手続きのため領事館へ行きました。
领土	領土	どの国も領土の完全性を重視します。
领悟	悟る	失敗を経験した後、彼は責任を悟りました。
领先	リードする	彼らの技術は現在同業者をリードしています。
领袖	指導者	この指導者は人々から深く尊敬されています。
溜	抜け出す	子犬はドアの隙間から抜け出しました。
流浪	さすらう	彼は若いころ各地をさすらったことがあります。
流露	表す	彼女の顔には喜びが表れていました。
流氓	ごろつき	警察は街頭のごろつきを数人捕まえました。
流通	流通する	この通貨はかつて当地で流通していました。
留恋	名残惜しむ	卒業のとき、皆はキャンパスを名残惜しみました。
留念	記念に残す	私たちは校門で写真を撮って記念に残しました。
留神	注意する	道路を渡るときは必ず注意してください。
聋哑	ろうあ	学校はろうあの子どもたちに支援を提供しています。
隆重	盛大な	大会は講堂で盛大に行われました。
垄断	独占	独占は市場競争を損なう可能性があります。
笼罩	覆う	濃い霧が村全体を覆っていました。
搂	抱く	母親は子どもをそっと抱きしめました。
炉灶	かまど	台所のかまどは掃除が必要です。
轮船	汽船	汽船はゆっくり港を離れました。
轮廓	輪郭	遠くの山々の輪郭はとてもはっきりしています。
轮胎	タイヤ	車のタイヤを交換する必要があります。
论坛	フォーラム	専門家はフォーラムで講演しました。
论证	論証する	報告書は見解をさらに論証する必要があります。
啰唆	くどい	くどいことはやめて、要点を直接言ってください。
络绎不绝	絶え間なく続く	観光客が絶え間なく古城にやって来ました。
落成	竣工する	新しい体育館は明日正式に竣工します。
落实	実施する	会議は新しい政策を早急に実施するよう求めました。
屡次	たびたび	彼はたびたび皆に安全に注意するよう促しました。
履行	履行する	双方は契約上の義務を履行しなければなりません。
掠夺	略奪する	戦争は資源の略奪を引き起こしました。
嘛	じゃないか	この件は簡単じゃないか。
麻痹	油断する	長く順調だと人は油断しやすくなります。
麻木	しびれる	寒さで彼の指はしびれました。
麻醉	麻酔する	手術の前に医者は患者に麻酔をしました。
码头	埠頭	貨物船は埠頭のそばに停泊しました。
蚂蚁	アリ	アリが食べ物を運んでいます。
埋伏	待ち伏せ	兵士は谷の中で待ち伏せしました。
埋没	埋もれさせる	人材を埋もれさせてはいけません。
埋葬	埋葬する	村人たちは老人を丘の斜面に埋葬しました。
脉搏	脈拍	看護師は彼の脈拍を測っています。
迈	踏み出す	彼は大股で入口へ歩いて行きました。
埋怨	不平を言う	いつも他人に不平を言ってはいけません。
