simplified	NL	example_NL
征收	heffen	De regering heft volgens de wet belasting
挣扎	worstelen	Het vogeltje worstelde in het net
正月	de eerste maanmaand	In de eerste maanmaand bezoeken familieleden elkaar voor nieuwjaarswensen
蒸发	verdampen	Het vocht verdampte snel
整顿	reorganiseren	Het bedrijf begon het management te reorganiseren
政策	het beleid	Het nieuwe beleid steunt kleine bedrijven
政权	het regime	De oorlog veranderde het lokale regime
正当	rechtmatig	Hij stelde een rechtmatige eis
正负	positief en negatief	Het instrument toont positieve en negatieve afwijkingen
正规	regulier	Het kind ging naar een reguliere school
正经	serieus	Hij begon eindelijk serieus te praten
正气	de rechtschapen sfeer	De samenleving moet een rechtschapen sfeer bevorderen
正义	de gerechtigheid	De advocaat verdedigde de gerechtigheid
正宗	authentiek	Dit restaurant verkoopt authentieke Sichuan-gerechten
症状	het symptoom	Koorts is een veelvoorkomend symptoom
证实	bevestigen	Het onderzoek bevestigde zijn verklaring
证书	het certificaat	Zij behaalde een professioneel certificaat
郑重	plechtig	Hij beloofde plechtig verantwoordelijkheid te nemen
之际	op het moment dat	Op het moment dat het Lentefeest nadert is iedereen druk
支撑	ondersteunen	De pilaren ondersteunen het dak
支出	de uitgave	De gezinsuitgaven zijn duidelijk gestegen
支流	de zijrivier	Deze rivier is een zijrivier van de Yangtze
支配	beheersen	Emoties mogen het oordeel niet beheersen
支援	steun bieden	Artsen uit veel plaatsen kwamen steun bieden
支柱	de pijler	De maakindustrie is een pijler van de lokale economie
枝	de tak	Zij brak een bloementak af
知觉	het bewustzijn	De gewonde kreeg geleidelijk zijn bewustzijn terug
知足常乐	tevredenheid brengt geluk	De oude man zegt vaak dat tevredenheid geluk brengt
脂肪	het vet	Noten bevatten gezonde vetten
侄子	de neef	Mijn neef gaat dit jaar naar de basisschool
值班	dienst hebben	De verpleegkundige heeft vanavond dienst
执行	uitvoeren	De rechtbank voerde het vonnis uit
执着	volhardend	Hij is zeer volhardend in zijn idealen
殖民地	de kolonie	Dit eiland was ooit een kolonie
直播	de livestream	De wedstrijd wordt vanavond online gelivestreamd
直径	de diameter	De diameter van deze cirkel is tien centimeter
职能	de functie	De functies van de afdeling moeten opnieuw worden verdeeld
职位	de functie	Zij solliciteerde naar een managementfunctie
职务	de taak	Zijn taak is projectleider
指标	de doelstelling	De verkoopdoelstelling is al gehaald
指定	aanwijzen	De leraar wees hem aan om de vraag te beantwoorden
指甲	de vingernagel	Zij knipte haar vingernagels kort
指令	de opdracht	De computer ontving een nieuwe opdracht
指南针	het kompas	De bergbeklimmer nam een kompas mee
指示	de instructie	De manager gaf duidelijke instructies
指望	rekenen op	Reken er niet op dat anderen het voor je afmaken
指责	bekritiseren	Het publiek bekritiseerde het bedrijf voor milieuvervuiling
制裁	de sanctie	De internationale gemeenschap legde economische sancties op
制服	het uniform	De beveiliger droeg een donkerblauw uniform
制约	beperken	Onvoldoende geld beperkt de ontwikkeling
制止	stoppen	De politie stopte het conflict op tijd
志气	de ambitie	Jonge mensen moeten ambitie hebben
智力	de intelligentie	Spellen kunnen de intelligentie trainen
智能	slim	Slimme apparaten worden steeds algemener
智商	het IQ	IQ kan niet alles bepalen
治安	de openbare veiligheid	De openbare veiligheid in de wijk is duidelijk verbeterd
治理	beheren	De regering versterkte het rivierbeheer
滞留	stranden	Reizigers strandden op de luchthaven door zware sneeuw
致辞	een toespraak houden	De rector hield een toespraak tijdens de ceremonie
致力	zich inzetten voor	Het team zet zich in voor technologische innovatie
致使	ertoe leiden dat	Managementfouten leidden ertoe dat het project werd uitgesteld
中断	onderbreken	De zware regen onderbrak de communicatie
中立	neutraal	Dat land handhaaft een neutraal standpunt
中央	het midden	De fontein staat in het midden van het plein
忠诚	trouw	De medewerkers zijn trouw aan het bedrijf
忠实	trouw	Hij is een trouwe lezer van deze krant
终点	de finish	De finish ligt vlak voor ons
终究	uiteindelijk	Het probleem zal uiteindelijk worden opgelost
终身	levenslang	Hij besloot levenslang in het onderwijs te werken
终止	beindigen	Het contract eindigt aan het eind van volgende maand
衷心	oprecht	Ik bedank je oprecht voor je hulp
种子	het zaad	Boeren zaaiden nieuwe zaden
种族	de etniciteit	De wet verbiedt etnische discriminatie
肿瘤	de tumor	De arts vond een goedaardige tumor
众所周知	zoals iedereen weet	Zoals iedereen weet is water belangrijk
种植	telen	Deze plek is geschikt om druiven te telen
重心	het zwaartepunt	Het zwaartepunt van het werk verschoof naar dienstverlening
周边	de omgeving	Het verkeer rond de school is druk
周密	grondig	Zij maakten een grondig plan
周年	de verjaardag	Het bedrijf vierde zijn tiende verjaardag
周期	de cyclus	De updatecyclus van het product is korter geworden
周折	de complicatie	De procedures afhandelen bracht veel complicaties mee
周转	de kasstroom	Het bedrijf heeft moeite met de kasstroom
州	de staat	Hij woont in de Amerikaanse staat Californie
粥	de pap	De patient at 's morgens pap
舟	de boot	De kleine boot naderde langzaam de oever
昼夜	dag en nacht	Arbeiders repareerden de weg dag en nacht
皱纹	de rimpel	Oma heeft veel rimpels op haar gezicht
株	de plant	In de tuin werden drie bomen geplant
诸位	iedereen	Dank iedereen dat jullie vandaag aanwezig zijn
逐年	jaar na jaar	De bedrijfskosten stijgen jaar na jaar
主办	organiseren	De school organiseerde het kunstfestival
主导	leiden	Marktvraag leidt het productontwerp
主管	de supervisor	De supervisor is verantwoordelijk voor het goedkeuren van het budget
主流	de hoofdstroom	Milieubewuste ideeen zijn hoofdstroom geworden
主权	de soevereiniteit	Nationale soevereiniteit moet worden gerespecteerd
主义	de doctrine	Hij bestudeert verschillende politieke doctrines
嘱咐	op het hart drukken	Zijn moeder drukte hem herhaaldelijk op het hart een paraplu mee te nemen
拄	steunen op	De oude man loopt steunend op een stok
住宅	de woning	Dit gebied bestaat vooral uit woningen
助理	de assistent	De assistent ordende de vergaderstukken
助手	de helper	De robot is een laboratoriumhelper
注射	injecteren	De arts injecteerde medicijnen bij de patient
注视	staren	Zij staarde in de verte
注释	de aantekening	Naast de tekst staan gedetailleerde aantekeningen
注重	nadruk leggen op	Het bedrijf legt nadruk op productkwaliteit
著作	het werk	Dit werk heeft een verreikende invloed
铸造	gieten	De fabriek giet grote onderdelen
驻扎	gestationeerd zijn	De troepen zijn aan de grens gestationeerd
拽	slepen	Hij sleepte de doos het huis in
专长	de specialiteit	Data-analyse is haar specialiteit
专程	speciaal ervoor komen	Hij kwam speciaal langs om de leraar te bezoeken
专利	het octrooi	Het bedrijf vroeg een nieuw octrooi aan
专题	het themaprogramma	De televisiezender zond een themaprogramma over milieubescherming uit
砖	de baksteen	Arbeiders brachten een wagen bakstenen
转达	overbrengen	Breng mijn dank alstublieft over
转让	overdragen	Hij besloot de winkel over te dragen
转移	overbrengen	De verpleegkundige bracht de gewonden over
转折	het keerpunt	Er verscheen een belangrijk keerpunt in het verhaal
传记	de biografie	Zij schrijft de biografie van haar vader
庄稼	de gewassen	De regen voedde de gewassen
庄严	plechtig	De ceremonie had een plechtige sfeer
庄重	waardig	Hij droeg waardige formele kleding
装备	de uitrusting	Het team is uitgerust met geavanceerde uitrusting
装卸	laden en lossen	Havenarbeiders zijn verantwoordelijk voor het laden en lossen van goederen
壮观	spectaculair	Het watervallandschap is zeer spectaculair
壮丽	majestueus	Hier zijn majestueuze bergen en rivieren
壮烈	heldhaftig	De held stierf heldhaftig
幢	het gebouw	Op de hoek staat een oud gebouw
追悼	de herdenking	Mensen woonden de herdenkingsceremonie bij
追究	onderzoeken	Het bedrijf zal de verantwoordelijkheid onderzoeken
坠	vallen	Bladeren vielen van de takken
准则	het principe	Eerlijkheid is een principe van samenwerking
卓越	uitmuntend	Zij behaalde uitmuntende prestaties
琢磨	overdenken	Hij overdacht dit probleem herhaaldelijk
着手	beginnen	Het team begint morgen met het onderzoek
着想	rekening houden met	Ouders houden altijd rekening met de behoeften van hun kinderen
着重	benadrukken	Het rapport benadrukt kostenanalyse
姿态	de houding	Zij behield een bescheiden houding
滋润	bevochtigen	Lenteregen bevochtigde de grond
滋味	het gevoel	Het gevoel van mislukking is moeilijk te verdragen
资本	het kapitaal	Een onderneming starten vereist enig kapitaal
资产	de bezittingen	De bezittingen van het bedrijf blijven groeien
资深	ervaren	Een ervaren advocaat behandelde deze zaak
资助	financieel steunen	De stichting steunt arme studenten financieel
子弹	de kogel	De kogel raakte de muur
自卑	minderwaardig voelen	Hij voelt zich niet langer minderwaardig
自发	spontaan	Bewoners maakten spontaan de straat schoon
自力更生	zelfredzaamheid	De dorpelingen houden vast aan zelfredzaamheid
自满	zelfgenoegzaam	Na succes mag je niet zelfgenoegzaam worden
自主	zelfstandig	Studenten moeten zelfstandig leervermogen ontwikkelen
宗教	de religie	Hij bestudeert wereldreligies
宗旨	het doel	Het doel van de organisatie is de gemeenschap dienen
棕色	bruin	Zij kocht bruine leren schoenen
踪迹	het spoor	De politie vond sporen van de verdachte
总而言之	kortom	Kortom het plan is uitvoerbaar
总和	de som	Winst is het verschil tussen totale inkomsten en kosten
纵横	kriskras	Rivieren lopen kriskras over de vlakte
走廊	de gang	De kinderen stonden in de gang in de rij
走漏	uitlekken	Het nieuws mag niet uitlekken
走私	smokkelen	De douane nam smokkelwaar in beslag
揍	in elkaar slaan	Hij werd door enkele dronken mannen in elkaar geslagen
租赁	huren	Het bedrijf huurde een nieuw kantoor
足以	voldoende zijn	Dit bewijs is voldoende om het probleem uit te leggen
祖父	de grootvader	Grootvader vertelt graag oude verhalen
祖国	het vaderland	Hij houdt diep van zijn vaderland
祖先	de voorouders	Zij vereren hun voorouders
阻碍	belemmeren	Geldgebrek belemmert de voortgang van het project
阻拦	tegenhouden	De bewaker hield vreemden tegen
阻挠	dwarsbomen	Iemand dwarsboomde opzettelijk het onderzoek
钻研	zich verdiepen in	Zij verdiept zich in oude literatuur
钻石	de diamant	In de ring is een diamant gezet
嘴唇	de lip	De koude wind kloofde de lippen
罪犯	de crimineel	De politie arresteerde de gevluchte crimineel
尊严	de waardigheid	Iedereen zou waardigheid moeten hebben
遵循	volgen	Artsen volgen strenge normen
作弊	spieken	Spieken bij examens wordt bestraft
作废	ongeldig worden	Het oude kaartje is al ongeldig
作风	de werkwijze	De werkwijze van de leider is praktisch
作息	werk en rust	Een regelmatig ritme van werk en rust is goed voor de gezondheid
做主	beslissen	Jij beslist over deze zaak
座右铭	het motto	Zijn motto is nooit opgeven
