simplified	AZ	example_AZ
现成	hazır	Mətbəxdə hazır yemək var.
现状	mövcud vəziyyət	Biz sahənin mövcud vəziyyətini başa düşməliyik.
线索	ipucu	Polis yeni ipucu tapdı.
陷害	şər atmaq	O, kiminsə ona şər atdığını iddia etdi.
陷阱	tələ	Ovçu bir tələ qurdu.
陷入	düşmək	Şirkət maliyyə çətinliyinə düşdü.
馅儿	içlik	Bu Çin kökəsinin içliyi çox ətirlidir.
乡镇	qəsəbə	Qəsəbə məktəblərinin şəraiti yaxşılaşır.
相差	fərqlənmək	İki yerin temperaturu on dərəcə fərqlənir.
相等	bərabər	İki üçbucağın sahəsi bərabərdir.
相辅相成	bir-birini tamamlayır	Nəzəriyyə və təcrübə bir-birini tamamlayır.
相应	müvafiq	Şirkət müvafiq tədbirlər görəcək.
镶嵌	bərkitmək	Üzüyə bir qiymətli daş bərkidilib.
响亮	uca və aydın	Onun cavabı uca və aydın idi.
响应	cavab vermək	Çox adam ekoloji təşəbbüsə cavab verdi.
想方设法	hər yolu sınamaq	Onlar xərcləri azaltmaq üçün hər yolu sınadılar.
向导	bələdçi	Yerli bələdçi bizi dağa apardı.
向来	həmişə	O, həmişə etibara önəm verib.
向往	can atmaq	O, sakit həyata can atır.
巷	dalan	Köhnə dalanda çoxlu kiçik dükan açılıb.
相声	komik dialoq	Babam ənənəvi komik dialoq dinləməyi sevir.
消除	aradan qaldırmaq	Ünsiyyət anlaşılmazlıqları aradan qaldıra bilər.
消毒	dezinfeksiya etmək	Həkim yaranı dezinfeksiya etdi.
消防	yanğınsöndürmə	Yanğınsöndürənlər hadisə yerinə sürətlə çatdılar.
消耗	sərf etmək	Uzun səyahət çox fiziki güc sərf edir.
消灭	məhv etmək	İşçilər zərərvericiləri məhv edirlər.
潇洒	sərbəst və zərif	Onun yerimə tərzi sərbəst və zərifdir.
销毁	məhv etmək	Gömrük saxta malları məhv etdi.
小心翼翼	çox ehtiyatla	O, qutunu çox ehtiyatla açdı.
效益	səmərə	Yeni avadanlıq istehsal səmərəsini artırdı.
肖像	portret	Duvarda onun portreti asılıb.
协会	assosiasiya	Bu assosiasiya gənc sahibkarlara kömək edir.
协商	məsləhətləşmək	Hər iki tərəf məsləhətləşmələri davam etdirməyə hazırdır.
协调	koordinasiya etmək	Layihə meneceri resursları koordinasiya etməyə cavabdehdir.
协议	saziş	İki tərəf əməkdaşlıq sazişi imzaladı.
协助	kömək etmək	Könüllülər yaşlı adama yolu keçməkdə kömək etdilər.
携带	daşımaq	Sərnişinlər təhlükəli əşyalar daşıya bilməzlər.
屑	qırıntı	Masanın üstündə çoxlu taxta qırıntısı var.
泄露	sızdırmaq	İşçilər müştəri məlumatlarını sızdırmamalıdırlar.
泄气	həvəsdən düşmək	Uğursuzluqdan sonra həvəsdən düşmə.
谢绝	nəzakətlə imtina etmək	Otel kənardan gətirilən yeməyi nəzakətlə rədd edir.
心得	təcrübədən öyrənilənlər	O, öyrənmə təcrübəsindən çıxardığı nəticələri paylaşdı.
心甘情愿	könüllü	O, kömək etmək üçün könüllü olaraq qaldı.
心灵	ruh	Musiqi onun ruhunu sakitləşdirdi.
心态	düşüncə tərzi	Müsbət düşüncə tərzini saxlamaq vacibdir.
心疼	ürəyi ağrımaq	Ananın yaralanmış uşağa görə ürəyi ağrıdı.
心血	zəhmət	Bu kitab müəllifin böyük zəhmətinin məhsuludur.
心眼儿	xırdaçı	O, bir az xırdaçıdır.
新陈代谢	maddələr mübadiləsi	İdman maddələr mübadiləsini sürətləndirə bilər.
新郎	bəy	Bəy qapıda qonaqları qarşıladı.
新娘	gəlin	Gəlin ağ gəlinlik geyinmişdi.
新颖	yeni və orijinal	Bu dizayn çox yeni və orijinaldır.
欣慰	məmnun olmaq	Uşağın irəliləyişini görəndə o, məmnun oldu.
欣欣向荣	çiçəklənən	Kiçik şəhərin turizm sahəsi çiçəklənir.
薪水	maaş	Onun maaşı ailəni dolandırmaq üçün kifayətdir.
辛勤	zəhmətkeş	Fermerlər məhsul yetişdirmək üçün zəhmətlə işləyirlər.
信赖	etibar etmək	Müştərilər bu şirkətə çox etibar edirlər.
信念	inam	Möhkəm inam onu dəstəklədi.
信仰	inanc	O, fərqli inanclara hörmət edir.
信誉	nüfuz	Şirkət öz nüfuzunu qorumalıdır.
兴高采烈	çox sevincli	Uşaqlar sinfə çox sevincli halda qaçdılar.
兴隆	gur	Bu köhnə mağazanın işi gur gedir.
兴旺	çiçəklənmək	Bazar iqtisadiyyatı getdikcə çiçəklənir.
腥	balıq qoxulu	Bu balıq bir az balıq qoxuludur.
刑事	cinayət	Polis cinayət işini araşdırır.
形态	forma	Bitkinin forması mühitə görə dəyişir.
行政	inzibati	İnzibati şöbə müraciətləri emal edir.
兴致勃勃	böyük həvəslə	Hamı planı böyük həvəslə müzakirə etdi.
性感	cazibədar	Bu axşam paltarı çox cazibədar görünür.
性命	həyat	Həkim onun həyatını xilas etdi.
性能	performans	Bu kompüterin performansı yaxşıdır.
凶恶	vəhşi	Bu it çox vəhşi görünür.
凶手	qatil	Polis nəhayət qatili tutdu.
汹涌	coşqun	Coşqun dalğalar sahilə çırpılırdı.
胸怀	geniş ürək	Onun geniş ürəyi var.
胸膛	sinə	Əsgər sinəsini dik tutdu.
雄厚	güclü	Şirkətin güclü maliyyə resursları var.
雄伟	əzəmətli	Bu körpü çox əzəmətlidir.
修复	təmir etmək	Mühəndislər sistemi təmir edirlər.
修建	tikmək	Hökumət yeni hava limanı tikməyi planlaşdırır.
修养	tərbiyə	Yaxşı tərbiyə detallarda görünür.
羞耻	utanc	O, yalan danışandan sonra utanc hiss etdi.
嗅觉	qoxu hissi	İtin qoxu hissi çox həssasdır.
绣	naxış tikmək	Nənəm çiçək naxışı tikə bilir.
虚假	yalan	Sayt yalan məlumat yayıb.
虚荣	şöhrətpərəstlik	Şöhrətpərəstlik onu həddindən artıq pul xərcləməyə vadar etdi.
虚伪	riyakarlıq	O, riyakar nəzakəti sevmir.
需求	tələb	Bazar tələbi artır.
须知	təlimat	Zəhmət olmasa əvvəlcə qeydiyyat təlimatını oxuyun.
许可	icazə	İcazə olmadan içəri girmək olmaz.
序言	ön söz	Müəllif ön sözdə arxa planı izah edir.
畜牧	heyvandarlıq	Çəmənlik heyvandarlığın inkişafı üçün uyğundur.
酗酒	həddindən artıq içki içmək	Uzun müddət həddindən artıq içki içmək sağlamlığa zərər verir.
喧哗	səs-küy salmaq	Kitabxanada səs-küy salmaq qadağandır.
宣誓	and içmək	Yeni üzvlər iclasda and içdilər.
宣扬	təbliğ etmək	Məktəb dürüstlük və etibarlılığı təbliğ edir.
悬挂	asılmaq	Duvarda bir şəkil asılıb.
悬念	gərgin maraq	Filmin sonu gərgin maraq yaratdı.
悬殊	böyük fərq	İki komanda arasında güc fərqi böyükdür.
悬崖峭壁	sıldırım qayalar	Dağ yolunun yanında sıldırım qayalar var.
旋律	melodiya	Bu mahnının melodiyası gözəldir.
旋转	fırlanmaq	Külək dəyirmanı küləkdə fırlanır.
选拔	seçmək	Məktəb idmançıları seçir.
选举	seçki	Kənddə seçki keçirildi.
选手	yarışçı	Bu yarışçı sabit nəticə göstərdi.
炫耀	özünü göstərmək	O, həmişə var-dövlətini göstərməyi sevir.
削	kəsmək	Şirkət bəzi xərcləri kəsdi.
削弱	zəiflətmək	Yorğunluq mühakimə qabiliyyətini zəiflədir.
学说	nəzəriyyə	Bu nəzəriyyənin təsiri böyükdür.
学位	elmi dərəcə	O, magistr dərəcəsi aldı.
雪上加霜	vəziyyəti daha da pisləşdirmək	İşini itirib sonra xəstələnmək vəziyyəti daha da pisləşdirdi.
血压	qan təzyiqi	Həkim ona qan təzyiqini nəzarətdə saxlamağı xatırlatdı.
熏陶	təsir altında böyümək	O, uşaqlıqdan musiqinin təsiri altında böyüyüb.
寻觅	axtarmaq	Onlar uyğun ev tapmaq üçün hər yerdə axtardılar.
巡逻	patrul gəzmək	Polis gecələr küçələrdə patrul gəzir.
循环	dövran etmək	Su sistemdə dövran edir.
循序渐进	addım-addım	Dil öyrənmək addım-addım irəliləməlidir.
压迫	əzmək	Köhnə sistem adi insanları əzirdi.
压岁钱	bayram pulu	Uşaq Yeni il bayram pulu aldı.
压缩	sıxmaq	Proqram şəkil ölçüsünü sıxa bilər.
压抑	boğmaq	O, içindəki qəzəbi boğmağa çalışdı.
压榨	sıxıb çıxarmaq	Maşın şəkər qamışının şirəsini sıxıb çıxarır.
压制	basdırmaq	Dərman ağrını basdıra bilər.
鸦雀无声	tam səssizlik	Müəllim içəri girəndən sonra sinif tam səssiz oldu.
亚军	ikinci yer	O, yarışda ikinci yeri qazandı.
淹没	su altında qoymaq	Daşqın alçaq kəndləri su altında qoydu.
烟花爆竹	atəşfəşanlıq və fişəng	Bayram zamanı atəşfəşanlıq və fişəng qadağandır.
严峻	ciddi	Məşğulluq vəziyyəti hələ də ciddidir.
严寒	şiddətli soyuq	Şiddətli soyuq hava nəqliyyata təsir edir.
严禁	qəti qadağan etmək	Burada siqaret çəkmək qəti qadağandır.
严厉	sərt	Müəllim onu sərt tənqid etdi.
严密	ciddi	Anbarda ciddi nəzarət var.
岩石	qaya	Dəniz kənarındakı qayalar çox sərtdir.
延期	təxirə salmaq	İclas gələn həftəyə təxirə salındı.
延伸	uzanmaq	Yol şimala doğru uzanır.
延续	davam etmək	Bu ənənə yüz il davam edib.
沿海	sahilboyu	Sahilboyu şəhərlərdə ticarət inkişaf edib.
炎热	isti	İsti hava insanı yorur.
言论	fikir	İctimaiyyət onun fikirlərinə diqqət yetirir.
掩盖	gizlətmək	O, səhvini gizlətməyə çalışdı.
掩护	qorumaq	Komanda yoldaşları geri çəkilməni qorumağa cavabdeh idilər.
掩饰	gizlətmək	O, həyəcanını gizlətməyə çalışdı.
演变	təkamül etmək	Şəhərin quruluşu daim təkamül edir.
演习	təlim	Məktəb yanğın təlimi keçirdi.
演绎	məntiqi çıxarmaq	Müəllim bu teoremi məntiqi şəkildə çıxardı.
演奏	ifa etmək	Orkestr klassik musiqi ifa edir.
眼光	uzaqgörənlik	Onun investisiya uzaqgörənliyi yaxşıdır.
眼色	göz işarəsi	O, həmkarına göz işarəsi verdi.
眼神	baxış	Onun baxışları çox qəti idi.
厌恶	nifrət etmək	O, aldatma davranışına nifrət edir.
验收	qəbul yoxlaması	Layihə bitəndən sonra qəbul yoxlaması lazımdır.
验证	təsdiqləmək	Təcrübə fərziyyəni təsdiqlədi.
氧气	oksigen	Xəstənin oksigen alması lazımdır.
样品	nümunə	Müştəri məhsul nümunələrini aldı.
摇摆	yırğalanmaq	Kiçik qayıq külək və dalğada yırğalanırdı.
摇滚	rok musiqisi	Gənclər rok musiqisini sevirlər.
谣言	şayiə	Təsdiqlənməmiş şayiələri yayma.
遥控	uzaqdan idarə etmək	O, telefonla kondisioneri uzaqdan idarə etdi.
遥远	uzaq	O kənd şəhərdən çox uzaqdır.
耀眼	göz qamaşdıran	Günəş işığı göz qamaşdırırdı.
要点	əsas məqam	Zəhmət olmasa iclasın əsas məqamlarını qeyd edin.
要命	həddindən artıq	Bu dağ yolu həddindən artıq təhlükəlidir.
要素	əsas amil	Etibar əməkdaşlığın vacib əsas amilidir.
野蛮	kobud	O, kobud hüquq tətbiqinə qarşıdır.
野心	ambisiya	Onun siyasi ambisiyası aydındır.
液体	maye	Bu mayenin rəngi yoxdur.
一流	birinci dərəcəli	Bu xəstəxananın avadanlığı birinci dərəcəlidir.
一如既往	həmişəki kimi	O, bizi həmişəki kimi dəstəkləyir.
依旧	hələ də	Yağış dayandı, amma küçə hələ də nəmdir.
依据	əsaslanmaq	Hökm qanuna əsaslanmalıdır.
依靠	arxalanmaq	Onlar dolanışıq üçün kənd təsərrüfatına arxalanırlar.
依赖	asılı olmaq	Uşaqlar valideynlərindən həddindən artıq asılı olmamalıdırlar.
依托	söykənmək	Layihə yerli resurslara söykənərək inkişaf edir.
衣裳	paltar	O, təmiz paltar geyindi.
一度	bir vaxtlar	Şirkət bir vaxtlar iflasla üzləşmişdi.
一贯	ardıcıl	O, israfa ardıcıl şəkildə qarşı çıxıb.
一目了然	bir baxışda aydın	Cədvəlin məzmunu bir baxışda aydındır.
一向	həmişə	O, həmişə vaxtında gəlir.
仪器	cihaz	Laboratoriya yeni cihazlar aldı.
仪式	mərasim	Məzuniyyət mərasimi sabah keçiriləcək.
疑惑	çaşqınlıq	Tələbə cavabla bağlı çaşqınlıq hiss etdi.
遗产	irs	Bu qədim şəhər mədəni irsdir.
遗传	irsən keçmək	Bu xəstəlik irsən keçə bilər.
遗留	qalmaq	Tarixdən qalan problemlər həll edilməlidir.
遗失	itirmək	Səyyah pasportunu itirdi.
以便	əlaqə saxlamaq üçün	Zəhmət olmasa əlaqə saxlamaq üçün telefon nömrəsi buraxın.
以免	qarşısını almaq üçün	Gecikmənin qarşısını almaq üçün erkən çıx.
以往	keçmiş	Keçmiş təcrübə nəzərə alınmağa dəyər.
以至	hətta	Əhatə dairəsi icmaya, hətta bütün şəhərə qədər genişləndi.
以致	nəticədə	Güclü yağış davam etdi, nəticədə yollar bağlandı.
一帆风顺	rahat getmək	Biznesə başlamaq həmişə rahat getmir.
一举两得	bir işlə iki məqsəd	Velosipedlə işə getmək bir işlə iki məqsədə çatmaqdır.
一丝不苟	son dərəcə diqqətli	Mühəndis naqilləri son dərəcə diqqətlə yoxladı.
亦	həmçinin	O da bu planla razılaşdı.
异常	anormal	Sistemdə anormal vəziyyət yarandı.
意料	gözlənti	Nəticə gözləntilərdən tamamilə kənar oldu.
意识	fərqinə varmaq	O, problemin ciddi olduğunu tədricən fərq etdi.
意图	niyyət	Polis onun niyyətini başa düşdü.
意味着	mənasını vermək	Susmaq razılıq mənasını vermir.
意向	niyyət	Hər iki tərəf əməkdaşlıq niyyətini ifadə etdi.
意志	iradə	Çətinliklər insanın iradəsini sınayır.
毅力	əzmkarlıq	Uğur uzunmüddətli əzmkarlıq tələb edir.
毅然	qətiyyətlə	O, şirkətdən qətiyyətlə ayrıldı.
翼	qanad	Təyyarənin qanadı yoxlanıldı.
阴谋	sui-qəsd	Onlar bu sui-qəsdi ifşa etdilər.
音响	akustika	Qonaq otağının akustikası yaxşıdır.
引导	yönləndirmək	Müəllim şagirdləri düşünməyə yönləndirdi.
引擎	mühərrik	Avtomobilin mühərriki qəfil söndü.
引用	sitat gətirmək	Məqalə çoxlu materialdan sitat gətirdi.
隐蔽	gizlənmək	Əsgərlər meşədə gizləndilər.
隐患	gizli təhlükə	Köhnə naqillərdə gizli təhlükə var.
隐瞒	gizlətmək	O, həqiqəti gizlətmədi.
隐私	məxfilik	Şirkət istifadəçi məxfiliyini qorumalıdır.
隐约	zəif	Uzaqdan zəif mahnı səsi eşidilirdi.
饮食	qidalanma	Sağlam qidalanma sağalmağa kömək edir.
婴儿	körpə	Körpə sakitcə yatır.
英明	müdrik	Rəhbər müdrik qərar verdi.
英勇	qəhrəmanlıqla	Yanğınsöndürən uşağı qəhrəmanlıqla xilas etdi.
盈利	mənfəət əldə etmək	Şirkət bu il mənfəət əldə etməyə başladı.
迎面	üzə doğru	Soyuq külək üzümüzə doğru əsdi.
应酬	sosial görüşlər	Onun bu axşam çoxlu sosial görüşləri var.
应邀	dəvətlə	Ekspert foruma dəvətlə qatıldı.
庸俗	bayağı	Bu reklamın məzmunu çox bayağıdır.
拥护	dəstəkləmək	Hamı yeni siyasəti dəstəkləyir.
拥有	malik olmaq	Onun zəngin təcrübəsi var.
勇于	cəsarət etmək	Gənclər sınamağa cəsarət etməlidirlər.
永恒	əbədi	Sevgi dəyişməz şəkildə əbədi deyil.
涌现	üzə çıxmaq	Hər yerdə yaxşı müəllimlər üzə çıxır.
踊跃	həvəslə	Sakinlər tədbirə həvəslə yazıldılar.
用户	istifadəçi	İstifadəçilər parollarını dəyişə bilərlər.
优胜劣汰	güclünün seçilməsi	Bazar rəqabəti güclünün seçilməsini əks etdirir.
优先	üstünlük vermək	Yaşlı insanlara əvvəlcə xidmət göstərilə bilər.
优异	əla	O, əla nəticələr əldə etdi.
优越	üstün	Buranın coğrafi mövqeyi üstündür.
忧郁	kədərli	Onun ifadəsi kədərli görünürdü.
油腻	yağlı	Bu yemək çox yağlıdır.
油漆	boya	Fəhlələr qapını boyayırlar.
犹如	oxşamaq	Gölün səthi güzgüyə oxşayır.
有条不紊	nizamlı	İclas nizamlı şəkildə davam etdi.
幼稚	uşaqca	Bu fikir bir az uşaqcadır.
诱惑	cazibə	Reklam istehlak cazibələri ilə doludur.
愚蠢	axmaq	Bu qərar son dərəcə axmaqdır.
愚昧	cahil	Cahil düşüncələr irəliləyişə mane olur.
渔民	balıqçı	Balıqçılar sübh tezdən dənizə balıq tutmağa çıxırlar.
舆论	ictimai rəy	İctimai rəy bu işə böyük təsir göstərir.
与日俱增	gündən-günə artmaq	Turistlərin sayı gündən-günə artır.
宇宙	kainat	İnsanlıq kainatı araşdırmağa davam edir.
羽绒服	tüklü gödəkçə	Qışda tüklü gödəkçə geyinmək lazımdır.
寓言	təmsil	Bu təmsil çox ibrətamizdir.
愈	getdikcə	Xəstənin vəziyyəti getdikcə yaxşılaşır.
欲望	istək	O, alış-veriş istəyini nəzarətdə saxladı.
熨	ütüləmək	O, köynəyi hamar ütülədi.
玉	nefrit	Bu nefrit parçasının rəngi yumşaqdır.
预料	gözləmək	Hadisələrin inkişafı gözləniləndən artıq oldu.
预期	gözlənti	Satış həcmi gözləntidən aşağı oldu.
预算	büdcə	Layihə büdcəsinin düzəldilməsinə ehtiyac var.
预先	əvvəlcədən	Zəhmət olmasa materialları əvvəlcədən hazırlayın.
预言	proqnoz	Onun proqnozu gerçəkləşmədi.
预兆	əlamət	Ağrı xəstəliyin əlaməti ola bilər.
冤枉	haqsız yerə günahlandırmaq	Günahsız insanı haqsız yerə günahlandırma.
元首	dövlət başçısı	İki ölkənin dövlət başçıları danışıqlar apardılar.
元素	element	Oksigen kimyəvi elementdir.
元宵节	Fənər bayramı	Fənər bayramında insanlar fənərlərə tamaşa edirlər.
原告	iddaçı	İddiaçı yeni sübut təqdim etdi.
原理	prinsip	Müəllim maşının iş prinsipini izah etdi.
原始	orijinal	Onlar orijinal qeydləri saxladılar.
原先	əvvəlki	Əvvəlki plan artıq dəyişib.
园林	bağlar	Suçjou bağları çox məşhurdur.
圆满	tam uğurlu	İclas tam uğurla başa çatdı.
源泉	mənbə	Təcrübə bilik mənbəyidir.
缘故	səbəb	O, sağlamlıq səbəbi ilə istefa verdi.
约束	məhdudlaşdırmaq	Sistem işçilərin davranışını məhdudlaşdırır.
乐谱	not vərəqi	O, not vərəqini diqqətlə oxudu.
岳母	qayınana	O, həftəsonu qayınanasına baş çəkməyə getdi.
孕育	yetişdirmək	Torpaq yeni həyatı yetişdirir.
蕴藏	ehtiva etmək	Dağlıq ərazi zəngin mineral ehtiyatları ehtiva edir.
运算	hesablama	Şagirdlər riyazi hesablamalar məşq edirlər.
运行	işləmək	Sistem sabit işləyir.
酝酿	hazırlamaq	Hər iki tərəf yeni plan hazırlayır.
杂技	akrobatika	Uşaqlar akrobatika tamaşalarına baxmağı sevirlər.
杂交	hibridləşdirmək	Alimlər hibrid düyünü tədqiq edirlər.
砸	çırpılıb sınmaq	Fincan yerə çırpılıb sındı.
咋	necə olur	Necə olur ki, hələ də qayıtmamısan?
栽培	yetişdirmək	Bağban çoxlu gül yetişdirdi.
灾难	fəlakət	Fəlakətdən sonra şəhər yenidən qurulmağa başladı.
宰	kəsmək	Bayramda kəndlilər qoyun kəsirlər.
再接再厉	səyi davam etdirmək	Mükafat qazandıqdan sonra komanda səylərini davam etdirdi.
在意	önəm vermək	O, başqalarının fikirlərinə çox önəm verir.
攒	pul yığmaq	O, kompüter almaq üçün pul yığır.
暂且	hələlik	Bu məsələni hələlik kənara qoyaq.
赞叹	heyran qalmaq	Tamaşaçılar aktyorun çıxışına heyran qaldılar.
赞助	sponsorluq etmək	Şirkət bu yarışa sponsorluq etdi.
糟蹋	israf etmək	Bu təzə qidaları israf etmə.
遭受	məruz qalmaq	Əkin sahələri ciddi quraqlığa məruz qaldı.
遭殃	zərər çəkmək	Körpü uçanda yaxınlıqdakı sakinlər zərər çəkdilər.
遭遇	rast gəlmək	Onlar yolda qar fırtınasına rast gəldilər.
噪音	səs-küy	Tikinti səs-küyü istirahətə təsir edir.
造型	forması	Bu avtomobil modelinin forması çox fərqlidir.
责怪	günahlandırmaq	Zəhmət olmasa uşağı kor-koranə günahlandırma.
贼	oğru	Polis o oğrunu tutdu.
增添	əlavə etmək	Təzə güllər otağa rəng əlavə edir.
赠送	hədiyyə vermək	Mağaza kiçik hədiyyələr verir.
扎	iynə vurmaq	Tibb bacısı ona bir iynə vurdu.
扎实	möhkəm	Onun qrammatika bazası çox möhkəmdir.
渣	çöküntü	Fincanın dibində qəhvə çöküntüsü qaldı.
眨	göz qırpmaq	O, gözlərini qırpdı.
诈骗	dələduzluq etmək	Polis telekommunikasiya dələduzluğu işini açdı.
摘要	xülasə	Məqalənin xülasəsi aydın yazılıb.
债券	istiqraz	İnvestorlar dövlət istiqrazları alırlar.
沾光	faydalanmaq	Mən də dostumun sayəsində faydalandım.
瞻仰	ehtiram göstərmək	Turistlər qəhrəmanlar abidəsinə ehtiram göstərdilər.
展示	nümayiş etdirmək	Şirkət ən yeni məhsulunu nümayiş etdirdi.
展望	proqnoz vermək	Hesabat gələcək meyllərə proqnoz verir.
展现	göstərmək	Əsər kənd həyatını göstərir.
崭新	tam yeni	O, tam yeni velosiped aldı.
斩钉截铁	qətiyyətlə	O, qətiyyətlə imtina etdi.
占据	tutmaq	Reklam bütün səhifəni tutdu.
占领	ələ keçirmək	Ordu dağ keçidini ələ keçirdi.
战斗	döyüş	Döyüş üç saat davam etdi.
战略	strategiya	Şirkət inkişaf strategiyasını dəyişdi.
战术	taktika	Məşqçi oyun taktikasını dəyişdi.
战役	hərbi kampaniya	Bu hərbi kampaniya vəziyyəti dəyişdi.
章程	nizamnamə	Assosiasiya yeni nizamnamə qəbul etdi.
帐篷	çadır	Onlar göl kənarında çadır qurdular.
障碍	maneə	Dil maneələri ünsiyyətə təsir edir.
招标	tender elan etmək	Mühəndislik layihəsi açıq tender elan etdi.
招收	qəbul etmək	Məktəb bu il yeni şagirdlər qəbul edir.
朝气蓬勃	enerjili	Gənc komanda çox enerjilidir.
着迷	valeh olmaq	Uşaq astronomiyaya valeh olub.
沼泽	bataqlıq	Ekspedisiya bataqlıqdan keçdi.
照样	həmişəki kimi	Yağış yağdı, amma məşq həmişəki kimi davam etdi.
照耀	işıqlandırmaq	Günəş işığı meydanı işıqlandırır.
折腾	qurdalamaq	Bu köhnə kompüteri daha qurdalama.
遮挡	qarşısını kəsmək	Budaqlar pəncərənin qarşısını kəsdi.
折	qatlamaq	O, kağızı təyyarə formasında qatladı.
折磨	əzab vermək	Uzunmüddətli yuxusuzluq ona əzab verir.
侦探	detektiv	Detektiv əsas ipucunu tapdı.
斟酌	diqqətlə düşünmək	Zəhmət olmasa ifadələri diqqətlə düşünün.
珍贵	qiymətli	Bu şəkillər çox qiymətlidir.
珍稀	nadir	Nadir vəhşi heyvanları qoruyun.
珍珠	inci	O, inci sırğalar taxıb.
真理	həqiqət	Təcrübə həqiqəti yoxlayır.
真相	həqiqət	Jurnalist həqiqəti öyrənmək üçün çox çalışdı.
真挚	səmimi	O, səmimi təşəkkürünü bildirdi.
枕头	yastıq	Bu yastıq çox hündürdür.
振奋	ruhlandırmaq	Yaxşı xəbər hamını ruhlandırdı.
振兴	dirçəliş	Hökumət kənd dirçəlişini təşviq edir.
镇定	sakit	Kritik anda o, sakit qaldı.
镇静	sakit qalmaq	Tibb bacısı xəstəyə sakit qalmağı dedi.
阵地	mövqe	Əsgərlər mövqeni qorudular.
阵容	heyət	Komanda start heyətini açıqladı.
震撼	sarsıdıcı	Bu film çox sarsıdıcıdır.
震惊	sarsıtmaq	Xəbər bütün ölkəni sarsıtdı.
争端	mübahisə	Hər iki tərəf sərhəd mübahisəsini həll etməyə çalışdı.
争夺	uğrunda yarışmaq	İki şirkət bazar payı uğrunda yarışır.
争气	üz ağartmaq	O, ailəsinin üzünü ağartmaq üçün çox oxuyur.
争先恐后	bir-birini qabaqlamaq	Turistlər avtobusa minmək üçün bir-birini qabaqladılar.
争议	mübahisə	Bu qərar mübahisə doğurdu.
征服	fəth etmək	Alpinist zirvəni fəth etdi.
征收	toplamaq	Hökumət vergiləri qanuna uyğun toplayır.
挣扎	çabalamaq	Quş torda çabalayırdı.
正月	lunar ilin ilk ayı	Lunar ilin ilk ayında qohumlar bir-birini bayram münasibətilə ziyarət edirlər.
蒸发	buxarlanmaq	Nəmlik tez buxarlandı.
整顿	yenidən təşkil etmək	Şirkət idarəetməni yenidən təşkil etməyə başladı.
政策	siyasət	Yeni siyasət kiçik biznesləri dəstəkləyir.
政权	hakimiyyət	Müharibə yerli hakimiyyəti dəyişdi.
正当	haqlı	O, haqlı tələb irəli sürdü.
正负	müsbət və mənfi	Cihaz müsbət və mənfi xətanı göstərir.
正规	rəsmi	Uşaq rəsmi məktəbə oxumağa daxil oldu.
正经	ciddi	O, nəhayət ciddi danışmağa başladı.
正气	ədalət ruhu	Cəmiyyət ədalət ruhunu təşviq etməlidir.
正义	ədalət	Vəkil ədaləti müdafiə etdi.
正宗	autentik	Bu restoran autentik Sıçuan yeməkləri satır.
症状	simptom	Qızdırma ümumi simptomdur.
证实	təsdiqləmək	Araşdırma onun sözlərini təsdiqlədi.
证书	sertifikat	O, peşəkar sertifikat aldı.
郑重	təntənəli	O, məsuliyyət daşıyacağına təntənəli söz verdi.
之际	yaxınlaşanda	Bahar bayramı yaxınlaşanda hamı çox məşğul olur.
支撑	dəstəkləmək	Sütunlar damı dəstəkləyir.
支出	xərc	Ailə xərcləri açıq şəkildə artıb.
支流	qol	Bu çay Yantszının qoludur.
支配	hakim olmaq	Emosiyalar mühakiməyə hakim olmamalıdır.
支援	dəstək vermək	Müxtəlif yerlərdən həkimlər dəstək verməyə gəldilər.
支柱	dayaq	İstehsal yerli iqtisadiyyatın dayağıdır.
枝	budaq	O, bir çiçək budağı qopardı.
知觉	huş	Yaralı tədricən huşunu bərpa etdi.
知足常乐	qane olmaq xoşbəxtlik gətirir	Yaşlı adam tez-tez qane olmağın xoşbəxtlik gətirdiyini deyir.
脂肪	yağ	Fındıq sağlam yağlar ehtiva edir.
侄子	qardaş oğlu	Mənim qardaş oğlum bu il ibtidai məktəbə başladı.
值班	növbədə olmaq	Tibb bacısı bu gecə növbədədir.
执行	icra etmək	Məhkəmə hökmü icra etdi.
执着	israrlı	O, ideallarına qarşı çox israrlıdır.
殖民地	müstəmləkə	Bu ada vaxtilə müstəmləkə idi.
直播	canlı yayım	Oyun bu axşam internetdə canlı yayımlanacaq.
直径	diametr	Bu dairənin diametri on santimetrdir.
职能	funksiya	Şöbənin funksiyaları yenidən bölüşdürülməlidir.
职位	vəzifə	O, idarəetmə vəzifəsinə müraciət etdi.
职务	vəzifə	Onun vəzifəsi layihə rəhbəridir.
指标	göstərici	Satış göstəricisi artıq yerinə yetirilib.
指定	təyin etmək	Müəllim ona suala cavab verməyi təyin etdi.
指甲	dırnaq	O, dırnaqlarını qısa kəsdi.
指令	əmr	Kompüter yeni əmr aldı.
指南针	kompas	Alpinist kompas götürdü.
指示	təlimat	Menecer aydın təlimat verdi.
指望	ümid etmək	Bunu sənin yerinə başqasının bitirəcəyinə ümid etmə.
指责	tənqid etmək	İctimaiyyət şirkəti ətraf mühiti çirkləndirdiyinə görə tənqid etdi.
制裁	sanksiya	Beynəlxalq ictimaiyyət iqtisadi sanksiyalar tətbiq etdi.
制服	uniforma	Mühafizəçi tünd mavi uniforma geyinmişdi.
