simplified	MY	example_MY
顾虑	စိုးရိမ်ပူပန်မှု; မဝံ့မရဲစိတ်	သင့်တွင် စိုးရိမ်ပူပန်မှုရှိလျှင် တိုက်ရိုက်ပြောနိုင်သည်။
顾问	အကြံပေးပုဂ္ဂိုလ်	ကျွန်ုပ်တို့သည် ဥပဒေအကြံပေးပုဂ္ဂိုလ်တစ်ဦးကို ငှားခဲ့သည်။
拐杖	တုတ်ကောက်; လမ်းလျှောက်တုတ်	အဖိုးသည် လမ်းလျှောက်တုတ်ကို ကိုင်ပြီး ဖြည်းဖြည်းလမ်းလျှောက်သည်။
关怀	စောင့်ရှောက်မှု; ဂရုစိုက်မှု	ဆရာမ၏ စောင့်ရှောက်မှုကြောင့် ကျောင်းသားများ အားရှိလာသည်။
关照	စောင့်ရှောက်သည်; ဂရုစိုက်ပေးသည်	ခရီးသွားနေစဉ် အိမ်ကို ဂရုစိုက်ပေးရန် အိမ်နီးချင်းကို တောင်းဆိုခဲ့သည်။
官方	အစိုးရပိုင်းဆိုင်ရာ; တရားဝင်	အစိုးရပိုင်းဆိုင်ရာ ကြေညာချက်ကို ယနေ့ည ထုတ်ပြန်မည်။
观光	လည်ပတ်ကြည့်ရှုခြင်း	ဧည့်သည်များသည် မြို့ဟောင်းကို လည်ပတ်ကြည့်ရှုရန် စောစောထွက်ခဲ့သည်။
管辖	အုပ်ချုပ်ထိန်းချုပ်သည်; စီရင်ပိုင်ခွင့်ရှိသည်	ဤကျွန်းများကို ဒေသအစိုးရက အုပ်ချုပ်ထိန်းချုပ်သည်။
惯例	ထုံးစံ; လုပ်ရိုးလုပ်စဉ်	အစည်းအဝေးမစမီ အကျဉ်းချုပ်တင်ပြခြင်းသည် ကုမ္ပဏီ၏ လုပ်ရိုးလုပ်စဉ် ဖြစ်သည်။
灌溉	ရေလောင်းစိုက်ပျိုးသည်; ဆည်မြောင်းရေပေးသည်	လယ်ကွင်းများကို ဆည်မြောင်းရေဖြင့် ရေလောင်းစိုက်ပျိုးသည်။
罐	ဘူး; အိုး	သူမသည် ပျားရည်ဘူးကို မီးဖိုချောင်တွင် သိမ်းထားသည်။
贯彻	အကောင်အထည်ဖော်ဆောင်ရွက်သည်	ကျောင်းသည် လုံခြုံရေးစည်းမျဉ်းများကို တင်းကျပ်စွာ အကောင်အထည်ဖော်ဆောင်ရွက်သည်။
光彩	တောက်ပမှု; ဂုဏ်အသရေ	ဆုရရှိမှုသည် မိသားစုအတွက် ဂုဏ်အသရေ ဖြစ်လာခဲ့သည်။
光辉	တောက်ပသော; ဂုဏ်သရေရှိသော	သူတို့သည် တိုင်းပြည်၏ ဂုဏ်သရေရှိသော သမိုင်းကို လေ့လာခဲ့ကြသည်။
光芒	အလင်းရောင်; ရောင်ခြည်	နံနက်နေရောင်ခြည်သည် ပြတင်းပေါက်မှ ဝင်လာသည်။
光荣	ဂုဏ်ယူဖွယ်; ဂုဏ်ကျက်သရေရှိသော	အသင်းအတွက် အနိုင်ရခြင်းသည် ဂုဏ်ယူဖွယ် အခိုက်အတန့် ဖြစ်သည်။
广阔	ကျယ်ပြန့်သော	ဤလုပ်ငန်းတွင် အနာဂတ်ဖွံ့ဖြိုးရေးအခွင့်အလမ်း ကျယ်ပြန့်သည်။
归根到底	အရင်းအမြစ်အားဖြင့်; နောက်ဆုံးတော့	နောက်ဆုံးတော့ ပြဿနာ၏ အဓိကအကြောင်းရင်းမှာ ဆက်သွယ်မှုမလုံလောက်ခြင်း ဖြစ်သည်။
归还	ပြန်အပ်သည်	စာကြည့်တိုက်စာအုပ်ကို သတ်မှတ်ရက်မတိုင်မီ ပြန်အပ်ပါ။
规范	စံနှုန်း; စည်းမျဉ်းစံ	ဆေးရုံသည် ဝန်ထမ်းများအတွက် လုပ်ငန်းစံနှုန်းအသစ်များ သတ်မှတ်ခဲ့သည်။
规格	သတ်မှတ်ချက်; အရွယ်အစားစံ	စက်ပစ္စည်း၏ သတ်မှတ်ချက်များကို စာရွက်တွင် ရှင်းလင်းစွာ ဖော်ပြထားသည်။
规划	စီမံကိန်းရေးဆွဲသည်; စီမံချက်	မြို့တော်ဖွံ့ဖြိုးရေးအတွက် ရေရှည်စီမံချက်တစ်ခု ရေးဆွဲနေသည်။
规章	စည်းမျဉ်းစည်းကမ်း	ဝန်ထမ်းအားလုံးသည် ရုံးစည်းမျဉ်းစည်းကမ်းများကို လိုက်နာရမည်။
轨道	ရထားလမ်း; လမ်းကြောင်း	ရထားသည် မိုးသည်းထန်သော်လည်း သတ်မှတ်ထားသော လမ်းကြောင်းအတိုင်း ဆက်သွားသည်။
贵族	မင်းမျိုးမင်းနွယ်; အထက်တန်းမျိုးရိုး	ပြတိုက်တွင် မင်းမျိုးမင်းနွယ်တို့ အသုံးပြုခဲ့သော ပစ္စည်းများ ပြသထားသည်။
跪	ဒူးထောက်သည်	ကလေးသည် ဖိနပ်ကြိုးချည်ရန် မြေပေါ်တွင် ဒူးထောက်လိုက်သည်။
棍棒	တုတ်; လက်နက်တုတ်	လုံခြုံရေးဝန်ထမ်းများသည် တုတ်များကို အသုံးမပြုဘဲ လူအုပ်ကို ထိန်းချုပ်ခဲ့သည်။
国防	နိုင်ငံတော်ကာကွယ်ရေး	နိုင်ငံတော်ကာကွယ်ရေးအတွက် ခေတ်မီနည်းပညာများ လိုအပ်သည်။
国务院	နိုင်ငံတော်ကောင်စီ	နိုင်ငံတော်ကောင်စီသည် စီးပွားရေးအစီအစဉ်သစ်ကို အတည်ပြုခဲ့သည်။
果断	ပြတ်သားသော; ဆုံးဖြတ်ချက်မြန်သော	အရေးပေါ်အခြေအနေတွင် သူမသည် ပြတ်သားသော ဆုံးဖြတ်ချက် ချခဲ့သည်။
过度	အလွန်အကျွံဖြစ်သော	အလွန်အကျွံလုပ်အားပေးခြင်းသည် ကျန်းမာရေးကို ထိခိုက်စေနိုင်သည်။
过渡	ကူးပြောင်းမှု	ကုမ္ပဏီသည် စနစ်ဟောင်းမှ စနစ်သစ်သို့ ကူးပြောင်းမှုကို သေချာစီစဉ်နေသည်။
过奖	အလွန်ချီးကျူးသည်	သင် အလွန်ချီးကျူးနေပါပြီ၊ ကျွန်ုပ်မှာ လေ့လာစရာများ နောက်ထပ်ရှိသေးသည်။
过滤	စစ်ထုတ်သည်	ရေကို မသောက်မီ စစ်ထုတ်ရန် လိုအပ်သည်။
过失	အမှား; ပေါ့လျော့မှု	ဤမတော်တဆမှုသည် ယာဉ်မောင်း၏ ပေါ့လျော့မှုကြောင့် ဖြစ်ခဲ့သည်။
