simplified	SW	example_SW
挽救	kuokoa	Daktari alifanikiwa kuokoa maisha ya mgonjwa.
万分	sana mno	Ninakushukuru sana mno kwa msaada wako.
往常	kawaida ya zamani	Leo ni joto zaidi kuliko kawaida.
往事	matukio ya zamani	Mzee mara nyingi hukumbuka matukio ya zamani.
妄想	ndoto ya bure	Anaota ndoto ya bure ya kuwa tajiri kwa usiku mmoja.
危机	mgogoro	Kampuni inakabiliwa na mgogoro mkubwa.
威风	hadhi ya kutisha	Jenerali alionekana mwenye hadhi ya kutisha akiwa juu ya farasi.
威力	nguvu kubwa	Aina hii ya silaha ina nguvu kubwa sana.
威望	heshima kubwa	Ana heshima kubwa kijijini.
威信	uaminifu wa umma	Viongozi lazima wadumishe uaminifu wa umma kwa serikali.
微不足道	ndogo isiyo na maana	Hasara hii ndogo haina maana sana.
微观	ngazi ndogo	Somo hili linatambulisha uchumi wa ngazi ndogo.
为难	kuweka katika ugumu	Acha kumweka mhudumu katika ugumu.
为期	kudumu	Mafunzo haya yatadumu miezi mitatu.
唯独	isipokuwa yeye tu	Kila mtu alifika isipokuwa yeye tu.
维持	kudumisha	Polisi walidumisha utaratibu eneo la tukio.
维护	kulinda	Lazima tulinde haki na maslahi yetu ya kisheria.
维生素	vitamini	Matunda yana vitamini nyingi.
违背	kukiuka	Uamuzi huu unakiuka roho ya mkataba.
伪造	kughushi	Mtu fulani alighushi sahihi yake.
委托	kukabidhi	Mteja alimkabidhi wakili kushughulikia kesi.
委员	mjumbe wa kamati	Kila mjumbe wa kamati alitoa maoni.
卫星	setilaiti	Setilaiti iliingia kwenye mzingo uliopangwa.
喂	kulisha	Mtoto anamlisha paka mdogo.
慰问	kutoa pole	Viongozi walienda hospitalini kutoa pole kwa majeruhi.
未免	kupita kiasi kidogo	Hitaji hili limepita kiasi kidogo.
畏惧	kuogopa	Haogopi matatizo kamwe.
蔚蓝	samawati	Anga lilionyesha rangi ya samawati.
温带	ukanda wa wastani	Mmea huu unafaa hali ya hewa ya ukanda wa wastani.
温和	wastani; mpole	Msimamo wake wa sera ni wa wastani kiasi.
文凭	stashahada	Kazi hii inahitaji stashahada ya chuo kikuu.
文物	masalio ya kitamaduni	Makumbusho yalionyesha masalio ya kitamaduni ya thamani.
文献	maandiko ya rejea	Makala ilinukuu maandiko mengi ya rejea.
文雅	mstaarabu	Anatenda kwa ustaarabu.
文艺	fasihi na sanaa	Jiji hili lina mazingira makubwa ya fasihi na sanaa.
问世	kuzinduliwa	Aina hii ya simu iko karibu kuzinduliwa.
窝	kiota	Kuna kiota cha ndege kwenye mti.
乌黑	nyeusi sana	Ana nywele ndefu nyeusi sana.
污蔑	kuchafua jina	Alikana kuchafua jina la mshindani wake.
诬陷	kusingizia	Ushahidi unaonyesha kuwa alisingiziwa.
无比	isiyo kifani	Aliposikia habari hiyo, alihisi msisimko usio kifani.
无偿	bure	Wajitolea hutoa huduma bure.
无耻	bila aibu	Tabia hii ya udanganyifu haina aibu kabisa.
无动于衷	kutojali	Alipokabiliwa na ukosoaji, alibaki bila kujali.
无非	si kingine ila	Alifanya hivi si kingine ila kuokoa pesa.
无辜	asiye na hatia	Mahakama iliamua kuwa hana hatia.
无精打采	kukosa nguvu	Anaonekana kukosa nguvu leo.
无赖	mhuni	Wanakijiji hawataki kushughulika na mhuni huyo.
无理取闹	kufanya fujo bila sababu	Tafadhali usifanye fujo hapa bila sababu.
无能为力	kutokuwa na uwezo	Wakikabiliwa na mafuriko, wanakijiji hawakuwa na uwezo.
无穷无尽	isiyo na mwisho	Jangwa lilionekana lisilo na mwisho.
无微不至	kwa uangalifu wa kila hali	Muuguzi alimhudumia mgonjwa kwa uangalifu wa kila hali.
无忧无虑	bila wasiwasi	Watoto walicheza bila wasiwasi kwenye nyasi.
无知	ujinga	Ujinga si sababu ya kukataa kujifunza.
侮辱	kudhalilisha	Maneno yake yalimdhalilisha mtu mwingine.
武器	silaha	Silaha hizi zinatunzwa chini ya usimamizi mmoja.
武侠	ushujaa wa sanaa ya mapigano	Amependa kusoma riwaya za ushujaa wa sanaa ya mapigano tangu utotoni.
武装	silaha; kujihami	Eneo la mpakani liliimarisha doria zenye silaha.
舞蹈	ngoma	Ngoma hii ina sifa kubwa za kikabila.
务必	lazima	Tafadhali lazima ufike kwa wakati.
物美价廉	bora na bei nafuu	Bidhaa za duka hili ni bora na bei nafuu.
物业	usimamizi wa mali	Usimamizi wa mali unawajibika kwa matengenezo katika makazi.
物资	vifaa na bidhaa	Vifaa vya msaada tayari vimefikishwa eneo la maafa.
误差	hitilafu	Kuna hitilafu ndogo katika matokeo ya kipimo.
误解	kutoelewana	Pande hizo mbili ziliondoa kutoelewana kupitia mawasiliano.
夕阳	jua la machweo	Jua la machweo lilipaka anga rangi ya dhahabu.
昔日	zamani	Kijiji cha zamani kikawa jiji.
溪	kijito	Kijito kidogo hupita milimani.
熄灭	kuzima	Tafadhali zima mshumaa.
牺牲	kujitoa mhanga	Walijitoa mhanga kuokoa wengine.
膝盖	goti	Goti lake lilijeruhiwa.
习俗	desturi	Sikukuu ya Mwaka Mpya wa Kichina ina desturi nyingi.
媳妇	mke	Mke wake anafanya kazi hospitalini.
袭击	kushambulia	Dhoruba ilishambulia jiji la pwani.
喜闻乐见	kupendwa na watazamaji	Aina hii ya kipindi hupendwa na watazamaji.
喜悦	furaha	Tabasamu la furaha lilionekana usoni mwake.
系列	mfululizo	Kampuni ilizindua mfululizo wa bidhaa mpya.
细菌	bakteria	Joto kali linaweza kuua bakteria.
细胞	seli	Mwili wa binadamu umeundwa na seli zisizohesabika.
细致	makini sana	Uchunguzi wake ni makini sana.
峡谷	korongo	Mto unapita katika korongo refu.
狭隘	fikra finyu	Mtazamo huu wa fikra finyu unahitaji kubadilika.
狭窄	nyembamba	Njia hii ni nyembamba sana.
霞	mawingu mekundu ya jioni	Mwangaza wa jioni uliifanya anga iwe nyekundu.
下属	wafanyakazi wa chini	Meneja alisikiliza kwa makini maoni ya wafanyakazi wa chini.
先进	ya kisasa	Kiwanda kilitumia vifaa vya kisasa.
先前	hapo awali	Mpango wa hapo awali tayari umebadilika.
掀起	kuanzisha	Wiki hii ilianzisha wimbi la majadiliano.
纤维	nyuzi	Kitambaa hiki kina nyuzi asilia.
鲜明	wazi kabisa	Msimamo wake uko wazi kabisa.
嫌	kuchukia	Anachukia kuwa chumba ni kidogo sana.
嫌疑	shaka	Mtu huyu ana shaka kubwa.
弦	uzi wa ala	Uzi mmoja wa gitaa ulikatika.
衔接	kuunganisha	Maudhui ya kozi hizo mbili yanaunganishwa vizuri sana.
贤惠	mwema na hodari	Anaonekana kuwa mwema na hodari.
闲话	umbea	Usiseme umbea kuhusu wengine nyuma yao.
显著	dhahiri	Athari ya matibabu ni dhahiri sana.
宪法	katiba	Katiba inalinda haki za msingi za raia.
现场	eneo la tukio	Waandishi wa habari tayari wamefika eneo la ajali.
现成	tayari	Kuna chakula tayari jikoni.
现状	hali ya sasa	Tunahitaji kuelewa hali ya sasa ya sekta.
线索	kidokezo	Polisi walipata kidokezo kipya.
陷害	kusingizia	Alidai kuwa mtu fulani alimsingizia.
陷阱	mtego	Mwindaji aliweka mtego.
陷入	kuangukia	Kampuni iliangukia matatizo ya kifedha.
馅儿	ujazo wa chakula	Ujazo wa baozi hii unanukia vizuri sana.
乡镇	mji mdogo wa vijijini	Hali ya shule za miji midogo ya vijijini inaboreka.
相差	kutofautiana	Joto la sehemu hizo mbili linatofautiana kwa nyuzi kumi.
相等	sawa	Pembetatu hizo mbili zina maeneo sawa.
相辅相成	kukamilishana	Nadharia na mazoezi hukamilishana.
相应	inayolingana	Kampuni itachukua hatua zinazolingana.
镶嵌	kuweka ndani	Jiwe la thamani limewekwa ndani ya pete.
响亮	kubwa na wazi	Jibu lake lilikuwa kubwa na wazi.
响应	kuitikia	Watu wengi waliitikia mpango wa mazingira.
想方设法	kutafuta kila njia	Walijaribu kila njia kupunguza gharama.
向导	mwongozaji	Mwongozaji wa eneo hilo alitupeleka milimani.
向来	siku zote	Yeye siku zote amethamini uaminifu.
向往	kutamani	Anatamani maisha tulivu.
巷	kichochoro	Maduka mengi madogo yamefunguliwa katika kichochoro cha zamani.
相声	mazungumzo ya vichekesho	Babu hupenda kusikiliza mazungumzo ya vichekesho ya jadi.
消除	kuondoa	Mawasiliano yanaweza kuondoa kutoelewana.
消毒	kuua vijidudu	Daktari aliua vijidudu kwenye jeraha.
消防	zimamoto	Wazima moto walifika haraka eneo la tukio.
消耗	kutumia	Usafiri wa masafa marefu hutumia nguvu nyingi za mwili.
消灭	kuangamiza	Wafanyakazi wanaangamiza wadudu waharibifu.
潇洒	huru na maridadi	Namna anavyotembea ni huru na maridadi.
销毁	kuharibu	Forodha iliharibu bidhaa bandia.
小心翼翼	kwa uangalifu mkubwa	Alifungua sanduku kwa uangalifu mkubwa.
效益	manufaa	Vifaa vipya viliboresha manufaa ya uzalishaji.
肖像	picha ya uso	Picha yake ya uso imening'inia ukutani.
协会	chama	Chama hiki huwasaidia wajasiriamali vijana.
协商	kushauriana	Pande zote mbili ziko tayari kuendelea kushauriana.
协调	kuratibu	Meneja wa mradi anawajibika kuratibu rasilimali.
协议	makubaliano	Pande hizo mbili zilitia saini makubaliano ya ushirikiano.
协助	kusaidia	Wajitolea waliwasaidia wazee kuvuka barabara.
携带	kubeba	Abiria hawaruhusiwi kubeba bidhaa hatari.
屑	chembe ndogo	Kuna chembe nyingi za mbao mezani.
泄露	kuvujisha	Wafanyakazi hawapaswi kuvujisha taarifa za wateja.
泄气	kukata tamaa	Usikate tamaa baada ya kushindwa.
谢绝	kukataa kwa heshima	Hoteli inakataa kwa heshima chakula kutoka nje.
心得	maarifa yaliyopatikana	Alishiriki maarifa aliyopata kutokana na kusoma.
心甘情愿	kwa hiari kabisa	Alibaki kusaidia kwa hiari kabisa.
心灵	roho; moyo	Muziki uliifariji roho yake.
心态	mtazamo	Kudumisha mtazamo chanya ni muhimu.
心疼	kuumia moyoni kwa upendo	Mama aliumia moyoni kwa mtoto wake aliyejeruhiwa.
心血	juhudi kubwa	Kitabu hiki kina juhudi kubwa za mwandishi.
心眼儿	nia; mawazo	Yeye ana mawazo finyu kidogo.
新陈代谢	mchakato wa kimetaboli	Mazoezi yanaweza kukuza mchakato wa kimetaboli.
新郎	bwana harusi	Bwana harusi aliwakaribisha wageni mlangoni.
新娘	bibi harusi	Bibi harusi alivaa gauni jeupe la harusi.
新颖	mpya na asilia	Muundo huu ni mpya na asilia sana.
欣慰	kuridhika kwa furaha	Kuona maendeleo ya mtoto kulimfanya aridhike kwa furaha.
欣欣向荣	kustawi	Utalii katika mji unastawi.
薪水	mshahara	Mshahara wake unatosha kuisaidia familia.
辛勤	kwa bidii	Wakulima hufanya kazi kwa bidii kupanda mazao.
信赖	kuamini	Wateja wanaiamini kampuni hii sana.
信念	imani	Imani thabiti ilimsaidia.
信仰	imani	Anaheshimu imani tofauti.
信誉	sifa	Kampuni lazima ilinde sifa yake.
兴高采烈	kwa furaha kubwa	Watoto waliingia darasani kwa furaha kubwa.
兴隆	kustawi	Duka hili la zamani lina biashara inayostawi.
兴旺	kufanikiwa	Uchumi wa soko unazidi kufanikiwa.
腥	harufu ya samaki	Samaki huyu ana harufu kidogo ya samaki.
刑事	jinai	Polisi wanachunguza kesi ya jinai.
形态	umbo	Umbo la mmea hubadilika kulingana na mazingira.
行政	utawala	Idara ya utawala hushughulikia maombi.
兴致勃勃	kwa hamu kubwa	Kila mtu alijadili mpango huo kwa hamu kubwa.
性感	mvuto wa kimapenzi	Gauni hili la jioni linaonekana kuwa na mvuto wa kimapenzi.
性命	maisha	Daktari aliokoa maisha yake.
性能	utendaji	Kompyuta hii ina utendaji mzuri.
凶恶	mkali na katili	Mbwa huyu anaonekana mkali sana.
凶手	muuaji	Polisi hatimaye walimkamata muuaji.
汹涌	kuchafuka kwa nguvu	Mawimbi yaliyovurugika kwa nguvu yaligonga ufukwe.
胸怀	moyo mpana	Ana moyo mpana.
胸膛	kifua	Askari alikisukuma kifua chake mbele.
雄厚	nguvu imara	Kampuni ina rasilimali za kifedha imara.
雄伟	fahari na ukubwa	Daraja hili ni la fahari na ukubwa sana.
修复	ukarabati	Wahandisi wanakarabati mfumo.
修建	kujenga	Serikali inapanga kujenga uwanja mpya wa ndege.
修养	maadili binafsi	Maadili mazuri huonekana katika maelezo madogo.
羞耻	aibu	Alihisi aibu baada ya kusema uongo.
嗅觉	hisia ya harufu	Hisia ya harufu ya mbwa ni kali sana.
绣	kudarizi	Bibi anaweza kudarizi maua.
虚假	uongo; bandia	Tovuti ilichapisha taarifa za uongo.
虚荣	majivuno ya kuonekana	Majivuno ya kuonekana yalimfanya atumie pesa nyingi mno.
虚伪	unafiki	Anachukia heshima ya kinafiki.
需求	mahitaji	Mahitaji ya soko yanaongezeka.
须知	maelekezo muhimu	Tafadhali soma kwanza maelekezo ya kujiandikisha.
许可	ruhusa	Huwezi kuingia bila ruhusa.
序言	utangulizi	Mwandishi anaeleza usuli katika utangulizi.
畜牧	ufugaji	Nyanda za malisho zinafaa kukuza ufugaji.
酗酒	ulevi wa kupindukia	Ulevi wa muda mrefu wa kupindukia hudhuru afya.
喧哗	makelele	Kupiga makelele kumepigwa marufuku maktabani.
宣誓	kula kiapo	Wanachama wapya walikula kiapo katika mkutano.
宣扬	kueneza	Shule inaeneza uaminifu na kutegemewa.
悬挂	kuning'inia	Mchoro unaning'inia ukutani.
悬念	mashaka ya hadithi	Mwisho wa filamu unaacha mashaka.
悬殊	tofauti kubwa	Tofauti ya nguvu kati ya timu hizo mbili ni kubwa sana.
悬崖峭壁	miamba mikali	Kando ya barabara ya mlima kuna miamba mikali.
旋律	melodi	Wimbo huu una melodi nzuri.
旋转	kuzunguka	Kinu cha upepo kinazunguka kwenye upepo.
选拔	kuchagua walio bora	Shule inachagua wanariadha bora.
选举	uchaguzi	Kijiji kilifanya uchaguzi.
选手	mshiriki	Mshiriki huyu alifanya vizuri kwa utulivu.
炫耀	kujionesha	Daima anapenda kujionesha kwa mali yake.
削	kukata; kupunguza	Kampuni ilipunguza baadhi ya gharama.
削弱	kudhoofisha	Uchovu hudhoofisha uwezo wa kuhukumu.
学说	nadharia	Nadharia hii ina ushawishi mkubwa.
学位	shahada	Alipata shahada ya uzamili.
雪上加霜	kuzidisha hali mbaya	Kupoteza kazi kisha kuugua kulizidisha hali mbaya kweli.
血压	shinikizo la damu	Daktari alimkumbusha kudhibiti shinikizo la damu.
熏陶	kuathiri taratibu	Aliathiriwa na muziki tangu utotoni.
寻觅	kutafuta	Walitafuta kila mahali nyumba inayofaa.
巡逻	kufanya doria	Polisi hufanya doria mitaani usiku.
循环	mzunguko	Maji huzunguka ndani ya mfumo.
循序渐进	hatua kwa hatua	Kujifunza lugha kunapaswa kuendelea hatua kwa hatua.
压迫	kukandamiza	Mfumo wa zamani uliwakandamiza watu wa kawaida.
压岁钱	pesa za mwaka mpya	Mtoto alipokea pesa za mwaka mpya.
压缩	kubana	Programu inaweza kubana ukubwa wa picha.
压抑	kukandamiza hisia	Alijitahidi kukandamiza hasira yake ya ndani.
压榨	kukamua	Mashine inakamua juisi ya miwa.
压制	kukandamiza	Dawa inaweza kukandamiza maumivu.
鸦雀无声	kimya kabisa	Baada ya mwalimu kuingia, darasa lilikuwa kimya kabisa.
亚军	nafasi ya pili	Alishinda nafasi ya pili katika shindano.
淹没	kufunika kwa maji	Mafuriko yalifunika kijiji cha sehemu ya chini.
烟花爆竹	fataki	Fataki zimepigwa marufuku wakati wa likizo.
严峻	kali	Hali ya ajira bado ni kali.
严寒	baridi kali	Hali ya baridi kali huathiri usafiri.
严禁	kupiga marufuku kabisa	Kuvuta sigara kumepigwa marufuku kabisa hapa.
严厉	kali	Mwalimu alimkosoa kwa ukali.
严密	madhubuti	Ghala lina uangalizi madhubuti.
岩石	mwamba	Miamba kando ya bahari ni migumu sana.
延期	kuahirisha	Mkutano uliahirishwa hadi wiki ijayo.
延伸	kupanuka	Barabara inaendelea kupanuka kuelekea kaskazini.
延续	kuendelea	Desturi hii imeendelea kwa miaka mia moja.
沿海	ya pwani	Miji ya pwani imeendeleza biashara.
炎热	joto kali	Hali ya joto kali huwafanya watu wachoke.
言论	kauli	Umma unazingatia kauli zake.
掩盖	kuficha	Alijaribu kuficha kosa.
掩护	kutoa kinga	Wachezaji wenzake waliwajibika kutoa kinga wakati wa kujiondoa.
掩饰	kuficha	Alijitahidi kuficha wasiwasi wake.
演变	kubadilika	Mpangilio wa jiji unaendelea kubadilika.
演习	mazoezi	Shule ilifanya mazoezi ya moto.
演绎	kutoa hitimisho	Mwalimu alitoa hitimisho la kanuni hii.
演奏	kupiga muziki	Bendi inapiga muziki wa klasiki.
眼光	maono	Ana maono mazuri ya uwekezaji.
眼色	ishara ya macho	Alimpa mwenzake ishara ya macho.
眼神	mtazamo wa macho	Macho yake yalionekana kuwa na msimamo sana.
厌恶	kuchukia	Anachukia tabia ya udanganyifu.
验收	ukaguzi wa kukubali	Mradi unahitaji ukaguzi wa kukubali baada ya kukamilika.
验证	kuthibitisha	Jaribio lilithibitisha nadharia.
氧气	oksijeni	Mgonjwa anahitaji kuvuta oksijeni.
样品	sampuli	Mteja alipokea sampuli za bidhaa.
摇摆	kuyumba	Mashua ndogo iliyumba kwenye upepo na mawimbi.
摇滚	muziki wa roki	Vijana wanapenda muziki wa roki.
谣言	uvumi	Usisambaze uvumi ambao haujathibitishwa.
遥控	kudhibiti kwa mbali	Alitumia simu kudhibiti kiyoyozi kwa mbali.
遥远	mbali	Kijiji hicho kiko mbali na jiji.
耀眼	kung'aa sana	Mwanga wa jua uling'aa sana.
要点	hoja kuu	Tafadhali andika hoja kuu za mkutano.
要命	hatari sana	Barabara hii ya mlima ni hatari sana.
要素	kigezo muhimu	Uaminifu ni kigezo muhimu cha ushirikiano.
野蛮	kikatili	Anapinga utekelezaji wa sheria wa kikatili.
野心	tamaa kubwa	Tamaa yake kubwa ya kisiasa iko wazi.
液体	kioevu	Kioevu hiki hakina rangi.
一流	daraja la kwanza	Hospitali hii ina vifaa vya daraja la kwanza.
一如既往	kama kawaida	Anatuunga mkono kama kawaida.
依旧	bado	Mvua ilisimama, lakini barabara bado ilikuwa na maji.
依据	msingi	Hukumu lazima iwe na msingi wa sheria.
依靠	kutegemea	Wanategemea kilimo kwa maisha.
依赖	kutegemea	Watoto hawapaswi kuwategemea wazazi kupita kiasi.
依托	kutegemea	Mradi unaendelea kwa kutegemea rasilimali za eneo.
衣裳	nguo	Alibadilisha na kuvaa nguo safi.
一度	wakati fulani	Kampuni wakati fulani ilikabiliwa na kufilisika.
一贯	daima; thabiti	Daima amepinga ubadhirifu.
一目了然	wazi kwa mtazamo mmoja	Maudhui ya jedwali yako wazi kwa mtazamo mmoja.
一向	siku zote	Yeye siku zote hufika kwa wakati.
仪器	kifaa	Maabara ilinunua vifaa vipya.
仪式	sherehe	Sherehe ya kuhitimu itafanyika kesho.
疑惑	kuchanganyikiwa	Mwanafunzi alichanganyikiwa kuhusu jibu.
遗产	urithi	Mji huu wa kale ni urithi wa kitamaduni.
遗传	kurithiwa	Ugonjwa huu unaweza kurithiwa.
遗留	kubaki kutoka zamani	Matatizo yaliyobaki kutoka historia yanahitaji kutatuliwa.
遗失	kupoteza	Msafiri alipoteza pasipoti.
以便	ili	Tafadhali acha nambari ya simu ili tuweze kuwasiliana nawe.
以免	ili kuepuka	Ondoka mapema ili kuepuka kuchelewa.
以往	zamani	Uzoefu wa zamani unafaa kushauriwa.
以至	hadi	Upeo ulipanuka hadi jumuiya na hata jiji lote.
以致	kusababisha	Mvua kubwa iliendelea, ikasababisha barabara kukatika.
一帆风顺	kwenda vizuri kabisa	Kuanzisha biashara hakuwezi kwenda vizuri kabisa kila wakati.
一举两得	kufanikisha mambo mawili kwa pamoja	Kuendesha baiskeli kwenda kazini kunaweza kufanikisha mambo mawili kwa pamoja.
一丝不苟	umakini wa hali ya juu	Mhandisi alikagua nyaya kwa umakini wa hali ya juu.
亦	pia	Yeye pia alikubali mpango huu.
异常	isiyo ya kawaida	Hali isiyo ya kawaida ilitokea kwenye mfumo.
意料	kutarajia	Matokeo hayakutarajiwa kabisa.
意识	ufahamu	Taratibu alitambua kuwa tatizo lilikuwa kubwa.
意图	nia	Polisi waligundua nia yake.
意味着	kumaanisha	Ukimya haumaanishi kukubali.
意向	nia ya ushirikiano	Pande zote mbili zilionyesha nia ya kushirikiana.
意志	utashi	Matatizo huujaribu utashi wa mtu.
毅力	uvumilivu wa kudumu	Mafanikio yanahitaji uvumilivu wa kudumu.
毅然	kwa uthabiti	Aliondoka kampuni kwa uthabiti.
翼	bawa	Bawa la ndege lilikaguliwa.
阴谋	njama	Walifichua njama hiyo.
音响	sauti ya chumba	Sebule ina sauti nzuri.
引导	kuongoza	Mwalimu aliwaongoza wanafunzi kufikiri.
引擎	injini	Injini ya gari ilizimika ghafla.
引用	kunukuu	Makala ilinukuu nyenzo nyingi.
隐蔽	kujificha	Wanajeshi walijificha msituni.
隐患	hatari iliyofichika	Nyaya za zamani zina hatari zilizofichika za usalama.
隐瞒	kuficha ukweli	Hakuficha ukweli.
隐私	faragha	Kampuni lazima ilinde faragha ya watumiaji.
隐约	kwa mbali	Sauti ya kuimba ilisikika kwa mbali.
饮食	chakula na vinywaji	Chakula chenye afya husaidia kupona.
婴儿	mtoto mchanga	Mtoto mchanga amelala kimya.
英明	busara	Kiongozi alifanya uamuzi wa busara.
英勇	ushujaa	Mzima moto alimwokoa mtoto kwa ushujaa.
盈利	faida	Kampuni ilianza kupata faida mwaka huu.
迎面	ana kwa ana	Upepo baridi ulivuma usoni mwetu.
应酬	shughuli za kijamii	Ana shughuli nyingi za kijamii leo usiku.
应邀	kwa mwaliko	Mtaalamu alihudhuria jukwaa kwa mwaliko.
庸俗	chafu na ya kawaida	Maudhui ya tangazo hili ni ya chini na ya kawaida.
拥护	kuunga mkono	Kila mtu anaunga mkono sera mpya.
拥有	kuwa na	Ana uzoefu mwingi.
勇于	kuthubutu	Vijana wanapaswa kuthubutu kujaribu.
永恒	ya milele	Upendo si kitu kisichobadilika milele.
涌现	kujitokeza kwa wingi	Walimu bora wanajitokeza kila mahali.
踊跃	kwa shauku	Wakazi walijiandikisha kwa shughuli hiyo kwa shauku.
用户	mtumiaji	Watumiaji wanaweza kubadilisha nenosiri lao.
优胜劣汰	wenye uwezo kubaki	Ushindani wa soko huonyesha wenye uwezo kubaki.
优先	kipaumbele	Wazee wanaweza kuhudumiwa kwanza.
优异	bora sana	Alipata matokeo bora sana.
优越	bora zaidi	Mahali hapa pana eneo bora zaidi.
忧郁	huzuni	Mwonekano wake ulionekana wa huzuni.
油腻	mafuta mengi	Chakula hiki kina mafuta mengi sana.
油漆	rangi ya kupaka	Wafanyakazi wanapaka mlango rangi.
犹如	kama	Uso wa ziwa ni kama kioo.
有条不紊	kwa mpangilio	Mkutano uliendelea kwa mpangilio.
幼稚	kitoto	Wazo hili ni la kitoto kidogo.
诱惑	ushawishi wa kutamanisha	Tangazo limejaa ushawishi wa kutamanisha kwa watumiaji.
愚蠢	ujinga	Uamuzi huu unaonyesha ujinga mkubwa.
愚昧	kutojua	Mawazo ya kutojua yanazuia maendeleo.
渔民	wavuvi	Wavuvi huenda baharini alfajiri kuvua samaki.
舆论	maoni ya umma	Maoni ya umma yana athari kubwa kwa kesi hii.
与日俱增	kuongezeka siku hadi siku	Idadi ya watalii inaongezeka siku hadi siku.
宇宙	anga lote	Binadamu anaendelea kuchunguza anga lote.
羽绒服	koti la manyoya mepesi	Unahitaji kuvaa koti la manyoya mepesi wakati wa baridi.
寓言	hadithi ya mafunzo	Hadithi hii ya mafunzo ina maana kubwa.
愈	kupata nafuu	Hali yake inaendelea kupata nafuu.
欲望	tamaa	Alidhibiti tamaa yake ya kununua vitu.
熨	kupiga pasi	Alipiga shati pasi mpaka likawa laini.
玉	jiwe la jade	Jiwe hili la jade lina rangi ya kupendeza.
预料	kutarajia	Maendeleo ya tukio yalizidi matarajio.
预期	matarajio	Mauzo yalikuwa chini ya matarajio.
预算	mpango wa fedha	Mpango wa fedha wa mradi unahitaji kurekebishwa.
预先	mapema	Tafadhali andaa nyenzo mapema.
预言	utabiri	Utabiri wake haukutimia.
预兆	ishara ya mapema	Maumivu yanaweza kuwa ishara ya mapema ya ugonjwa.
冤枉	kumlaumu isivyo	Usimlaumu mtu asiye na hatia isivyo.
元首	kiongozi wa taifa	Viongozi wa mataifa hayo mawili walifanya mazungumzo.
元素	kipengele cha kikemia	Oksijeni ni kipengele cha kikemia.
元宵节	Sikukuu ya Taa	Watu hutazama taa wakati wa Sikukuu ya Taa.
原告	mlalamikaji	Mlalamikaji aliwasilisha ushahidi mpya.
原理	kanuni	Mwalimu alieleza kanuni ya mashine.
原始	asili	Walihifadhi rekodi za asili.
原先	awali	Mpango wa awali tayari umebadilika.
园林	bustani za mandhari	Bustani za mandhari za Suzhou ni maarufu sana.
圆满	kwa mafanikio	Mkutano ulimalizika kwa mafanikio.
源泉	chanzo	Mazoezi ni chanzo cha maarifa.
缘故	sababu	Aliacha kazi kwa sababu za kiafya.
约束	kuzuia	Mfumo huu unazuia tabia ya wafanyakazi.
乐谱	karatasi ya muziki	Alisoma karatasi ya muziki kwa makini.
岳母	mama mkwe	Alienda kumtembelea mama mkwe wake mwishoni mwa wiki.
孕育	kukuza	Udongo huu unakuza maisha mapya.
蕴藏	kuwa na ndani	Eneo hili la milima lina rasilimali nyingi ndani yake.
运算	hesabu za kiutendaji	Wanafunzi hufanya mazoezi ya hesabu za kiutendaji.
运行	kuendeshwa	Mfumo unaendeshwa kwa uthabiti.
酝酿	kufikiria kwa kina	Pande zote mbili zinafikiria kwa kina mpango mpya.
杂技	sarakasi	Watoto wanapenda kutazama sarakasi.
杂交	mseto	Wanasayansi huchunguza mpunga wa mseto.
砸	kuvunjika kwa kugonga	Kikombe kiligonga sakafu na kuvunjika.
咋	mbona	Mbona bado hujarudi?
栽培	kulima	Mtunza bustani alilima maua mengi.
灾难	maafa	Mji ulianza kujengwa upya baada ya maafa.
宰	kuchinja	Wanakijiji huchinja kondoo wakati wa sikukuu.
再接再厉	kuendelea kujitahidi	Baada ya kushinda tuzo, timu iliendelea kujitahidi.
在意	kujali	Anajali sana maoni ya wengine.
攒	kuweka akiba	Anaweka akiba ili kununua kompyuta.
暂且	kwa muda	Tuliweka suala hili pembeni kwa muda.
赞叹	kusifu kwa mshangao	Hadhira ilisifu kwa mshangao uigizaji wa msanii.
赞助	kudhamini	Kampuni ilidhamini mashindano haya.
糟蹋	kupoteza	Usipoteze chakula hiki kibichi.
遭受	kupatwa na	Shamba lilipatwa na ukame mkali.
遭殃	kupata madhara	Daraja lilipoporomoka, wakazi wa karibu walipata madhara.
遭遇	kukutana na	Walikutana na dhoruba ya theluji njiani.
噪音	kelele	Kelele za ujenzi zinaathiri mapumziko.
造型	umbo	Umbo la gari hili ni la kipekee sana.
责怪	kulaumu	Tafadhali usimlaumu mtoto bila sababu.
贼	mwizi	Polisi walimkamata mwizi huyo.
增添	kuongeza	Maua mapya yanaongeza rangi chumbani.
赠送	kutoa zawadi	Duka linatoa zawadi ndogo.
扎	kuchoma	Muuguzi alimchoma sindano.
扎实	imara	Msingi wake wa sarufi ni imara.
渣	mabaki	Mabaki ya kahawa yalibaki chini ya kikombe.
眨	kupepesa	Alipepesa macho.
诈骗	udanganyifu	Polisi walivunja kesi ya udanganyifu wa simu.
摘要	muhtasari	Muhtasari wa makala umeandikwa wazi.
债券	hati ya deni	Wawekezaji hununua hati za deni za serikali.
沾光	kufaidika kupitia wengine	Nami nilifaidika kupitia rafiki yangu.
