simplified	SR	example_SR	SL	example_SL	LT	example_LT	LV	example_LV
转	скренути; окренути	На првој раскрсници испред скрени лево и видећеш болницу.	zaviti; obrniti	Na prvem križišču spredaj zavij levo in videl boš bolnišnico.	pasukti; apsisukti	Pirmoje sankryžoje priekyje pasuk į kairę ir pamatysi ligoninę.	griezties; pagriezties	Pirmajā krustojumā priekšā pagriezies pa kreisi, un tu redzēsi slimnīcu.
赚	зарадити	Зарадио је доста новца у послу.	zaslužiti	S poslom je zaslužil precej denarja.	uždirbti	Iš verslo jis uždirbo nemažai pinigų.	nopelnīt	Viņš biznesā nopelnīja diezgan daudz naudas.
准确	тачан; прецизан	Твој одговор је веома тачан.	natančen; točen	Tvoj odgovor je zelo natančen.	tikslus	Tavo atsakymas labai tikslus.	precīzs	Tava atbilde ir ļoti precīza.
准时	на време; тачан	Састанак је почео на време.	točen; pravočasno	Sestanek se je začel pravočasno.	laiku; punktualus	Susirinkimas prasidėjo laiku.	laikā; punktuāls	Sapulce sākās laikā.
仔细	пажљив	Она све ради веома пажљиво.	natančen; skrben	Stvari dela zelo natančno.	atidus; kruopštus	Ji viską daro labai kruopščiai.	rūpīgs	Viņa visu dara ļoti rūpīgi.
自然	природа; природан	Треба да штитимо природну средину.	narava; naraven	Varovati moramo naravno okolje.	gamta; natūralus	Turime saugoti gamtinę aplinką.	daba; dabisks	Mums jāaizsargā dabiskā vide.
自信	самопоуздање	Веома је самоуверен и воли да се такмичи са другима.	samozavest	Zelo je samozavesten in rad tekmuje z drugimi.	pasitikėjimas savimi	Jis labai pasitiki savimi ir mėgsta varžytis su kitais.	pašpārliecība	Viņš ir ļoti pārliecināts par sevi un labprāt sacenšas ar citiem.
总结	сажети; резиме	Молим вас, сажмите нам своје успешно искуство.	povzeti; povzetek	Prosimo, povzemite za nas svoje uspešne izkušnje.	apibendrinti; santrauka	Prašome mums apibendrinti savo sėkmingą patirtį.	apkopot; kopsavilkums	Lūdzu, apkopojiet mums savu veiksmīgo pieredzi.
租	изнајмити	Изнајмио сам стан близу компаније.	najeti; oddati v najem	Blizu podjetja sem najel stanovanje.	nuomotis; nuomoti	Netoli įmonės išsinuomojau būstą.	īrēt; izīrēt	Es noīrēju mājokli netālu no uzņēmuma.
最好	најбољи	Она је моја најбоља пријатељица.	najboljši	Ona je moja najboljša prijateljica.	geriausias	Ji yra mano geriausia draugė.	labākais	Viņa ir mana labākā draudzene.
尊重	поштовати; поштовање	Поштени људи заслужују наше поштовање.	spoštovati; spoštovanje	Pošteni ljudje si zaslužijo naše spoštovanje.	gerbti; pagarba	Sąžiningi žmonės nusipelno mūsų pagarbos.	cienīt; cieņa	Godīgi cilvēki ir pelnījuši mūsu cieņu.
左右	око; приближно	Изгледа као да има око четрдесет година.	okoli; približno	Videti je star okoli štirideset let.	apie; maždaug	Jis atrodo maždaug keturiasdešimties.	ap; aptuveni	Viņš izskatās ap četrdesmit gadiem vecs.
作家	писац; аутор	Да ли си читао романе овог писца?	pisatelj; avtor	Si bral romane tega pisatelja?	rašytojas; autorius	Ar esi skaitęs šio rašytojo romanų?	rakstnieks; autors	Vai esi lasījis šī rakstnieka romānus?
作用	ефекат; функција	Овај лек против прехладе на мене нема много ефекта.	učinek; funkcija	To zdravilo proti prehladu name nima posebnega učinka.	poveikis; funkcija	Šie vaistai nuo peršalimo man beveik neveikia.	iedarbība; funkcija	Šīm saaukstēšanās zālēm uz mani nav lielas iedarbības.
作者	аутор	Аутор ове књиге је веома познат.	avtor	Avtor te knjige je zelo znan.	autorius	Šios knygos autorius labai garsus.	autors	Šīs grāmatas autors ir ļoti slavens.
座	класификатор за зграде и мостове	Изнад реке је мали мост.	klasifikator za stavbe in mostove	Nad reko je majhen most.	klasifikatorius pastatams ir tiltams	Virš upės yra mažas tiltas.	klasifikators ēkām un tiltiem	Pār upi ir mazs tilts.
座位	седиште; место	Уступио је седиште једном старом човеку.	sedež; mesto	Svoj sedež je odstopil starejšemu človeku.	vieta; sėdynė	Jis užleido vietą senam žmogui.	sēdvieta; vieta	Viņš atdeva savu sēdvietu kādam vecam cilvēkam.
