simplified	VI	example_VI
信誉	uy tín	Công ty phải bảo vệ uy tín của mình.
兴高采烈	hào hứng	Bọn trẻ hào hứng chạy vào lớp học.
兴隆	phát đạt	Cửa hàng lâu đời này làm ăn phát đạt.
兴旺	hưng thịnh	Kinh tế thị trường ngày càng hưng thịnh.
腥	tanh	Con cá này có mùi hơi tanh.
刑事	hình sự	Cảnh sát đang điều tra một vụ án hình sự.
形态	hình thái	Hình thái của cây thay đổi theo môi trường.
行政	hành chính	Bộ phận hành chính xử lý đơn đăng ký.
兴致勃勃	đầy hứng thú	Mọi người đầy hứng thú thảo luận kế hoạch.
性感	gợi cảm	Chiếc váy dạ hội này trông rất gợi cảm.
性命	tính mạng	Bác sĩ đã cứu tính mạng của anh ấy.
性能	hiệu năng	Máy tính này có hiệu năng tốt.
凶恶	hung dữ	Con chó này trông rất hung dữ.
凶手	hung thủ	Cảnh sát cuối cùng đã bắt được hung thủ.
汹涌	dữ dội	Sóng dữ dội vỗ vào bờ.
胸怀	tấm lòng	Anh ấy có tấm lòng rộng mở.
胸膛	lồng ngực	Người lính ưỡn lồng ngực.
雄厚	hùng hậu	Công ty có nguồn lực tài chính hùng hậu.
雄伟	hùng vĩ	Cây cầu này rất hùng vĩ.
修复	sửa chữa	Kỹ sư đang sửa chữa hệ thống.
修建	xây dựng	Chính phủ dự định xây dựng một sân bay mới.
修养	tu dưỡng	Sự tu dưỡng tốt thể hiện trong từng chi tiết.
羞耻	xấu hổ	Anh ấy cảm thấy xấu hổ sau khi nói dối.
嗅觉	khứu giác	Khứu giác của chó rất nhạy.
绣	thêu	Bà nội biết thêu hoa.
虚假	giả mạo	Trang web đăng thông tin giả mạo.
虚荣	hư vinh	Tính hư vinh khiến anh ấy tiêu quá nhiều tiền.
虚伪	đạo đức giả	Cô ấy không thích sự lịch sự đạo đức giả.
需求	nhu cầu	Nhu cầu thị trường đang tăng.
须知	hướng dẫn cần biết	Vui lòng đọc hướng dẫn cần biết khi đăng ký trước.
许可	cho phép	Không có sự cho phép thì bạn không thể vào.
序言	lời tựa	Tác giả giải thích bối cảnh trong lời tựa.
畜牧	chăn nuôi	Thảo nguyên thích hợp để phát triển chăn nuôi.
酗酒	nghiện rượu	Nghiện rượu lâu dài gây hại cho sức khỏe.
喧哗	làm ồn	Trong thư viện cấm làm ồn.
宣誓	tuyên thệ	Thành viên mới tuyên thệ tại cuộc họp.
宣扬	tuyên truyền	Trường học tuyên truyền sự trung thực và đáng tin cậy.
悬挂	treo	Một bức tranh đang treo trên tường.
悬念	hồi hộp	Cái kết của bộ phim để lại sự hồi hộp.
悬殊	chênh lệch lớn	Chênh lệch thực lực giữa hai đội rất lớn.
悬崖峭壁	vách đá dựng đứng	Bên cạnh đường núi là những vách đá dựng đứng.
旋律	giai điệu	Bài hát này có giai điệu rất đẹp.
旋转	quay	Cối xay gió quay trong gió.
选拔	tuyển chọn	Trường đang tuyển chọn vận động viên.
选举	bầu cử	Ngôi làng tổ chức bầu cử.
选手	thí sinh	Thí sinh này thể hiện rất ổn định.
炫耀	khoe khoang	Anh ấy luôn thích khoe khoang sự giàu có.
削	cắt giảm	Công ty cắt giảm một số chi phí.
削弱	làm suy yếu	Mệt mỏi làm suy yếu khả năng phán đoán.
学说	học thuyết	Học thuyết này có ảnh hưởng rất lớn.
学位	học vị	Cô ấy lấy được học vị thạc sĩ.
雪上加霜	tệ hơn nữa	Mất việc rồi lại bị bệnh thật sự làm tình hình tệ hơn nữa.
血压	huyết áp	Bác sĩ nhắc anh ấy kiểm soát huyết áp.
熏陶	ảnh hưởng	Cô ấy chịu ảnh hưởng của âm nhạc từ nhỏ.
寻觅	tìm kiếm	Họ tìm kiếm nhà ở phù hợp khắp nơi.
巡逻	tuần tra	Cảnh sát tuần tra trên đường phố vào ban đêm.
循环	tuần hoàn	Nước tuần hoàn trong hệ thống.
循序渐进	từng bước một	Việc học ngôn ngữ nên tiến bộ từng bước một.
压迫	áp bức	Chế độ cũ áp bức người dân bình thường.
压岁钱	tiền mừng tuổi	Đứa trẻ nhận được tiền mừng tuổi.
压缩	nén	Phần mềm có thể nén kích thước hình ảnh.
压抑	kìm nén	Anh ấy cố gắng kìm nén cơn giận trong lòng.
压榨	ép	Máy đang ép nước mía.
压制	kiềm chế	Thuốc có thể kiềm chế cơn đau.
鸦雀无声	im phăng phắc	Sau khi giáo viên bước vào, lớp học im phăng phắc.
亚军	á quân	Cô ấy giành á quân trong cuộc thi.
淹没	nhấn chìm	Lũ lụt nhấn chìm ngôi làng thấp.
烟花爆竹	pháo hoa và pháo nổ	Trong kỳ nghỉ cấm pháo hoa và pháo nổ.
严峻	nghiêm trọng	Tình hình việc làm vẫn nghiêm trọng.
严寒	rét đậm	Thời tiết rét đậm ảnh hưởng đến giao thông.
严禁	nghiêm cấm	Ở đây nghiêm cấm hút thuốc.
严厉	nghiêm khắc	Giáo viên phê bình anh ấy nghiêm khắc.
严密	chặt chẽ	Nhà kho có giám sát chặt chẽ.
岩石	đá	Những tảng đá bên biển rất cứng.
延期	hoãn	Cuộc họp được hoãn đến tuần sau.
延伸	kéo dài	Con đường kéo dài về phía bắc.
延续	tiếp tục	Truyền thống này đã tiếp tục một trăm năm.
沿海	ven biển	Các thành phố ven biển phát triển thương mại.
炎热	nóng bức	Thời tiết nóng bức khiến người ta mệt mỏi.
言论	phát ngôn	Công chúng chú ý đến phát ngôn của anh ấy.
掩盖	che giấu	Anh ấy cố gắng che giấu sai lầm.
掩护	yểm hộ	Đồng đội phụ trách yểm hộ việc rút lui.
掩饰	che giấu	Cô ấy cố gắng che giấu sự căng thẳng của mình.
演变	diễn biến	Bố cục của thành phố không ngừng diễn biến.
演习	diễn tập	Trường tổ chức diễn tập phòng cháy.
演绎	diễn giải	Giáo viên diễn giải định lý này.
演奏	biểu diễn	Ban nhạc đang biểu diễn nhạc cổ điển.
眼光	tầm nhìn	Anh ấy có tầm nhìn đầu tư tốt.
眼色	ánh mắt	Cô ấy đưa ánh mắt ra hiệu cho đồng nghiệp.
眼神	ánh mắt	Ánh mắt của anh ấy trông rất kiên định.
厌恶	ghét	Anh ấy ghét hành vi lừa dối.
验收	nghiệm thu	Dự án cần được nghiệm thu sau khi hoàn thành.
验证	xác minh	Thí nghiệm xác minh giả thuyết đó.
氧气	ôxy	Bệnh nhân cần hít ôxy.
样品	mẫu	Khách hàng đã nhận được mẫu sản phẩm.
摇摆	lắc lư	Chiếc thuyền nhỏ lắc lư trong gió và sóng.
摇滚	nhạc rock	Giới trẻ thích nhạc rock.
谣言	tin đồn	Đừng lan truyền tin đồn chưa được kiểm chứng.
遥控	điều khiển từ xa	Anh ấy dùng điện thoại điều khiển máy lạnh từ xa.
遥远	xa xôi	Ngôi làng đó cách thành phố rất xa xôi.
耀眼	chói mắt	Ánh nắng rất chói mắt.
要点	điểm chính	Vui lòng ghi lại các điểm chính của cuộc họp.
要命	cực kỳ	Con đường núi này cực kỳ nguy hiểm.
要素	yếu tố	Lòng tin là yếu tố quan trọng trong hợp tác.
野蛮	thô bạo	Anh ấy phản đối việc chấp pháp thô bạo.
野心	tham vọng	Tham vọng chính trị của anh ấy rất rõ.
液体	chất lỏng	Chất lỏng này không có màu.
一流	hàng đầu	Bệnh viện này có thiết bị hàng đầu.
一如既往	như mọi khi	Anh ấy ủng hộ chúng tôi như mọi khi.
依旧	vẫn	Mưa đã tạnh, nhưng đường phố vẫn ướt.
依据	căn cứ	Phán quyết phải căn cứ vào pháp luật.
依靠	dựa vào	Họ dựa vào nông nghiệp để mưu sinh.
依赖	phụ thuộc	Trẻ em không nên phụ thuộc quá nhiều vào cha mẹ.
依托	dựa vào	Dự án phát triển dựa vào tài nguyên địa phương.
衣裳	quần áo	Cô ấy thay quần áo sạch.
一度	từng	Công ty từng đối mặt với phá sản.
一贯	luôn luôn	Anh ấy luôn luôn phản đối lãng phí.
一目了然	rõ ngay trong nháy mắt	Nội dung bảng rõ ngay trong nháy mắt.
一向	từ trước đến nay	Cô ấy từ trước đến nay luôn đúng giờ.
仪器	thiết bị	Phòng thí nghiệm mua thiết bị mới.
仪式	nghi thức	Nghi thức tốt nghiệp sẽ được tổ chức vào ngày mai.
疑惑	nghi hoặc	Học sinh cảm thấy nghi hoặc về đáp án.
遗产	di sản	Thành phố cổ này là di sản văn hóa.
遗传	di truyền	Căn bệnh này có thể di truyền.
遗留	để lại	Những vấn đề do lịch sử để lại cần được giải quyết.
遗失	đánh mất	Du khách đánh mất hộ chiếu.
以便	để	Vui lòng để lại số điện thoại để chúng tôi có thể liên hệ với bạn.
以免	để tránh	Đi sớm hơn để tránh bị muộn.
以往	trước đây	Kinh nghiệm trước đây đáng để tham khảo.
以至	đến mức	Phạm vi mở rộng đến cộng đồng, thậm chí cả thành phố.
以致	dẫn đến	Mưa lớn kéo dài, dẫn đến đường sá bị cắt đứt.
一帆风顺	thuận buồm xuôi gió	Khởi nghiệp không thể lúc nào cũng thuận buồm xuôi gió.
一举两得	một công đôi việc	Đi xe đạp đi làm có thể một công đôi việc.
一丝不苟	tỉ mỉ	Kỹ sư tỉ mỉ kiểm tra dây điện.
亦	cũng	Anh ấy cũng đồng ý với kế hoạch này.
异常	bất thường	Hệ thống xuất hiện tình trạng bất thường.
意料	dự đoán	Kết quả hoàn toàn ngoài dự đoán.
意识	ý thức	Anh ấy dần ý thức rằng vấn đề rất nghiêm trọng.
意图	ý đồ	Cảnh sát nhìn thấu ý đồ của anh ấy.
意味着	có nghĩa là	Im lặng không có nghĩa là đồng ý.
意向	ý định	Hai bên bày tỏ ý định hợp tác.
意志	ý chí	Khó khăn thử thách ý chí của con người.
毅力	nghị lực	Thành công cần nghị lực lâu dài.
毅然	kiên quyết	Cô ấy kiên quyết rời khỏi công ty.
翼	cánh	Cánh máy bay đã được kiểm tra.
阴谋	âm mưu	Họ đã vạch trần âm mưu.
音响	âm thanh	Phòng khách có hiệu quả âm thanh tốt.
引导	dẫn dắt	Giáo viên dẫn dắt học sinh suy nghĩ.
引擎	động cơ	Động cơ ô tô đột nhiên chết máy.
引用	trích dẫn	Bài luận trích dẫn rất nhiều tài liệu.
隐蔽	ẩn nấp	Binh sĩ ẩn nấp trong rừng.
隐患	nguy cơ tiềm ẩn	Dây điện cũ có nguy cơ an toàn tiềm ẩn.
隐瞒	che giấu	Anh ấy không che giấu sự thật.
隐私	quyền riêng tư	Công ty phải bảo vệ quyền riêng tư của người dùng.
隐约	mơ hồ	Từ xa có thể nghe thấy tiếng hát mơ hồ.
饮食	chế độ ăn	Chế độ ăn lành mạnh giúp phục hồi.
婴儿	em bé	Em bé đang ngủ yên tĩnh.
英明	sáng suốt	Lãnh đạo đưa ra quyết định sáng suốt.
英勇	anh dũng	Người lính cứu hỏa anh dũng cứu đứa trẻ.
盈利	lợi nhuận	Công ty bắt đầu có lợi nhuận trong năm nay.
迎面	phả vào mặt	Một luồng gió lạnh phả vào mặt chúng tôi.
应酬	giao tiếp xã giao	Tối nay anh ấy có nhiều cuộc giao tiếp xã giao.
应邀	theo lời mời	Chuyên gia tham dự diễn đàn theo lời mời.
庸俗	thô tục	Nội dung quảng cáo này rất thô tục.
拥护	ủng hộ	Mọi người ủng hộ chính sách mới.
拥有	có	Anh ấy có kinh nghiệm phong phú.
勇于	dám	Người trẻ nên dám thử.
永恒	vĩnh hằng	Tình yêu không phải lúc nào cũng vĩnh hằng bất biến.
涌现	xuất hiện	Hàng loạt giáo viên xuất sắc đang xuất hiện.
踊跃	hăng hái	Cư dân hăng hái đăng ký hoạt động.
用户	người dùng	Người dùng có thể thay đổi mật khẩu.
优胜劣汰	chọn lọc mạnh thắng yếu	Cạnh tranh thị trường thể hiện chọn lọc mạnh thắng yếu.
优先	ưu tiên	Người cao tuổi có thể được phục vụ ưu tiên.
优异	xuất sắc	Cô ấy đạt thành tích xuất sắc.
优越	ưu việt	Nơi này có vị trí ưu việt.
忧郁	u buồn	Vẻ mặt anh ấy trông u buồn.
油腻	nhiều dầu mỡ	Món này quá nhiều dầu mỡ.
油漆	sơn	Công nhân đang sơn cánh cửa.
犹如	giống như	Mặt hồ giống như một tấm gương.
有条不紊	có trật tự	Cuộc họp diễn ra có trật tự.
幼稚	ngây thơ	Ý tưởng này hơi ngây thơ.
诱惑	cám dỗ	Quảng cáo đầy những cám dỗ tiêu dùng.
愚蠢	ngu xuẩn	Quyết định này cực kỳ ngu xuẩn.
愚昧	ngu muội	Tư tưởng ngu muội cản trở tiến bộ.
渔民	ngư dân	Ngư dân ra biển đánh cá lúc bình minh.
舆论	dư luận	Dư luận có ảnh hưởng lớn đến vụ án.
与日俱增	ngày càng tăng	Số lượng du khách ngày càng tăng.
宇宙	vũ trụ	Con người không ngừng khám phá vũ trụ.
羽绒服	áo khoác lông vũ	Mùa đông cần mặc áo khoác lông vũ.
寓言	truyện ngụ ngôn	Truyện ngụ ngôn này rất có ý nghĩa giáo dục.
愈	ngày càng	Tình trạng bệnh ngày càng tốt hơn.
欲望	dục vọng	Anh ấy kiểm soát dục vọng mua sắm của mình.
熨	là	Cô ấy là phẳng chiếc áo sơ mi.
玉	ngọc	Miếng ngọc này có màu sắc ấm áp.
预料	dự liệu	Diễn biến sự việc vượt quá dự liệu.
预期	kỳ vọng	Doanh số thấp hơn kỳ vọng.
预算	ngân sách	Ngân sách dự án cần điều chỉnh.
预先	trước	Vui lòng chuẩn bị tài liệu trước.
预言	dự đoán	Lời dự đoán của anh ấy không thành hiện thực.
预兆	dấu hiệu	Đau có thể là dấu hiệu cảnh báo bệnh.
冤枉	vu oan	Đừng vu oan cho người vô tội.
元首	nguyên thủ	Nguyên thủ hai nước đã hội đàm.
元素	nguyên tố	Ôxy là một nguyên tố hóa học.
元宵节	Tết Nguyên Tiêu	Mọi người ngắm đèn lồng trong Tết Nguyên Tiêu.
原告	nguyên đơn	Nguyên đơn nộp bằng chứng mới.
原理	nguyên lý	Giáo viên giải thích nguyên lý của máy.
原始	nguyên gốc	Họ giữ lại hồ sơ nguyên gốc.
原先	ban đầu	Kế hoạch ban đầu đã thay đổi.
园林	vườn cảnh	Vườn cảnh Tô Châu rất nổi tiếng.
圆满	viên mãn	Cuộc họp đã thành công viên mãn.
源泉	nguồn gốc	Thực tiễn là nguồn gốc của tri thức.
缘故	lý do	Anh ấy từ chức vì lý do sức khỏe.
约束	ràng buộc	Chế độ ràng buộc hành vi của nhân viên.
乐谱	bản nhạc	Cô ấy đọc kỹ bản nhạc.
岳母	mẹ vợ	Cuối tuần anh ấy đi thăm mẹ vợ.
孕育	nuôi dưỡng	Đất đai nuôi dưỡng sự sống mới.
蕴藏	chứa đựng	Vùng núi chứa đựng tài nguyên khoáng sản phong phú.
运算	phép tính	Học sinh luyện các phép tính toán học.
运行	vận hành	Hệ thống vận hành ổn định.
酝酿	ấp ủ	Hai bên đang ấp ủ một kế hoạch mới.
杂技	xiếc	Bọn trẻ thích xem xiếc.
杂交	lai	Các nhà khoa học nghiên cứu lúa lai.
砸	vỡ	Chiếc cốc rơi xuống sàn và vỡ.
咋	sao	Sao bạn vẫn chưa quay lại?
栽培	trồng	Người làm vườn trồng nhiều hoa.
灾难	thảm họa	Thành phố bắt đầu tái thiết sau thảm họa.
宰	giết mổ	Dân làng giết mổ cừu trong lễ hội.
再接再厉	tiếp tục cố gắng	Sau khi đoạt giải, đội tiếp tục cố gắng.
在意	để ý	Cô ấy rất để ý ý kiến của người khác.
攒	tiết kiệm	Anh ấy tiết kiệm tiền để mua máy tính.
暂且	tạm thời	Tạm thời gác vấn đề này sang một bên.
赞叹	khen ngợi	Khán giả khen ngợi màn biểu diễn của diễn viên.
赞助	tài trợ	Công ty tài trợ cuộc thi này.
糟蹋	lãng phí	Đừng lãng phí đồ ăn tươi này.
遭受	chịu	Đất nông nghiệp chịu hạn hán nghiêm trọng.
遭殃	gặp họa	Khi cây cầu sập, cư dân gần đó gặp họa.
遭遇	gặp	Họ gặp bão tuyết trên đường.
噪音	tiếng ồn	Tiếng ồn công trường ảnh hưởng đến nghỉ ngơi.
造型	kiểu dáng	Kiểu dáng của chiếc xe này rất đặc biệt.
责怪	trách	Vui lòng đừng mù quáng trách đứa trẻ.
贼	tên trộm	Cảnh sát bắt được tên trộm đó.
增添	tăng thêm	Hoa tươi tăng thêm màu sắc cho căn phòng.
赠送	tặng	Cửa hàng tặng quà nhỏ.
扎	tiêm	Y tá tiêm cho anh ấy.
扎实	vững chắc	Nền tảng ngữ pháp của anh ấy rất vững chắc.
渣	bã	Dưới đáy cốc còn bã cà phê.
眨	chớp	Cô ấy chớp mắt.
诈骗	lừa đảo	Cảnh sát phá một vụ lừa đảo viễn thông.
摘要	tóm tắt	Phần tóm tắt của bài luận được viết rõ ràng.
债券	trái phiếu	Nhà đầu tư mua trái phiếu chính phủ.
沾光	được hưởng lợi	Tôi cũng được hưởng lợi nhờ bạn mình.
瞻仰	viếng thăm	Du khách viếng thăm tượng đài anh hùng.
展示	trưng bày	Công ty trưng bày sản phẩm mới nhất.
展望	triển vọng	Báo cáo nhìn về triển vọng tương lai.
展现	thể hiện	Tác phẩm thể hiện đời sống nông thôn.
崭新	hoàn toàn mới	Anh ấy mua một chiếc xe đạp hoàn toàn mới.
斩钉截铁	dứt khoát	Cô ấy dứt khoát từ chối.
占据	chiếm	Quảng cáo chiếm cả trang.
占领	chiếm lĩnh	Quân đội chiếm lĩnh đèo núi.
战斗	chiến đấu	Trận chiến kéo dài ba giờ.
战略	chiến lược	Công ty điều chỉnh chiến lược phát triển.
战术	chiến thuật	Huấn luyện viên thay đổi chiến thuật trận đấu.
战役	chiến dịch	Chiến dịch này đã thay đổi cục diện.
章程	điều lệ	Hiệp hội thông qua điều lệ mới.
帐篷	lều	Họ dựng lều bên hồ.
障碍	trở ngại	Rào cản ngôn ngữ ảnh hưởng đến giao tiếp.
招标	mời thầu	Dự án công trình mời thầu công khai.
招收	tuyển sinh	Trường năm nay tuyển sinh học sinh mới.
朝气蓬勃	tràn đầy sức sống	Đội ngũ trẻ tràn đầy sức sống.
着迷	say mê	Đứa trẻ say mê thiên văn học.
沼泽	đầm lầy	Đội thám hiểm băng qua đầm lầy.
照样	như thường lệ	Trời mưa, nhưng buổi tập vẫn diễn ra như thường lệ.
照耀	chiếu rọi	Ánh mặt trời chiếu rọi quảng trường.
折腾	loay hoay	Đừng loay hoay với chiếc máy tính cũ này nữa.
遮挡	che	Cành cây che cửa sổ.
折	gấp	Anh ấy gấp giấy thành máy bay.
折磨	hành hạ	Mất ngủ lâu dài hành hạ cô ấy.
侦探	thám tử	Thám tử tìm thấy một manh mối quan trọng.
斟酌	cân nhắc	Vui lòng cân nhắc kỹ cách dùng từ.
珍贵	quý giá	Những bức ảnh này rất quý giá.
珍稀	quý hiếm	Hãy bảo vệ động vật hoang dã quý hiếm.
珍珠	ngọc trai	Cô ấy đang đeo hoa tai ngọc trai.
真理	chân lý	Thực tiễn kiểm nghiệm chân lý.
真相	sự thật	Phóng viên cố gắng tìm ra sự thật.
真挚	chân thành	Cô ấy bày tỏ lời cảm ơn chân thành.
枕头	gối	Cái gối này quá cao.
振奋	phấn chấn	Tin tốt khiến mọi người phấn chấn.
振兴	chấn hưng	Chính phủ thúc đẩy chấn hưng nông thôn.
镇定	bình tĩnh	Anh ấy giữ bình tĩnh trong tình huống khẩn cấp.
镇静	bình tĩnh	Y tá bảo bệnh nhân giữ bình tĩnh.
阵地	vị trí	Người lính giữ vững vị trí.
阵容	đội hình	Đội bóng công bố đội hình xuất phát.
震撼	gây chấn động	Bộ phim này vô cùng gây chấn động.
震惊	chấn động	Tin tức làm cả nước chấn động.
争端	tranh chấp	Hai bên cố gắng giải quyết tranh chấp biên giới.
争夺	tranh giành	Hai công ty tranh giành thị phần.
争气	làm rạng danh	Anh ấy học chăm chỉ để làm rạng danh gia đình.
争先恐后	tranh nhau	Du khách tranh nhau lên xe buýt.
争议	tranh cãi	Quyết định này gây ra tranh cãi.
征服	chinh phục	Người leo núi chinh phục đỉnh núi.
征收	thu	Chính phủ thu thuế theo pháp luật.
挣扎	vùng vẫy	Con chim vùng vẫy trong lưới.
正月	tháng Giêng âm lịch	Họ hàng thăm nhau trong tháng Giêng âm lịch.
蒸发	bay hơi	Nước bốc hơi rất nhanh.
整顿	chỉnh đốn	Công ty bắt đầu chỉnh đốn quản lý.
政策	chính sách	Chính sách mới hỗ trợ doanh nghiệp nhỏ.
政权	chính quyền	Chiến tranh đã thay đổi chính quyền địa phương.
正当	chính đáng	Anh ấy đưa ra yêu cầu chính đáng.
正负	dương âm	Thiết bị hiển thị sai số dương âm.
正规	chính quy	Đứa trẻ vào trường chính quy để học.
正经	nghiêm túc	Cuối cùng anh ấy bắt đầu nói chuyện nghiêm túc.
正气	chính khí	Xã hội cần phát huy chính khí.
正义	công lý	Luật sư bảo vệ công lý.
正宗	chính tông	Nhà hàng này bán món Tứ Xuyên chính tông.
症状	triệu chứng	Sốt là một triệu chứng thường gặp.
证实	xác nhận	Cuộc điều tra xác nhận lời khai của anh ấy.
证书	chứng chỉ	Cô ấy lấy được chứng chỉ chuyên môn.
郑重	trang trọng	Anh ấy trang trọng hứa sẽ chịu trách nhiệm.
之际	vào lúc	Vào lúc Tết đến gần, mọi người đều bận rộn.
支撑	chống đỡ	Các cột chống đỡ mái nhà.
支出	chi tiêu	Chi tiêu gia đình tăng rõ rệt.
支流	nhánh sông	Con sông này là nhánh của Trường Giang.
支配	chi phối	Cảm xúc không nên chi phối phán đoán.
支援	hỗ trợ	Bác sĩ từ nhiều nơi đến hỗ trợ.
支柱	trụ cột	Ngành chế tạo là trụ cột của kinh tế địa phương.
枝	cành	Cô ấy bẻ một cành hoa.
知觉	tri giác	Người bị thương dần lấy lại tri giác.
知足常乐	biết đủ thì vui	Ông cụ thường nói biết đủ thì vui.
脂肪	chất béo	Các loại hạt chứa chất béo lành mạnh.
侄子	cháu trai	Cháu trai tôi năm nay bắt đầu học tiểu học.
值班	trực ca	Y tá trực ca tối nay.
执行	thực hiện	Tòa án thực hiện phán quyết.
执着	kiên trì	Anh ấy rất kiên trì với lý tưởng của mình.
殖民地	thuộc địa	Hòn đảo này từng là thuộc địa.
直播	phát trực tiếp	Trận đấu tối nay sẽ được phát trực tiếp trên mạng.
直径	đường kính	Đường kính của hình tròn này là mười xăng-ti-mét.
职能	chức năng	Chức năng của bộ phận cần được phân bổ lại.
职位	vị trí	Cô ấy ứng tuyển một vị trí quản lý.
职务	chức vụ	Chức vụ của anh ấy là giám sát dự án.
指标	chỉ tiêu	Chỉ tiêu doanh số đã hoàn thành.
指定	chỉ định	Giáo viên chỉ định anh ấy trả lời câu hỏi.
指甲	móng tay	Cô ấy cắt ngắn móng tay.
指令	lệnh	Máy tính nhận được lệnh mới.
指南针	la bàn	Người leo núi mang theo la bàn.
指示	chỉ thị	Giám đốc đưa ra chỉ thị rõ ràng.
指望	trông cậy	Đừng trông cậy người khác làm xong thay bạn.
指责	chỉ trích	Công chúng chỉ trích công ty vì gây ô nhiễm môi trường.
制裁	trừng phạt	Cộng đồng quốc tế áp đặt trừng phạt kinh tế.
制服	đồng phục	Bảo vệ mặc đồng phục màu xanh đậm.
制约	hạn chế	Kinh phí không đủ hạn chế phát triển.
制止	ngăn chặn	Cảnh sát kịp thời ngăn chặn xung đột.
志气	chí khí	Người trẻ nên có chí khí.
智力	trí lực	Trò chơi có thể rèn luyện trí lực.
智能	thông minh	Thiết bị thông minh ngày càng phổ biến.
智商	chỉ số IQ	Chỉ số IQ không thể quyết định mọi thứ.
治安	trị an	Trị an trong cộng đồng đã cải thiện rõ rệt.
治理	quản trị	Chính phủ tăng cường quản trị sông ngòi.
滞留	bị kẹt	Hành khách bị kẹt ở sân bay vì tuyết lớn.
致辞	phát biểu	Hiệu trưởng phát biểu tại buổi lễ.
致力	cống hiến	Đội ngũ cống hiến cho đổi mới công nghệ.
致使	khiến	Sai lầm quản lý khiến dự án bị trì hoãn.
中断	gián đoạn	Mưa lớn khiến liên lạc bị gián đoạn.
中立	trung lập	Quốc gia đó giữ lập trường trung lập.
中央	trung tâm	Đài phun nước nằm ở trung tâm quảng trường.
忠诚	trung thành	Nhân viên trung thành với công ty.
忠实	trung thành	Anh ấy là độc giả trung thành của tờ báo này.
终点	đích	Đích ở ngay phía trước.
终究	rốt cuộc	Vấn đề rốt cuộc sẽ được giải quyết.
终身	suốt đời	Anh ấy quyết định làm giáo dục suốt đời.
终止	chấm dứt	Hợp đồng chấm dứt vào cuối tháng sau.
衷心	chân thành	Tôi chân thành cảm ơn sự giúp đỡ của bạn.
种子	hạt giống	Nông dân gieo hạt giống mới.
种族	chủng tộc	Pháp luật cấm phân biệt chủng tộc.
肿瘤	khối u	Bác sĩ phát hiện một khối u lành tính.
众所周知	ai cũng biết	Ai cũng biết nước rất quan trọng.
种植	trồng	Nơi này thích hợp để trồng nho.
重心	trọng tâm	Trọng tâm công việc chuyển sang dịch vụ.
周边	xung quanh	Giao thông xung quanh trường bị ùn tắc.
周密	chu đáo	Họ lập kế hoạch chu đáo.
周年	kỷ niệm	Công ty kỷ niệm mười năm thành lập.
周期	chu kỳ	Chu kỳ cập nhật sản phẩm đã rút ngắn.
周折	trắc trở	Việc xử lý thủ tục gặp nhiều trắc trở.
周转	quay vòng	Công ty gặp khó khăn trong quay vòng tiền mặt.
州	bang	Anh ấy sống ở bang California của Hoa Kỳ.
粥	cháo	Bệnh nhân ăn cháo vào buổi sáng.
舟	thuyền	Chiếc thuyền nhỏ từ từ tiến gần bờ.
昼夜	ngày đêm	Công nhân sửa đường ngày đêm.
皱纹	nếp nhăn	Bà có nhiều nếp nhăn trên mặt.
株	cây	Trong sân trồng ba cây.
诸位	quý vị	Cảm ơn quý vị đã đến hôm nay.
逐年	từng năm	Chi phí vận hành tăng từng năm.
主办	tổ chức	Trường tổ chức lễ hội nghệ thuật.
主导	dẫn dắt	Nhu cầu thị trường dẫn dắt thiết kế sản phẩm.
主管	người phụ trách	Người phụ trách chịu trách nhiệm phê duyệt ngân sách.
主流	chủ lưu	Ý tưởng bảo vệ môi trường đã trở thành chủ lưu.
主权	chủ quyền	Chủ quyền quốc gia phải được tôn trọng.
主义	chủ nghĩa	Anh ấy nghiên cứu các chủ nghĩa chính trị khác nhau.
嘱咐	dặn dò	Mẹ anh ấy dặn dò nhiều lần rằng phải mang ô.
拄	chống	Ông cụ chống gậy đi bộ.
住宅	nhà ở	Khu vực này chủ yếu là nhà ở.
助理	trợ lý	Trợ lý sắp xếp tài liệu cuộc họp.
助手	trợ thủ	Robot là trợ thủ trong phòng thí nghiệm.
注射	tiêm	Bác sĩ tiêm thuốc cho bệnh nhân.
注视	chăm chú nhìn	Cô ấy chăm chú nhìn về phía xa.
注释	chú thích	Bên cạnh văn bản có chú thích chi tiết.
注重	chú trọng	Công ty chú trọng chất lượng sản phẩm.
著作	tác phẩm	Tác phẩm này có ảnh hưởng sâu rộng.
铸造	đúc	Nhà máy đúc các linh kiện lớn.
驻扎	đồn trú	Quân đội đồn trú ở biên giới.
拽	kéo	Anh ấy kéo chiếc hộp vào phòng.
专长	chuyên môn	Phân tích dữ liệu là chuyên môn của cô ấy.
专程	chuyến đi riêng	Anh ấy thực hiện chuyến đi riêng để thăm thầy giáo.
专利	bằng sáng chế	Công ty đăng ký bằng sáng chế mới.
专题	chuyên đề	Đài truyền hình phát chương trình chuyên đề về bảo vệ môi trường.
砖	gạch	Công nhân mang đến một xe gạch.
转达	chuyển lời	Vui lòng chuyển lời cảm ơn của tôi.
转让	chuyển nhượng	Anh ấy quyết định chuyển nhượng cửa hàng.
转移	chuyển	Nữ y tá chuyển người bị thương.
转折	bước ngoặt	Một bước ngoặt lớn xuất hiện trong câu chuyện.
