simplified	DE	example_DE
物业	Immobilienverwaltung	Die Immobilienverwaltung ist für Reparaturen in der Wohnanlage zuständig.
物资	Güter; Material	Die Hilfsgüter sind bereits im Katastrophengebiet angekommen.
误差	Fehler; Abweichung	Das Messergebnis weist eine leichte Abweichung auf.
误解	Missverständnis; missverstehen	Die beiden Seiten räumten das Missverständnis durch Kommunikation aus.
夕阳	Abendsonne	Die Abendsonne färbte den Himmel golden.
昔日	früher; einst	Das einstige kleine Dorf wurde zu einer Stadt.
溪	Bach	Ein kleiner Bach fließt durch die Berge.
熄灭	löschen; ausgehen	Bitte löschen Sie die Kerze.
牺牲	Opfer; opfern	Sie brachten ein Opfer, um Menschen zu retten.
膝盖	Knie	Sein Knie wurde verletzt.
习俗	Brauch; Sitte	Zum Frühlingsfest gibt es viele traditionelle Bräuche.
媳妇	Ehefrau; Schwiegertochter	Seine Frau arbeitet im Krankenhaus.
袭击	angreifen; Angriff	Der Sturm traf die Küstenstadt.
喜闻乐见	beliebt; gern gesehen	Diese Art von Sendung ist beim Publikum beliebt.
喜悦	Freude; freudig	Auf ihrem Gesicht erschien ein freudiges Lächeln.
系列	Serie	Das Unternehmen brachte eine Serie neuer Produkte heraus.
细菌	Bakterium; Keim	Hohe Temperaturen können Bakterien abtöten.
细胞	Zelle	Der menschliche Körper besteht aus unzähligen Zellen.
细致	sorgfältig; detailliert	Ihre Beobachtung ist sehr sorgfältig.
峡谷	Schlucht; Canyon	Der Fluss fließt durch eine tiefe Schlucht.
狭隘	engstirnig; eng	Diese engstirnige Ansicht muss sich ändern.
狭窄	schmal	Dieser Pfad ist sehr schmal.
霞	Abendröte	Die Abendröte färbte den Himmel rot.
下属	Untergebener; Mitarbeiter	Der Manager hörte sich die Meinungen seiner Mitarbeiter aufmerksam an.
先进	fortschrittlich; modern	Die Fabrik setzte moderne Ausrüstung ein.
先前	früher; vorher	Der frühere Plan hat sich bereits geändert.
掀起	auslösen; anheben	Dieses Buch löste eine Diskussionswelle aus.
纤维	Faser	Dieser Stoff enthält natürliche Fasern.
鲜明	klar; deutlich	Seine Position ist sehr klar.
嫌	nicht mögen; Verdacht	Sie findet das Zimmer zu klein.
嫌疑	Verdacht; verdächtig	Dieser Mann steht unter erheblichem Verdacht.
弦	Saite	Eine Saite der Gitarre ist gerissen.
衔接	verbinden; anschließen	Die Inhalte der beiden Kurse schließen sehr gut aneinander an.
贤惠	tugendhaft; fürsorglich	Sie gilt als tugendhaft und tüchtig.
闲话	Klatsch; Gerede	Reden Sie nicht hinter dem Rücken anderer Leute.
显著	bedeutend; auffällig	Die Wirkung der Behandlung ist sehr deutlich.
宪法	Verfassung	Die Verfassung garantiert die Grundrechte der Bürger.
现场	Ort des Geschehens; vor Ort	Reporter sind bereits am Unfallort angekommen.
现成	fertig; verfügbar	In der Küche gibt es fertiges Essen.
现状	gegenwärtige Lage	Wir müssen die gegenwärtige Lage der Branche verstehen.
线索	Hinweis; Spur	Die Polizei fand einen neuen Hinweis.
陷害	hereinlegen; verleumden	Er behauptete, jemand habe ihn hereingelegt.
陷阱	Falle	Der Jäger stellte eine Falle auf.
陷入	geraten in	Das Unternehmen geriet in finanzielle Schwierigkeiten.
馅儿	Füllung	Die Füllung dieses Baozi duftet sehr gut.
乡镇	Gemeinde; Kleinstadt	Die Bedingungen an Gemeindeschulen verbessern sich.
相差	sich unterscheiden	Die Temperaturen der beiden Orte unterscheiden sich um zehn Grad.
相等	gleich; gleichwertig	Die Flächen der beiden Dreiecke sind gleich.
相辅相成	einander ergänzen	Theorie und Praxis ergänzen einander.
相应	entsprechend	Das Unternehmen wird entsprechende Maßnahmen ergreifen.
镶嵌	einlegen; einfassen	In den Ring ist ein Edelstein eingefasst.
响亮	laut und klar	Seine Antwort war laut und klar.
响应	reagieren; folgen	Viele Menschen reagierten auf die Umweltinitiative.
想方设法	alle möglichen Wege suchen	Sie suchten alle möglichen Wege, die Kosten zu senken.
向导	Führer; Guide	Ein örtlicher Führer brachte uns in die Berge.
向来	schon immer	Er hat schon immer großen Wert auf Kreditwürdigkeit gelegt.
向往	sich sehnen nach	Sie sehnt sich nach einem ruhigen Leben.
巷	Gasse	In der alten Gasse haben viele kleine Läden eröffnet.
相声	Xiangsheng; komischer Dialog	Der Großvater hört gern traditionelle Xiangsheng-Auftritte.
消除	beseitigen	Kommunikation kann Missverständnisse beseitigen.
消毒	desinfizieren	Der Arzt desinfizierte die Wunde.
消防	Feuerwehr; Brandschutz	Die Feuerwehrleute trafen schnell am Ort ein.
消耗	verbrauchen	Eine lange Reise verbraucht viel körperliche Kraft.
消灭	beseitigen; vernichten	Die Arbeiter beseitigen gerade Schädlinge.
潇洒	lässig; elegant	Seine Art zu gehen wirkt sehr lässig und elegant.
销毁	vernichten	Der Zoll vernichtete die gefälschten Waren.
小心翼翼	äußerst vorsichtig	Sie öffnete die Schachtel äußerst vorsichtig.
效益	Nutzen; Effizienz	Die neue Ausrüstung erhöhte die Produktionseffizienz.
肖像	Porträt	An der Wand hängt sein Porträt.
协会	Verband; Verein	Dieser Verband hilft jungen Unternehmern.
协商	beraten; verhandeln	Beide Seiten sind bereit, weiter zu verhandeln.
协调	koordinieren	Der Projektmanager ist für die Koordinierung der Ressourcen verantwortlich.
协议	Vereinbarung; Abkommen	Die beiden Seiten unterzeichneten eine Kooperationsvereinbarung.
协助	helfen; unterstützen	Freiwillige halfen älteren Menschen über die Straße.
携带	mitführen; tragen	Passagiere dürfen keine gefährlichen Güter mitführen.
屑	Späne; Krümel	Auf dem Tisch liegen viele Holzspäne.
泄露	durchsickern lassen; preisgeben	Mitarbeiter dürfen Kundendaten nicht preisgeben.
泄气	den Mut verlieren	Verlieren Sie nach einem Misserfolg nicht den Mut.
谢绝	höflich ablehnen	Das Hotel lehnt mitgebrachte Speisen höflich ab.
心得	Erfahrung; Erkenntnis	Sie teilte ihre Lernerfahrungen.
心甘情愿	völlig freiwillig	Er blieb völlig freiwillig, um zu helfen.
心灵	Seele; Geist	Musik tröstete ihre Seele.
心态	Geisteshaltung; Einstellung	Eine positive Geisteshaltung zu bewahren ist wichtig.
心疼	Mitleid empfinden; liebhaben	Die Mutter litt mit ihrem verletzten Kind.
心血	Mühe; Herzblut	In diesem Buch steckt das Herzblut des Autors.
心眼儿	Gesinnung; Engherzigkeit	Er ist ein wenig engstirnig.
新陈代谢	Stoffwechsel	Sport kann den Stoffwechsel fördern.
新郎	Bräutigam	Der Bräutigam begrüßte die Gäste an der Tür.
新娘	Braut	Die Braut trug ein weißes Hochzeitskleid.
新颖	neuartig; originell	Dieses Design ist sehr originell.
欣慰	erleichtert und erfreut sein	Als sie den Fortschritt des Kindes sah, war sie sehr erfreut.
欣欣向荣	blühen; florieren	Der Tourismus in der Kleinstadt floriert.
薪水	Gehalt	Sein Gehalt reicht aus, um die Familie zu ernähren.
辛勤	fleißig; mühsam	Bauern bauen mit großem Fleiß Feldfrüchte an.
信赖	vertrauen	Kunden vertrauen diesem Unternehmen sehr.
信念	Überzeugung; Glaube	Eine feste Überzeugung stützte ihn.
信仰	Glaube; Überzeugung	Sie respektiert unterschiedliche Glaubensrichtungen.
信誉	Ruf; Ansehen	Ein Unternehmen muss seinen Ruf schützen.
兴高采烈	hoch erfreut; ausgelassen	Die Kinder liefen ausgelassen ins Klassenzimmer.
兴隆	florierend; erfolgreich	Dieses alte Geschäft läuft sehr erfolgreich.
兴旺	florierend; wohlhabend	Die Marktwirtschaft wird immer lebendiger.
腥	fischig	Dieser Fisch riecht etwas fischig.
刑事	strafrechtlich; kriminell	Die Polizei untersucht einen Kriminalfall.
形态	Form; Gestalt	Die Form einer Pflanze verändert sich mit der Umgebung.
行政	Verwaltung; administrativ	Die Verwaltungsabteilung bearbeitet die Anträge.
兴致勃勃	voller Interesse	Alle diskutierten den Plan voller Interesse.
性感	sinnlich; attraktiv	Dieses Abendkleid wirkt sehr sinnlich.
性命	Leben	Der Arzt rettete sein Leben.
性能	Leistung; Funktion	Dieser Computer hat eine gute Leistung.
凶恶	bösartig; wild	Dieser Hund sieht sehr wild aus.
凶手	Täter; Mörder	Die Polizei fasste schließlich den Mörder.
汹涌	stürmisch; tosend	Stürmische Wellen schlugen ans Ufer.
胸怀	Brust; Gesinnung	Er hat eine großzügige Gesinnung.
胸膛	Brust	Der Soldat streckte die Brust heraus.
雄厚	stark; solide	Das Unternehmen verfügt über starke finanzielle Mittel.
雄伟	großartig; imposant	Diese Brücke ist sehr imposant.
修复	reparieren; wiederherstellen	Ingenieure reparieren gerade das System.
修建	bauen; errichten	Die Regierung plant, einen neuen Flughafen zu bauen.
修养	Bildung; Selbstkultivierung	Gute Bildung zeigt sich in den Details.
羞耻	Scham	Nach der Lüge empfand er Scham.
嗅觉	Geruchssinn	Der Geruchssinn eines Hundes ist sehr empfindlich.
绣	sticken	Die Großmutter kann Blumen sticken.
虚假	falsch; unecht	Die Website veröffentlichte falsche Nachrichten.
虚荣	Eitelkeit	Eitelkeit ließ ihn zu viel Geld ausgeben.
虚伪	heuchlerisch	Sie mag keine heuchlerischen Höflichkeiten.
需求	Nachfrage; Bedarf	Die Marktnachfrage steigt.
须知	Hinweise; Regeln	Bitte lesen Sie zuerst die Anmeldehinweise.
许可	Erlaubnis; erlauben	Ohne Erlaubnis darf man nicht eintreten.
序言	Vorwort	Im Vorwort erklärt der Autor den Hintergrund.
畜牧	Viehzucht	Das Grasland eignet sich für die Entwicklung der Viehzucht.
酗酒	Alkoholmissbrauch	Langfristiger Alkoholmissbrauch schadet der Gesundheit.
喧哗	Lärm machen	In der Bibliothek ist Lärm verboten.
宣誓	einen Eid leisten	Neue Mitglieder legten in der Sitzung einen Eid ab.
宣扬	propagieren; fördern	Die Schule fördert Ehrlichkeit und Vertrauenswürdigkeit.
悬挂	aufhängen	An der Wand hängt ein Bild.
悬念	Spannung	Das Ende des Films lässt Spannung zurück.
悬殊	großer Unterschied	Zwischen den beiden Teams besteht ein großer Leistungsunterschied.
悬崖峭壁	steile Felswand	Neben dem Bergweg liegen steile Felswände.
旋律	Melodie	Dieses Lied hat eine schöne Melodie.
旋转	sich drehen	Das Windrad dreht sich im Wind.
选拔	auswählen; auslesen	Die Schule wählt gerade Sportler aus.
选举	Wahl; wählen	Im Dorf fand eine Wahl statt.
选手	Teilnehmer; Sportler	Dieser Teilnehmer zeigte eine stabile Leistung.
炫耀	prahlen; zur Schau stellen	Er prahlt immer gern mit seinem Reichtum.
削	kürzen; abschneiden	Das Unternehmen kürzte einige Ausgaben.
削弱	schwächen	Müdigkeit schwächt das Urteilsvermögen.
学说	Lehre; Theorie	Diese Theorie hat großen Einfluss.
学位	akademischer Grad	Sie erwarb einen Masterabschluss.
雪上加霜	die Lage noch verschlimmern	Arbeitslosigkeit und Krankheit verschlimmerten die Lage noch.
血压	Blutdruck	Der Arzt erinnerte ihn daran, seinen Blutdruck zu kontrollieren.
熏陶	Prägung; beeinflussen	Sie wurde seit ihrer Kindheit von Musik geprägt.
寻觅	suchen	Sie suchten überall nach einer passenden Wohnung.
巡逻	patrouillieren	Die Polizei patrouilliert nachts auf den Straßen.
循环	zirkulieren; Kreislauf	Wasser zirkuliert im System.
循序渐进	schrittweise vorgehen	Beim Sprachenlernen sollte man schrittweise vorgehen.
压迫	unterdrücken	Das alte System unterdrückte die einfachen Leute.
压岁钱	Neujahrsgeld	Das Kind bekam Neujahrsgeld.
压缩	komprimieren	Die Software kann die Bildgröße komprimieren.
压抑	unterdrücken; bedrückend	Er versuchte, seinen inneren Zorn zu unterdrücken.
压榨	auspressen; ausbeuten	Die Maschine presst gerade Zuckerrohrsaft aus.
压制	unterdrücken; hemmen	Medikamente können Schmerzen unterdrücken.
鸦雀无声	mucksmäuschenstill	Nachdem der Lehrer hereinkam, war das Klassenzimmer mucksmäuschenstill.
亚军	Zweiter Platz; Vizemeisterin	Sie gewann im Wettbewerb den zweiten Platz.
淹没	überfluten; unter Wasser setzen	Die Flut überflutete die tiefliegenden Dörfer.
烟花爆竹	Feuerwerk und Knallkörper	Während des Feiertags sind Feuerwerk und Knallkörper verboten.
严峻	ernst; streng	Die Beschäftigungslage bleibt ernst.
严寒	bittere Kälte	Bittere Kälte beeinträchtigt den Verkehr.
严禁	streng verboten	Hier ist Rauchen streng verboten.
严厉	streng; hart	Der Lehrer kritisierte ihn streng.
严密	dicht; streng	Das Lager hat eine strenge Überwachung.
岩石	Fels; Gestein	Die Felsen am Meer sind sehr hart.
延期	verschieben; verlängern	Die Sitzung wurde auf nächste Woche verschoben.
延伸	sich erstrecken	Die Straße erstreckt sich nach Norden.
延续	fortbestehen; andauern	Diese Tradition besteht seit hundert Jahren fort.
沿海	Küsten-	Küstenstädte haben einen entwickelten Handel.
炎热	heiß; glühend heiß	Heißes Wetter macht Menschen müde.
言论	Äußerung; Rede	Die Öffentlichkeit achtet auf seine Äußerungen.
掩盖	verdecken; vertuschen	Er versuchte, den Fehler zu vertuschen.
掩护	decken; schützen	Die Teamkollegen waren für die Deckung beim Rückzug zuständig.
掩饰	verbergen; kaschieren	Sie versuchte, ihre Nervosität zu verbergen.
演变	sich entwickeln; sich wandeln	Die Stadtstruktur wandelt sich ständig.
演习	Übung; Manöver	Die Schule hielt eine Brandschutzübung ab.
演绎	herleiten; ableiten	Der Lehrer leitete diesen Satz her.
演奏	musizieren; aufführen	Die Band spielt gerade klassische Musik.
眼光	Blick; Urteilsvermögen	Er hat ein gutes Gespür für Investitionen.
眼色	Blick; Zeichen mit den Augen	Sie gab ihrer Kollegin ein Zeichen mit den Augen.
眼神	Blick; Ausdruck in den Augen	Sein Blick war sehr entschlossen.
厌恶	verabscheuen; hassen	Er verabscheut betrügerisches Verhalten.
验收	abnehmen; prüfen	Nach Abschluss des Projekts ist eine Abnahme nötig.
验证	überprüfen; verifizieren	Das Experiment bestätigte die Hypothese.
氧气	Sauerstoff	Der Patient muss Sauerstoff einatmen.
样品	Muster; Probe	Der Kunde erhielt Produktmuster.
摇摆	schwanken	Das kleine Boot schwankte im Wind und in den Wellen.
摇滚	Rockmusik	Junge Leute mögen Rockmusik.
谣言	Gerücht	Verbreiten Sie keine unbestätigten Gerüchte.
遥控	Fernsteuerung	Er steuerte die Klimaanlage mit dem Handy fern.
遥远	fern; weit entfernt	Dieses Dorf liegt weit von der Stadt entfernt.
耀眼	blendend	Das Sonnenlicht blendete stark.
要点	Hauptpunkt; Kernpunkt	Bitte notieren Sie die wichtigsten Punkte der Sitzung.
要命	lebensgefährlich; äußerst	Diese Bergstraße ist äußerst gefährlich.
要素	Faktor; Element	Vertrauen ist ein wichtiges Element der Zusammenarbeit.
野蛮	barbarisch; brutal	Er lehnt brutale Gesetzesdurchsetzung ab.
野心	Ehrgeiz; Ambition	Seine politischen Ambitionen sind offensichtlich.
液体	Flüssigkeit	Diese Flüssigkeit ist farblos.
一流	erstklassig	Dieses Krankenhaus hat erstklassige Ausrüstung.
一如既往	wie immer	Er unterstützt uns wie immer.
依旧	weiterhin; wie zuvor	Der Regen hörte auf, aber die Straße war weiterhin nass.
依据	Grundlage; beruhen auf	Das Urteil muss auf dem Gesetz beruhen.
依靠	sich verlassen auf; abhängen von	Sie leben von der Landwirtschaft.
依赖	abhängen von; angewiesen sein auf	Kinder sollten nicht zu sehr von ihren Eltern abhängen.
依托	sich stützen auf	Das Projekt entwickelt sich auf Grundlage lokaler Ressourcen.
衣裳	Kleidung	Sie zog saubere Kleidung an.
一度	einst; eine Zeit lang	Das Unternehmen stand einst vor dem Bankrott.
一贯	durchgehend; konsequent	Er hat Verschwendung stets abgelehnt.
一目了然	auf einen Blick klar	Der Inhalt der Tabelle ist auf einen Blick klar.
一向	immer; seit jeher	Sie ist immer pünktlich.
仪器	Instrument; Gerät	Das Labor kaufte neue Geräte.
仪式	Zeremonie	Die Abschlusszeremonie findet morgen statt.
疑惑	Zweifel; verwirrt sein	Der Schüler war wegen der Antwort verwirrt.
遗产	Erbe; Kulturerbe	Diese alte Stadt ist Kulturerbe.
遗传	Vererbung; vererben	Diese Krankheit kann vererbbar sein.
遗留	hinterlassen; übrig geblieben	Historisch hinterlassene Probleme müssen gelöst werden.
遗失	verlieren	Der Reisende verlor seinen Pass.
以便	damit	Bitte hinterlassen Sie eine Telefonnummer, damit wir Sie kontaktieren können.
以免	um zu vermeiden	Gehen Sie früher los, um Verspätung zu vermeiden.
以往	früher; bisher	Frühere Erfahrungen sind als Referenz wertvoll.
以至	bis hin zu; sogar	Der Umfang wurde auf die Gemeinde und sogar die ganze Stadt ausgeweitet.
以致	sodass; mit der Folge, dass	Der starke Regen hielt an, sodass die Straßen unterbrochen wurden.
一帆风顺	reibungslos verlaufen	Eine Unternehmensgründung kann nicht immer reibungslos verlaufen.
一举两得	zwei Ziele auf einmal erreichen	Mit dem Fahrrad zur Arbeit zu fahren kann zwei Ziele auf einmal erreichen.
一丝不苟	äußerst gewissenhaft	Der Ingenieur prüfte die Leitungen äußerst gewissenhaft.
亦	auch	Er stimmte diesem Plan ebenfalls zu.
异常	Anomalie; ungewöhnlich	Im System trat eine ungewöhnliche Situation auf.
意料	Erwartung	Das Ergebnis war völlig unerwartet.
意识	Bewusstsein; erkennen	Er erkannte allmählich, dass das Problem ernst war.
意图	Absicht	Die Polizei durchschaute seine Absicht.
意味着	bedeuten	Schweigen bedeutet nicht Zustimmung.
意向	Absicht; Tendenz	Beide Seiten äußerten die Absicht zur Zusammenarbeit.
意志	Wille; Willenskraft	Schwierigkeiten prüfen den Willen eines Menschen.
毅力	Ausdauer; Willenskraft	Erfolg erfordert langfristige Ausdauer.
毅然	entschlossen; ohne Zögern	Sie verließ das Unternehmen entschlossen.
翼	Flügel	Der Flügel des Flugzeugs wurde geprüft.
阴谋	Verschwörung; Komplott	Sie deckten diese Verschwörung auf.
音响	Lautsprecher; Akustik	Die Akustik im Wohnzimmer ist gut.
引导	leiten; führen	Der Lehrer leitete die Schüler zum Nachdenken an.
引擎	Motor	Der Automotor ging plötzlich aus.
引用	zitieren	Die Arbeit zitierte umfangreiches Material.
隐蔽	sich verstecken; verborgen	Die Soldaten versteckten sich im Wald.
隐患	versteckte Gefahr	Alte Leitungen bergen versteckte Sicherheitsrisiken.
隐瞒	verheimlichen	Er verheimlichte die Wahrheit nicht.
隐私	Privatsphäre	Das Unternehmen muss die Privatsphäre der Nutzer schützen.
隐约	vage; undeutlich	In der Ferne war Gesang schwach zu hören.
饮食	Ernährung; Essen und Trinken	Gesunde Ernährung hilft bei der Genesung.
婴儿	Säugling; Baby	Das Baby schläft ruhig.
英明	weise; klug	Die Führung traf eine weise Entscheidung.
英勇	tapfer; heldenhaft	Der Feuerwehrmann rettete das Kind heldenhaft.
盈利	Gewinn; Gewinn machen	Das Unternehmen begann in diesem Jahr Gewinn zu machen.
迎面	entgegen; frontal	Ein kalter Wind blies uns entgegen.
应酬	gesellschaftliche Verpflichtung	Er hat heute Abend viele gesellschaftliche Verpflichtungen.
应邀	auf Einladung	Der Experte nahm auf Einladung am Forum teil.
庸俗	vulgär; geschmacklos	Der Inhalt dieser Werbung ist sehr vulgär.
拥护	unterstützen	Alle unterstützen die neue Politik.
拥有	besitzen; haben	Er besitzt reiche Erfahrung.
勇于	den Mut haben	Junge Menschen sollten den Mut haben, Neues zu versuchen.
永恒	ewig; beständig	Liebe ist nicht ewig unveränderlich.
涌现	in großer Zahl entstehen	Überall entstehen hervorragende Lehrer.
踊跃	eifrig; begeistert	Die Bewohner meldeten sich eifrig für die Aktivität an.
用户	Nutzer	Die Nutzer können ihre Passwörter ändern.
优胜劣汰	Überleben der Besten	Marktwettbewerb zeigt das Überleben der Besten.
优先	Vorrang; bevorzugt	Ältere Menschen können bevorzugt bedient werden.
优异	hervorragend	Sie erzielte hervorragende Ergebnisse.
优越	überlegen; vorteilhaft	Dieser Ort hat eine vorteilhafte Lage.
忧郁	melancholisch; schwermütig	Sein Gesichtsausdruck wirkte melancholisch.
油腻	fettig	Dieses Gericht ist zu fettig.
油漆	Farbe; Lack	Arbeiter streichen gerade die Tür.
犹如	wie; ähnlich	Die Seeoberfläche ist wie ein Spiegel.
有条不紊	geordnet; methodisch	Die Sitzung verlief geordnet.
幼稚	kindisch; naiv	Diese Idee ist etwas naiv.
诱惑	Versuchung; verlocken	Die Werbung ist voller Konsumversuchungen.
愚蠢	dumm	Diese Entscheidung ist äußerst dumm.
愚昧	unwissend; ignorant	Ignorante Vorstellungen behindern den Fortschritt.
渔民	Fischer	Fischer fahren im Morgengrauen zum Fang aufs Meer hinaus.
舆论	öffentliche Meinung	Die öffentliche Meinung beeinflusst den Fall stark.
与日俱增	täglich zunehmen	Die Zahl der Touristen nimmt von Tag zu Tag zu.
宇宙	Universum	Die Menschheit erforscht das Universum ständig weiter.
羽绒服	Daunenjacke	Im Winter muss man eine Daunenjacke tragen.
寓言	Fabel	Diese Fabel ist sehr lehrreich.
愈	immer mehr; genesen	Der Zustand wird immer besser.
欲望	Verlangen; Begierde	Er beherrschte sein Einkaufsverlangen.
熨	bügeln	Sie bügelte das Hemd glatt.
玉	Jade	Dieses Stück Jade hat eine warme Farbe.
预料	erwarten; vorhersehen	Die Entwicklung der Dinge übertraf die Erwartungen.
预期	Erwartung; erwartet	Der Umsatz lag unter den Erwartungen.
预算	Budget	Das Projektbudget muss angepasst werden.
预先	im Voraus	Bitte bereiten Sie die Materialien im Voraus vor.
预言	Vorhersage; prophezeien	Seine Vorhersage traf nicht ein.
预兆	Anzeichen; Vorzeichen	Schmerzen können ein Krankheitsanzeichen sein.
冤枉	Unrecht tun	Beschuldigen Sie keine unschuldigen Menschen zu Unrecht.
元首	Staatsoberhaupt	Die Staatsoberhäupter der beiden Länder führten Gespräche.
元素	Element	Sauerstoff ist ein chemisches Element.
元宵节	Laternenfest	Beim Laternenfest betrachten die Menschen Laternen.
原告	Kläger	Der Kläger reichte neue Beweise ein.
原理	Prinzip	Der Lehrer erklärte das Prinzip der Maschine.
原始	ursprünglich; primitiv	Sie bewahrten die ursprünglichen Aufzeichnungen auf.
原先	ursprünglich; früher	Der ursprüngliche Plan hat sich bereits geändert.
园林	Gartenanlage	Suzhous Gartenanlagen sind sehr berühmt.
圆满	vollständig; erfolgreich	Die Sitzung war ein voller Erfolg.
源泉	Quelle	Praxis ist die Quelle des Wissens.
缘故	Grund	Ursprünglich trat er aus gesundheitlichen Gründen zurück.
约束	beschränken; binden	Das System beschränkt das Verhalten der Mitarbeiter.
乐谱	Notenblatt; Partitur	Sie las die Noten sorgfältig.
岳母	Schwiegermutter	Er besucht am Wochenende seine Schwiegermutter.
孕育	hervorbringen; nähren	Der Boden bringt neues Leben hervor.
蕴藏	enthalten; bergen	Das Berggebiet birgt reiche Bodenschätze.
运算	Rechenoperation	Die Schüler üben mathematische Rechenoperationen.
运行	laufen; in Betrieb sein	Das System läuft stabil.
酝酿	ausbrüten; erwägen	Beide Seiten erwägen gerade einen neuen Plan.
杂技	Akrobatik	Kinder sehen gern Akrobatikvorführungen.
杂交	Hybrid; Kreuzung	Wissenschaftler erforschen Hybridreis.
砸	zerschmettern; einschlagen	Der Becher fiel auf den Boden und zerbrach.
咋	wie; warum	Warum bist du noch nicht zurück?
栽培	anbauen; kultivieren	Der Gärtner kultivierte viele Blumen.
灾难	Katastrophe	Nach der Katastrophe begann die Stadt mit dem Wiederaufbau.
宰	schlachten	Beim Fest schlachten die Dorfbewohner ein Schaf.
再接再厉	sich weiter anstrengen	Nach dem Preis strengte sich das Team weiter an.
在意	sich kümmern um; wichtig nehmen	Sie legt großen Wert auf die Meinung anderer.
攒	ansparen; sammeln	Er spart Geld, um einen Computer zu kaufen.
暂且	vorerst; einstweilen	Legen wir diese Frage vorerst beiseite.
赞叹	bewundern	Das Publikum bewunderte die Leistung des Schauspielers.
赞助	sponsern; unterstützen	Das Unternehmen sponserte diesen Wettbewerb.
糟蹋	verschwenden; ruinieren	Verschwenden Sie diese frischen Lebensmittel nicht.
遭受	erleiden	Die Felder erlitten eine schwere Dürre.
遭殃	Unheil erleiden	Als die Brücke einstürzte, litten die Anwohner.
遭遇	begegnen; erleiden	Sie gerieten unterwegs in einen Schneesturm.
噪音	Lärm	Baulärm stört die Erholung.
造型	Formgebung; Design	Dieses Automodell hat eine sehr eigenständige Form.
责怪	beschuldigen; tadeln	Bitte geben Sie dem Kind nicht blind die Schuld.
贼	Dieb	Die Polizei fasste den Dieb.
增添	hinzufügen; bereichern	Frische Blumen bringen Farbe ins Zimmer.
赠送	schenken; als Geschenk geben	Das Geschäft gibt kleine Geschenke dazu.
扎	stechen; spritzen	Die Krankenschwester gab ihm eine Spritze.
扎实	solide; fundiert	Seine Grammatikgrundlage ist sehr solide.
渣	Rückstand; Satz	Am Boden der Tasse blieb Kaffeesatz zurück.
眨	blinzeln	Sie blinzelte mit den Augen.
诈骗	Betrug; betrügen	Die Polizei klärte einen Telekommunikationsbetrug auf.
摘要	Zusammenfassung; Abstract	Die Zusammenfassung der Arbeit ist klar geschrieben.
债券	Anleihe	Investoren kaufen Staatsanleihen.
沾光	von jemandem profitieren	Ich profitierte auch durch meinen Freund davon.
瞻仰	Ehrerbietung erweisen	Touristen erweisen am Heldendenkmal ihre Ehrerbietung.
展示	zeigen; ausstellen	Das Unternehmen stellte seine neuesten Produkte aus.
展望	Ausblick; vorausschauen	Der Bericht gibt einen Ausblick auf zukünftige Trends.
展现	zeigen; sichtbar machen	Das Werk zeigt das Leben auf dem Land.
崭新	brandneu	Er kaufte ein brandneues Fahrrad.
斩钉截铁	entschieden; kategorisch	Sie lehnte entschieden ab.
占据	einnehmen; besetzen	Die Anzeige nahm die ganze Seite ein.
占领	besetzen	Die Armee besetzte den Gebirgspass.
战斗	Kampf; kämpfen	Der Kampf dauerte drei Stunden.
战略	Strategie	Das Unternehmen passte seine Entwicklungsstrategie an.
战术	Taktik	Der Trainer änderte die Spieltaktik.
战役	Feldzug; Schlacht	Dieser Feldzug veränderte die Lage.
章程	Satzung; Regeln	Der Verband verabschiedete eine neue Satzung.
帐篷	Zelt	Sie schlugen am See Zelte auf.
障碍	Hindernis; Barriere	Sprachbarrieren beeinflussen die Kommunikation.
招标	Ausschreibung	Das Bauprojekt wurde öffentlich ausgeschrieben.
招收	aufnehmen; rekrutieren	Die Schule nimmt dieses Jahr neue Schüler auf.
朝气蓬勃	voller Energie	Das junge Team ist voller Energie.
着迷	fasziniert sein	Das Kind ist von Astronomie fasziniert.
沼泽	Sumpf	Die Expedition durchquerte den Sumpf.
照样	wie gewohnt	Es regnete, aber das Training ging wie gewohnt weiter.
照耀	scheinen; beleuchten	Das Sonnenlicht scheint auf den Platz.
折腾	herumhantieren; quälen	Hören Sie auf, an diesem alten Computer herumzuhantieren.
遮挡	verdecken; abschirmen	Äste verdeckten das Fenster.
折	falten; brechen	Er faltete das Papier zu einem Flugzeug.
折磨	quälen	Langfristige Schlaflosigkeit quält sie.
侦探	Detektiv	Der Detektiv fand einen entscheidenden Hinweis.
斟酌	sorgfältig abwägen	Bitte wägen Sie die Wortwahl sorgfältig ab.
珍贵	wertvoll	Diese Fotos sind sehr wertvoll.
珍稀	selten und kostbar	Schützen Sie seltene Wildtiere.
珍珠	Perle	Sie trägt Perlenohrringe.
真理	Wahrheit	Die Praxis prüft die Wahrheit.
真相	Wahrheit; Sachverhalt	Der Reporter bemühte sich, die Wahrheit herauszufinden.
真挚	aufrichtig	Sie drückte aufrichtigen Dank aus.
枕头	Kissen	Dieses Kissen ist zu hoch.
振奋	ermutigen; anspornen	Die gute Nachricht ermutigte alle.
振兴	wiederbeleben; revitalisieren	Die Regierung fördert die Wiederbelebung der Dörfer.
镇定	ruhig; gefasst	In der Krise blieb er ruhig.
镇静	ruhig; gelassen	Die Krankenschwester bat den Patienten, ruhig zu bleiben.
