simplified	NO	example_NO
自力更生	klare seg selv	Landsbyboerne insisterer på å klare seg selv
自满	selvtilfreds	Man bør ikke bli selvtilfreds etter suksess
自主	selvstendig	Studenter må utvikle evne til selvstendig læring
宗教	en religion	Han studerer verdensreligioner
宗旨	formål	Organisasjonens formål er å tjene lokalsamfunnet
棕色	brun	Hun kjøpte brune skinnsko
踪迹	spor	Politiet fant spor etter den mistenkte
总而言之	kort sagt	Kort sagt er planen gjennomførbar
总和	en sum	Fortjeneste er forskjellen mellom samlet inntekt og kostnader
纵横	krysse på kryss og tvers	Elver krysser sletten på kryss og tvers
走廊	korridor	Barna stilte seg i kø i korridoren
走漏	lekke	Nyheten må ikke lekke ut
走私	smugle	Tollvesenet beslagla smuglede varer
揍	banke opp	Han ble banket opp av flere fulle menn
租赁	leie	Selskapet leide et nytt kontor
足以	tilstrekkelig	Dette beviset er tilstrekkelig til å forklare problemet
祖父	bestefar	Bestefar liker å fortelle gamle historier
祖国	fedreland	Han elsker fedrelandet sitt dypt
祖先	forfedre	De dyrker forfedrene sine
阻碍	hindre	Mangel på midler hindrer prosjektets framgang
阻拦	stoppe	Vakten stoppet fremmede fra å komme inn
阻挠	hindre med vilje	Noen hindret undersøkelsen med vilje
钻研	studere grundig	Hun studerer gammel litteratur grundig
钻石	diamant	Det er satt en diamant i ringen
嘴唇	leppe	Den kalde vinden sprakk leppene
罪犯	forbryter	Politiet arresterte den rømte forbryteren
尊严	verdighet	Alle bør ha verdighet
遵循	følge	Leger følger strenge standarder
作弊	jukse	Juks på eksamen vil bli straffet
作废	ugyldiggjøre	Den gamle billetten er allerede ugyldig
作风	arbeidsstil	Lederens arbeidsstil er praktisk
作息	arbeid og hvile	Regelmessige arbeids- og hviletider gagner helsen
做主	bestemme	Du bestemmer i denne saken
座右铭	et motto	Mottoet hans er å aldri gi opp
