simplified	LV	example_LV
掩护	piesegt	Komandas biedri bija atbildīgi par atkāpšanās piesegšanu.
掩饰	slēpt	Viņa centās slēpt savu nervozitāti.
演变	attīstīties	Pilsētas plānojums nepārtraukti attīstās.
演习	mācības	Skolā notika ugunsdzēsības mācības.
演绎	izsecināt	Skolotājs izsecināja šo teorēmu.
演奏	atskaņot	Orķestris atskaņo klasisko mūziku.
眼光	redzējums	Viņam ir labs investīciju redzējums.
眼色	acu signāls	Viņa deva kolēģim acu signālu.
眼神	skatiens	Viņa skatiens bija ļoti apņēmīgs.
厌恶	ienīst	Viņš ienīst krāpniecisku rīcību.
验收	pieņemšanas pārbaude	Pēc darbu pabeigšanas projektam vajadzīga pieņemšanas pārbaude.
验证	pārbaudīt	Eksperiments pārbaudīja hipotēzi.
氧气	skābeklis	Pacientam jāieelpo skābeklis.
样品	paraugs	Klients saņēma produkta paraugus.
摇摆	šūpoties	Mazā laiva šūpojās vējā un viļņos.
摇滚	rokūzika	Jauniešiem patīk rokūzika.
谣言	baumas	Neizplati nepārbaudītas baumas.
遥控	attālināti vadīt	Viņš ar telefonu attālināti vadīja kondicionieri.
遥远	tāls	Tas ciems atrodas tālu no pilsētas.
耀眼	apžilbinošs	Saules gaisma bija apžilbinoša.
要点	galvenie punkti	Lūdzu, pieraksti sanāksmes galvenos punktus.
要命	ārkārtīgi	Šis kalnu ceļš ir ārkārtīgi bīstams.
要素	elements	Uzticēšanās ir svarīgs sadarbības elements.
野蛮	brutāls	Viņš iebilst pret brutālu likuma piemērošanu.
野心	ambīcijas	Viņa politiskās ambīcijas ir acīmredzamas.
液体	šķidrums	Šim šķidrumam nav krāsas.
一流	pirmklasīgs	Šai slimnīcai ir pirmklasīgs aprīkojums.
一如既往	kā vienmēr	Viņš mūs atbalsta kā vienmēr.
依旧	joprojām	Lietus apstājās, bet iela joprojām bija mitra.
依据	pamats	Spriedumam jābalstās uz likumu.
依靠	paļauties	Viņi paļaujas uz lauksaimniecību iztikai.
依赖	būt atkarīgam	Bērniem nevajadzētu pārāk būt atkarīgiem no vecākiem.
依托	balstīties	Projekts attīstās, balstoties uz vietējiem resursiem.
衣裳	drēbes	Viņa pārģērbās tīrās drēbēs.
一度	kādreiz	Uzņēmums kādreiz saskārās ar bankrotu.
一贯	konsekvents	Viņš konsekventi iebilst pret izšķērdību.
一目了然	skaidrs vienā mirklī	Tabulas saturs ir skaidrs vienā mirklī.
一向	vienmēr	Viņa vienmēr ir punktuāla.
仪器	instruments	Laboratorija nopirka jaunus instrumentus.
仪式	ceremonija	Izlaiduma ceremonija notiks rīt.
疑惑	apjukums	Students jutās apjucis par atbildi.
遗产	mantojums	Šī senā pilsēta ir kultūras mantojums.
遗传	iedzimt	Šī slimība var būt iedzimta.
遗留	palikis no pagātnes	No vēstures palikušās problēmas ir jāatrisina.
遗失	pazaudēt	Ceļotājs pazaudēja pasi.
以便	lai	Lūdzu, atstāj telefona numuru, lai varam sazināties.
以免	lai izvairītos	Izbrauc agrāk, lai izvairītos no kavēšanās.
以往	agrāks	Agrākā pieredze ir izmantojama kā atsauce.
以至	pat līdz	Apjoms paplašinājās līdz kopienai un pat līdz visai pilsētai.
以致	rezultātā	Spēcīgais lietus turpinājās, rezultātā ceļi tika pārrauti.
一帆风顺	gludi noritēt	Uzņēmējdarbība nevar vienmēr noritēt gludi.
一举两得	iegūt divus labumus reizē	Braukšana uz darbu ar velosipēdu ļauj iegūt divus labumus reizē.
一丝不苟	ļoti rūpīgs	Inženieris ļoti rūpīgi pārbaudīja vadus.
亦	arī	Viņš arī piekrita šim plānam.
异常	nenormāls	Sistēmā parādījās nenormāla situācija.
意料	gaidas	Rezultāts bija pilnīgi ārpus gaidām.
意识	apzināties	Viņš pakāpeniski apzinājās problēmas nopietnību.
意图	nodoms	Policija atklāja viņa nodomu.
意味着	nozīmēt	Klusēšana nenozīmē piekrišanu.
意向	nodoms	Abas puses pauda nodomu sadarboties.
意志	griba	Grūtības pārbauda cilvēka gribu.
毅力	neatlaidība	Panākumiem vajadzīga ilgstoša neatlaidība.
毅然	apņēmīgi	Viņa apņēmīgi aizgāja no uzņēmuma.
翼	spārns	Lidmašīnas spārns tika pārbaudīts.
阴谋	sazvērestība	Viņi atklāja šo sazvērestību.
音响	skaņas sistēma	Dzīvojamajā istabā ir laba skaņas sistēma.
引导	vadīt	Skolotājs vada skolēnus domāt.
引擎	dzinējs	Automašīnas dzinējs pēkšņi noslāpa.
引用	citēt	Rakstā citēts liels daudzums materiālu.
隐蔽	paslēpties	Kareivji paslēpās mežā.
隐患	slēpts risks	Vecajos vados pastāv slēpti drošības riski.
隐瞒	noklusēt	Viņš nenoklusēja patiesību.
隐私	privātums	Uzņēmumam jāaizsargā lietotāju privātums.
隐约	neskaidri	Tālumā neskaidri bija dzirdama dziedāšana.
饮食	uzturs	Veselīgs uzturs palīdz atveseļoties.
婴儿	zīdainis	Zīdainis mierīgi guļ.
英明	gudrs	Vadītājs pieņēma gudru lēmumu.
英勇	varonīgs	Ugunsdzēsējs varonīgi izglāba bērnu.
盈利	peļņa	Uzņēmums šogad sāka gūt peļņu.
迎面	pretī	Sejā pūta auksts vējš.
应酬	sabiedriskās saistības	Viņam šovakar ir daudz sabiedrisko saistību.
应邀	pēc uzaicinājuma	Eksperts pēc uzaicinājuma piedalījās forumā.
庸俗	vulgārs	Šīs reklāmas saturs ir vulgārs.
拥护	atbalstīt	Visi atbalsta jauno politiku.
拥有	piederēt	Viņam ir bagāta pieredze.
勇于	uzdrošināties	Jauniešiem jāuzdrošinās mēģināt.
永恒	mūžīgs	Mīlestība nav mūžīgi nemainīga.
涌现	parādīties	Visur parādās izcili skolotāji.
踊跃	aktīvi	Iedzīvotāji aktīvi pieteicās pasākumam.
用户	lietotājs	Lietotāji var mainīt savas paroles.
优胜劣汰	spēcīgāko izdzīvošana	Tirgus konkurence atspoguļo spēcīgāko izdzīvošanu.
优先	prioritāte	Vecāka gadagājuma cilvēkus var apkalpot prioritāri.
优异	izcils	Viņa sasniedza izcilus rezultātus.
优越	pārāks	Šai vietai ir pārāks ģeogrāfiskais novietojums.
忧郁	melanholisks	Viņa sejas izteiksme izskatījās melanholiska.
油腻	taukains	Šis ēdiens ir pārāk taukains.
油漆	krāsa	Strādnieki krāso durvis ar krāsu.
犹如	kā	Ezera virsma ir kā spogulis.
有条不紊	metodiski	Sanāksme noritēja metodiski.
幼稚	naivs	Šī doma ir mazliet naiva.
诱惑	kārdinājums	Reklāma ir pilna ar patēriņa kārdinājumiem.
愚蠢	muļķīgs	Šis lēmums ir ļoti muļķīgs.
愚昧	neizglītots	Neizglītoti priekšstati kavē progresu.
渔民	zvejnieks	Zvejnieki rītausmā dodas jūrā zvejot.
舆论	sabiedriskā doma	Sabiedriskajai domai ir liela ietekme uz lietu.
与日俱增	augt ar katru dienu	Tūristu skaits aug ar katru dienu.
宇宙	Visums	Cilvēce nepārtraukti pēta Visumu.
羽绒服	dūnu jaka	Ziemā jāvelk dūnu jaka.
寓言	fabula	Šai fabulā ir liela audzinoša nozīme.
愈	arvien	Stāvoklis kļūst arvien labāks.
欲望	vēlme	Viņš savaldīja vēlmi iepirkties.
熨	gludināt	Viņa izgludināja kreklu gludu.
玉	nefrīts	Šim nefrīta gabalam ir maiga krāsa.
预料	gaidas	Notikumu attīstība pārsniedza gaidas.
预期	prognozes	Pārdošanas apjoms bija zem prognozēm.
预算	budžets	Projekta budžets ir jāpielāgo.
预先	iepriekš	Lūdzu, iepriekš sagatavo materiālus.
预言	paredzējums	Viņa paredzējums nepiepildījās.
预兆	brīdinājuma pazīme	Sāpes var būt slimības brīdinājuma pazīme.
冤枉	nepamatoti vainot	Nevaino nepamatoti nevainīgu cilvēku.
元首	valsts vadītājs	Abu valstu vadītāji rīkoja sarunas.
元素	elements	Skābeklis ir ķīmisks elements.
元宵节	Laternu svētki	Laternu svētkos cilvēki vēro laternas.
原告	prasītājs	Prasītājs iesniedza jaunus pierādījumus.
原理	princips	Skolotājs izskaidroja mašīnas principu.
原始	sākotnējs	Viņi saglabāja sākotnējos ierakstus.
原先	sākotnējais	Sākotnējais plāns jau ir mainīts.
园林	dārzs	Sudžou dārzi ir ļoti slaveni.
圆满	pilnīgs	Sanāksme guva pilnīgus panākumus.
源泉	avots	Prakse ir zināšanu avots.
缘故	iemesls	Viņš atkāpās veselības iemeslu dēļ.
约束	ierobežot	Sistēma ierobežo darbinieku rīcību.
乐谱	notis	Viņa uzmanīgi lasīja notis.
岳母	sievas māte	Viņš nedēļas nogalē devās apciemot sievas māti.
孕育	audzināt	Augsne audzina jaunu dzīvību.
蕴藏	saturēt	Kalnu rajons satur bagātīgus derīgo izrakteņu krājumus.
运算	aprēķins	Skolēni vingrinās matemātiskajos aprēķinos.
运行	darboties	Sistēma darbojas stabili.
酝酿	apsvērt	Abas puses apsver jaunu plānu.
杂技	akrobātika	Bērniem patīk skatīties akrobātikas priekšnesumus.
杂交	hibrīds	Zinātnieki pēta hibrīdrīsus.
砸	sasist	Krūze nokrita uz grīdas un saplīsa.
咋	kā tad	Kā tad tu vēl neesi atgriezies?
栽培	audzēt	Dārznieks audzēja daudz ziedu.
灾难	katastrofa	Pēc katastrofas pilsēta sāka atjaunošanu.
宰	kaut	Svētku laikā ciema iedzīvotāji kauj aitas.
再接再厉	turpināt centienus	Pēc balvas iegūšanas komanda turpināja centienus.
在意	rūpēties	Viņai ļoti rūp citu cilvēku viedoklis.
攒	krāt	Viņš krāj naudu, lai nopirktu datoru.
暂且	pagaidām	Šo jautājumu pagaidām noliksim malā.
赞叹	apbrīnot	Skatītāji apbrīnoja aktiera priekšnesumu.
赞助	sponsorēt	Uzņēmums sponsorēja šīs sacensības.
糟蹋	izšķērdēt	Neizšķērdē šo svaigo ēdienu.
遭受	ciest	Lauksaimniecības zeme cieta smagā sausumā.
遭殃	ciest nelaimi	Kad tilts sabruka, tuvējie iedzīvotāji cieta nelaimi.
遭遇	sastapt	Viņi ceļā sastapa sniegputeni.
噪音	troksnis	Būvdarbu troksnis traucē atpūsties.
造型	forma	Šim auto modelim ir ļoti īpaša forma.
责怪	vainot	Lūdzu, nevaino bērnu vienpusīgi.
贼	zaglis	Policija noķēra to zagli.
增添	pievienot	Svaigi ziedi piešķir telpai krāsu.
赠送	dāvināt	Veikals dāvina nelielas dāvanas.
扎	iedurt	Medmāsa viņam iedūra injekciju.
扎实	stabils	Viņa gramatikas pamati ir stabili.
渣	biezumi	Krūzes dibenā palika kafijas biezumi.
眨	mirkšķināt	Viņa pamirkšķināja acis.
诈骗	krāpšana	Policija atklāja telekomunikāciju krāpšanas lietu.
摘要	kopsavilkums	Raksta kopsavilkums ir uzrakstīts ļoti skaidri.
债券	obligācija	Investori pērk valdības obligācijas.
沾光	gūt labumu	Arī es guvu labumu caur draugu.
瞻仰	godbijīgi apmeklēt	Tūristi godbijīgi apmeklē varoņu pieminekli.
展示	parādīt	Uzņēmums parādīja jaunākos produktus.
展望	raudzīties nākotnē	Ziņojums raugās uz nākotnes tendencēm.
展现	atklāt	Darbs atklāj lauku dzīvi.
崭新	pavisam jauns	Viņš nopirka pavisam jaunu velosipēdu.
斩钉截铁	nešaubīgi	Viņa nešaubīgi atteicās.
占据	aizņemt	Reklāma aizņēma visu lapu.
占领	ieņemt	Armija ieņēma kalnu pāreju.
战斗	kauja	Kauja ilga trīs stundas.
战略	stratēģija	Uzņēmums pielāgoja attīstības stratēģiju.
战术	taktika	Treneris mainīja spēles taktiku.
战役	kampaņa	Šī militārā kampaņa mainīja situāciju.
章程	nolikums	Asociācija pieņēma jaunu nolikumu.
帐篷	telts	Viņi pie ezera uzcēla teltis.
障碍	šķērslis	Valodas šķēršļi ietekmē saziņu.
招标	izsludināt iepirkumu	Inženierprojekts izsludināja publisku iepirkumu.
招收	uzņemt	Skola šogad uzņem jaunus skolēnus.
朝气蓬勃	enerģisks	Jaunā komanda ir enerģiska.
着迷	aizrauties	Bērns ļoti aizraujas ar astronomiju.
沼泽	purvs	Ekspedīcija šķērsoja purvu.
照样	kā parasti	Lija lietus, bet treniņš notika kā parasti.
照耀	apspīdēt	Saules gaisma apspīd laukumu.
折腾	ķimerēties	Beidz ķimerēties ar šo veco datoru.
遮挡	aizsegt	Zari aizsedza logu.
折	locīt	Viņš salocīja papīru lidmašīnā.
折磨	mocīt	Ilgstošs bezmiegs viņu moka.
侦探	detektīvs	Detektīvs atrada svarīgu pavedienu.
斟酌	apsvērt	Lūdzu, rūpīgi apsver formulējumu.
珍贵	vērtīgs	Šīs fotogrāfijas ir ļoti vērtīgas.
珍稀	rets	Aizsargā retus savvaļas dzīvniekus.
珍珠	pērle	Viņa valkā pērļu auskarus.
真理	patiesība	Prakse pārbauda patiesību.
真相	patiesie fakti	Žurnālists centās noskaidrot patiesos faktus.
真挚	sirsnīgs	Viņa izteica sirsnīgu pateicību.
枕头	spilvens	Šis spilvens ir pārāk augsts.
振奋	iedvesmot	Labās ziņas visus iedvesmoja.
振兴	atdzīvināšana	Valdība veicina lauku atdzīvināšanu.
镇定	mierīgs	Ārkārtas situācijā viņš palika mierīgs.
镇静	mierīgs	Medmāsa lika pacientam palikt mierīgam.
阵地	pozīcija	Kareivji noturēja pozīciju.
阵容	sastāvs	Komanda paziņoja sākumsastāvu.
震撼	satricinošs	Šī filma ir ļoti satricinoša.
震惊	šokēt	Ziņas šokēja visu valsti.
争端	strīds	Abas puses mēģināja atrisināt robežstrīdu.
争夺	cīnīties par	Divi uzņēmumi cīnās par tirgus daļu.
争气	attaisnot cerības	Viņš cītīgi mācās, lai attaisnotu ģimenes cerības.
争先恐后	steigties sacenšoties	Tūristi steidzās sacenšoties iekāpt autobusā.
争议	strīds	Šis lēmums izraisīja strīdu.
征服	iekarot	Alpīnists iekaroja virsotni.
征收	iekasēt	Valdība saskaņā ar likumu iekasē nodokļus.
挣扎	cīnīties	Putns cīnījās tīklā.
正月	pirmais Mēness kalendāra mēnesis	Pirmajā Mēness kalendāra mēnesī radinieki apciemo viens otru svētkos.
蒸发	iztvaikot	Mitrums ātri iztvaikoja.
整顿	reorganizēt	Uzņēmums sāka reorganizēt pārvaldību.
政策	politika	Jaunā politika atbalsta mazos uzņēmumus.
政权	režīms	Karš mainīja vietējo režīmu.
正当	leģitīms	Viņš izvirzīja leģitīmu prasību.
正负	pozitīvs un negatīvs	Ierīce rāda pozitīvu un negatīvu kļūdu.
正规	parasts	Bērns sāka mācīties parastā skolā.
正经	nopietns	Viņš beidzot sāka runāt nopietni.
正气	taisnīgums	Sabiedrībai jāveicina taisnīgums.
正义	taisnīgums	Advokāts aizstāvēja taisnīgumu.
正宗	autentisks	Šajā restorānā pārdod autentiskus Sičuaņas ēdienus.
症状	simptoms	Drudzis ir bieži sastopams simptoms.
证实	apstiprināt	Izmeklēšana apstiprināja viņa teikto.
证书	sertifikāts	Viņa ieguva profesionālu sertifikātu.
郑重	svinīgs	Viņš svinīgi apsolīja uzņemties atbildību.
之际	laikā	Pavasara svētkiem tuvojoties, visi ir aizņemti.
支撑	atbalstīt	Stabi atbalsta jumtu.
支出	izdevumi	Ģimenes izdevumi acīmredzami palielinājās.
支流	pieteka	Šī upe ir Jandzi pieteka.
支配	noteikt	Emocijām nevajadzētu noteikt spriedumu.
支援	sniegt atbalstu	Ārsti no dažādām vietām ieradās sniegt atbalstu.
支柱	balsts	Rūpniecība ir vietējās ekonomikas balsts.
枝	zars	Viņa nolauza vienu zieda zaru.
知觉	samaņa	Cietušais pamazām atguva samaņu.
知足常乐	apmierinātība nes laimi	Vecais vīrs bieži saka, ka apmierinātība nes laimi.
脂肪	tauki	Rieksti satur veselīgus taukus.
侄子	brāļadēls	Mans brāļadēls šogad sāka pamatskolu.
值班	dežurēt	Medmāsa šovakar dežurē.
执行	izpildīt	Tiesa izpildīja spriedumu.
执着	neatlaidīgs	Viņš ir ļoti neatlaidīgs savos ideālos.
殖民地	kolonija	Šī sala kādreiz bija kolonija.
直播	tiešraide	Spēli šovakar pārraidīs tiešraidē internetā.
直径	diametrs	Šī apļa diametrs ir desmit centimetri.
职能	funkcija	Nodaļas funkcijas jāpārdala.
职位	amats	Viņa pieteicās vadības amatam.
职务	pienākums	Viņa pienākums ir projekta vadītājs.
指标	mērķrādītājs	Pārdošanas mērķrādītājs jau ir sasniegts.
指定	norīkot	Skolotājs norīkoja viņu atbildēt uz jautājumu.
指甲	nags	Viņa apgrieza nagus īsus.
指令	komanda	Dators saņēma jaunu komandu.
指南针	kompass	Alpīnists paņēma līdzi kompasu.
指示	norādījums	Vadītājs deva skaidrus norādījumus.
指望	cerēt	Necer, ka citi to pabeigs tavā vietā.
指责	kritizēt	Sabiedrība kritizēja uzņēmumu par vides piesārņošanu.
制裁	sankcijas	Starptautiskā sabiedrība ieviesa ekonomiskās sankcijas.
制服	formastērps	Apsargs valkāja tumši zilu formastērpu.
制约	ierobežot	Finansējuma trūkums ierobežo attīstību.
制止	apturēt	Policija laikus apturēja konfliktu.
志气	apņēmība	Jauniešiem jābūt apņēmībai.
智力	intelekts	Spēles var trenēt intelektu.
智能	vieds	Viedierīces kļūst arvien izplatītākas.
智商	intelekta koeficients	Intelekta koeficients nevar noteikt visu.
治安	sabiedriskā drošība	Sabiedriskā drošība kopienā ir acīmredzami uzlabojusies.
治理	pārvaldība	Valdība pastiprināja upes pārvaldību.
滞留	iestrēgt	Pasažieri smagā sniega dēļ iestrēga lidostā.
致辞	uzruna	Direktors ceremonijā teica uzrunu.
致力	veltīt pūles	Komanda velta pūles tehnoloģiskām inovācijām.
致使	izraisīt	Pārvaldības kļūdas izraisīja projekta atlikšanu.
中断	pārtraukums	Spēcīgais lietus izraisīja sakaru pārtraukumu.
中立	neitrāls	Šī valsts saglabā neitrālu nostāju.
中央	centrs	Strūklaka atrodas laukuma centrā.
忠诚	uzticīgs	Darbinieki ir uzticīgi uzņēmumam.
忠实	uzticams	Viņš ir uzticams šīs avīzes lasītājs.
终点	finišs	Finišs ir tepat priekšā.
终究	galu galā	Problēma galu galā tiks atrisināta.
终身	visu mūžu	Viņš nolēma visu mūžu strādāt izglītībā.
终止	izbeigt	Līgums tiks izbeigts nākamā mēneša beigās.
衷心	no sirds	Es no sirds pateicos par tavu palīdzību.
种子	sēkla	Zemnieki iesēja jaunas sēklas.
种族	rase	Likums aizliedz rasu diskrimināciju.
肿瘤	audzējs	Ārsts atrada labdabīgu audzēju.
众所周知	kā visiem zināms	Kā visiem zināms, ūdens ir svarīgs.
种植	audzēt	Šī vieta ir piemērota vīnogu audzēšanai.
重心	galvenais uzsvars	Darba galvenais uzsvars pārgāja uz pakalpojumiem.
周边	apkārtne	Satiksme ap skolu ir pārslogota.
周密	rūpīgs	Viņi izstrādāja rūpīgu plānu.
周年	gadadiena	Uzņēmums svinēja desmito dibināšanas gadadienu.
周期	cikls	Produkta atjaunināšanas cikls ir saīsinājies.
周折	sarežģījumi	Dokumentu kārtošana radīja daudz sarežģījumu.
周转	līdzekļu aprite	Uzņēmumam ir grūtības ar līdzekļu apriti.
州	štats	Viņš dzīvo ASV Kalifornijas štatā.
粥	putra	Pacients no rīta ēda putru.
舟	laiva	Neliela laiva lēnām tuvojās krastam.
昼夜	dienu un nakti	Strādnieki dienu un nakti steidzami remontēja ceļu.
皱纹	grumba	Vecmāmiņas sejā ir daudz grumbu.
株	stāds	Pagalmā iestādīja trīs kokus.
诸位	visi klātesošie	Paldies visiem klātesošajiem par ierašanos šodien.
逐年	gadu no gada	Darbības izmaksas gadu no gada pieaug.
主办	rīkot	Skola rīkoja mākslas festivālu.
主导	noteikt virzienu	Tirgus pieprasījums nosaka produktu dizainu.
主管	vadītājs	Vadītājs ir atbildīgs par budžeta apstiprināšanu.
主流	pamatvirziens	Vides aizsardzības idejas kļuvušas par pamatvirzienu.
主权	suverenitāte	Valsts suverenitāte ir jārespektē.
主义	ideoloģija	Viņš pēta dažādas politiskās ideoloģijas.
嘱咐	piekodināt	Māte atkal un atkal piekodināja viņam paņemt lietussargu.
拄	balstīties	Vecais vīrs staigā, balstoties uz spieķa.
住宅	mājoklis	Šī teritorija pārsvarā ir dzīvojamā zona.
助理	asistents	Asistents sakārtoja sapulces materiālus.
助手	palīgs	Robots ir laboratorijas palīgs.
注射	injekcija	Ārsts pacientam injicēja zāles.
注视	cieši vērot	Viņa cieši raudzījās tālumā.
注释	piezīmes	Blakus tekstam ir detalizētas piezīmes.
注重	uzsvērt	Uzņēmums uzsver produkta kvalitāti.
著作	darbs	Šim darbam ir tālejoša ietekme.
铸造	liet	Rūpnīca lej lielas detaļas.
驻扎	izvietot	Karaspēks ir izvietots pie robežas.
拽	vilkt	Viņš ievilka kasti istabā.
专长	specialitāte	Datu analīze ir viņas specialitāte.
专程	speciāli doties	Viņš speciāli devās apciemot skolotāju.
专利	patents	Uzņēmums pieteica jaunu patentu.
专题	īpaša tēma	Televīzija pārraidīja īpašu raidījumu par vides aizsardzību.
砖	ķieģelis	Strādnieki atveda ratus ar ķieģeļiem.
转达	nodot	Lūdzu, nododiet manu pateicību.
转让	nodot īpašumtiesības	Viņš nolēma nodot veikalu citam īpašniekam.
转移	pārvietot	Medmāsa pārvietoja ievainotos.
转折	pavērsiens	Stāstā parādījās būtisks pavērsiens.
传记	biogrāfija	Viņa raksta tēva biogrāfiju.
庄稼	labība	Lietus veldzēja labību.
庄严	svinīgs	Ceremonijā valdīja svinīga gaisotne.
庄重	cienīgs	Viņš bija ģērbies cienīgā svinīgā tērpā.
装备	aprīkojums	Komanda ir aprīkota ar modernu aprīkojumu.
装卸	iekraut un izkraut	Ostas strādnieki atbild par kravu iekraušanu un izkraušanu.
壮观	iespaidīgs	Ūdenskrituma ainava ir ļoti iespaidīga.
壮丽	krāšņs	Šeit ir krāšņi kalni un upes.
壮烈	varonīgs	Varonis gāja bojā varonīgi.
幢	ēka	Ielas stūrī ir veca ēka.
追悼	piemiņa	Cilvēki piedalījās piemiņas ceremonijā.
追究	izmeklēt	Uzņēmums izmeklēs atbildību.
坠	krist	Lapas krita no zariem.
准则	princips	Godīgums ir sadarbības princips.
卓越	izcils	Viņa guva izcilus sasniegumus.
琢磨	apdomāt	Viņš atkārtoti apdomāja šo jautājumu.
着手	sākt	Komanda rīt sāks izmeklēšanu.
着想	ņemt vērā	Vecāki vienmēr ņem vērā bērnu vajadzības.
着重	īpaši uzsvērt	Ziņojums īpaši analizē izmaksas.
姿态	nostāja	Viņa saglabāja pieticīgu nostāju.
滋润	samitrināt	Pavasara lietus samitrināja zemi.
滋味	garša	Neveiksmes sajūtu ir grūti panest.
资本	kapitāls	Uzņēmējdarbības sākšanai vajadzīgs zināms kapitāls.
资产	aktīvi	Uzņēmuma aktīvi turpina pieaugt.
资深	pieredzējis	Pieredzējis advokāts izskatīja šo lietu.
资助	finansiāli atbalstīt	Fonds finansiāli atbalsta trūcīgus studentus.
子弹	lode	Lode trāpīja sienā.
自卑	mazvērtības sajūta	Viņš vairs nejūtas mazvērtīgs.
自发	spontāns	Iedzīvotāji spontāni sakopa ielu.
自力更生	paļaušanās uz saviem spēkiem	Ciema iedzīvotāji turas pie paļaušanās uz saviem spēkiem.
自满	pašapmierināts	Pēc panākumiem nedrīkst kļūt pašapmierinātam.
自主	patstāvīgs	Studentiem jāattīsta patstāvīgas mācīšanās spēja.
宗教	reliģija	Viņš pēta pasaules reliģijas.
宗旨	mērķis	Organizācijas mērķis ir kalpot kopienai.
棕色	brūns	Viņa nopirka brūnas ādas kurpes.
踪迹	pēdas	Policija atrada aizdomās turētā pēdas.
总而言之	īsāk sakot	Īsāk sakot, plāns ir īstenojams.
总和	summa	Peļņa ir starpība starp kopējiem ieņēmumiem un izmaksām.
纵横	krustām šķērsām	Upes līdzenumā krustām šķērsām savijas.
走廊	gaitenis	Bērni gaitenī stāvēja rindā.
走漏	noplūst	Ziņas nedrīkst noplūst.
走私	kontrabanda	Muita konfiscēja kontrabandas preces.
揍	piekaut	Viņu piekāva vairāki piedzērušies vīrieši.
租赁	nomāt	Uzņēmums nomāja jaunu biroju.
足以	pietiekams	Šie pierādījumi ir pietiekami, lai izskaidrotu problēmu.
祖父	vectēvs	Vectēvam patīk stāstīt senus stāstus.
祖国	dzimtene	Viņš dziļi mīl savu dzimteni.
祖先	senči	Viņi godina savus senčus.
阻碍	kavēt	Finansējuma trūkums kavē projekta virzību.
阻拦	apturēt	Apsargs apturēja svešiniekus pie ieejas.
阻挠	traucēt	Kāds apzināti traucēja izmeklēšanu.
钻研	padziļināti pētīt	Viņa padziļināti pēta seno literatūru.
钻石	dimants	Gredzenā ir iestrādāts dimants.
嘴唇	lūpa	Aukstais vējš sasprēgāja lūpas.
罪犯	noziedznieks	Policija aizturēja izbēgušo noziedznieku.
尊严	cieņa	Katram cilvēkam pienākas cieņa.
遵循	ievērot	Ārsti ievēro stingrus standartus.
作弊	krāpties	Krāpšanās eksāmenā tiks sodīta.
作废	anulēt	Vecā biļete jau ir anulēta.
作风	darba stils	Vadītāja darba stils ir praktisks.
作息	darba un atpūtas režīms	Regulārs darba un atpūtas režīms nāk par labu veselībai.
做主	izlemt	Šajā lietā lēmumu pieņem tu.
座右铭	devīze	Viņa devīze ir nekad nepadoties.
