simplified	TE	example_TE	KN	example_KN	ML	example_ML
接受	అంగీకరించడం; స్వీకరించడం	నీ అభిప్రాయాలన్నింటినీ నేను అంగీకరిస్తాను.	ಸ್ವೀಕರಿಸುವುದು; ಒಪ್ಪಿಕೊಳ್ಳುವುದು	ನಿನ್ನ ಎಲ್ಲ ಅಭಿಪ್ರಾಯಗಳನ್ನು ನಾನು ಒಪ್ಪುತ್ತೇನೆ.	സ്വീകരിക്കുക; അംഗീകരിക്കുക	നിന്റെ എല്ലാ അഭിപ്രായങ്ങളും ഞാൻ അംഗീകരിക്കുന്നു.
接着	తర్వాత; కొనసాగిస్తూ	అతను కాసేపు ఆలోచించి తర్వాత రాయసాగాడు.	ನಂತರ; ಮುಂದುವರಿಸಿ	ಅವನು ಸ್ವಲ್ಪ ಯೋಚಿಸಿ ನಂತರ ಬರೆಯಲು ಮುಂದುವರಿಸಿದ.	പിന്നെ; തുടർന്നു	അവൻ കുറച്ച് നേരം ചിന്തിച്ചിട്ട് പിന്നെ എഴുതാൻ തുടങ്ങി.
结果	ఫలితం; పరిణామం	నువ్వు ఆట చూశావా, ఫలితం ఎలా ఉంది?	ಫಲಿತಾಂಶ; ಪರಿಣಾಮ	ನೀನು ಪಂದ್ಯ ನೋಡಿದೆಯಾ, ಫಲಿತಾಂಶ ಹೇಗಿತ್ತು?	ഫലം; പരിണാമം	നീ മത്സരം കണ്ടോ, ഫലം എങ്ങനെയായിരുന്നു?
节	పండుగ; సెలవుదినం	ఈ రోజు ఏ పండుగ?	ಹಬ್ಬ; ರಜೆ ದಿನ	ಇಂದು ಯಾವ ಹಬ್ಬ?	ഉത്സവം; അവധിദിനം	ഇന്ന് ഏത് ഉത്സവമാണ്?
节约	ఆదా చేయడం; పొదుపు చేయడం	దయచేసి నీటిని ఆదా చేయండి.	ಉಳಿಸುವುದು; ಮಿತವಾಗಿ ಬಳಸುವುದು	ದಯವಿಟ್ಟು ನೀರನ್ನು ಉಳಿಸಿ.	സംരക്ഷിക്കുക; ലാഭിക്കുക	ദയവായി വെള്ളം സംരക്ഷിക്കുക.
解释	వివరణ; వివరించడం	అతను కారణాన్ని చాలా స్పష్టంగా వివరించాడు.	ವಿವರಣೆ; ವಿವರಿಸುವುದು	ಅವನು ಕಾರಣವನ್ನು ತುಂಬಾ ಸ್ಪಷ್ಟವಾಗಿ ವಿವರಿಸಿದ.	വിവരണം; വിശദീകരിക്കുക	അവൻ കാരണം വളരെ വ്യക്തമായി വിശദീകരിച്ചു.
尽管	అయినా; అయినప్పటికీ	నేను అతన్ని చాలా కాలంగా తెలిసినా, నిజానికి అంతగా అర్థం చేసుకోలేదు.	ಆದರೂ; ಇದ್ದರೂ	ನಾನು ಅವನನ್ನು ಬಹಳ ಕಾಲದಿಂದ ತಿಳಿದಿದ್ದರೂ, ನಿಜವಾಗಿ ಅಷ್ಟು ಅರ್ಥಮಾಡಿಕೊಂಡಿಲ್ಲ.	എങ്കിലും; ഉണ്ടായിട്ടും	അവനെ ഏറെക്കാലമായി അറിയുന്നുണ്ടെങ്കിലും, ഞാൻ അവനെ ശരിയായി മനസ്സിലാക്കിയിട്ടില്ല.
紧张	ఉత్కంఠగా; టెన్షన్‌గా	మొదటి ప్రదర్శనలో అతను చాలా టెన్షన్‌గా ఉన్నాడు.	ನರ್ವಸ್; ಉದ್ವಿಗ್ನ	ಮೊದಲ ಪ್ರದರ್ಶನದಲ್ಲಿ ಅವನು ತುಂಬಾ ನರ್ವಸ್ ಆಗಿದ್ದ.	ഉത്കണ്ഠയുള്ള; ടെൻഷനുള്ള	ആദ്യ പ്രകടനത്തിൽ അവൻ വളരെ ടെൻഷനിലായിരുന്നു.
禁止	నిషేధించడం	ఇక్కడ పొగ త్రాగడం నిషేధం.	ನಿಷೇಧಿಸುವುದು	ಇಲ್ಲಿ ಧೂಮಪಾನ ನಿಷೇಧಿಸಲಾಗಿದೆ.	നിരോധിക്കുക	ഇവിടെ പുകവലി നിരോധിച്ചിരിക്കുന്നു.
进行	కొనసాగడం; నిర్వహించడం	ఆట ఇంకా కొనసాగుతోంది.	ನಡೆಯುವುದು; ನಡೆಸುವುದು	ಪಂದ್ಯ ಇನ್ನೂ ನಡೆಯುತ್ತಿದೆ.	നടക്കുക; നടത്തുക	മത്സരം ഇപ്പോഴും നടക്കുകയാണ്.
京剧	పెకింగ్ ఒపెరా	ఆమె ఒక ప్రసిద్ధ పెకింగ్ ఒపెరా నటి.	ಪೆಕಿಂಗ್ ಓಪೆರಾ	ಅವಳು ಒಬ್ಬ ಪ್ರಸಿದ್ಧ ಪೆಕಿಂಗ್ ಓಪೆರಾ ಕಲಾವಿದೆ.	പെക്കിംഗ് ഓപ്പറ	അവൾ പ്രശസ്തയായ പെക്കിംഗ് ഓപ്പറ നടിയാണ്.
精彩	అద్భుతమైన; గొప్ప	ఈ రోజు ప్రదర్శన చాలా అద్భుతంగా ఉంది!	ಅದ್ಭುತ; ಮನೋಹರ	ಇಂದಿನ ಪ್ರದರ್ಶನ ತುಂಬಾ ಅದ್ಭುತವಾಗಿತ್ತು!	അദ്ഭുതകരമായ; മികവുറ്റ	ഇന്നത്തെ പ്രകടനം അതിശയകരമായിരുന്നു!
经济	ఆర్థిక వ్యవస్థ; ఆర్థిక	ఈ సంవత్సరాల్లో ఆర్థిక వ్యవస్థ వేగంగా అభివృద్ధి చెందింది.	ಆರ್ಥಿಕತೆ; ಆರ್ಥಿಕ	ಈ ವರ್ಷಗಳಲ್ಲಿ ಆರ್ಥಿಕತೆ ವೇಗವಾಗಿ ಅಭಿವೃದ್ಧಿಯಾಗಿದೆ.	സമ്പദ്‌വ്യവസ്ഥ; സാമ്പത്തിക	ഈ വർഷങ്ങളിൽ സമ്പദ്‌വ്യവസ്ഥ വേഗത്തിൽ വികസിച്ചു.
经历	అనుభవం; అనుభవించడం	ఆమె తన ప్రయాణ అనుభవాన్ని వ్యాసంగా రాసింది.	ಅನುಭವ; ಅನುಭವಿಸುವುದು	ಅವಳು ತನ್ನ ಪ್ರಯಾಣದ ಅನುಭವವನ್ನು ಲೇಖನವಾಗಿ ಬರೆದಳು.	അനുഭവം; അനുഭവിക്കുക	അവൾ തന്റെ യാത്രാനുഭവം ലേഖനമാക്കി എഴുതി.
经验	అనుభవం	అతను అనుభవం సమృద్ధిగా ఉన్న ఉపాధ్యాయుడు.	ಅನುಭವ	ಅವರು ಅನುಭವಸಮೃದ್ಧ ಶಿಕ್ಷಕರು.	അനുഭവം	അവൻ പരിചയസമ്പന്നനായ അധ്യാപകനാണ്.
景色	దృశ్యం; ప్రకృతి అందం	సూర్యాస్తమయం సమయంలో సముద్ర తీర దృశ్యం చాలా అందంగా ఉంటుంది.	ದೃಶ್ಯ; ನೈಸರ್ಗಿಕ ಸೌಂದರ್ಯ	ಸೂರ್ಯಾಸ್ತ ಸಮಯದಲ್ಲಿ ಸಮುದ್ರ ತೀರದ ದೃಶ್ಯ ತುಂಬಾ ಸುಂದರವಾಗಿರುತ್ತದೆ.	ദൃശ്യം; പ്രകൃതിസൗന്ദര്യം	സൂര്യാസ്തമയ സമയത്ത് കടൽത്തീരത്തിന്റെ ദൃശ്യം വളരെ മനോഹരമാണ്.
警察	పోలీసు; పోలీసు అధికారి	పోలీసులు దర్యాప్తు చేస్తున్నారు.	ಪೊಲೀಸ್; ಪೊಲೀಸ್ ಅಧಿಕಾರಿ	ಪೊಲೀಸರು ತನಿಖೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ.	പോലീസ്; പോലീസ് ഉദ്യോഗസ്ഥൻ	പോലീസ് അന്വേഷണം നടത്തുകയാണ്.
竞争	పోటీ చేయడం; పోటీ	అతనికి చాలా ఆత్మవిశ్వాసం ఉంది, ఇతరులతో పోటీ పడటం ఇష్టం.	ಸ್ಪರ್ಧಿಸುವುದು; ಸ್ಪರ್ಧೆ	ಅವನಿಗೆ ತುಂಬಾ ಆತ್ಮವಿಶ್ವಾಸವಿದೆ, ಇತರರೊಂದಿಗೆ ಸ್ಪರ್ಧಿಸಲು ಇಷ್ಟ.	മത്സരിക്കുക; മത്സരം	അവൻ വളരെ ആത്മവിശ്വാസമുള്ളവനാണ്, മറ്റുള്ളവരോട് മത്സരിക്കാൻ ഇഷ്ടപ്പെടുന്നു.
竟然	ఆశ్చర్యంగా; అనూహ్యంగా	అతను ఇలాంటి మనిషి అని నేను అసలు ఊహించలేదు.	ಅಚ್ಚರಿಯಾಗಿ; ನಿರೀಕ್ಷೆಯಿಲ್ಲದೆ	ಅವನು ಇಂತಹ ವ್ಯಕ್ತಿ ಎಂದು ನಾನು ಸಂಪೂರ್ಣವಾಗಿ ಊಹಿಸಲಿಲ್ಲ.	അപ്രതീക്ഷിതമായി; അത്ഭുതമായി	അവൻ ഇത്തരത്തിലുള്ള ആളാണെന്ന് ഞാൻ ഒരിക്കലും കരുതിയില്ല.
镜子	అద్దం	క్షమించండి, నేను అద్దం పగలగొట్టాను.	ಕನ್ನಡಿ	ಕ್ಷಮಿಸಿ, ನಾನು ಕನ್ನಡಿಯನ್ನು ಒಡೆದಿದ್ದೇನೆ.	കണ്ണാടി	ക്ഷമിക്കണം, ഞാൻ കണ്ണാടി പൊട്ടിച്ചു.
究竟	అసలు; నిజంగా	నువ్వు అసలు ఎందుకు ఏడుస్తున్నావు?	ನಿಜವಾಗಿ; ಅಷ್ಟಕ್ಕೂ	ನೀನು ನಿಜವಾಗಿ ಏಕೆ ಅಳುತ್ತಿದ್ದೀಯ?	വാസ്തവത്തിൽ; ഒടുവിൽ	നീ വാസ്തവത്തിൽ എന്തിനാണ് കരയുന്നത്?
举	ఎత్తడం; పైకి లేపడం	దయచేసి చేతిని ఎత్తి ప్రశ్నకు సమాధానం చెప్పండి.	ಎತ್ತುವುದು; ಮೇಲಕ್ಕೆ ಎತ್ತುವುದು	ದಯವಿಟ್ಟು ಕೈ ಎತ್ತಿ ಪ್ರಶ್ನೆಗೆ ಉತ್ತರಿಸಿ.	ഉയർത്തുക; പൊക്കുക	ദയവായി കൈ ഉയർത്തി ചോദ്യത്തിന് ഉത്തരം പറയൂ.
举办	నిర్వహించడం	ఈ కార్యక్రమాన్ని మేమే నిర్వహిస్తాము.	ಆಯೋಜಿಸುವುದು; ನಡೆಸುವುದು	ಈ ಕಾರ್ಯಕ್ರಮವನ್ನು ನಾವು ಆಯೋಜಿಸುತ್ತೇವೆ.	സംഘടിപ്പിക്കുക; നടത്തുക	ഈ പരിപാടി ഞങ്ങളാണ് സംഘടിപ്പിക്കുന്നത്.
举行	నిర్వహించబడడం; జరగడం	సమావేశం రెండు గంటలకు జరుగుతుంది.	ನಡೆಯುವುದು; ನಡೆಸುವುದು	ಸಭೆ ಎರಡು ಗಂಟೆಗೆ ನಡೆಯುತ್ತದೆ.	നടക്കുക; നടത്തുക	യോഗം രണ്ട് മണിക്ക് നടക്കും.
拒绝	తిరస్కరించడం	అతను అందరి ఆహ్వానాన్ని తిరస్కరించాడు.	ನಿರಾಕರಿಸುವುದು	ಅವನು ಎಲ್ಲರ ಆಹ್ವಾನವನ್ನು ನಿರಾಕರಿಸಿದನು.	നിരസിക്കുക	അവൻ എല്ലാവരുടെയും ക്ഷണം നിരസിച്ചു.
聚会	సమావేశం; పార్టీ	రేపు ఒక పార్టీ ఉంది, నువ్వు పాల్గొనాలనుకుంటున్నావా?	ಕೂಟ; ಪಾರ್ಟಿ	ನಾಳೆ ಒಂದು ಕೂಟ ಇದೆ, ನೀನು ಭಾಗವಹಿಸಲು ಬಯಸುತ್ತೀಯಾ?	കൂടിച്ചേരൽ; പാർട്ടി	നാളെ ഒരു പാർട്ടി ഉണ്ട്, നീ പങ്കെടുക്കാൻ ആഗ്രഹിക്കുന്നുണ്ടോ?
距离	దూరం	నా ఇల్లు కంపెనీకి చాలా దూరంగా ఉంది.	ದೂರ	ನನ್ನ ಮನೆ ಕಂಪನಿಯಿಂದ ತುಂಬಾ ದೂರದಲ್ಲಿದೆ.	ദൂരം	എന്റെ വീട് കമ്പനിയിൽ നിന്ന് വളരെ ദൂരെയാണ്.
开玩笑	జోక్ చేయడం; సరదాగా చెప్పడం	నువ్వు సరదాగా చెబుతున్నావు కదా?	ತಮಾಷೆ ಮಾಡುವುದು	ನೀನು ತಮಾಷೆ ಮಾಡುತ್ತಿದ್ದೀಯಾ?	തമാശ പറയുക	നീ തമാശ പറയുകയാണോ?
开心	సంతోషంగా ఉండడం	చెల్లెలు సంతోషంగా నవ్వింది.	ಸಂತೋಷವಾಗಿರುವುದು	ತಂಗಿ ಸಂತೋಷದಿಂದ ನಕ್ಕಳು.	സന്തോഷിക്കുക	ചെറിയ സഹോദരി സന്തോഷത്തോടെ ചിരിച്ചു.
看法	అభిప్రాయం; దృష్టికోణం	అతను ఎప్పుడూ తన అభిప్రాయంపై పట్టుదలగా ఉన్నాడు.	ಅಭಿಪ್ರಾಯ; ದೃಷ್ಟಿಕೋನ	ಅವನು ಯಾವಾಗಲೂ ತನ್ನ ಅಭಿಪ್ರಾಯದಲ್ಲಿ ಹಠ ಹಿಡಿದಿದ್ದಾನೆ.	അഭിപ്രായം; കാഴ്ചപ്പാട്	അവൻ എല്ലായ്പ്പോഴും തന്റെ അഭിപ്രായത്തിൽ ഉറച്ച് നിന്നിട്ടുണ്ട്.
烤鸭	కాల్చిన బాతు మాంసం	బీజింగ్ కాల్చిన బాతు మాంసం చాలా ప్రసిద్ధి.	ಬೇಯಿಸಿದ ಬಾತುಕೋಳಿ	ಬೀಜಿಂಗ್ ಬೇಯಿಸಿದ ಬಾತುಕೋಳಿ ತುಂಬಾ ಪ್ರಸಿದ್ಧ.	റോസ്റ്റ് താറാവ്	ബെയ്ജിംഗ് റോസ്റ്റ് താറാവ് വളരെ പ്രശസ്തമാണ്.
考虑	ఆలోచించడం; పరిగణించడం	ఈ సమస్యను నేను గంభీరంగా ఆలోచిస్తాను.	ಪರಿಗಣಿಸುವುದು; ಯೋಚಿಸುವುದು	ಈ ಸಮಸ್ಯೆಯನ್ನು ನಾನು ಗಂಭೀರವಾಗಿ ಪರಿಗಣಿಸುತ್ತೇನೆ.	പരിഗണിക്കുക; ചിന്തിക്കുക	ഈ പ്രശ്നം ഞാൻ ഗൗരവമായി പരിഗണിക്കും.
棵	చెట్లకు వర్గీకార పదం	ఈ చెట్టు ఎత్తుగా కూడా ఉంది, పెద్దదిగా కూడా ఉంది.	ಮರಗಳಿಗೆ ಎಣಿಕೆಪದ	ಈ ಮರ ಎತ್ತರವಾಗಿಯೂ ದೊಡ್ಡದಾಗಿಯೂ ಇದೆ.	മരങ്ങൾക്കുള്ള എണ്ണുപദം	ഈ മരം ഉയരവും വലുപ്പവും ഉള്ളതാണ്.
科学	శాస్త్రం; శాస్త్రీయ	అతను పాఠశాలలో చాలా శాస్త్రీయ జ్ఞానం నేర్చుకున్నాడు.	ವಿಜ್ಞಾನ; ವೈಜ್ಞಾನಿಕ	ಅವನು ಶಾಲೆಯಲ್ಲಿ ಬಹಳಷ್ಟು ವೈಜ್ಞಾನಿಕ ಜ್ಞಾನ ಕಲಿತನು.	ശാസ്ത്രം; ശാസ്ത്രീയമായ	അവൻ സ്കൂളിൽ ഏറെ ശാസ്ത്രീയ അറിവ് പഠിച്ചു.
