simplified	TL	example_TL
协议	kasunduan	Lumagda ang dalawang panig sa kasunduan sa kooperasyon.
协助	tumulong	Tumulong ang boluntaryo sa matanda na tumawid sa kalsada.
携带	magdala	Hindi maaaring magdala ng mapanganib na bagay ang mga pasahero.
屑	pinong piraso	Maraming pinong piraso ng kahoy sa mesa.
泄露	ibunyag	Hindi maaaring ibunyag ng empleyado ang impormasyon ng kliyente.
泄气	panghinaan ng loob	Huwag panghinaan ng loob pagkatapos mabigo.
谢绝	magalang na tumanggi	Magalang na tumatanggi ang hotel sa pagkaing dala mula sa labas.
心得	natutuhan	Ibinahagi niya ang mga natutuhan sa pag-aaral.
心甘情愿	maluwag sa loob	Maluwag sa loob siyang naiwan para tumulong.
心灵	kaluluwa	Pinawi ng musika ang sakit ng kanyang kaluluwa.
心态	pananaw	Mahalagang panatilihin ang positibong pananaw.
心疼	maawa	Naawa ang ina sa nasugatang bata.
心血	pagsisikap	Nakapaloob sa librong ito ang pagsisikap ng may-akda.
心眼儿	makitid ang isip	Medyo makitid ang isip niya.
新陈代谢	metabolismo	Maaaring pasiglahin ng ehersisyo ang metabolismo.
新郎	nobyo	Sinalubong ng nobyo ang mga bisita sa pintuan.
新娘	nobya	Nakasuot ng puting wedding dress ang nobya.
新颖	makabago	Napakamakabago ng disenyong ito.
欣慰	magaan ang loob	Gumaan ang loob niya nang makita ang pag-unlad ng bata.
欣欣向荣	masiglang umuunlad	Masiglang umuunlad ang turismo sa maliit na bayan.
薪水	suweldo	Sapat ang kanyang suweldo para buhayin ang pamilya.
辛勤	masipag	Masipag na nagtatanim ng pananim ang mga magsasaka.
信赖	pagkatiwalaan	Lubos na pinagkakatiwalaan ng mga customer ang kumpanyang ito.
信念	paniniwala	Matibay na paniniwala ang sumuporta sa kanya.
信仰	pananampalataya	Iginagalang niya ang iba't ibang pananampalataya.
信誉	reputasyon	Kailangang panatilihin ng negosyo ang reputasyon.
兴高采烈	tuwang-tuwa	Tuwang-tuwang tumakbo papasok ng silid-aralan ang mga bata.
兴隆	maunlad	Maunlad ang negosyo ng lumang tindahang ito.
兴旺	umuunlad	Lalong umuunlad ang market economy.
腥	malansa	Medyo malansa ang isdang ito.
刑事	kriminal	Iniimbestigahan ng pulisya ang kasong kriminal.
形态	anyo	Nagbabago ang anyo ng halaman ayon sa kapaligiran.
行政	administratibo	Ang administratibong departamento ang humahawak sa aplikasyon.
兴致勃勃	masiglang-masigla	Masiglang-masiglang tinalakay ng lahat ang plano.
性感	sexy	Mukhang sexy ang damit na ito.
性命	buhay	Iniligtas ng doktor ang kanyang buhay.
性能	performance	Maganda ang performance ng computer na ito.
凶恶	mabangis	Mukhang mabangis ang asong ito.
凶手	mamamatay-tao	Sa wakas, nahuli ng pulisya ang mamamatay-tao.
汹涌	malakas ang alon	Malakas na hinampas ng alon ang baybayin.
胸怀	malawak na kalooban	May malawak siyang kalooban.
胸膛	dibdib	Itinaas ng sundalo ang kanyang dibdib.
雄厚	malakas	May malakas na pondo ang kumpanya.
雄伟	maringal	Napakamaringal ng tulay na ito.
修复	ayusin	Inaayos ng engineer ang sistema.
修建	magtayo	Plano ng pamahalaan na magtayo ng bagong paliparan.
修养	disiplina	Lumilitaw sa maliliit na detalye ang mabuting disiplina.
羞耻	hiya	Nakaramdam siya ng hiya matapos magsinungaling.
嗅觉	pang-amoy	Napakasensitibo ng pang-amoy ng aso.
绣	magborda	Marunong magborda ng bulaklak si Lola.
虚假	peke	Naglabas ang website ng pekeng balita.
虚荣	kayabangan	Dahil sa kayabangan, sobra siyang gumastos.
虚伪	ipokrito	Hindi niya gusto ang ipokritong pakikisama.
需求	pangangailangan	Tumataas ang pangangailangan sa merkado.
须知	paalala	Pakibasa muna ang mga paalala sa pagpaparehistro.
许可	pahintulot	Hindi maaaring pumasok nang walang pahintulot.
序言	paunang salita	Ipinaliwanag ng may-akda ang background sa paunang salita.
畜牧	pag-aalaga ng hayop	Ang damuhan ay angkop para sa pag-aalaga ng hayop.
酗酒	labis na pag-inom	Makakasira sa kalusugan ang pangmatagalang labis na pag-inom.
喧哗	maingay	Ipinagbabawal ang pagiging maingay sa silid-aklatan.
宣誓	manumpa	Nanumpa ang bagong miyembro sa pulong.
宣扬	itaguyod	Itinataguyod ng paaralan ang katapatan at pagtupad sa pangako.
悬挂	nakabitin	May nakabitin na larawan sa dingding.
悬念	suspense	Nag-iwan ng suspense ang dulo ng pelikula.
悬殊	malaki ang agwat	Malaki ang agwat ng lakas ng dalawang koponan.
悬崖峭壁	matarik na bangin	May matarik na bangin sa tabi ng daan sa bundok.
旋律	melodiya	Maganda ang melodiya ng kantang ito.
旋转	umikot	Umiikot ang windmill sa hangin.
选拔	pumili	Pumipili ang paaralan ng mga atleta.
选举	halalan	Nagdaos ng halalan ang nayon.
选手	kalahok	Matatag ang performance ng kalahok na ito.
炫耀	ipagyabang	Lagi niyang gustong ipagyabang ang kayamanan.
削	bawasan	Binawasan ng kumpanya ang ilang gastos.
削弱	pahinain	Maaaring pahinain ng pagod ang paghuhusga.
学说	teorya	Malaki ang impluwensya ng teoryang ito.
学位	degree	Nakuha niya ang master's degree.
雪上加霜	dagdag na malas	Nawalan na siya ng trabaho at nagkasakit pa, talagang dagdag na malas.
血压	presyon ng dugo	Pinaalalahanan siya ng doktor na kontrolin ang presyon ng dugo.
熏陶	impluwensya	Mula pagkabata ay naimpluwensyahan siya ng musika.
寻觅	maghanap	Naghanap sila saanman ng angkop na tirahan.
巡逻	magpatrol	Nagpapatrol ang pulisya sa kalye tuwing gabi.
循环	umikot	Umiikot ang tubig sa sistema.
循序渐进	unti-unti	Kailangang matuto ng wika nang unti-unti.
压迫	mang-api	Inapi ng lumang sistema ang karaniwang mamamayan.
压岁钱	ampao	Nakatanggap ng ampao ang bata.
压缩	i-compress	Kayang i-compress ng software ang laki ng larawan.
压抑	pigilan	Pinilit niyang pigilan ang galit sa loob.
压榨	pisilin	Pinipisil ng makina ang katas ng tubo.
压制	supilin	Kayang supilin ng gamot ang sakit.
鸦雀无声	tahimik na tahimik	Pagpasok ng guro, tahimik na tahimik ang silid-aralan.
亚军	runner-up	Nakuha niya ang runner-up sa paligsahan.
淹没	bahain	Binaha ang mabababang nayon.
烟花爆竹	paputok	Ipinagbabawal ang pagpapaputok ng paputok sa panahon ng pista.
严峻	mabigat	Mabigat pa rin ang sitwasyon sa trabaho.
严寒	matinding lamig	Nakakaapekto sa trapiko ang matinding lamig.
严禁	mahigpit na bawal	Mahigpit na bawal manigarilyo rito.
严厉	mahigpit	Mahigpit siyang pinuna ng guro.
严密	mahigpit	May mahigpit na surveillance ang bodega.
岩石	bato	Matigas ang mga bato sa tabing-dagat.
延期	ipagpaliban	Ipinagpaliban ang pulong hanggang susunod na linggo.
延伸	umabot	Umaabot pahilaga ang kalsada.
延续	magpatuloy	Nagpatuloy ang tradisyong ito sa loob ng isang siglo.
沿海	baybayin	Maunlad ang kalakalan sa mga lungsod sa baybayin.
炎热	mainit	Nakapapagod ang mainit na panahon.
言论	pahayag	Pinapansin ng publiko ang kanyang mga pahayag.
掩盖	pagtakpan	Sinubukan niyang pagtakpan ang pagkakamali.
掩护	takpan	Responsable ang kasamahan sa pagtakip sa paglikas.
掩饰	itago	Sinikap niyang itago ang kaba.
演变	umunlad	Patuloy na umuunlad ang anyo ng lungsod.
演习	drill	Nagdaos ang paaralan ng fire drill.
演绎	ipaliwanag	Ipinaliwanag ng guro ang teoremang ito.
演奏	tugtugin	Tumutugtog ng klasikal na musika ang banda.
眼光	pananaw	Maganda ang kanyang pananaw sa investment.
眼色	senyas ng mata	Binigyan niya ng senyas ng mata ang kasamahan.
眼神	tingin	Napakatatag ng kanyang tingin.
厌恶	kasuklaman	Kinasusuklaman niya ang pandaraya.
验收	tanggapin matapos suriin	Kailangang tanggapin matapos suriin ang proyekto kapag natapos.
验证	patunayan	Napatunayan ng eksperimento ang hypothesis.
氧气	oksiheno	Kailangang huminga ng oksiheno ang pasyente.
样品	sample	Natanggap ng customer ang sample ng produkto.
摇摆	umindayog	Umiindayog ang maliit na bangka sa hangin at alon.
摇滚	rock	Mahilig ang kabataan sa rock music.
谣言	tsismis	Huwag magkalat ng hindi beripikadong tsismis.
遥控	i-remote control	Gamit ang cellphone, ni-remote control niya ang air conditioner.
遥远	malayo	Napakalayo ng nayong iyon mula sa lungsod.
耀眼	nakasisilaw	Nakasisilaw ang sikat ng araw.
要点	pangunahing punto	Pakisulat ang mga pangunahing punto ng pulong.
要命	sobra	Sobrang delikado ang daan sa bundok na ito.
要素	salik	Mahalagang salik ng kooperasyon ang tiwala.
野蛮	barbaro	Tinututulan niya ang barbarong pagpapatupad ng batas.
野心	ambisyon	Malinaw ang kanyang ambisyon sa politika.
液体	likido	Walang kulay ang likidong ito.
一流	una sa klase	Una sa klase ang kagamitan ng ospital na ito.
一如既往	gaya ng dati	Gaya ng dati, sinuportahan niya kami.
依旧	pa rin	Tumigil na ang ulan, ngunit basa pa rin ang kalsada.
依据	batayan	Kailangang batay sa batas ang hatol.
依靠	umasa	Umaasa sila sa agrikultura para mabuhay.
依赖	umasa nang sobra	Hindi dapat umasa nang sobra ang bata sa mga magulang.
依托	umasa sa	Umaasa sa lokal na resources ang pag-unlad ng proyekto.
衣裳	damit	Nagpalit siya ng malinis na damit.
一度	minsan	Minsang naharap sa pagkabangkarote ang kumpanya.
一贯	palagi	Palagi siyang tutol sa pag-aaksaya.
一目了然	malinaw sa isang tingin	Malinaw sa isang tingin ang laman ng table.
一向	palagi	Palagi siyang dumadating sa oras.
仪器	kagamitan	Bumili ng bagong kagamitan ang laboratoryo.
仪式	seremonya	Gaganapin bukas ang seremonya ng pagtatapos.
疑惑	pag-aalinlangan	Nagkaroon ng pag-aalinlangan ang mga estudyante sa sagot.
遗产	pamana	Ang sinaunang lungsod na ito ay pamanang kultural.
遗传	mamana	Maaaring mamana ang sakit na ito.
遗留	maiwan	Kailangang lutasin ang mga problemang naiwan ng kasaysayan.
遗失	mawala	Nawala ng pasahero ang pasaporte.
以便	upang	Pakiwan ang numero ng telepono upang makontak ka.
以免	para maiwasan	Maagang umalis para maiwasan ang pagkahuli.
以往	noon	Karapat-dapat sanggunian ang karanasan noon.
以至	hanggang	Lumawak ang saklaw sa komunidad hanggang sa buong lungsod.
以致	kaya	Tuloy-tuloy ang malakas na ulan, kaya naputol ang kalsada.
一帆风顺	maging maayos	Hindi laging magiging maayos ang pagsisimula ng negosyo.
一举两得	dalawang pakinabang sa isang gawa	Ang pagbibisikleta papasok sa trabaho ay may dalawang pakinabang sa isang gawa.
一丝不苟	napakadetalyado	Napakadetalyadong sinuri ng engineer ang mga kable.
亦	din	Sumang-ayon din siya sa planong ito.
异常	abnormal	Nagkaroon ng abnormal na kalagayan ang sistema.
意料	inaasahan	Lubos na hindi inaasahan ang resulta.
意识	maunawaan	Unti-unti niyang naunawaan na seryoso ang problema.
意图	intensyon	Nahalata ng pulisya ang kanyang intensyon.
意味着	nangangahulugan	Ang katahimikan ay hindi nangangahulugan ng pagsang-ayon.
意向	intensyon	Nagpahayag ang dalawang panig ng intensyon para sa kooperasyon.
意志	kalooban	Sinusubok ng kahirapan ang kalooban ng tao.
毅力	tiyaga	Kailangan ng pangmatagalang tiyaga ang tagumpay.
毅然	matapang	Matapang siyang umalis sa kumpanya.
翼	pakpak	Sinuri ang pakpak ng eroplano.
阴谋	sabwatan	Ibinunyag nila ang sabwatang ito.
音响	sound system	Maganda ang epekto ng sound system sa sala.
引导	gabayan	Ginabayan ng guro ang mga estudyante na mag-isip.
引擎	makina	Biglang namatay ang makina ng kotse.
引用	sipiin	Maraming materyal ang sinipi ng papel.
隐蔽	magtago	Nagtago ang mga sundalo sa kakahuyan.
隐患	nakatagong panganib	May nakatagong panganib sa lumang kawad ng kuryente.
隐瞒	ilihim	Hindi niya inilihim ang katotohanan.
隐私	privacy	Kailangang protektahan ng kumpanya ang privacy ng user.
隐约	malabo	Malayong-malabo ang dating ng awit mula sa malayo.
饮食	pagkain	Makatutulong sa paggaling ang malusog na pagkain.
婴儿	sanggol	Tahimik na natutulog ang sanggol.
英明	matalino	Gumawa ang lider ng matalinong desisyon.
英勇	magiting	Magiting na iniligtas ng bumbero ang bata.
盈利	kumita	Nagsimulang kumita ang kumpanya ngayong taon.
迎面	salubong	Salubong na humihip ang malamig na hangin.
应酬	pakikisalamuha	Marami siyang pakikisalamuha ngayong gabi.
应邀	inimbitahan	Inimbitahan ang eksperto na dumalo sa forum.
庸俗	bastos	Bastos ang nilalaman ng advertisement na ito.
拥护	suportahan	Sinusuportahan ng lahat ang bagong patakaran.
拥有	magkaroon	Mayroon siyang malawak na karanasan.
勇于	lakas-loob	Dapat magkaroon ng lakas-loob ang kabataan na sumubok.
永恒	walang hanggan	Ang pag-ibig ay hindi laging walang hanggan.
涌现	lumitaw	Maraming mahusay na guro ang lumitaw sa iba't ibang lugar.
踊跃	masigasig	Masigasig na nagparehistro ang mga residente para sa aktibidad.
用户	user	Maaaring baguhin ng user ang password.
优胜劣汰	mas mahusay ang nananaig	Ipinapakita ng kompetisyon sa merkado na mas mahusay ang nananaig.
优先	prayoridad	May prayoridad ang matatanda sa pagproseso.
优异	mahusay	Nakakuha siya ng mahusay na resulta.
优越	nakahihigit	Nakahihigit ang lokasyon ng lugar na ito.
忧郁	malungkot	Mukhang malungkot ang kanyang ekspresyon.
油腻	mamantika	Masyadong mamantika ang pagkaing ito.
油漆	pintura	Pinipinturahan ng manggagawa ang pinto.
犹如	parang	Parang salamin ang ibabaw ng lawa.
有条不紊	maayos	Maayos na nagpatuloy ang pulong.
幼稚	musmos	Medyo musmos ang ideyang ito.
诱惑	tukso	Puno ng tukso sa pagkonsumo ang advertisement.
愚蠢	hangal	Napakahangal ng desisyong ito.
愚昧	mangmang	Humahadlang sa pag-unlad ang mangmang na pananaw.
渔民	mangingisda	Maagang pumalaot ang mga mangingisda para mangisda.
舆论	opinyon ng publiko	Malaki ang impluwensya ng opinyon ng publiko sa kaso.
与日俱增	patuloy na dumadami	Patuloy na dumadami ang bilang ng turista.
宇宙	uniberso	Patuloy na ginagalugad ng sangkatauhan ang uniberso.
羽绒服	down jacket	Kailangang magsuot ng down jacket sa taglamig.
寓言	pabula	May halagang pang-edukasyon ang pabulang ito.
愈	lalong	Lalong gumaganda ang kalagayan ng sakit.
欲望	pagnanasa	Nakontrol niya ang pagnanasang mamili.
熨	plantsahin	Plinantsa niya nang pantay ang kamiseta.
玉	jade	Maaliwalas at banayad ang kulay ng jade na ito.
预料	inaasahan	Lumampas sa inaasahan ang pag-unlad ng mga pangyayari.
预期	inaasahan	Mas mababa sa inaasahan ang benta.
预算	badyet	Kailangang ayusin ang badyet ng proyekto.
预先	maaga	Pakihanda nang maaga ang mga materyales.
预言	hula	Hindi natupad ang kanyang hula.
预兆	palatandaan	Maaaring palatandaan ng sakit ang pananakit.
冤枉	akusahan nang mali	Huwag akusahan nang mali ang inosenteng tao.
元首	pinuno ng estado	Nagdaos ng pag-uusap ang mga pinuno ng dalawang estado.
元素	elemento	Ang oxygen ay isang kemikal na elemento.
元宵节	Pista ng Parol; Yuanxiao Festival	Sa Pista ng Parol, nanonood ang mga tao ng mga parol.
原告	nagsasakdal	Nagsumite ng bagong ebidensya ang nagsasakdal.
原理	prinsipyo	Ipinaliwanag ng guro ang prinsipyo ng makina.
原始	orihinal	Iningatan nila ang orihinal na tala.
原先	dati	Nagbago na ang dating plano.
园林	hardin	Sikat na sikat ang mga hardin ng Suzhou.
圆满	ganap	Nagkaroon ng ganap na tagumpay ang pulong.
源泉	pinagmulan	Ang praktika ang pinagmulan ng kaalaman.
缘故	dahilan	Nagbitiw siya dahil sa dahilan ng kalusugan.
约束	limitahan	Naglilimita ang sistema sa asal ng mga empleyado.
乐谱	sheet music	Maingat niyang binasa ang sheet music.
岳母	biyenang babae	Binisita niya ang biyenang babae sa weekend.
孕育	magpalago	Nagpapalago ng bagong buhay ang lupa.
蕴藏	magtago ng yaman	Nagtatago ng mayamang mineral ang kabundukan.
运算	operasyon	Nagpapraktis ang mga estudyante ng operasyong matematika.
运行	tumatakbo	Matatag na tumatakbo ang sistema.
酝酿	bumuo	Pinag-iisipan ng dalawang panig ang bagong plano.
杂技	akrobatika	Mahilig manood ng akrobatika ang mga bata.
杂交	hybrid	Pinag-aaralan ng mga siyentipiko ang hybrid rice.
砸	mabasag	Bumagsak sa sahig ang tasa at nabasag.
咋	paano	Iniisip niya kung paano ka hindi pa nakakabalik.
栽培	magtanim	Nagtanim ang hardinero ng maraming bulaklak.
灾难	sakuna	Nagsimulang muling itayo ang lungsod pagkatapos ng sakuna.
宰	katayin	Sa pista, kumakatay ng tupa ang mga taganayon.
再接再厉	magpatuloy pa	Pagkatapos manalo ng premyo, nagpatuloy pa ang team.
在意	pahalagahan	Pinahahalagahan niya ang pananaw ng iba.
攒	mag-ipon	Nag-ipon siya ng pera para bumili ng computer.
暂且	pansamantala	Pansamantala muna nating isantabi ang problemang ito.
赞叹	humanga	Humanga ang mga manonood sa pagganap ng aktor.
赞助	i-sponsor	Inisponsor ng negosyo ang paligsahang ito.
糟蹋	sayangin	Huwag sayangin ang sariwang pagkain na ito.
遭受	dumanas	Dumanas ng matinding tagtuyot ang bukirin.
遭殃	mapahamak	Gumuho ang tulay, kaya napahamak ang mga residenteng malapit.
遭遇	makaranas	Nakaranas sila ng snowstorm sa daan.
噪音	ingay	Nakakaapekto sa pahinga ang ingay ng construction.
造型	anyo	Natatangi ang anyo ng kotse na ito.
责怪	sisihin	Huwag palaging sisihin ang bata.
贼	magnanakaw	Nahuli ng pulisya ang magnanakaw na iyon.
增添	magdagdag	Nagdagdag ng kulay sa kuwarto ang mga bulaklak.
赠送	iregalo	Nagregalo ang tindahan ng maliliit na regalo.
扎	turukan	Tinurukan siya ng nars ng isang iniksyon.
扎实	matibay	Matibay ang pundasyon niya sa grammar.
渣	latak	May natirang latak ng kape sa ilalim ng tasa.
眨	kumurap	Kumurap siya.
诈骗	panloloko	Nalutas ng pulisya ang kaso ng panloloko sa telekomunikasyon.
摘要	buod	Malinaw ang pagkakasulat ng buod ng papel.
债券	bond	Bumili ang investor ng government bond.
沾光	makinabang	Nakikinabang din ako dahil sa kaibigan ko.
瞻仰	magbigay-galang	Nagbigay-galang ang mga turista sa monumento ng bayani.
展示	ipakita	Ipinakita ng kumpanya ang pinakabagong produkto.
展望	tanawin ang hinaharap	Tinatanaw ng ulat ang mga susunod na trend.
展现	ipakita	Ipinakita ng akda ang buhay sa kanayunan.
崭新	bagong-bago	Bumili siya ng bagong-bagong bisikleta.
斩钉截铁	mariin	Mariin siyang tumanggi.
占据	sakupin	Sinakop ng advertisement ang buong pahina.
占领	sakupin	Sinakop ng hukbo ang daanan sa bundok.
战斗	labanan	Tumagal ng tatlong oras ang labanan.
战略	estratehiya	Inayos ng kumpanya ang estratehiya sa pag-unlad.
战术	taktika	Binago ng coach ang taktika sa laro.
战役	kampanya	Binago ng kampanyang militar na ito ang sitwasyon.
章程	alituntunin	Inaprubahan ng samahan ang bagong alituntunin.
帐篷	tolda	Nagtayo sila ng tolda sa tabi ng lawa.
障碍	hadlang	Nakakaapekto sa komunikasyon ang hadlang sa wika.
招标	magpa-bid	Bukas na nagpa-bid ang proyekto.
招收	tumanggap	Tatanggap ng bagong estudyante ang paaralan ngayong taon.
朝气蓬勃	puno ng sigla	Puno ng sigla ang pangkat ng kabataan.
着迷	mahilig	Mahilig ang bata sa astronomiya.
沼泽	latian	Dumaan ang exploration team sa latian.
照样	gaya pa rin	Umuulan, pero gaya pa rin ang pagpapatuloy ng training.
照耀	liwanagan	Niliwanagan ng araw ang plaza.
折腾	pahirapan	Huwag nang pahirapan ang lumang computer na ito.
遮挡	harangan	Hinarangan ng mga sanga ang bintana.
折	tiklupin	Tiniklop niya ang papel na parang eroplano.
折磨	pahirapan	Matagal na insomnia ang nagpapahirap sa kanya.
侦探	detective	Nakahanap ang detective ng mahalagang lead.
斟酌	pag-isipan	Pag-isipan mong mabuti ang pananalita.
珍贵	mahalaga	Napakahalaga ng mga larawang ito.
珍稀	bihira	Protektahan ang mga bihirang ligaw na hayop.
珍珠	perlas	Nakasuot siya ng hikaw na perlas.
真理	katotohanan	Praktika ang sumusubok sa katotohanan.
真相	tunay na pangyayari	Sinikap ng reporter na alamin ang tunay na pangyayari.
真挚	taos-puso	Nagpahayag siya ng taos-pusong pasasalamat.
枕头	unan	Masyadong mataas ang unan na ito.
振奋	pasiglahin	Pinasigla ng magandang balita ang lahat.
振兴	pasiglahin	Isinusulong ng pamahalaan ang pagpapasigla ng kanayunan.
镇定	kalmado	Nanatili siyang kalmado sa oras ng panganib.
镇静	kalmado	Pinanatiling kalmado ng nars ang pasyente.
阵地	posisyon	Napanatili ng mga sundalo ang posisyon.
阵容	lineup	Inanunsyo ng team ang starting lineup.
震撼	nakakagulat	Nakakagulat ang pelikulang ito.
震惊	mabigla	Nabigla ang buong bansa sa balita.
争端	alitan	Sinubukan ng dalawang panig na lutasin ang alitan sa hangganan.
争夺	pag-agawan	Pinag-agawan ng dalawang kumpanya ang market share.
争气	magsikap	Nagsikap siyang mag-aral para ipagmalaki siya ng pamilya.
争先恐后	unahan	Nag-unahan ang mga turista na sumakay.
争议	kontrobersiya	Nagdulot ng kontrobersiya ang desisyong ito.
征服	sakupin	Nasakop ng mountaineer ang mataas na tuktok.
征收	magpataw	Nagpataw ang pamahalaan ng buwis ayon sa batas.
挣扎	magpumiglas	Nagpumiglas ang maliit na ibon sa lambat.
正月	unang buwan ng lunar year	Sa unang buwan ng lunar year, bumibisita ang mga kamag-anak sa isa't isa.
蒸发	sumingaw	Mabilis na sumingaw ang tubig.
整顿	ayusin	Nagsimulang ayusin ng kumpanya ang pamamahala.
政策	patakaran	Sinusuportahan ng bagong patakaran ang maliliit na negosyo.
政权	rehimen	Binago ng digmaan ang lokal na rehimen.
正当	makatwiran	Nagharap siya ng makatwirang kahilingan.
正负	positibo at negatibo	Ipinapakita ng instrumento ang positibo at negatibong error.
正规	pormal	Pumasok ang bata sa pormal na paaralan.
正经	seryoso	Sa wakas, naging seryoso siya sa pagsasalita.
正气	katuwiran	Kailangang itaguyod ng lipunan ang katuwiran.
正义	katarungan	Ipinagtanggol ng abogado ang katarungan.
正宗	authentic	Nagbebenta ang tindahang ito ng authentic na Sichuan food.
症状	sintomas	Karaniwang sintomas ang lagnat.
证实	kumpirmahin	Nakumpirma ng imbestigasyon ang sinabi niya.
证书	sertipiko	Nakakuha siya ng propesyonal na sertipiko.
郑重	seryoso	Seryoso siyang nangakong magiging responsable.
之际	sa panahon	Sa panahon ng pagdating ng Spring Festival, abala ang lahat.
支撑	suportahan	Sinusuportahan ng haligi ang bubong.
支出	gastos	Malinaw na tumaas ang gastos ng pamilya.
支流	sanga ng ilog	Ang ilog na ito ay sanga ng Yangtze River.
支配	kontrolin	Hindi dapat kontrolin ng emosyon ang paghuhusga.
支援	suporta	Dumating ang mga doktor mula sa iba't ibang lugar para magbigay ng suporta.
支柱	haligi	Ang manufacturing ang haligi ng lokal na ekonomiya.
枝	sanga	Pumutol siya ng isang sanga ng bulaklak.
知觉	malay	Unti-unting nanumbalik ang malay ng nasugatan.
知足常乐	makuntento at maging masaya	Madalas sabihin ng matanda na makuntento at maging masaya.
脂肪	taba	May malusog na taba ang mani.
侄子	pamangking lalaki	Nasa elementarya na ang pamangking lalaki ko.
值班	naka-duty	Naka-duty ang nars ngayong gabi.
执行	isagawa	Isinagawa ng hukuman ang hatol.
执着	matiyaga	Napakamatiyaga niya sa kanyang pangarap.
殖民地	kolonya	Dati ay kolonya ang islang ito.
直播	live broadcast	May live broadcast online ang laro ngayong gabi.
直径	diyametro	Sampung sentimetro ang diyametro ng bilog na ito.
职能	tungkulin	Kailangang muling hatiin ang tungkulin ng departamento.
职位	posisyon	Nag-apply siya para sa posisyon sa management.
职务	tungkulin	Ang tungkulin niya ay project supervisor.
指标	target	Natapos na ang sales target.
指定	italaga	Itinalaga siya ng guro na sumagot sa tanong.
指甲	kuko	Pinaikli niya ang mga kuko.
指令	utos	Nakatanggap ang computer ng bagong utos.
指南针	kompas	Nagdala ng kompas ang mountaineer.
指示	instruksyon	Nagbigay ang manager ng malinaw na instruksyon.
指望	umasa	Huwag umasa sa iba na tapusin ito para sa iyo.
指责	punahin	Pinuna ng publiko ang kumpanya dahil sa polusyon.
制裁	sanksyon	Nagpatupad ng ekonomikong sanksyon ang internasyonal na komunidad.
制服	uniporme	Nakasuot ng madilim na asul na uniporme ang security guard.
制约	limitahan	Nalilimitahan ng kakulangan sa pondo ang pag-unlad.
制止	pigilin	Agad na pinigil ng pulisya ang tunggalian.
志气	ambisyon	Kailangang may ambisyon ang kabataan.
智力	talino	Maaaring sanayin ng laro ang talino.
智能	smart	Lalong lumalaganap ang mga smart device.
智商	IQ	Hindi IQ ang nagpapasya sa lahat.
治安	kaayusan	Malinaw na bumuti ang kaayusan sa komunidad.
治理	pamamahala	Pinalakas ng pamahalaan ang pamamahala sa ilog.
滞留	maantala	Naantala sa paliparan ang mga pasahero dahil sa malakas na niyebe.
致辞	magbigay-talumpati	Nagbigay-talumpati ang principal sa seremonya.
致力	ilaan	Nakatuon ang team sa teknolohikal na inobasyon.
致使	magdulot	Nagdulot ng pagkaantala ng proyekto ang pagkakamali sa pamamahala.
中断	maputol	Nagdulot ng pagkaputol ng komunikasyon ang malakas na ulan.
中立	walang kinikilingan; neutral	Napanatili ng bansa ang posisyong walang kinikilingan.
中央	gitna	Nasa gitna ng plaza ang fountain.
忠诚	tapat	Tapat ang mga empleyado sa kumpanya.
忠实	matapat	Matapat siyang mambabasa ng pahayagang ito.
终点	finish line	Nasa unahan na ang finish line.
终究	sa huli	Sa huli, malulutas din ang problema.
终身	panghabambuhay	Nagpasya siyang magtrabaho sa edukasyon panghabambuhay.
终止	wakasan	Matatapos ang kontrata sa katapusan ng susunod na buwan.
衷心	taos-puso	Taos-puso akong nagpapasalamat sa iyong tulong.
种子	buto	Naghasik ang magsasaka ng bagong buto.
种族	lahi	Ipinagbabawal ng batas ang diskriminasyon sa lahi.
肿瘤	tumor	Nakakita ang doktor ng benign tumor.
众所周知	alam ng lahat	Alam ng lahat na mahalaga ang tubig.
种植	magtanim	Angkop magtanim ng ubas dito.
重心	pokus	Lumipat sa serbisyo ang pokus ng trabaho.
周边	paligid	Masikip ang trapiko sa paligid ng paaralan.
周密	masusing	Masusing plano ang ginawa nila.
周年	anibersaryo	Ipinagdiwang ng kumpanya ang ikasampung anibersaryo ng pagkakatatag.
周期	cycle	Umiikli ang cycle ng pag-update ng produkto.
周折	pagkaantala	Maraming pagkaantala ang pinagdaanan sa pagproseso ng papeles.
周转	cash flow	Nahihirapan ang kumpanya sa cash flow.
州	estado	Nakatira siya sa California, isang estado sa Amerika.
粥	lugaw	Uminom ng lugaw ang pasyente sa umaga.
舟	bangka	Dahan-dahang lumapit sa pampang ang maliit na bangka.
昼夜	araw at gabi	Araw at gabing nag-ayos ng kalsada ang mga manggagawa.
皱纹	kulubot	Maraming kulubot sa mukha ni Lola.
株	puno	Nagtanim ng tatlong puno sa bakuran.
诸位	lahat	Salamat sa inyong lahat sa pagdalo ngayon.
逐年	taon-taon	Taon-taong tumataas ang gastos sa operasyon.
主办	mag-host	Nag-host ang paaralan ng arts festival.
主导	manguna	Pinangungunahan ng demand sa merkado ang disenyo ng produkto.
主管	supervisor	Responsable ang supervisor sa pag-apruba ng badyet.
主流	mainstream	Naging mainstream ang konsepto ng pangangalaga sa kapaligiran.
主权	soberanya	Kailangang igalang ang soberanya ng bansa.
主义	ideolohiya	Pinag-aaralan niya ang iba't ibang ideolohiyang politikal.
