simplified	HU	example_HU
造型	forma	Ennek az autónak nagyon egyedi formája van.
责怪	hibáztatni	Kérjük, ne hibáztassa vakon a gyereket.
贼	tolvaj	A rendőrség elfogta azt a tolvajt.
增添	hozzáadni	A friss virágok színt adnak a szobának.
赠送	ajándékozni	Az üzlet kis ajándékokat ad.
扎	injekciót adni	A nővér injekciót adott neki.
扎实	szilárd	A nyelvtani alapjai nagyon szilárdak.
渣	zacc	A csésze alján kávézacc maradt.
眨	pislogni	Pislogott a szemével.
诈骗	csalás	A rendőrség felderített egy telefonos csalási ügyet.
摘要	összefoglaló	A tanulmány összefoglalója nagyon világos.
债券	kötvény	A befektetők államkötvényeket vásárolnak.
沾光	hasznot húzni	Én is hasznot húztam a barátom révén.
瞻仰	tiszteletét leróni	A turisták tiszteletüket tették a hősök emlékművénél.
展示	bemutatni	A vállalat bemutatta legújabb termékét.
展望	kitekintés	A jelentés kitekint a jövőbeli trendekre.
展现	megmutatni	A mű megmutatta a vidéki életet.
崭新	vadonatúj	Vett egy vadonatúj kerékpárt.
斩钉截铁	határozottan	Határozottan visszautasította.
占据	elfoglalni	A hirdetés az egész oldalt elfoglalta.
占领	elfoglalni	A hadsereg elfoglalta a hágót.
战斗	csata	A csata három órán át tartott.
战略	stratégia	A vállalat módosította fejlesztési stratégiáját.
战术	taktika	Az edző megváltoztatta a mérkőzés taktikáját.
战役	hadjárat	Ez a hadjárat megváltoztatta a helyzetet.
章程	alapszabály	Az egyesület elfogadta az új alapszabályt.
帐篷	sátor	A tó partján sátrat állítottak.
障碍	akadály	A nyelvi akadályok befolyásolják a kommunikációt.
招标	pályázatot kiírni	A mérnöki projekt nyilvános pályázatot írt ki.
招收	felvenni	Az iskola idén új diákokat vesz fel.
朝气蓬勃	energiával teli	A fiatal csapat energiával teli.
着迷	rajong valamiért	A gyerek rajong a csillagászatért.
沼泽	mocsár	Az expedíció átkelt a mocsáron.
照样	mint eddig	Esett az eső, de az edzés ugyanúgy folytatódott.
照耀	ragyog	A napfény beragyogta a teret.
折腾	babrálni	Ne babráld tovább ezt a régi számítógépet.
遮挡	eltakarni	Az ágak eltakarták az ablakot.
折	hajtogatni	Papírrepülőt hajtogatott a papírból.
折磨	gyötörni	A tartós álmatlanság gyötörte őt.
侦探	detektív	A detektív kulcsfontosságú nyomot talált.
斟酌	megfontolni	Kérjük, gondosan fontolja meg a megfogalmazást.
珍贵	értékes	Ezek a fényképek nagyon értékesek.
珍稀	ritka	Védjük a ritka vadon élő állatokat.
珍珠	gyöngy	Gyöngy fülbevalót visel.
真理	igazság	A gyakorlat próbára teszi az igazságot.
真相	valóság	Az újságíró igyekezett kideríteni a valóságot.
真挚	őszinte	Őszinte köszönetét fejezte ki.
枕头	párna	Ez a párna túl magas.
振奋	fellelkesíteni	A jó hír mindenkit fellelkesített.
振兴	fellendíteni	A kormány előmozdítja a vidék fellendítését.
镇定	nyugodt	Vészhelyzetben nyugodt maradt.
镇静	nyugodt	A nővér azt mondta a betegnek, hogy maradjon nyugodt.
阵地	állás	A katonák megtartották az állást.
阵容	felállás	A csapat bejelentette a kezdő felállást.
震撼	megrázó	Ez a film rendkívül megrázó.
震惊	megdöbbenteni	A hír az egész országot megdöbbentette.
争端	vita	A két fél megpróbálta rendezni a határvitát.
争夺	versengeni	A két vállalat a piaci részesedésért verseng.
争气	büszkévé tenni	Keményen tanul, hogy büszkévé tegye a családját.
争先恐后	tolakodva igyekezni	A turisták tolakodva igyekeztek felszállni a buszra.
争议	vita	Ez a döntés vitát váltott ki.
征服	meghódítani	A hegymászó meghódította a csúcsot.
征收	kivetni	A kormány törvény szerint veti ki az adókat.
挣扎	küzdeni	A kismadár a hálóban küzdött.
正月	holdév első hónapja	A holdév első hónapjában a rokonok újévi látogatást tesznek egymásnál.
蒸发	elpárologni	A nedvesség gyorsan elpárolgott.
整顿	átszervezni	A vállalat megkezdte a vezetés átszervezését.
政策	politika	Az új politika támogatja a kisvállalkozásokat.
政权	rezsim	A háború megváltoztatta a helyi rezsimet.
正当	jogos	Jogos követelést terjesztett elő.
正负	pozitív és negatív	A műszer pozitív és negatív hibát mutat.
正规	szabályos	A gyerek szabályos iskolába került tanulni.
正经	komoly	Végre komolyan kezdett beszélni.
正气	igazságosság	A társadalomnak elő kell mozdítania az igazságosságot.
正义	igazságosság	Az ügyvéd az igazságosságot védte.
正宗	autentikus	Ez az étterem autentikus szecsuáni ételeket árul.
症状	tünet	A láz gyakori tünet.
证实	megerősíteni	A vizsgálat megerősítette az állítását.
证书	tanúsítvány	Szakmai tanúsítványt szerzett.
郑重	komoly	Komolyan megígérte, hogy vállalja a felelősséget.
之际	idején	A tavaszünnep közeledtével mindenki elfoglalt.
支撑	megtámasztani	Az oszlopok megtámasztják a tetőt.
支出	kiadás	A háztartási kiadások jelentősen nőttek.
支流	mellékfolyó	Ez a folyó a Jangce mellékfolyója.
支配	uralni	Az érzelmeknek nem szabad uralniuk az ítéletet.
支援	támogatást nyújtani	Sok helyről érkeztek orvosok támogatást nyújtani.
支柱	pillér	A feldolgozóipar a helyi gazdaság pillére.
枝	ág	Letört egy virágos ágat.
知觉	eszmélet	A sérült fokozatosan visszanyerte az eszméletét.
知足常乐	elégedettség boldogságot hoz	Az idős ember gyakran mondja, hogy az elégedettség boldogságot hoz.
脂肪	zsír	A diófélék egészséges zsírokat tartalmaznak.
侄子	unokaöcs	Az unokaöcsém idén kezdte az általános iskolát.
值班	ügyeletben lenni	A nővér ma este ügyeletben van.
执行	végrehajtani	A bíróság végrehajtotta az ítéletet.
执着	kitartó	Nagyon kitartó az eszményei mellett.
殖民地	gyarmat	Ez a sziget valaha gyarmat volt.
直播	élő közvetítés	A mérkőzést ma este online élőben közvetítik.
直径	átmérő	Ennek a körnek az átmérője tíz centiméter.
职能	funkció	Az osztály funkcióit újra kell osztani.
职位	pozíció	Vezetői pozícióra jelentkezett.
职务	beosztás	A beosztása projektvezető.
指标	célmutató	Az értékesítési célmutató már teljesült.
指定	kijelölni	A tanár őt jelölte ki a kérdés megválaszolására.
指甲	köröm	Rövidre vágta a körmeit.
指令	parancs	A számítógép új parancsot kapott.
指南针	iránytű	A hegymászó iránytűt vitt magával.
指示	utasítás	A menedzser világos utasításokat adott.
指望	számítani valamire	Ne számíts arra, hogy mások fejezik be helyetted.
指责	bírálni	A közvélemény bírálta a vállalatot a környezetszennyezés miatt.
制裁	szankció	A nemzetközi közösség gazdasági szankciókat vezetett be.
制服	egyenruha	Az őr sötétkék egyenruhát viselt.
制约	korlátozni	A pénzhiány korlátozza a fejlődést.
制止	megállítani	A rendőrség időben megállította a konfliktust.
志气	ambíció	A fiataloknak legyen ambíciójuk.
智力	értelem	A játékok fejleszthetik az értelmet.
智能	okos	Az okoseszközök egyre elterjedtebbek.
智商	intelligenciahányados	Az intelligenciahányados nem dönt el mindent.
治安	közbiztonság	A közösség közbiztonsága láthatóan javult.
治理	kezelni	A kormány megerősítette a folyók kezelését.
滞留	rekedni	Az utasok a nagy hó miatt a repülőtéren rekedtek.
致辞	beszédet mondani	Az igazgató beszédet mondott az ünnepségen.
致力	elköteleződni	A csapat elkötelezett a technológiai innováció mellett.
致使	okozni	A vezetési hibák a projekt késését okozták.
中断	megszakadni	A heves eső miatt megszakadt a kommunikáció.
中立	semleges	Az ország semleges álláspontot tart fenn.
中央	központ	A szökőkút a tér közepén van.
忠诚	hűséges	Az alkalmazottak hűségesek a vállalathoz.
忠实	hűséges	Ő ennek az újságnak hűséges olvasója.
终点	célvonal	A célvonal közvetlenül előttünk van.
终究	végül	A probléma végül megoldódik.
终身	élethosszig	Úgy döntött, élethosszig az oktatásban dolgozik.
终止	megszűnni	A szerződés a jövő hónap végén megszűnik.
衷心	őszintén	Őszintén köszönöm a segítségedet.
种子	mag	A gazdák új magokat vetettek.
种族	faj	A törvény tiltja a faji megkülönböztetést.
肿瘤	daganat	Az orvos jóindulatú daganatot talált.
众所周知	mindenki tudja	Mindenki tudja, hogy a víz fontos.
种植	termeszteni	Ez a hely alkalmas szőlő termesztésére.
重心	fókusz	A munka fókusza a szolgáltatás felé tolódott.
周边	környék	Az iskola környékén zsúfolt a forgalom.
周密	alapos	Alapos tervet készítettek.
周年	évforduló	A vállalat megünnepelte alapításának tizedik évfordulóját.
周期	ciklus	A termékfrissítési ciklus lerövidült.
周折	bonyodalom	Az ügyintézés sok bonyodalommal járt.
周转	likviditás	A vállalat likviditási nehézségekkel küzd.
州	állam	Az Egyesült Államokban, Kaliforniában él.
粥	kása	A beteg reggel kását evett.
舟	csónak	A kis csónak lassan közeledett a parthoz.
昼夜	éjjel-nappal	A munkások éjjel-nappal javították az utat.
皱纹	ránc	A nagymama arcán sok ránc van.
株	tő	Három fát ültettek az udvarra.
诸位	mindannyian	Köszönöm mindannyiuknak, hogy ma eljöttek.
逐年	évről évre	Az üzemeltetési költségek évről évre emelkednek.
主办	megrendezni	Az iskola művészeti fesztivált rendezett.
主导	meghatározni	A piaci kereslet meghatározza a terméktervezést.
主管	vezető	A vezető felelős a költségvetés jóváhagyásáért.
主流	főáram	A környezetvédelmi szemlélet főárammá vált.
主权	szuverenitás	Az ország szuverenitását tiszteletben kell tartani.
主义	ideológia	Különböző politikai ideológiákat kutat.
嘱咐	meghagyni	Az anyja többször is meghagyta neki, hogy vigyen esernyőt.
拄	támaszkodni	Az idős ember botra támaszkodva jár.
住宅	lakóépület	Ez a terület többnyire lakóépületekből áll.
助理	asszisztens	Az asszisztens rendezte a megbeszélés anyagait.
助手	segítő	A robot laboratóriumi segítő.
注射	injekciót adni	Az orvos gyógyszert adott be a betegnek.
注视	figyelmesen nézni	A távolba nézett figyelmesen.
注释	jegyzet	A szöveg mellett részletes jegyzetek vannak.
注重	hangsúlyt fektetni	A vállalat hangsúlyt fektet a termékminőségre.
著作	mű	Ez a mű messzemenő hatást gyakorolt.
铸造	önteni	A gyár nagy alkatrészeket önt.
驻扎	állomásozni	A csapatok a határon állomásoznak.
拽	vonszolni	Behúzta a dobozt a házba.
专长	szakterület	Az adatelemzés az ő szakterülete.
专程	külön utat tenni	Külön utat tett meg, hogy meglátogassa a tanárt.
专利	szabadalom	A vállalat új szabadalmat kérelmezett.
专题	tematikus műsor	A televízió környezetvédelmi tematikus műsort sugárzott.
砖	tégla	A munkások egy kocsi téglát hoztak.
转达	továbbítani	Kérem, továbbítsa a köszönetemet.
转让	átruházni	Úgy döntött, átruházza az üzletet.
转移	áthelyezni	A nővér áthelyezte a sebesülteket.
转折	fordulat	A történetben nagy fordulat következett be.
传记	életrajz	Az apja életrajzát írja.
庄稼	termény	Az eső táplálta a terményeket.
庄严	ünnepélyes	A szertartás hangulata ünnepélyes volt.
庄重	méltóságteljes	Méltóságteljes ünnepi ruhát viselt.
装备	felszerelés	A csapatot korszerű felszereléssel látták el.
装卸	be- és kirakodni	A kikötői munkások felelősek az áruk be- és kirakodásáért.
壮观	látványos	A vízesés látványa rendkívül látványos.
壮丽	fenséges	Itt fenséges hegyek és folyók vannak.
壮烈	hősies	A hős hősies halált halt.
幢	épület	Az utcasarkon áll egy régi épület.
追悼	gyászszertartás	Az emberek részt vettek a gyászszertartáson.
追究	kivizsgálni	A vállalat ki fogja vizsgálni a felelősséget.
坠	lezuhanni	A levelek lehullottak az ágakról.
准则	alapelv	Az őszinteség az együttműködés alapelve.
卓越	kiváló	Kiváló eredményeket ért el.
琢磨	töprengeni	Újra meg újra töprengett ezen a problémán.
着手	hozzákezdeni	A csapat holnap hozzákezd a vizsgálathoz.
着想	tekintettel lenni	A szülők mindig tekintettel vannak gyermekeik igényeire.
着重	hangsúlyozni	A jelentés a költségelemzést hangsúlyozza.
姿态	hozzáállás	Szerény hozzáállást tanúsított.
滋润	nedvesíteni	A tavaszi eső nedvesítette a földet.
滋味	érzés	A kudarc érzését nehéz elviselni.
资本	tőke	Egy vállalkozás indításához bizonyos tőke kell.
资产	eszközök	A vállalat eszközei folyamatosan nőnek.
资深	tapasztalt	Egy tapasztalt ügyvéd kezelte az ügyet.
资助	támogatni	Az alapítvány szegény diákokat támogat.
子弹	golyó	A golyó a falba csapódott.
自卑	kisebbrendűségi érzés	Már nem érez kisebbrendűséget.
自发	spontán	A lakók spontán megtisztították az utcát.
自力更生	önellátás	A falusiak ragaszkodnak az önellátáshoz.
自满	elbizakodott	Siker után nem szabad elbizakodottá válni.
自主	önálló	A diákoknak fejleszteniük kell az önálló tanulás képességét.
宗教	vallás	A világ vallásait kutatja.
宗旨	célkitűzés	Az intézmény célkitűzése a közösség szolgálata.
棕色	barna	Barna bőrcipőt vett.
踪迹	nyom	A rendőrség megtalálta a gyanúsított nyomait.
总而言之	röviden	Röviden: a terv megvalósítható.
总和	összeg	A nyereség a bevétel és a költségek összegének különbsége.
纵横	keresztül-kasul	A folyók keresztül-kasul szelik át a síkságot.
走廊	folyosó	A gyerekek sorban álltak a folyosón.
走漏	kiszivárogni	A hír nem szivároghat ki.
走私	csempészni	A vámhatóság csempészett árut foglalt le.
揍	megverni	Néhány részeg férfi megverte.
租赁	bérelni	A vállalat új irodát bérelt.
足以	elegendő	Ezek a bizonyítékok elegendőek a probléma magyarázatához.
祖父	nagyapa	A nagyapa szeret régi történeteket mesélni.
祖国	haza	Mélyen szereti a hazáját.
祖先	ős	A saját őseiket tisztelik.
阻碍	akadályozni	A pénzhiány akadályozza a projekt előrehaladását.
阻拦	feltartóztatni	Az őr feltartóztatta az idegeneket.
阻挠	akadályozni	Valaki szándékosan akadályozta a vizsgálatot.
钻研	elmélyülten tanulmányozni	Elmélyülten tanulmányozza az ókori irodalmat.
钻石	gyémánt	A gyűrűbe gyémántot foglaltak.
嘴唇	ajak	A hideg szél kirepesztette az ajkát.
罪犯	bűnöző	A rendőrség letartóztatta a szökött bűnözőt.
尊严	méltóság	Minden embernek joga van a méltósághoz.
遵循	követni	Az orvosok szigorú szabványokat követnek.
作弊	csalni	A vizsgán csalást büntetik.
作废	érvénytelenné válni	A régi jegy már érvénytelenné vált.
作风	munkastílus	A vezető munkastílusa gyakorlatias.
作息	napi ritmus	A rendszeres napi ritmus jót tesz az egészségnek.
做主	dönteni	Ebben az ügyben te döntesz.
座右铭	jelmondat	Az ő jelmondata: soha ne add fel.
