simplified	TR	example_TR
委托	emanet etmek; vekalet vermek	Müvekkil davayı yürütmesi için bir avukata vekalet verdi.
委员	komite üyesi	Her komite üyesi görüş belirtti.
卫星	uydu	Uydu planlanan yörüngeye girdi.
喂	beslemek	Çocuk yavru kediyi besliyor.
慰问	geçmiş olsun dilemek; teselli ziyareti yapmak	Yöneticiler yaralılara geçmiş olsun dilemek için hastaneye gitti.
未免	biraz fazla	Bu şart biraz fazla yüksek.
畏惧	korkmak	O, zorluklardan asla korkmaz.
蔚蓝	masmavi	Gökyüzü masmavi bir renge büründü.
温带	ılıman kuşak	Bu bitki ılıman iklime uygundur.
温和	ılımlı; yumuşak	Onun politika tutumu nispeten ılımlıdır.
文凭	diploma	Bu iş üniversite diploması gerektirir.
文物	kültür varlığı; tarihi eser	Müze değerli kültür varlıkları sergiledi.
文献	literatür; belge	Makale çok sayıda literatüre atıf yaptı.
文雅	zarif; incelikli	Davranışları zariftir.
文艺	edebiyat ve sanat	Bu şehirde güçlü bir sanat ve edebiyat atmosferi vardır.
问世	piyasaya çıkmak; yayımlanmak	Bu telefon modeli yakında piyasaya çıkacak.
窝	yuva; in	Ağaçta bir kuş yuvası var.
乌黑	simsiyah	Onun simsiyah uzun saçları var.
污蔑	karalamak; iftira atmak	Rakibini karaladığını reddetti.
诬陷	iftira atıp suçlamak; tuzağa düşürmek	Kanıtlar onun iftirayla suçlandığını gösteriyor.
无比	son derece	Haberi duyunca son derece heyecanlandı.
无偿	ücretsiz; karşılıksız	Gönüllüler ücretsiz hizmet sağlar.
无耻	utanmaz; arsız	Bu tür hileli davranış çok utanmazcadır.
无动于衷	kayıtsız kalmak	Eleştiriler karşısında kayıtsız kaldı.
无非	sadece; olsa olsa	Bunu sadece para biriktirmek için yaptı.
无辜	masum	Mahkeme onun masum olduğuna karar verdi.
无精打采	halsiz; keyifsiz	Bugün çok halsiz görünüyor.
无赖	serseri; üçkağıtçı	Köylüler o serseriyle uğraşmak istemiyor.
无理取闹	sebepsiz sorun çıkarmak	Lütfen burada sebepsiz sorun çıkarmayın.
无能为力	çaresiz; elinden bir şey gelmemek	Sel karşısında köylülerin elinden bir şey gelmedi.
无穷无尽	sonsuz; bitmek bilmez	Çöl sonsuz görünüyordu.
无微不至	son derece özenli	Hemşire hastaya son derece özenle baktı.
无忧无虑	kaygısız	Çocuklar çimenlerde kaygısızca oynadı.
无知	cahillik	Cahillik öğrenmeyi reddetmek için sebep değildir.
侮辱	hakaret etmek; aşağılamak	Sözleri karşısındaki kişiye hakaret etti.
武器	silah	Bu silahlar merkezi bir yerde muhafaza ediliyor.
武侠	wuxia; dövüş sanatları şövalyeliği	Çocukluğundan beri wuxia romanları okumayı sever.
武装	silahlandırmak; silahlı	Sınır bölgesi silahlı devriyeleri güçlendirdi.
舞蹈	dans	Bu dansın güçlü etnik özellikleri vardır.
务必	mutlaka	Lütfen mutlaka zamanında gelin.
物美价廉	kaliteli ve ucuz	Bu dükkandaki mallar hem iyi hem ucuz.
物业	mülk yönetimi; site yönetimi	Site yönetimi yerleşkedeki onarımlardan sorumludur.
物资	malzeme; erzak	Yardım malzemeleri afet bölgesine ulaştırıldı.
误差	hata payı; ölçüm hatası	Ölçüm sonucunda hafif bir hata payı var.
误解	yanlış anlamak; yanlış anlama	İki taraf iletişim yoluyla yanlış anlamayı giderdi.
夕阳	gün batımı; batan güneş	Batan güneş gökyüzünü altın rengine boyadı.
昔日	eski günlerde; eskiden	Eski günlerin köyü bir şehre dönüştü.
溪	dere	Dağların arasından küçük bir dere akar.
熄灭	söndürmek; sönmek	Lütfen mumu söndürün.
牺牲	fedakarlık yapmak; kurban olmak	Başkalarını kurtarmak için fedakarlık yaptılar.
膝盖	diz	Dizi yaralandı.
习俗	gelenek; adet	Bahar Bayramı'nın birçok geleneksel adeti vardır.
媳妇	eş; gelin	Eşi hastanede çalışıyor.
袭击	saldırmak; saldırı	Fırtına kıyı kentini vurdu.
喜闻乐见	sevilerek izlenen; çok beğenilen	Bu tür programlar izleyiciler tarafından sevilir.
喜悦	sevinç	Yüzünde sevinç dolu bir gülümseme belirdi.
系列	seri	Şirket bir dizi yeni ürün piyasaya sürdü.
细菌	bakteri	Yüksek sıcaklık bakterileri öldürebilir.
细胞	hücre	İnsan vücudu sayısız hücreden oluşur.
细致	titiz; ayrıntılı	Onun gözlemi çok titizdir.
峡谷	kanyon	Nehir derin bir kanyondan geçer.
狭隘	dar; dar görüşlü	Bu dar görüşlü bakış değişmeli.
狭窄	dar	Bu yol çok dar.
霞	akşam kızıllığı	Akşam kızıllığı gökyüzünü kızarttı.
下属	ast	Müdür astlarının görüşlerini dikkatle dinledi.
先进	gelişmiş; ileri	Fabrika gelişmiş ekipman kullandı.
先前	daha önceki; önceki	Önceki plan çoktan değişti.
掀起	başlatmak; dalga yaratmak	Bu kitap bir tartışma dalgası başlattı.
纤维	lif	Bu kumaş doğal lif içerir.
鲜明	belirgin; net	Onun tutumu çok nettir.
嫌	hoşlanmamak	Odanın çok küçük olmasından hoşlanmıyor.
嫌疑	şüphe; şüpheli durum	Bu adam ciddi şüphe altındadır.
弦	tel	Gitarın bir teli koptu.
衔接	bağlamak; birleştirmek	İki dersin içeriği çok iyi bağlanıyor.
贤惠	erdemli ve becerikli	O, erdemli ve becerikli biri olarak görülür.
闲话	dedikodu	Başkalarının arkasından dedikodu yapma.
显著	belirgin; kayda değer	Tedavi etkisi çok belirgindir.
宪法	anayasa	Anayasa vatandaşların temel haklarını güvence altına alır.
现场	olay yeri; saha	Muhabirler kaza yerine çoktan ulaştı.
现成	hazır; elde hazır	Mutfakta hazır yemek var.
现状	mevcut durum	Sektörün mevcut durumunu anlamamız gerekiyor.
线索	ipucu	Polis yeni bir ipucu buldu.
陷害	iftira atarak tuzağa düşürmek	Birinin kendisini tuzağa düşürdüğünü iddia etti.
陷阱	tuzak	Avcı bir tuzak kurdu.
陷入	içine düşmek; saplanmak	Şirket mali sıkıntıya düştü.
馅儿	iç harç	Bu baozi'nin iç harcı çok güzel kokuyor.
乡镇	kasaba; belde	Kasaba okullarındaki koşullar iyileşiyor.
相差	fark etmek	İki yerin sıcaklığı on derece fark ediyor.
相等	eşit	İki üçgenin alanları eşittir.
相辅相成	birbirini tamamlamak	Teori ve pratik birbirini tamamlar.
相应	karşılık gelen; ilgili	Şirket ilgili önlemleri alacak.
镶嵌	kakmak; yerleştirmek	Yüzüğe bir değerli taş yerleştirilmiş.
响亮	gür ve net	Cevabı gür ve netti.
响应	yanıt vermek; desteklemek	Çevre girişimine birçok kişi destek verdi.
想方设法	her yolu denemek	Maliyetleri azaltmak için her yolu denediler.
向导	rehber	Yerel bir rehber bizi dağlara götürdü.
向来	her zaman; öteden beri	O, her zaman güvenilirliğe önem verir.
向往	özlem duymak; arzulamak	Sakin bir yaşama özlem duyuyor.
巷	ara sokak; sokak	Eski ara sokakta birçok küçük dükkan açıldı.
相声	Çin komik diyaloğu	Dedem geleneksel Çin komik diyaloglarını dinlemeyi sever.
消除	gidermek; ortadan kaldırmak	İletişim yanlış anlamaları giderebilir.
消毒	dezenfekte etmek	Doktor yarayı dezenfekte etti.
消防	itfaiye; yangınla mücadele	İtfaiyeciler hızla olay yerine ulaştı.
消耗	tüketmek	Uzun mesafeli yolculuk çok fiziksel enerji tüketir.
消灭	yok etmek; ortadan kaldırmak	İşçiler zararlıları yok ediyor.
潇洒	rahat ve şık	Yürüyüşü çok rahat ve şıktır.
销毁	imha etmek	Gümrük sahte malları imha etti.
小心翼翼	son derece dikkatli	Kutuyu son derece dikkatli açtı.
效益	verim; fayda	Yeni ekipman üretim verimini artırdı.
肖像	portre	Portresi duvarda asılı.
协会	dernek; birlik	Bu dernek genç girişimcilere yardım eder.
协商	müzakere etmek; görüşmek	İki taraf görüşmelere devam etmeye hazır.
协调	koordine etmek; uyumlaştırmak	Proje yöneticisi kaynakları koordine etmekten sorumludur.
协议	anlaşma; protokol	İki taraf bir iş birliği anlaşması imzaladı.
协助	yardım etmek	Gönüllüler yaşlıların yoldan geçmesine yardım etti.
携带	taşımak	Yolcular tehlikeli madde taşıyamaz.
屑	kırıntı; talaş	Masanın üzerinde çok sayıda tahta talaşı var.
泄露	sızdırmak; ifşa etmek	Çalışanlar müşteri bilgilerini sızdırmamalıdır.
泄气	cesareti kırılmak	Başarısızlıktan sonra cesaretini kaybetme.
谢绝	nazikçe reddetmek	Otel dışarıdan getirilen yiyecekleri nazikçe reddeder.
心得	edinilen deneyim; çıkarım	Çalışmadan edindiği deneyimi paylaştı.
心甘情愿	gönüllü olarak; seve seve	Yardım etmek için tamamen gönüllü olarak kaldı.
心灵	ruh; gönül	Müzik onun ruhunu rahatlattı.
心态	zihniyet; ruh hali	Olumlu bir zihniyeti korumak önemlidir.
心疼	içi acımak; çok sevmek	Anne yaralanan çocuğu için içi acıdı.
心血	emek; özen	Bu kitap yazarın büyük emeğini içeriyor.
心眼儿	niyet; düşünce; küçük hesap	Onun biraz küçük hesapları var.
新陈代谢	metabolizma	Egzersiz metabolizmayı hızlandırabilir.
新郎	damat	Damat kapıda misafirleri karşıladı.
新娘	gelin	Gelin beyaz bir gelinlik giydi.
新颖	yeni ve özgün	Bu tasarım çok özgün.
欣慰	memnun olmak; içi rahatlamak	Çocuğun ilerlemesini görmek onu memnun etti.
欣欣向荣	gelişip serpilmek	Kasabada turizm gelişip serpilmekte.
薪水	maaş	Maaşı ailesini geçindirmeye yetiyor.
辛勤	çalışkan; emek yoğun	Çiftçiler ürün yetiştirmek için çok çalışır.
信赖	güvenmek	Müşteriler bu şirkete çok güvenir.
信念	inanç; kanaat	Sağlam bir inanç onu destekledi.
信仰	inanç; iman	Farklı inançlara saygı duyar.
信誉	itibar	Bir şirket itibarını korumalıdır.
兴高采烈	neşeli; coşkulu	Çocuklar coşkuyla sınıfa koştu.
兴隆	gelişen; işi iyi olan	Bu eski dükkânın işi çok iyi.
兴旺	gelişmek; refah içinde olmak	Piyasa ekonomisi giderek gelişiyor.
腥	balık kokulu	Bu balık biraz balık kokuyor.
刑事	cezai; ceza hukuku ile ilgili	Polis bir ceza davasını araştırıyor.
形态	biçim; şekil	Bitkinin biçimi çevreyle birlikte değişir.
行政	idari	İdari bölüm başvuruları işler.
兴致勃勃	büyük ilgiyle; hevesli	Herkes planı büyük bir ilgiyle tartıştı.
性感	seksi; çekici	Bu gece elbisesi çok çekici görünüyor.
性命	can; hayat	Doktor onun hayatını kurtardı.
性能	performans; işlev	Bu bilgisayarın performansı iyidir.
凶恶	acımasız; vahşi	Bu köpek çok vahşi görünüyor.
凶手	katil; saldırgan	Polis sonunda katili yakaladı.
汹涌	azgın; kabarmış	Azgın dalgalar kıyıya vurdu.
胸怀	gönül genişliği; geniş bakış	O geniş gönüllü biridir.
胸膛	göğüs	Asker göğsünü ileri çıkardı.
雄厚	güçlü; sağlam	Şirketin mali kaynakları güçlüdür.
雄伟	görkemli; heybetli	Bu köprü çok görkemlidir.
修复	onarmak; eski haline getirmek	Mühendisler sistemi onarıyor.
修建	inşa etmek	Hükümet yeni bir havaalanı inşa etmeyi planlıyor.
修养	kültür; kendini yetiştirme	İyi bir kültür ayrıntılarda görünür.
羞耻	utanç	Yalan söyledikten sonra utanç duydu.
嗅觉	koku alma duyusu	Köpeğin koku alma duyusu çok keskindir.
绣	nakış işlemek	Büyükannem çiçek nakışı işleyebilir.
虚假	sahte; yalan	Web sitesi sahte bilgiler yayımladı.
虚荣	kibir; gösteriş merakı	Gösteriş merakı ona çok para harcattı.
虚伪	ikiyüzlü; yapmacık	İkiyüzlü nezaketten hoşlanmaz.
需求	talep; ihtiyaç	Pazar talebi artıyor.
须知	bilinmesi gereken kurallar	Lütfen önce kayıt talimatlarını okuyun.
许可	izin vermek; izin	İzin olmadan içeri giremezsiniz.
序言	önsöz	Yazar önsözde arka planı açıklar.
畜牧	hayvancılık	Çayır hayvancılığı geliştirmeye uygundur.
酗酒	aşırı içki içmek	Uzun süre aşırı içki içmek sağlığa zarar verir.
喧哗	gürültü yapmak; yaygara	Kütüphanede gürültü yapmak yasaktır.
宣誓	yemin etmek	Yeni üyeler toplantıda yemin etti.
宣扬	yaymak; tanıtmak	Okul dürüstlüğü ve güvenilirliği teşvik eder.
悬挂	asmak; sarkıtmak	Duvarda bir tablo asılı.
悬念	merak unsuru; endişe	Filmin sonu merak unsuru bırakıyor.
悬殊	büyük fark; uçurum	İki takım arasındaki güç farkı çok büyük.
悬崖峭壁	sarp uçurumlar	Dağ yolunun yanında sarp uçurumlar var.
旋律	melodi	Bu şarkının melodisi çok güzeldir.
旋转	dönmek; döndürmek	Yel değirmeni rüzgârda dönüyor.
选拔	seçmek; eleme yapmak	Okul sporcuları seçiyor.
选举	seçim; seçmek	Köyde seçim yapıldı.
选手	yarışmacı; sporcu	Bu yarışmacı istikrarlı performans gösterdi.
炫耀	gösteriş yapmak	Her zaman servetiyle gösteriş yapmayı sever.
削	kesmek; azaltmak	Şirket bazı giderleri azalttı.
削弱	zayıflatmak	Yorgunluk muhakemeyi zayıflatır.
学说	kuram; öğreti	Bu kuramın büyük etkisi vardır.
学位	akademik derece	Yüksek lisans derecesi aldı.
雪上加霜	kötü durumu daha da kötüleştirmek	İşini kaybedip sonra hastalanması durumu daha da kötüleştirdi.
血压	kan basıncı	Doktor ona kan basıncını kontrol etmesini hatırlattı.
熏陶	etkilenmek; yetişmek	Çocukluğundan beri müzikten etkilenmiştir.
寻觅	aramak	Uygun konut bulmak için her yeri aradılar.
巡逻	devriye gezmek	Polis geceleri sokaklarda devriye gezer.
循环	dolaşmak; döngü yapmak	Su sistem içinde dolaşır.
循序渐进	adım adım ilerlemek	Dil öğrenimi adım adım ilerlemelidir.
压迫	baskı yapmak; ezmek	Eski sistem sıradan insanlara baskı yaptı.
压岁钱	yılbaşı harçlığı	Çocuk yılbaşı harçlığı aldı.
压缩	sıkıştırmak	Yazılım görüntü boyutunu sıkıştırabilir.
压抑	bastırmak; bunaltıcı	İçindeki öfkeyi bastırmaya çalıştı.
压榨	sıkmak; sömürmek	Makine şeker kamışı suyunu sıkıyor.
压制	bastırmak; dizginlemek	İlaç ağrıyı bastırabilir.
鸦雀无声	çıt çıkmamak	Öğretmen içeri girdikten sonra sınıfta çıt çıkmadı.
亚军	ikinci; ikincilik	Yarışmada ikinci oldu.
淹没	su altında bırakmak; boğmak	Sel alçak köyü su altında bıraktı.
烟花爆竹	havai fişekler ve maytaplar	Tatil boyunca havai fişek ve maytap yasaklandı.
严峻	ciddi; zorlu	İstihdam durumu hâlâ ciddi.
严寒	şiddetli soğuk	Şiddetli soğuk hava ulaşımı etkiliyor.
严禁	kesinlikle yasaklamak	Burada sigara içmek kesinlikle yasaktır.
严厉	sert; katı	Öğretmen onu sert bir şekilde eleştirdi.
严密	sıkı; sağlam	Depoda sıkı gözetim var.
岩石	kaya	Deniz kenarındaki kayalar çok serttir.
延期	ertelemek; uzatmak	Toplantı gelecek haftaya ertelendi.
延伸	uzanmak; yayılmak	Yol kuzeye doğru uzanıyor.
延续	sürmek; devam etmek	Bu gelenek yüz yıldır sürüyor.
沿海	kıyı; sahil	Kıyı şehirleri ticareti geliştirdi.
炎热	çok sıcak	Çok sıcak hava insanı yorar.
言论	söz; görüş	Kamuoyu onun açıklamalarına dikkat ediyor.
掩盖	örtbas etmek; gizlemek	Hatayı örtbas etmeye çalıştı.
掩护	koruma sağlamak; siper olmak	Takım arkadaşları geri çekilmeyi korumaktan sorumluydu.
掩饰	gizlemek; örtmek	Gerginliğini gizlemeye çalıştı.
演变	evrilmek; gelişmek	Şehrin düzeni sürekli evriliyor.
演习	tatbikat; alıştırma	Okul yangın tatbikatı yaptı.
演绎	tümdengelim yapmak; yorumlamak	Öğretmen bu teoremi tümdengelimle açıkladı.
演奏	müzik icra etmek	Orkestra klasik müzik icra ediyor.
眼光	vizyon; bakış açısı	Onun yatırım vizyonu iyidir.
眼色	göz işareti	Meslektaşına bir göz işareti verdi.
眼神	bakış; göz ifadesi	Bakışları çok kararlıydı.
厌恶	nefret etmek; tiksinmek	Aldatıcı davranışlardan nefret eder.
验收	kabul kontrolü yapmak	Proje tamamlandıktan sonra kabul kontrolü gerekir.
验证	doğrulamak	Deney varsayımı doğruladı.
氧气	oksijen	Hastanın oksijen soluması gerekiyor.
样品	numune; örnek	Müşteri ürün numunelerini aldı.
摇摆	sallanmak; kararsız kalmak	Küçük tekne rüzgâr ve dalgada sallandı.
摇滚	rock müzik	Gençler rock müziği sever.
谣言	söylenti	Doğrulanmamış söylentileri yaymayın.
遥控	uzaktan kumanda etmek	Telefonuyla klimayı uzaktan kontrol etti.
遥远	uzak	O köy şehirden uzaktır.
耀眼	göz kamaştırıcı	Güneş ışığı göz kamaştırıcıydı.
要点	ana nokta; kilit nokta	Lütfen toplantının ana noktalarını kaydedin.
要命	ölümcül; aşırı	Bu dağ yolu aşırı tehlikelidir.
要素	unsur; temel etken	Güven iş birliğinin önemli bir unsurudur.
野蛮	barbarca; vahşi	Vahşi kolluk uygulamalarına karşı çıkar.
野心	hırs; ihtiras	Siyasi hırsı açıktır.
液体	sıvı	Bu sıvının rengi yoktur.
一流	birinci sınıf	Bu hastanenin birinci sınıf ekipmanı var.
一如既往	eskisi gibi; her zamanki gibi	Bizi her zamanki gibi destekliyor.
依旧	hâlâ; eskisi gibi	Yağmur durdu ama sokak hâlâ ıslaktı.
依据	dayanak; göre	Karar hukuka dayanmalıdır.
依靠	güvenmek; dayanmak	Geçimlerini tarıma dayandırıyorlar.
依赖	bağımlı olmak	Çocuklar anne babalarına fazla bağımlı olmamalıdır.
依托	dayanmak; temel almak	Proje yerel kaynaklara dayanarak gelişiyor.
衣裳	giysi	Temiz giysiler giydi.
一度	bir zamanlar	Şirket bir zamanlar iflasla karşı karşıya kaldı.
一贯	tutarlı; öteden beri	O, öteden beri israfa karşı çıkmıştır.
一目了然	bir bakışta açık	Tablonun içeriği bir bakışta açıktır.
一向	her zaman	O her zaman dakik olmuştur.
仪器	cihaz; alet	Laboratuvar yeni cihazlar satın aldı.
仪式	tören	Mezuniyet töreni yarın yapılacak.
疑惑	kuşku; şaşkınlık	Öğrenci cevap konusunda şaşkınlık duydu.
遗产	miras; kültürel miras	Bu eski şehir kültürel mirastır.
遗传	kalıtım; kalıtsal olmak	Bu hastalık kalıtsal olabilir.
遗留	geride kalmak; miras bırakmak	Tarihten kalan sorunlar çözülmelidir.
遗失	kaybetmek	Yolcu pasaportunu kaybetti.
以便	...mesi için; böylece	Lütfen sizinle iletişim kurabilmemiz için telefon numarası bırakın.
以免	...den kaçınmak için	Geç kalmamak için daha erken çık.
以往	geçmişte; önceki	Geçmiş deneyimlerden yararlanmak gerekir.
以至	hatta; ...e kadar	Kapsam mahalleye, hatta tüm şehre kadar genişledi.
以致	sonucunda; öyle ki	Şiddetli yağmur sürdü, sonucunda yollar kapandı.
一帆风顺	sorunsuz ilerlemek	İş kurmak her zaman sorunsuz ilerleyemez.
一举两得	bir taşla iki kuş vurmak	İşe bisikletle gitmek iki hedefi birden sağlar.
一丝不苟	titizlikle; kılı kırk yararak	Mühendis kabloları titizlikle kontrol etti.
亦	de; da	O da bu plana katıldı.
异常	anormal; olağandışı	Sistemde anormal bir durum ortaya çıktı.
意料	beklemek; tahmin etmek	Sonuç tamamen beklenmedikti.
意识	bilinç; farkındalık	Sorunun ciddi olduğunu yavaş yavaş fark etti.
意图	niyet; amaç	Polis onun niyetini anladı.
意味着	anlamına gelmek	Sessizlik onay anlamına gelmez.
意向	niyet; eğilim	İki taraf iş birliği niyetini ifade etti.
意志	irade	Zorluklar insanın iradesini sınar.
毅力	azim; sebat	Başarı uzun vadeli azim gerektirir.
毅然	kararlılıkla	Tereddüt etmeden şirketten ayrıldı.
翼	kanat	Uçağın kanadı kontrol edildi.
阴谋	komplo	Komployu açığa çıkardılar.
音响	hoparlör; ses sistemi	Oturma odasının ses sistemi iyidir.
引导	yönlendirmek; rehberlik etmek	Öğretmen öğrencileri düşünmeye yönlendirdi.
引擎	motor	Arabanın motoru aniden durdu.
引用	alıntı yapmak; atıf yapmak	Makale çok sayıda kaynağa atıf yaptı.
隐蔽	gizlemek; gizli	Askerler ormanda saklandı.
隐患	gizli tehlike	Eski kablolarda gizli güvenlik riskleri var.
隐瞒	gizlemek; saklamak	Gerçeği gizlemedi.
隐私	mahremiyet; özel bilgi	Şirket kullanıcı mahremiyetini korumalıdır.
隐约	belirsiz; belli belirsiz	Uzaktan belli belirsiz şarkı sesi duyuluyordu.
饮食	beslenme; yiyecek içecek	Sağlıklı beslenme iyileşmeye yardımcı olur.
婴儿	bebek	Bebek sessizce uyuyor.
英明	bilge; isabetli	Lider isabetli bir karar verdi.
英勇	cesur; kahramanca	İtfaiyeci çocuğu cesurca kurtardı.
盈利	kâr etmek	Şirket bu yıl kâr etmeye başladı.
迎面	yüzüne doğru; karşıdan	Soğuk bir rüzgâr yüzümüze doğru esti.
应酬	sosyal görüşme; davet	Bu akşam birçok sosyal görüşmesi var.
应邀	davet üzerine	Uzman davet üzerine foruma katıldı.
庸俗	bayağı; kaba	Bu reklamın içeriği bayağıdır.
拥护	desteklemek	Herkes yeni politikayı destekliyor.
拥有	sahip olmak	Zengin bir deneyime sahiptir.
勇于	cesaret etmek	Gençler denemeye cesaret etmelidir.
永恒	sonsuz; ebedi	Aşk sonsuza kadar değişmez değildir.
涌现	ortaya çıkmak; çok sayıda belirmek	Her yerde seçkin öğretmenler ortaya çıkıyor.
踊跃	hevesli; istekli	Sakinler etkinliğe hevesle kaydoldu.
用户	kullanıcı	Kullanıcılar şifrelerini değiştirebilir.
优胜劣汰	en uygun olanın hayatta kalması	Piyasa rekabeti en uygun olanın hayatta kalmasını yansıtır.
优先	öncelik	Yaşlılara öncelik verilebilir.
优异	mükemmel; olağanüstü	Çok iyi sonuçlar elde etti.
优越	üstün; avantajlı	Burası üstün bir konuma sahiptir.
忧郁	melankolik; kederli	İfadesi melankolik görünüyordu.
油腻	yağlı	Bu yemek fazla yağlı.
油漆	boya; boyamak	İşçiler kapıyı boyuyor.
犹如	sanki; gibi	Göl yüzeyi ayna gibidir.
有条不紊	düzenli; sistemli	Toplantı düzenli biçimde ilerledi.
幼稚	çocuksu; saf	Bu fikir biraz safça.
诱惑	ayartma; cazibe	Reklam tüketim cazibeleriyle doludur.
愚蠢	aptalca; budalaca	Bu karar son derece aptalcadır.
愚昧	cahil; bilgisiz	Cahil fikirler ilerlemeyi engeller.
渔民	balıkçı	Balıkçılar şafakta balık tutmak için denize açılır.
舆论	kamuoyu	Kamuoyunun dava üzerinde büyük etkisi var.
与日俱增	günden güne artmak	Turist sayısı günden güne artıyor.
宇宙	evren	İnsanlık evreni keşfetmeyi sürdürüyor.
羽绒服	kuş tüyü mont	Kışın kuş tüyü mont giymen gerekir.
寓言	fabl; öğütlü masal	Bu fabl çok eğiticidir.
愈	iyileşmek; gittikçe	Durum gittikçe iyileşiyor.
欲望	arzu; istek	Alışveriş arzusunu kontrol etti.
熨	ütülemek	Gömleği düzgünce ütüledi.
玉	yeşim	Bu yeşim parçasının rengi yumuşaktır.
预料	tahmin etmek; beklenti	Olayların gelişimi beklentileri aştı.
预期	beklenti; beklenen	Satışlar beklentinin altında kaldı.
预算	bütçe	Proje bütçesinin ayarlanması gerekiyor.
预先	önceden	Lütfen malzemeleri önceden hazırlayın.
预言	kehanet; öngörmek	Onun öngörüsü gerçekleşmedi.
预兆	belirti; alamet	Ağrı bir hastalık belirtisi olabilir.
冤枉	haksızlık etmek; haksız	Masum bir kişiye haksızlık etme.
元首	devlet başkanı	İki ülkenin devlet başkanları görüşme yaptı.
元素	element	Oksijen kimyasal bir elementtir.
元宵节	Fener Bayramı	Fener Bayramı'nda insanlar fenerleri seyreder.
原告	davacı	Davacı yeni kanıt sundu.
原理	ilke; prensip	Öğretmen makinenin ilkesini açıkladı.
原始	ilk; ilkel; özgün	Orijinal kayıtları sakladılar.
原先	önceki; asıl	Asıl plan çoktan değişti.
园林	bahçe; peyzaj bahçesi	Suzhou bahçeleri çok ünlüdür.
圆满	tatmin edici; eksiksiz	Toplantı tam bir başarıya ulaştı.
源泉	kaynak	Pratik bilginin kaynağıdır.
缘故	neden; sebep	Sağlık nedeniyle istifa etti.
约束	kısıtlamak; sınırlamak	Sistem çalışan davranışlarını sınırlar.
乐谱	nota; nota kağıdı	Notaları dikkatle okudu.
岳母	kayınvalide	Hafta sonu kayınvalidesini ziyarete gitti.
孕育	beslemek; doğurmak	Toprak yeni yaşamı besler.
蕴藏	barındırmak; içinde saklamak	Dağlık bölge zengin maden kaynakları barındırır.
运算	hesaplama	Öğrenciler matematik hesaplamaları çalışır.
运行	çalışmak; işlemek	Sistem istikrarlı biçimde çalışıyor.
酝酿	hazırlık aşamasında olmak; mayalanmak	İki taraf yeni bir plan üzerinde düşünüyor.
杂技	akrobasi	Çocuklar akrobasi izlemeyi sever.
杂交	melez; melezleme	Bilim insanları melez pirinci inceliyor.
砸	parçalamak; kırmak	Bardak yere düşüp kırıldı.
咋	nasıl; neden	Nasıl oldu da hâlâ dönmedin?
栽培	yetiştirmek; ekmek	Bahçıvan birçok çiçek yetiştirdi.
灾难	felaket	Şehir felaketten sonra yeniden inşa edilmeye başladı.
宰	hayvan kesmek; aldatmak	Köylüler bayramda koyun keser.
再接再厉	çabayı sürdürmek	Ödül kazandıktan sonra ekip çabasını sürdürdü.
在意	önemsemek; aldırmak	Başkalarının görüşlerini çok önemser.
攒	biriktirmek	Bilgisayar almak için para biriktiriyor.
暂且	şimdilik; geçici olarak	Bu konuyu şimdilik bir kenara bırakın.
赞叹	hayran kalmak	Seyirciler oyuncunun performansına hayran kaldı.
赞助	sponsor olmak; desteklemek	Şirket bu yarışmaya sponsor oldu.
糟蹋	israf etmek; berbat etmek	Bu taze yiyecekleri israf etmeyin.
遭受	maruz kalmak; uğramak	Tarla ciddi kuraklığa maruz kaldı.
遭殃	felakete uğramak; zarar görmek	Köprü çökünce yakındaki sakinler zarar gördü.
遭遇	karşılaşmak; yaşamak	Yolda kar fırtınasıyla karşılaştılar.
噪音	gürültü	İnşaat gürültüsü dinlenmeyi etkiliyor.
造型	biçim; tasarım	Bu araba modelinin biçimi çok belirgindir.
责怪	suçlamak	Lütfen çocuğu körü körüne suçlamayın.
贼	hırsız	Polis o hırsızı yakaladı.
增添	katmak; artırmak	Taze çiçekler odaya renk katar.
赠送	hediye etmek	Dükkan küçük hediyeler veriyor.
扎	batırmak; iğne yapmak	Hemşire ona iğne yaptı.
扎实	sağlam	Onun dil bilgisi temeli sağlamdır.
渣	posa; tortu	Fincanın dibinde kahve telvesi kaldı.
眨	göz kırpmak	Gözlerini kırptı.
诈骗	dolandırmak	Polis bir telekom dolandırıcılığı vakasını çözdü.
摘要	özet	Makalenin özeti açık yazılmış.
债券	tahvil	Yatırımcılar devlet tahvili satın alır.
沾光	başkasından fayda görmek	Arkadaşım sayesinde ben de faydalandım.
瞻仰	saygıyla ziyaret etmek; hürmet etmek	Turistler kahramanlar anıtını saygıyla ziyaret eder.
展示	sergilemek; göstermek	Şirket en yeni ürününü sergiledi.
展望	ileriye bakmak; beklenti	Rapor gelecekteki eğilimlere bakıyor.
展现	göstermek; ortaya koymak	Eser kırsal yaşamı gösteriyor.
崭新	yepyeni	Yepyeni bir bisiklet aldı.
斩钉截铁	kesin ve kararlı	Kararlı bir şekilde reddetti.
占据	kaplamak; işgal etmek	Reklam tüm sayfayı kapladı.
占领	işgal etmek; ele geçirmek	Ordu dağ geçidini ele geçirdi.
战斗	savaşmak; çatışma	Çatışma üç saat sürdü.
战略	strateji	Şirket gelişim stratejisini ayarladı.
战术	taktik	Antrenör maç taktiğini değiştirdi.
