simplified	KO	example_KO
用户	사용자	사용자는 비밀번호를 변경할 수 있습니다.
优胜劣汰	우승열패	시장 경쟁은 우승열패를 보여 줍니다.
优先	우선	노인은 우선 처리받을 수 있습니다.
优异	우수한	그녀는 우수한 성적을 거두었습니다.
优越	우월한	이곳은 지리적 위치가 우월합니다.
忧郁	우울한	그의 표정은 우울해 보였습니다.
油腻	기름진	이 요리는 너무 기름집니다.
油漆	페인트	노동자들이 문에 페인트를 칠하고 있습니다.
犹如	마치	호수 표면은 마치 거울 같습니다.
有条不紊	질서정연하게	회의는 질서정연하게 진행되었습니다.
幼稚	유치한	이 생각은 조금 유치합니다.
诱惑	유혹	광고는 소비 유혹으로 가득합니다.
愚蠢	어리석은	이 결정은 매우 어리석습니다.
愚昧	무지한	무지한 관념은 발전을 가로막습니다.
渔民	어민	어민들은 새벽에 바다로 나가 고기를 잡습니다.
舆论	여론	여론은 사건에 큰 영향을 줍니다.
与日俱增	날로 늘어나다	관광객 수가 날로 늘어나고 있습니다.
宇宙	우주	인류는 끊임없이 우주를 탐사합니다.
羽绒服	패딩	겨울에는 패딩을 입어야 합니다.
寓言	우화	이 우화는 교육적 의미가 큽니다.
愈	점점	병세가 점점 좋아지고 있습니다.
欲望	욕망	그는 쇼핑 욕망을 억제했습니다.
熨	다리다	그녀는 셔츠를 반듯하게 다렸습니다.
玉	옥	이 옥은 색이 온화합니다.
预料	예상	일의 전개가 예상을 벗어났습니다.
预期	예상	매출액은 예상보다 낮았습니다.
预算	예산	프로젝트 예산은 조정이 필요합니다.
预先	미리	자료를 미리 준비해 주세요.
预言	예언	그의 예언은 실현되지 않았습니다.
预兆	징조	통증은 질병의 징조일 수 있습니다.
冤枉	억울하게 하다	무고한 사람을 억울하게 하지 마세요.
元首	국가 원수	두 나라 국가 원수가 회담을 열었습니다.
元素	원소	산소는 화학 원소입니다.
元宵节	원소절	원소절에는 사람들이 등불을 구경합니다.
原告	원고	원고는 새 증거를 제출했습니다.
原理	원리	선생님은 기계 원리를 설명했습니다.
原始	원래의	그들은 원래 기록을 보존했습니다.
原先	원래	원래 계획은 이미 바뀌었습니다.
园林	정원	쑤저우 정원은 매우 유명합니다.
圆满	원만한	회의는 원만한 성공을 거두었습니다.
源泉	원천	실천은 지식의 원천입니다.
缘故	이유	그는 건강상의 이유로 사직했습니다.
约束	제약하다	제도는 직원의 행동을 제약합니다.
乐谱	악보	그녀는 악보를 진지하게 읽었습니다.
岳母	장모	그는 주말에 장모를 뵈러 갔습니다.
孕育	키우다	토양은 새로운 생명을 키웁니다.
蕴藏	품고 있다	산악 지역은 풍부한 광산 자원을 품고 있습니다.
运算	연산	학생들은 수학 연산을 연습합니다.
运行	운영되다	시스템은 안정적으로 운영되고 있습니다.
酝酿	구상하다	양측은 새로운 방안을 구상하고 있습니다.
杂技	서커스	아이들은 서커스 공연을 보는 것을 좋아합니다.
杂交	교잡	과학자들은 교잡 벼를 연구합니다.
砸	박살나다	컵이 바닥에 떨어져 박살났습니다.
咋	왜	너는 왜 아직 돌아오지 않았니?
栽培	재배하다	정원사는 많은 꽃을 재배했습니다.
灾难	재난	재난 후 도시는 재건을 시작했습니다.
宰	도살하다	명절 때 마을 사람들은 양을 도살합니다.
再接再厉	계속 분발하다	수상 후 팀은 계속 분발했습니다.
在意	신경 쓰다	그녀는 다른 사람의 생각을 매우 신경 씁니다.
攒	모으다	그는 컴퓨터를 사려고 돈을 모읍니다.
暂且	잠시	이 문제는 잠시 내려놓읍시다.
赞叹	찬탄하다	관객들은 배우의 연기를 찬탄했습니다.
赞助	후원하다	기업은 이 경기를 후원했습니다.
糟蹋	낭비하다	이 신선한 음식을 낭비하지 마세요.
遭受	겪다	농지는 심각한 가뭄을 겪었습니다.
遭殃	화를 입다	다리가 무너져 근처 주민들이 화를 입었습니다.
遭遇	마주치다	그들은 도중에 눈보라를 만났습니다.
噪音	소음	공사 소음이 휴식에 영향을 줍니다.
造型	디자인	이 차의 디자인은 매우 독특합니다.
责怪	나무라다	아이를 무작정 나무라지 마세요.
贼	도둑	경찰은 그 도둑을 붙잡았습니다.
增添	더하다	꽃이 방에 색채를 더했습니다.
赠送	증정하다	가게는 작은 선물을 증정합니다.
扎	찌르다	간호사가 그에게 주사를 놓았습니다.
扎实	탄탄한	그의 문법 기초는 매우 탄탄합니다.
渣	찌꺼기	컵 바닥에 커피 찌꺼기가 남았습니다.
眨	깜박이다	그녀는 눈을 깜박였습니다.
诈骗	사기	경찰은 통신 사기 사건을 해결했습니다.
摘要	초록	논문 초록은 매우 명확하게 쓰였습니다.
债券	채권	투자자들은 정부 채권을 삽니다.
沾光	덕을 보다	나도 친구 덕을 보았습니다.
瞻仰	참배하다	관광객들은 영웅 기념비를 참배했습니다.
展示	전시하다	회사는 최신 제품을 전시했습니다.
展望	전망하다	보고서는 미래 추세를 전망합니다.
展现	보여 주다	작품은 농촌 생활을 보여 주었습니다.
崭新	새것의	그는 새 자전거를 샀습니다.
斩钉截铁	단호하게	그녀는 단호하게 거절했습니다.
占据	차지하다	광고가 전체 페이지를 차지했습니다.
占领	점령하다	군대가 산길 입구를 점령했습니다.
战斗	전투	전투는 세 시간 동안 계속되었습니다.
战略	전략	회사는 발전 전략을 조정했습니다.
战术	전술	코치는 경기 전술을 바꾸었습니다.
战役	전역	이 전역은 국면을 바꾸었습니다.
章程	규정	협회는 새 규정을 통과시켰습니다.
帐篷	텐트	그들은 호숫가에 텐트를 쳤습니다.
障碍	장애	언어 장벽은 의사소통에 영향을 줍니다.
招标	입찰을 공고하다	공사 프로젝트가 공개 입찰을 공고했습니다.
招收	모집하다	학교는 올해 신입생을 모집합니다.
朝气蓬勃	활기찬	젊은 팀은 활기가 넘칩니다.
着迷	푹 빠지다	아이는 천문학에 푹 빠져 있습니다.
沼泽	늪	탐험대는 늪을 지나갔습니다.
照样	그대로	비가 왔지만 훈련은 그대로 진행되었습니다.
照耀	비추다	햇빛이 광장을 비추고 있습니다.
折腾	뒤적거리다	이 낡은 컴퓨터를 더 이상 뒤적거리지 마세요.
遮挡	가리다	나뭇가지가 창문을 가렸습니다.
折	접다	그는 종이를 비행기로 접었습니다.
折磨	괴롭히다	오랜 불면증이 그녀를 괴롭혔습니다.
侦探	탐정	탐정은 중요한 단서를 발견했습니다.
斟酌	숙고하다	표현을 자세히 숙고해 주세요.
珍贵	귀중한	이 사진들은 매우 귀중합니다.
珍稀	희귀한	희귀 야생동물을 보호하세요.
珍珠	진주	그녀는 진주 귀걸이를 하고 있습니다.
真理	진리	실천은 진리를 검증합니다.
真相	진상	기자는 진상을 밝히려고 노력했습니다.
真挚	진지한	그녀는 진지한 감사를 표했습니다.
枕头	베개	이 베개는 너무 높습니다.
振奋	고무시키다	좋은 소식이 모두를 고무시켰습니다.
振兴	진흥시키다	정부는 농촌 진흥을 추진합니다.
镇定	침착한	위급한 때에도 그는 침착함을 유지했습니다.
镇静	진정하다	간호사는 환자에게 진정하라고 말했습니다.
阵地	진지	병사들은 진지를 지켰습니다.
阵容	라인업	팀은 선발 라인업을 발표했습니다.
震撼	큰 충격을 주다	이 영화는 매우 큰 충격을 줍니다.
震惊	놀라게 하다	그 소식은 전국을 놀라게 했습니다.
争端	분쟁	양측은 국경 분쟁을 해결하려고 했습니다.
争夺	다투다	두 회사는 시장 점유율을 다툽니다.
争气	기대에 부응하다	그는 가족의 기대에 부응하려고 열심히 공부합니다.
争先恐后	앞다투다	관광객들이 앞다투어 버스에 올랐습니다.
争议	논란	이 결정은 논란을 일으켰습니다.
征服	정복하다	등산가는 높은 봉우리를 정복했습니다.
征收	징수하다	정부는 법에 따라 세금을 징수합니다.
挣扎	몸부림치다	작은 새가 그물 속에서 몸부림쳤습니다.
正月	정월	정월에는 친척들이 서로 세배를 합니다.
蒸发	증발하다	수분이 빠르게 증발했습니다.
整顿	정비하다	회사는 관리를 정비하기 시작했습니다.
政策	정책	새 정책은 소기업을 지원합니다.
政权	정권	전쟁은 현지 정권을 바꾸었습니다.
正当	정당한	그는 정당한 요구를 제기했습니다.
正负	양수와 음수	계기는 양수와 음수 오차를 표시합니다.
正规	정규의	아이는 정규 학교에 들어가 공부했습니다.
正经	진지한	그는 마침내 진지하게 말하기 시작했습니다.
正气	정의로운 기풍	사회는 정의로운 기풍을 드높여야 합니다.
正义	정의	변호사는 정의를 위해 변호했습니다.
正宗	정통의	이 식당은 정통 쓰촨 요리를 팝니다.
症状	증상	발열은 흔한 증상입니다.
证实	확인하다	조사는 그의 말을 확인했습니다.
证书	증서	그녀는 전문 증서를 받았습니다.
郑重	엄숙한	그는 책임지겠다고 엄숙히 약속했습니다.
之际	즈음	춘절이 다가올 즈음 모두가 바쁩니다.
支撑	지탱하다	기둥들이 지붕을 지탱하고 있습니다.
支出	지출	가계 지출이 눈에 띄게 늘었습니다.
支流	지류	이 강은 양쯔강의 지류입니다.
支配	지배하다	감정이 판단을 지배해서는 안 됩니다.
支援	지원하다	각지의 의사들이 지원하러 왔습니다.
支柱	기둥	제조업은 현지 경제의 기둥입니다.
枝	가지	그녀는 꽃가지 하나를 꺾었습니다.
知觉	의식	부상자는 점차 의식을 회복했습니다.
知足常乐	만족할 줄 알면 즐겁다	노인은 늘 만족할 줄 알면 즐겁다고 말합니다.
脂肪	지방	견과류에는 건강한 지방이 들어 있습니다.
侄子	조카	내 조카는 올해 초등학교에 들어갔습니다.
值班	당직을 서다	간호사는 오늘 밤 당직을 섭니다.
执行	집행하다	법원은 판결을 집행했습니다.
执着	집요한	그는 이상에 매우 집요합니다.
殖民地	식민지	이 섬은 한때 식민지였습니다.
直播	생중계	경기는 오늘 밤 온라인으로 생중계됩니다.
直径	지름	이 원의 지름은 십 센티미터입니다.
职能	기능	부서 기능은 다시 나눌 필요가 있습니다.
职位	직위	그녀는 관리직에 지원했습니다.
职务	직무	그의 직무는 프로젝트 책임자입니다.
指标	지표	판매 지표는 이미 달성되었습니다.
指定	지정하다	선생님은 그를 지정해 질문에 답하게 했습니다.
指甲	손톱	그녀는 손톱을 짧게 잘랐습니다.
指令	명령	컴퓨터가 새 명령을 받았습니다.
指南针	나침반	등산가는 나침반을 가져갔습니다.
指示	지시	매니저는 명확한 지시를 내렸습니다.
指望	기대하다	다른 사람이 대신 끝내 주기를 기대하지 마세요.
指责	비난하다	대중은 기업의 환경 오염을 비난했습니다.
制裁	제재	국제사회는 경제 제재를 실시했습니다.
制服	제복	경비원은 짙은 파란색 제복을 입었습니다.
制约	제약하다	자금 부족이 발전을 제약합니다.
制止	제지하다	경찰은 충돌을 제때 제지했습니다.
志气	포부	젊은이는 포부가 있어야 합니다.
智力	지능	게임은 지능을 훈련할 수 있습니다.
智能	스마트한	스마트 기기가 점점 보급되고 있습니다.
智商	지능지수	지능지수가 모든 것을 결정할 수는 없습니다.
治安	치안	지역 치안이 눈에 띄게 개선되었습니다.
治理	관리하다	정부는 하천 관리를 강화했습니다.
滞留	체류하다	승객들은 폭설 때문에 공항에 발이 묶였습니다.
致辞	축사하다	교장은 의식에서 축사했습니다.
致力	힘쓰다	팀은 기술 혁신에 힘쓰고 있습니다.
致使	초래하다	관리 실수가 프로젝트 지연을 초래했습니다.
中断	중단되다	폭우로 통신이 중단되었습니다.
中立	중립	그 나라는 중립 입장을 유지합니다.
中央	중앙	분수는 광장 중앙에 있습니다.
忠诚	충성스러운	직원들은 회사에 매우 충성스럽습니다.
忠实	충실한	그는 이 신문의 충실한 독자입니다.
终点	종점	종점은 바로 앞에 있습니다.
终究	결국	문제는 결국 해결될 것입니다.
终身	평생	그는 평생 교육에 종사하기로 결정했습니다.
终止	종료하다	계약은 다음 달 말에 종료됩니다.
衷心	진심의	당신의 도움에 진심으로 감사합니다.
种子	씨앗	농민들은 새 씨앗을 뿌렸습니다.
种族	인종	법은 인종 차별을 금지합니다.
肿瘤	종양	의사는 양성 종양을 발견했습니다.
众所周知	모두가 알다시피	모두가 알다시피 물은 중요합니다.
种植	재배하다	이곳은 포도를 재배하기에 적합합니다.
重心	중심	업무 중심이 서비스로 옮겨갔습니다.
周边	주변	학교 주변 교통이 혼잡합니다.
周密	치밀한	그들은 치밀한 계획을 세웠습니다.
周年	주년	회사는 창립 십 주년을 기념했습니다.
周期	주기	제품 갱신 주기가 짧아졌습니다.
周折	우여곡절	수속을 처리하는 데 적지 않은 우여곡절을 겪었습니다.
周转	자금 회전	회사는 자금 회전에 어려움을 겪고 있습니다.
州	주	그는 미국 캘리포니아주에 삽니다.
粥	죽	환자는 아침에 죽을 먹었습니다.
舟	배	작은 배가 천천히 강가에 다가왔습니다.
昼夜	밤낮	노동자들은 밤낮으로 도로를 긴급 보수했습니다.
皱纹	주름	할머니 얼굴에는 주름이 많습니다.
株	그루	마당에 나무 세 그루를 심었습니다.
诸位	여러분	오늘 참석해 주신 여러분께 감사드립니다.
逐年	해마다	운영 비용이 해마다 오르고 있습니다.
主办	주최하다	학교는 예술제를 주최했습니다.
主导	주도하다	시장 수요가 제품 설계를 주도합니다.
主管	책임자	책임자가 예산 승인을 담당합니다.
主流	주류	환경 보호 이념이 주류가 되었습니다.
主权	주권	국가 주권은 존중받아야 합니다.
主义	주의	그는 여러 정치 사상을 연구합니다.
嘱咐	당부하다	어머니는 그에게 우산을 가져가라고 거듭 당부했습니다.
拄	짚다	노인은 지팡이를 짚고 걷습니다.
住宅	주택	이 지역은 대부분 주택입니다.
助理	조수	조수가 회의 자료를 정리했습니다.
助手	조수	로봇은 실험 조수입니다.
注射	주사하다	의사는 환자에게 약을 주사했습니다.
注视	응시하다	그녀는 먼 곳을 응시했습니다.
注释	주석	본문 옆에는 자세한 주석이 있습니다.
注重	중시하다	회사는 제품 품질을 중시합니다.
著作	저작	이 저작은 영향이 깊습니다.
铸造	주조하다	공장은 대형 부품을 주조합니다.
驻扎	주둔하다	부대는 국경에 주둔하고 있습니다.
拽	끌다	그는 상자를 방 안으로 끌고 들어갔습니다.
专长	전문 분야	데이터 분석은 그녀의 전문 분야입니다.
专程	일부러 가는 길	그는 선생님을 찾아뵈려고 일부러 왔습니다.
专利	특허	회사는 새 특허를 신청했습니다.
专题	특집	방송국은 환경 보호 특집을 내보냈습니다.
砖	벽돌	노동자들이 벽돌 한 수레를 가져왔습니다.
转达	전달하다	제 감사를 전달해 주세요.
转让	양도하다	그는 가게를 양도하기로 결정했습니다.
转移	옮기다	간호사는 부상자를 옮겼습니다.
转折	전환점	이야기에 큰 전환점이 나타났습니다.
传记	전기	그녀는 아버지의 전기를 쓰고 있습니다.
庄稼	농작물	빗물이 농작물을 적셨습니다.
庄严	장엄한	의식 분위기는 장엄했습니다.
庄重	점잖은	그는 점잖은 예복을 입었습니다.
装备	장비	그 팀은 첨단 장비를 갖추었습니다.
装卸	싣고 내리다	부두 노동자들은 화물을 싣고 내리는 일을 맡습니다.
壮观	장관인	폭포 경치는 매우 장관입니다.
壮丽	웅장한	이곳에는 웅장한 산하가 있습니다.
壮烈	장렬한	영웅은 장렬하게 희생되었습니다.
幢	채	길모퉁이에 오래된 집 한 채가 있습니다.
追悼	추도	사람들은 추도식에 참석했습니다.
追究	추궁하다	회사는 책임을 추궁할 것입니다.
坠	떨어지다	나뭇잎이 가지에서 떨어졌습니다.
准则	준칙	성실은 협력의 준칙입니다.
卓越	탁월한	그녀는 탁월한 성과를 거두었습니다.
琢磨	곰곰이 생각하다	그는 이 문제를 반복해서 곰곰이 생각했습니다.
着手	착수하다	팀은 내일 조사에 착수할 것입니다.
着想	생각해 주다	부모는 늘 아이를 생각해 줍니다.
着重	중점적으로 다루다	보고서는 비용 분석을 중점적으로 다룹니다.
姿态	자세	그녀는 겸손한 자세를 유지했습니다.
滋润	촉촉하게 하다	봄비가 땅을 촉촉하게 했습니다.
滋味	맛	실패의 맛은 견디기 어렵습니다.
资本	자본	창업에는 일정한 자본이 필요합니다.
资产	자산	회사의 자산은 계속 증가하고 있습니다.
资深	경력이 깊은	경력이 깊은 변호사가 이 사건을 처리했습니다.
资助	지원하다	재단은 가난한 학생들을 지원합니다.
子弹	총알	총알이 벽에 맞았습니다.
自卑	열등감을 느끼다	그는 더 이상 열등감을 느끼지 않습니다.
自发	자발적인	주민들은 자발적으로 거리를 청소했습니다.
自力更生	자력갱생	마을 사람들은 자력갱생을 고수합니다.
自满	자만하다	성공한 뒤에도 자만해서는 안 됩니다.
自主	자주적인	학생은 자주 학습 능력을 길러야 합니다.
宗教	종교	그는 세계 종교를 연구합니다.
宗旨	취지	기관의 취지는 지역사회에 봉사하는 것입니다.
棕色	갈색	그녀는 갈색 가죽 신발을 샀습니다.
踪迹	흔적	경찰은 용의자의 흔적을 발견했습니다.
总而言之	한마디로	한마디로 계획은 실행 가능합니다.
总和	총합	이익은 총수입과 비용의 차이입니다.
纵横	종횡으로	강들이 평원에서 종횡으로 교차합니다.
走廊	복도	아이들은 복도에 줄을 섰습니다.
走漏	새어 나가다	소식이 밖으로 새어 나가면 안 됩니다.
走私	밀수하다	세관은 밀수품을 압수했습니다.
揍	때리다	그는 몇 명의 취객에게 맞았습니다.
租赁	임대하다	회사는 새 사무실을 임대했습니다.
足以	충분하다	이 증거들은 문제를 설명하기에 충분합니다.
祖父	할아버지	할아버지는 옛이야기 하기를 좋아합니다.
祖国	조국	그는 조국을 깊이 사랑합니다.
祖先	조상	그들은 자신의 조상을 제사 지냈습니다.
阻碍	방해하다	자금 부족이 프로젝트 진행을 방해합니다.
阻拦	막다	경비원은 낯선 사람이 들어가는 것을 막았습니다.
阻挠	저지하다	누군가 고의로 조사를 저지했습니다.
钻研	깊이 연구하다	그녀는 고대 문학을 깊이 연구합니다.
钻石	다이아몬드	반지에는 다이아몬드가 박혀 있습니다.
嘴唇	입술	찬바람이 입술을 갈라지게 했습니다.
罪犯	범죄자	경찰은 도망친 범죄자를 체포했습니다.
尊严	존엄	모든 사람은 존엄을 가져야 합니다.
遵循	따르다	의사는 엄격한 기준을 따릅니다.
作弊	부정행위를 하다	시험에서 부정행위를 하면 처벌받습니다.
作废	무효가 되다	낡은 표는 이미 무효가 되었습니다.
作风	작풍	지도자의 작풍은 실무적입니다.
作息	생활 리듬	규칙적인 생활 리듬은 건강에 이롭습니다.
做主	결정하다	이 일은 네가 결정해라.
座右铭	좌우명	그의 좌우명은 절대 포기하지 않는 것입니다.
