simplified	PL	example_PL
侦探	detektyw	Detektyw znalazł kluczowy ślad
斟酌	rozważać	Proszę starannie rozważyć dobór słów
珍贵	cenny	Te zdjęcia są bardzo cenne
珍稀	rzadki	Chrońmy rzadkie dzikie zwierzęta
珍珠	perła	Ona nosi kolczyki z pereł
真理	prawda	Praktyka sprawdza prawdę
真相	fakty	Reporter starał się ustalić fakty
真挚	szczery	Wyraziła szczere podziękowania
枕头	poduszka	Ta poduszka jest zbyt wysoka
振奋	podnosić na duchu	Dobra wiadomość podniosła wszystkich na duchu
振兴	odnowa	Rząd wspiera odnowę wsi
镇定	opanowany	W kryzysie zachował opanowanie
镇静	spokój	Pielęgniarka kazała pacjentowi zachować spokój
阵地	pozycja	Żołnierze utrzymali pozycję
阵容	skład	Drużyna ogłosiła wyjściowy skład
震撼	wstrząsający	Ten film jest bardzo wstrząsający
震惊	wstrząsnąć	Wiadomość wstrząsnęła całym krajem
争端	spór	Obie strony próbowały rozwiązać spór graniczny
争夺	rywalizować	Dwie firmy rywalizują o udział w rynku
争气	nie zawieść	Pracuje pilnie, żeby nie zawieść rodziny
争先恐后	wyrywać się do przodu	Turyści wyrywali się do wejścia do autobusu
争议	kontrowersja	Ta decyzja wywołała kontrowersję
征服	pokonać	Wspinacz pokonał wysoki szczyt
征收	pobierać	Rząd zgodnie z prawem pobiera podatki
挣扎	szmotać się	Ptak szamotał się w sieci
正月	pierwszy miesiąc księżycowy	W pierwszym miesiącu księżycowym krewni składają sobie wizyty
蒸发	parować	Woda szybko wyparowała
整顿	reorganizować	Firma zaczęła reorganizować zarządzanie
政策	polityka	Nowa polityka wspiera małe firmy
政权	władza polityczna	Wojna zmieniła lokalną władzę polityczną
正当	uzasadniony	Przedstawił uzasadnione żądanie
正负	dodatni i ujemny	Miernik pokazuje odchylenie dodatnie i ujemne
正规	formalny	Dziecko rozpoczęło naukę w formalnej szkole
正经	poważny	W końcu zaczął mówić poważnie
正气	prawość	Społeczeństwo powinno szerzyć prawość
正义	sprawiedliwość	Adwokat bronił sprawiedliwości
正宗	autentyczny	Ta restauracja sprzedaje autentyczną kuchnię syczuańską
症状	objaw	Gorączka jest częstym objawem
证实	potwierdzić	Dochodzenie potwierdziło jego słowa
证书	certyfikat	Otrzymała certyfikat zawodowy
郑重	uroczysty	Uroczyście obiecał wziąć odpowiedzialność
之际	w chwili	W chwili nadejścia Święta Wiosny wszyscy są zajęci
支撑	podpierać	Filary podpierają dach
支出	wydatki	Wydatki domowe wyraźnie wzrosły
支流	dopływ	Ta rzeka jest dopływem Jangcy
支配	dominować	Emocje nie powinny dominować nad oceną
支援	wspierać	Lekarze z wielu miejsc przyjechali wspierać akcję
支柱	filar	Produkcja jest filarem lokalnej gospodarki
枝	gałązka	Zerwała gałązkę kwiatów
知觉	przytomność	Ranny stopniowo odzyskał przytomność
知足常乐	zadowolenie daje szczęście	Starszy człowiek często mówi, że zadowolenie daje szczęście
脂肪	tłuszcz	Orzechy zawierają zdrowe tłuszcze
侄子	bratanek	Mój bratanek poszedł w tym roku do szkoły podstawowej
值班	pełnić dyżur	Pielęgniarka pełni dziś nocny dyżur
执行	wykonać	Sąd wykonał wyrok
执着	wytrwały	On jest bardzo wytrwały w dążeniu do ideałów
殖民地	kolonia	Ta wyspa była kiedyś kolonią
直播	transmisja na żywo	Mecz będzie dziś transmitowany na żywo w internecie
直径	średnica	Średnica tego koła wynosi dziesięć centymetrów
职能	funkcja	Funkcje działu trzeba podzielić na nowo
职位	stanowisko	Zgłosiła się na stanowisko kierownicze
职务	funkcja służbowa	Jego funkcją służbową jest kierowanie projektem
指标	wskaźnik	Cel sprzedażowy został już osiągnięty
指定	wyznaczyć	Nauczyciel wyznaczył go do odpowiedzi
指甲	paznokieć	Obcięła krótko paznokcie
指令	polecenie	Komputer otrzymał nowe polecenie
指南针	kompas	Wspinacz zabrał kompas
指示	instrukcja	Kierownik podał jasne instrukcje
指望	liczyć na	Nie licz na innych, że zrobią to za ciebie
指责	oskarżać	Opinia publiczna oskarża firmę o zanieczyszczanie środowiska
制裁	sankcje	Społeczność międzynarodowa nałożyła sankcje gospodarcze
制服	mundur	Ochroniarz miał ciemnoniebieski mundur
制约	ograniczać	Niedostatek środków ogranicza rozwój
制止	powstrzymać	Policja w porę powstrzymała konflikt
志气	ambicja	Młodzi ludzie powinni mieć ambicję
智力	inteligencja	Gry mogą rozwijać inteligencję
智能	inteligentny	Inteligentne urządzenia stają się coraz powszechniejsze
智商	iloraz inteligencji	Iloraz inteligencji nie decyduje o wszystkim
治安	bezpieczeństwo publiczne	Bezpieczeństwo publiczne w dzielnicy wyraźnie się poprawiło
治理	zarządzać	Rząd wzmocnił zarządzanie rzekami
滞留	utknąć	Pasażerowie utknęli na lotnisku z powodu śnieżycy
致辞	wygłosić przemówienie	Dyrektor wygłosił przemówienie na ceremonii
致力	poświęcać się	Zespół poświęca się innowacjom technologicznym
致使	spowodować	Błędy w zarządzaniu spowodowały opóźnienie projektu
中断	przerwać	Ulewa spowodowała przerwanie łączności
中立	neutralny	Ten kraj utrzymuje neutralne stanowisko
中央	środek	Fontanna znajduje się na środku placu
忠诚	lojalny	Pracownicy są lojalni wobec firmy
忠实	wierny	Jest wiernym czytelnikiem tej gazety
终点	meta	Meta jest tuż przed nami
终究	ostatecznie	Problem ostatecznie zostanie rozwiązany
终身	przez całe życie	Zdecydował się pracować w edukacji przez całe życie
终止	zakończyć	Umowa zakończy się pod koniec przyszłego miesiąca
衷心	serdeczny	Serdecznie dziękuję za pomoc
种子	nasiono	Rolnicy zasiali nowe nasiona
种族	rasa	Prawo zakazuje dyskryminacji rasowej
肿瘤	guz	Lekarz znalazł łagodny guz
众所周知	jak wiadomo	Jak wiadomo, woda jest bardzo ważna
种植	uprawiać	To miejsce nadaje się do uprawy winogron
重心	główny punkt	Główny punkt pracy przesunął się ku usługom
周边	okolica	W okolicy szkoły ruch jest zatłoczony
周密	dokładny	Przygotowali dokładny plan
周年	rocznica	Firma świętowała dziesiątą rocznicę założenia
周期	cykl	Cykl aktualizacji produktu się skrócił
周折	komplikacje	Załatwianie formalności miało wiele komplikacji
周转	obieg środków	Firma ma trudności z obiegiem środków
州	stan	On mieszka w Kalifornii w Stanach Zjednoczonych
粥	kleik	Chory rano zjadł kleik
舟	łódź	Mała łódź powoli zbliżyła się do brzegu
昼夜	dzień i noc	Robotnicy naprawiali drogę dzień i noc
皱纹	zmarszczka	Babcia ma na twarzy wiele zmarszczek
株	sadzonka	Na podwórku posadzono trzy drzewa
诸位	szanowni państwo	Dziękuję państwu za dzisiejszą obecność
逐年	z roku na rok	Koszty operacyjne rosną z roku na rok
主办	organizować	Szkoła zorganizowała festiwal sztuki
主导	kierować	Popyt rynkowy kieruje projektowaniem produktu
主管	przełożony	Przełożony odpowiada za zatwierdzanie budżetu
主流	główny nurt	Idee ekologiczne stały się głównym nurtem
主权	suwerenność	Suwerenność państwa musi być szanowana
主义	ideologia	On bada różne ideologie polityczne
嘱咐	przypominać	Matka wielokrotnie przypominała mu, żeby wziął parasol
拄	podpierać się	Starszy człowiek idzie, podpierając się laską
住宅	budynek mieszkalny	Ten obszar jest głównie mieszkalny
助理	asystent	Asystent uporządkował materiały ze spotkania
助手	pomocnik	Robot jest pomocnikiem laboratoryjnym
注射	zastrzyk	Lekarz podał pacjentowi zastrzyk
注视	wpatrywać się	Wpatrywała się w dal
注释	przypis	Obok tekstu są szczegółowe przypisy
注重	przykładać wagę	Firma przykłada wagę do jakości produktu
著作	dzieło	To dzieło ma dalekosiężny wpływ
铸造	odlewać	Fabryka odlewa duże części
驻扎	stacjonować	Oddziały stacjonują przy granicy
拽	ciągnąć	Wciągnął pudło do pokoju
专长	specjalność	Analiza danych jest jej specjalnością
专程	specjalnie przyjechać	Specjalnie przyjechał odwiedzić nauczyciela
专利	ochrona patentowa	Firma złożyła wniosek o nową ochronę patentową
专题	temat specjalny	Telewizja nadała program specjalny o ochronie środowiska
砖	cegła	Robotnicy przywieźli wóz cegieł
转达	przekazać	Proszę przekazać moje podziękowania
转让	odstąpić	Zdecydował się odstąpić sklep
转移	przenieść	Pielęgniarka przeniosła rannych
转折	punkt zwrotny	W historii pojawił się ważny punkt zwrotny
传记	biografia	Ona pisze biografię ojca
庄稼	plony	Deszcz nawodnił plony
庄严	uroczysty	Atmosfera ceremonii była uroczysta
庄重	dostojny	Miał na sobie dostojny strój formalny
装备	wyposażenie	Zespół ma zaawansowane wyposażenie
装卸	załadunek i rozładunek	Pracownicy portu odpowiadają za załadunek i rozładunek towarów
壮观	spektakularny	Widok wodospadu jest bardzo spektakularny
壮丽	wspaniały	Tutaj są wspaniałe góry i rzeki
壮烈	bohaterski	Bohater zginął bohatersko
幢	budynek	Na rogu stoi stary budynek
追悼	żałobny	Ludzie uczestniczyli w ceremonii żałobnej
追究	dochodzić odpowiedzialności	Firma będzie dochodzić odpowiedzialności
坠	spadać	Liście spadały z gałęzi
准则	zasada	Uczciwość jest zasadą współpracy
卓越	wybitny	Osiągnęła wybitne wyniki
琢磨	rozmyślać	On wielokrotnie rozmyślał nad tym problemem
着手	zabrać się do czegoś	Zespół jutro zabierze się do śledztwa
着想	brać pod uwagę	Rodzice zawsze biorą pod uwagę dobro dzieci
着重	kłaść nacisk	Raport kładzie nacisk na analizę kosztów
姿态	postawa	Zachowała skromną postawę
滋润	nawilżać	Wiosenny deszcz nawilżył ziemię
滋味	uczucie	Uczucie porażki trudno znieść
资本	kapitał	Rozpoczęcie biznesu wymaga pewnego kapitału
资产	aktywa	Aktywa firmy nadal rosną
资深	doświadczony	Doświadczony prawnik zajął się tą sprawą
资助	wspierać finansowo	Fundacja wspiera finansowo ubogich studentów
子弹	kula	Kula trafiła w ścianę
自卑	poczucie niższości	On nie czuje już poczucia niższości
自发	spontaniczny	Mieszkańcy spontanicznie posprzątali ulicę
自力更生	samowystarczalność	Mieszkańcy wsi trzymają się samowystarczalności
自满	samozadowolenie	Po sukcesie nie wolno popadać w samozadowolenie
自主	samodzielny	Uczniowie muszą rozwijać samodzielną naukę
宗教	religia	On bada religie świata
宗旨	cel	Celem organizacji jest służenie społeczności
棕色	brązowy	Kupiła brązowe skórzane buty
踪迹	ślad	Policja znalazła ślady podejrzanego
总而言之	krótko mówiąc	Krótko mówiąc, plan jest wykonalny
总和	suma	Zysk to różnica między sumą przychodów i kosztów
纵横	przecinać się	Rzeki przecinają się na równinie
走廊	korytarz	Dzieci ustawiły się w kolejce na korytarzu
走漏	wyciec	Wiadomość nie może wyciec
走私	przemyt	Celnicy zatrzymali towary z przemytu
揍	pobić	Został pobity przez kilku pijanych mężczyzn
租赁	wynająć	Firma wynajęła nowe biuro
足以	wystarczający	Te dowody są wystarczające do wyjaśnienia problemu
祖父	dziadek	Dziadek lubi opowiadać dawne historie
祖国	ojczyzna	On głęboko kocha ojczyznę
祖先	przodkowie	Oddają cześć swoim przodkom
阻碍	hamować	Brak funduszy hamuje postęp projektu
阻拦	zatrzymać	Ochroniarz zatrzymał obcych przy wejściu
阻挠	utrudniać	Ktoś celowo utrudniał dochodzenie
钻研	zgłębiać	Ona zgłębia literaturę starożytną
钻石	diament	W pierścionku osadzono diament
嘴唇	warga	Zimny wiatr popękał wargi
罪犯	przestępca	Policja aresztowała zbiegłego przestępcę
尊严	godność	Każdy powinien mieć godność
遵循	przestrzegać	Lekarze przestrzegają surowych standardów
作弊	oszukiwać	Oszukiwanie na egzaminie będzie ukarane
作废	unieważnić	Stary bilet został już unieważniony
作风	styl pracy	Styl pracy lidera jest praktyczny
作息	rytm pracy i odpoczynku	Regularny rytm pracy i odpoczynku służy zdrowiu
做主	podjąć decyzję	W tej sprawie ty podejmujesz decyzję
座右铭	motto	Jego motto brzmi, żeby nigdy się nie poddawać
