simplified	DA	example_DA	FI	example_FI	CS	example_CS	SK	example_SK
主意	en idé; en plan	Hvis du har en god idé, så lad os høre den.	idea; suunnitelma	Jos sinulla on hyvä idea, kerro se.	nápad; plán	Máš-li dobrý nápad, řekni nám ho.	nápad; plán	Ak máš dobrý nápad, povedz nám ho.
祝贺	at lykønske; tillykke	Tillykke med de gode resultater.	onnitella; onnittelut	Onnittelut hyvistä tuloksista.	gratulovat; blahopřání	Blahopřeji vám k dobrým výsledkům.	gratulovať; blahoželanie	Blahoželám vám k dobrým výsledkom.
著名	berømt; kendt	Han er en berømt skuespiller.	kuuluisa	Hän on kuuluisa näyttelijä.	slavný; známý	Je slavný herec.	slávny; známy	Je slávny herec.
专门	specielt; særligt	Jeg kom specielt for at se dig.	erikseen; erityisesti	Tulin erityisesti tapaamaan sinua.	speciálně; zvlášť	Přišel jsem speciálně za tebou.	špeciálne; zvlášť	Prišiel som špeciálne za tebou.
专业	en studieretning; et fagområde	Jeg studerer jura på universitetet.	pääaine; ala	Opiskelen yliopistossa oikeustiedettä.	obor; specializace	Na univerzitě studuji právo.	odbor; špecializácia	Na univerzite študujem právo.
转	at dreje	Drej til venstre i det første kryds foran dig, så kan du se hospitalet.	kääntyä	Käänny vasemmalle ensimmäisestä risteyksestä edessä, niin näet sairaalan.	otočit; zahnout	Na první křižovatce před tebou zahni doleva a uvidíš nemocnici.	otočiť; odbočiť	Na prvej križovatke pred tebou odboč doľava a uvidíš nemocnicu.
赚	at tjene; at tjene penge	Han tjente en hel del penge på forretning.	ansaita; tehdä voittoa	Hän ansaitsi liiketoiminnalla melko paljon rahaa.	vydělat; mít zisk	Podnikáním vydělal hodně peněz.	zarobiť; mať zisk	Podnikaním zarobil veľa peňazí.
准确	præcis; nøjagtig	Dit svar er meget præcist.	tarkka; täsmällinen	Vastauksesi on erittäin tarkka.	přesný	Tvoje odpověď je velmi přesná.	presný	Tvoja odpoveď je veľmi presná.
准时	til tiden; punktlig	Mødet begyndte til tiden.	ajoissa; täsmällinen	Kokous alkoi ajoissa.	včas; dochvilný	Schůze začala včas.	načas; dochvíľny	Porada sa začala načas.
仔细	omhyggelig; opmærksom	Hun gør tingene meget omhyggeligt.	huolellinen; tarkka	Hän tekee asiat erittäin huolellisesti.	pečlivý; pozorný	Dělá věci velmi pečlivě.	starostlivý; pozorný	Robí veci veľmi starostlivo.
自然	natur; naturlig	Vi skal beskytte det naturlige miljø.	luonto; luonnollinen	Meidän täytyy suojella luonnonympäristöä.	příroda; přírodní	Musíme chránit přírodní prostředí.	príroda; prírodný	Musíme chrániť prírodné prostredie.
自信	selvtillid; selvsikker	Han er meget selvsikker og kan lide at konkurrere med andre.	itsevarmuus; itsevarma	Hän on hyvin itsevarma ja pitää muiden kanssa kilpailemisesta.	sebedůvěra; sebevědomý	Je velmi sebevědomý a rád soutěží s ostatními.	sebavedomie; sebavedomý	Je veľmi sebavedomý a rád súťaží s ostatnými.
总结	at opsummere; en opsummering	Opsummer venligst Deres erfaringer med succes for os.	tiivistää; yhteenveto	Tiivistäkää meille onnistumisen kokemuksenne.	shrnout; shrnutí	Prosím, shrňte pro nás své zkušenosti s úspěchem.	zhrnúť; zhrnutie	Prosím, zhrňte pre nás svoje skúsenosti s úspechom.
租	at leje	Jeg lejede en bolig tæt på firmaet.	vuokrata	Vuokrasin asunnon yrityksen läheltä.	pronajmout si; pronajímat	Pronajal jsem si byt blízko firmy.	prenajať si; prenajímať	Prenajal som si byt blízko firmy.
最好	bedst	Hun er min bedste ven.	paras	Hän on paras ystäväni.	nejlepší	Je moje nejlepší přítelkyně.	najlepší	Je moja najlepšia priateľka.
尊重	at respektere; respekt	Ærlige mennesker fortjener vores respekt.	kunnioittaa; kunnioitus	Rehelliset ihmiset ansaitsevat kunnioituksemme.	respektovat; respekt	Čestní lidé si zaslouží naši úctu.	rešpektovať; úcta	Čestní ľudia si zaslúžia našu úctu.
左右	omkring; cirka	Han ser ud til at være omkring fyrre år gammel.	noin; suunnilleen	Hän näyttää noin nelikymppiseltä.	asi; přibližně	Vypadá asi na čtyřicet let.	asi; približne	Vyzerá asi na štyridsať rokov.
作家	en forfatter	Har du læst denne forfatters roman?	kirjailija	Oletko lukenut tämän kirjailijan romaanin?	spisovatel; spisovatelka	Četl jsi román tohoto spisovatele?	spisovateľ; spisovateľka	Čítal si román tohto spisovateľa?
作用	en virkning; en funktion	Denne forkølelsesmedicin har ikke rigtig nogen virkning på mig.	vaikutus; tehtävä	Tällä flunssalääkkeellä ei ole minuun juuri mitään vaikutusta.	účinek; funkce	Tento lék na nachlazení na mě moc nepůsobí.	účinok; funkcia	Tento liek na prechladnutie na mňa veľmi nepôsobí.
作者	en forfatter	Forfatteren til denne bog er meget berømt.	tekijä; kirjailija	Tämän kirjan kirjoittaja on hyvin kuuluisa.	autor	Autor této knihy je velmi známý.	autor	Autor tejto knihy je veľmi známy.
座	måleord for bygninger og broer	Der er en lille bro over floden.	luokittelusana rakennuksille ja silloille	Joen yli on pieni silta.	kus pro budovy a mosty	Přes řeku vede malý most.	kus pre budovy a mosty	Cez rieku vedie malý most.
座位	en siddeplads	Han gav sin plads til en ældre person.	istumapaikka	Hän luovutti paikkansa vanhalle ihmiselle.	sedadlo; místo k sezení	Uvolnil své místo staršímu člověku.	sedadlo; miesto na sedenie	Uvoľnil svoje miesto staršiemu človeku.
