simplified	MS	example_MS
遭受	mengalami	Ladang mengalami kemarau yang teruk
遭殃	menderita	Apabila jambatan runtuh, penduduk berhampiran menderita
遭遇	menghadapi	Mereka menghadapi ribut salji dalam perjalanan
噪音	bunyi bising	Bunyi bising pembinaan menjejaskan rehat
造型	reka bentuk	Reka bentuk kereta ini sangat tersendiri
责怪	menyalahkan	Tolong jangan selalu menyalahkan anak
贼	pencuri	Polis menangkap pencuri itu
增添	menambah	Bunga segar menambah warna pada bilik
赠送	memberi hadiah	Kedai memberi hadiah kecil
扎	menyuntik	Jururawat menyuntiknya sekali
扎实	kukuh	Asas tatabahasanya sangat kukuh
渣	serdak	Serdak kopi tertinggal di dasar cawan
眨	berkelip	Dia mengelipkan mata
诈骗	penipuan	Polis membongkar kes penipuan telekomunikasi
摘要	abstrak	Abstrak makalah ditulis dengan sangat jelas
债券	bon	Pelabur membeli bon kerajaan
沾光	menumpang manfaat	Saya juga menumpang manfaat melalui kawan
瞻仰	memberi penghormatan	Pelancong memberi penghormatan di tugu pahlawan
展示	mempamerkan	Syarikat mempamerkan produk terbaharu
展望	tinjauan	Laporan itu meninjau trend masa depan
展现	menunjukkan	Karya itu menunjukkan kehidupan desa
崭新	baharu	Dia membeli sebuah basikal baharu
斩钉截铁	dengan tegas	Dia menolak dengan tegas
占据	menduduki	Iklan menduduki seluruh halaman
占领	menawan	Tentera menawan laluan gunung
战斗	pertempuran	Pertempuran berlangsung selama tiga jam
战略	strategi	Syarikat menyesuaikan strategi pembangunan
战术	taktik	Jurulatih mengubah taktik perlawanan
战役	kempen ketenteraan	Kempen ketenteraan ini mengubah keadaan
章程	peraturan	Persatuan meluluskan peraturan baharu
帐篷	khemah	Mereka mendirikan khemah di tepi tasik
障碍	halangan	Halangan bahasa menjejaskan komunikasi
招标	membuka tender	Projek kejuruteraan membuka tender awam
招收	mengambil	Sekolah mengambil pelajar baharu tahun ini
朝气蓬勃	penuh tenaga	Pasukan muda itu penuh tenaga
着迷	terpesona	Anak itu terpesona dengan astronomi
沼泽	paya	Pasukan ekspedisi melintasi paya
照样	seperti biasa	Hujan turun, tetapi latihan tetap berjalan seperti biasa
照耀	menyinari	Cahaya matahari menyinari dataran
折腾	mengusik-usik	Jangan lagi mengusik-usik komputer lama ini
遮挡	menghalang	Dahan pokok menghalang tingkap
折	melipat	Dia melipat kertas menjadi kapal terbang
折磨	menyeksa	Insomnia jangka panjang menyeksanya
侦探	detektif	Detektif menemukan petunjuk penting
斟酌	menimbang	Sila timbang pilihan kata dengan teliti
珍贵	berharga	Foto-foto ini sangat berharga
珍稀	jarang dan berharga	Lindungi haiwan liar yang jarang dan berharga
珍珠	mutiara	Dia memakai anting-anting mutiara
真理	kebenaran	Amalan menguji kebenaran
真相	kebenaran sebenar	Wartawan berusaha menyiasat kebenaran sebenar
真挚	ikhlas	Dia menyampaikan ucapan terima kasih yang ikhlas
枕头	bantal	Bantal ini terlalu tinggi
振奋	menaikkan semangat	Berita baik itu menaikkan semangat semua orang
振兴	memulihkan	Kerajaan mendorong pemulihan desa
镇定	tenang	Dalam keadaan genting dia tetap tenang
镇静	tenang	Jururawat meminta pesakit kekal tenang
阵地	kedudukan	Askar mempertahankan kedudukan itu
阵容	barisan	Pasukan mengumumkan barisan utama
震撼	mengagumkan	Filem ini sangat mengagumkan
震惊	mengejutkan	Berita itu mengejutkan seluruh negara
争端	pertikaian	Kedua-dua pihak cuba menyelesaikan pertikaian sempadan
争夺	merebut	Dua syarikat merebut bahagian pasaran
争气	membanggakan	Dia belajar bersungguh-sungguh untuk membanggakan keluarganya
争先恐后	berebut-rebut	Pelancong berebut-rebut menaiki bas
争议	kontroversi	Keputusan ini menimbulkan kontroversi
征服	menakluki	Pendaki menakluki puncak tinggi
征收	memungut	Kerajaan memungut cukai mengikut undang-undang
挣扎	meronta	Burung kecil meronta dalam jaring
正月	bulan pertama lunar	Pada bulan pertama lunar, saudara-mara saling berkunjung
蒸发	menyejat	Kelembapan cepat menyejat
整顿	menyusun semula	Syarikat mula menyusun semula pengurusan
政策	dasar	Dasar baharu menyokong perniagaan kecil
政权	kuasa politik	Perang mengubah kuasa politik tempatan
正当	wajar	Dia mengemukakan tuntutan yang wajar
正负	positif dan negatif	Alat itu menunjukkan ralat positif dan negatif
正规	formal	Anak itu memasuki sekolah formal untuk belajar
正经	serius	Akhirnya dia mula bercakap dengan serius
正气	semangat kebenaran	Masyarakat perlu mengembangkan semangat kebenaran
正义	keadilan	Peguam membela keadilan
正宗	asli	Restoran ini menjual masakan Sichuan asli
症状	gejala	Demam ialah gejala biasa
证实	mengesahkan	Siasatan mengesahkan kenyataannya
证书	sijil	Dia memperoleh sijil profesional
郑重	dengan sungguh-sungguh	Dia berjanji dengan sungguh-sungguh akan bertanggungjawab
之际	menjelang	Menjelang Tahun Baru Cina, semua orang sangat sibuk
支撑	menyokong	Tiang menyokong bumbung
支出	perbelanjaan	Perbelanjaan keluarga meningkat dengan ketara
支流	anak sungai	Sungai ini ialah anak sungai Yangtze
支配	menguasai	Emosi tidak sepatutnya menguasai pertimbangan
支援	menyokong	Doktor dari pelbagai tempat datang menyokong
支柱	tonggak	Pembuatan ialah tonggak ekonomi tempatan
枝	dahan	Dia mematahkan sedahan bunga
知觉	kesedaran	Orang yang cedera beransur-ansur pulih kesedarannya
知足常乐	puas hati membawa bahagia	Orang tua itu sering berkata puas hati membawa bahagia
脂肪	lemak badan	Kacang mengandungi lemak yang sihat
侄子	anak saudara lelaki	Anak saudara lelaki saya mula bersekolah rendah tahun ini
值班	bertugas	Jururawat bertugas malam ini
执行	melaksanakan	Mahkamah melaksanakan keputusan itu
执着	gigih	Dia sangat gigih terhadap cita-citanya
殖民地	tanah jajahan	Pulau ini pernah menjadi tanah jajahan
直播	siaran langsung	Perlawanan malam ini disiarkan langsung dalam talian
直径	diameter	Diameter bulatan ini sepuluh sentimeter
职能	fungsi	Fungsi jabatan perlu dibahagikan semula
职位	jawatan	Dia memohon jawatan pengurusan
职务	tugas	Tugasnya ialah penyelia projek
指标	sasaran	Sasaran jualan sudah dicapai
指定	menetapkan	Guru menetapkan dia untuk menjawab soalan
指甲	kuku	Dia memotong kukunya pendek
指令	arahan	Komputer menerima arahan baharu
指南针	kompas	Pendaki membawa kompas
指示	arahan	Pengurus memberi arahan yang jelas
指望	berharap	Jangan berharap orang lain menyelesaikannya untuk kamu
指责	mengecam	Orang ramai mengecam syarikat kerana mencemarkan alam sekitar
制裁	sekatan	Masyarakat antarabangsa mengenakan sekatan ekonomi
制服	seragam	Pengawal memakai seragam biru gelap
制约	mengekang	Kekurangan dana mengekang pembangunan
制止	menghentikan	Polis menghentikan konflik tepat pada masanya
志气	semangat cita-cita	Orang muda harus mempunyai semangat cita-cita
智力	kecerdasan	Permainan boleh melatih kecerdasan
智能	pintar	Peranti pintar semakin meluas digunakan
智商	IQ	IQ tidak boleh menentukan segalanya
治安	keselamatan awam	Keselamatan awam komuniti jelas bertambah baik
治理	mengurus	Kerajaan memperkukuh pengurusan sungai
滞留	terkandas	Penumpang terkandas di lapangan terbang kerana salji lebat
致辞	berucap	Pengetua berucap dalam majlis itu
致力	menumpukan usaha	Pasukan menumpukan usaha kepada inovasi teknologi
致使	menyebabkan	Kesilapan pengurusan menyebabkan projek tertunda
中断	terputus	Hujan lebat menyebabkan komunikasi terputus
中立	berkecuali	Negara itu mengekalkan pendirian berkecuali
中央	tengah	Pancuran air terletak di tengah dataran
忠诚	setia	Pekerja sangat setia kepada syarikat
忠实	setia	Dia ialah pembaca setia akhbar ini
终点	garisan penamat	Garisan penamat berada di hadapan
终究	akhirnya	Masalah akhirnya akan diselesaikan
终身	seumur hidup	Dia memutuskan untuk bekerja dalam pendidikan seumur hidup
终止	tamat	Kontrak tamat pada akhir bulan depan
衷心	ikhlas	Saya ikhlas berterima kasih atas bantuan kamu
种子	benih	Petani menabur benih baharu
种族	kaum	Undang-undang melarang diskriminasi kaum
肿瘤	tumor	Doktor menemukan tumor jinak
众所周知	seperti semua orang tahu	Seperti semua orang tahu, air sangat penting
种植	menanam	Tempat ini sesuai untuk menanam anggur
重心	tumpuan	Tumpuan kerja beralih kepada perkhidmatan
周边	sekitar	Lalu lintas sekitar sekolah sesak
周密	teliti	Mereka menyusun rancangan yang teliti
周年	ulang tahun	Syarikat meraikan ulang tahun kesepuluh penubuhannya
周期	kitaran	Kitaran kemas kini produk menjadi lebih pendek
周折	liku-liku	Mengurus prosedur itu melalui banyak liku-liku
周转	aliran tunai	Syarikat menghadapi kesukaran aliran tunai
州	negeri	Dia tinggal di negeri California di Amerika Syarikat
粥	bubur	Pesakit makan bubur pada waktu pagi
舟	perahu	Perahu kecil perlahan-lahan menghampiri tebing
昼夜	siang dan malam	Pekerja membaiki jalan siang dan malam
皱纹	kedut	Nenek mempunyai banyak kedut di wajahnya
株	batang pokok	Di halaman ditanam tiga batang pokok
诸位	semua hadirin	Terima kasih kepada semua hadirin kerana datang hari ini
逐年	tahun demi tahun	Kos operasi meningkat tahun demi tahun
主办	menganjurkan	Sekolah menganjurkan festival seni
主导	memimpin	Permintaan pasaran memimpin reka bentuk produk
主管	penyelia	Penyelia bertanggungjawab meluluskan bajet
主流	arus perdana	Idea perlindungan alam sekitar telah menjadi arus perdana
主权	kedaulatan	Kedaulatan negara mesti dihormati
主义	ideologi	Dia mengkaji pelbagai ideologi politik
嘱咐	berpesan	Ibunya berulang kali berpesan supaya dia membawa payung
拄	bertongkat	Orang tua itu berjalan bertongkat
住宅	kediaman	Kawasan ini kebanyakannya kediaman
助理	pembantu	Pembantu menyusun bahan mesyuarat
助手	pembantu	Robot ialah pembantu makmal
注射	suntikan	Doktor menyuntik ubat kepada pesakit
注视	merenung	Dia merenung ke arah jauh
注释	catatan	Terdapat catatan terperinci di sebelah teks
注重	menitikberatkan	Syarikat menitikberatkan kualiti produk
著作	karya	Karya ini mempunyai pengaruh yang mendalam
铸造	menuang logam	Kilang menuang logam untuk bahagian besar
驻扎	ditempatkan	Pasukan tentera ditempatkan di sempadan
拽	menarik	Dia menarik kotak masuk ke dalam rumah
专长	kepakaran	Analisis data ialah kepakarannya
专程	perjalanan khusus	Dia membuat perjalanan khusus untuk melawat guru
专利	paten	Syarikat memohon paten baharu
专题	topik khas	Stesen TV menyiarkan program topik khas tentang perlindungan alam sekitar
砖	bata	Pekerja membawa satu kereta bata
转达	menyampaikan	Tolong sampaikan terima kasih saya
转让	memindahkan hak milik	Dia memutuskan untuk memindahkan hak milik kedai
转移	memindahkan	Jururawat memindahkan orang yang cedera
转折	titik perubahan	Cerita itu mengalami titik perubahan besar
传记	biografi	Dia sedang menulis biografi ayahnya
庄稼	tanaman	Hujan menyuburkan tanaman
庄严	khidmat	Suasana upacara itu khidmat
庄重	martabat	Dia memakai pakaian rasmi yang bermartabat
装备	peralatan	Pasukan dilengkapi peralatan maju
装卸	memuat dan memunggah	Pekerja dermaga bertanggungjawab memuat dan memunggah barang
壮观	menakjubkan	Pemandangan air terjun sangat menakjubkan
壮丽	megah	Di sini terdapat gunung dan sungai yang megah
壮烈	heroik	Wira itu gugur secara heroik
幢	bangunan	Di sudut jalan ada sebuah bangunan lama
追悼	upacara peringatan	Orang ramai menghadiri upacara peringatan
追究	menyiasat	Syarikat akan menyiasat tanggungjawab
坠	jatuh	Daun jatuh dari dahan
准则	prinsip	Kejujuran ialah prinsip kerjasama
卓越	cemerlang	Dia mencapai pencapaian yang cemerlang
琢磨	memikirkan	Dia memikirkan masalah ini berulang kali
着手	memulakan	Pasukan akan memulakan siasatan esok
着想	mempertimbangkan	Ibu bapa selalu mempertimbangkan keperluan anak
着重	menekankan	Laporan menekankan analisis kos
姿态	sikap	Dia mengekalkan sikap rendah hati
滋润	menyuburkan	Hujan musim bunga menyuburkan tanah
滋味	rasa	Rasa kegagalan sukar ditanggung
资本	modal	Memulakan perniagaan memerlukan sejumlah modal
资产	aset	Aset syarikat terus berkembang
资深	senior	Peguam senior menangani kes ini
资助	menaja	Yayasan menaja pelajar miskin
子弹	peluru	Peluru mengenai dinding
自卑	rendah diri	Dia tidak lagi berasa rendah diri
自发	secara spontan	Penduduk membersihkan jalan secara spontan
自力更生	berdikari	Penduduk kampung berpegang pada berdikari
自满	berpuas diri	Selepas berjaya tidak boleh berpuas diri
自主	autonomi	Pelajar perlu membina keupayaan belajar secara autonomi
宗教	agama	Dia mengkaji agama dunia
宗旨	tujuan	Tujuan organisasi ialah berkhidmat kepada komuniti
棕色	coklat	Dia membeli kasut kulit berwarna coklat
踪迹	jejak	Polis menemukan jejak suspek
总而言之	ringkasnya	Ringkasnya, rancangan itu boleh dilaksanakan
总和	jumlah	Keuntungan ialah perbezaan antara jumlah pendapatan dan kos
纵横	bersilang-silang	Sungai bersilang-silang di dataran
走廊	koridor	Kanak-kanak berbaris di koridor
走漏	bocor	Berita itu tidak boleh bocor
走私	penyeludupan	Kastam merampas barang penyeludupan
揍	memukul	Dia dipukul oleh beberapa lelaki mabuk
租赁	menyewa	Syarikat menyewa pejabat baharu
足以	cukup	Bukti ini cukup untuk menjelaskan masalah
祖父	datuk	Datuk suka menceritakan kisah lama
祖国	tanah air	Dia sangat mencintai tanah airnya
祖先	nenek moyang	Mereka memuja nenek moyang mereka
阻碍	menghalang	Kekurangan dana menghalang kemajuan projek
阻拦	menghalang	Pengawal menghalang orang asing masuk
阻挠	menghalang	Ada orang sengaja menghalang siasatan
钻研	mendalami	Dia mendalami sastera purba
钻石	berlian	Sebentuk berlian bertatah pada cincin itu
嘴唇	bibir	Angin sejuk merekah bibir
罪犯	penjenayah	Polis menangkap penjenayah yang melarikan diri
尊严	maruah	Setiap orang harus mempunyai maruah
遵循	mematuhi	Doktor mematuhi piawaian yang ketat
作弊	menipu	Menipu dalam peperiksaan akan dikenakan tindakan
作废	tidak sah	Tiket lama sudah tidak sah
作风	gaya kerja	Gaya kerja pemimpin itu praktikal
作息	jadual kerja dan rehat	Jadual kerja dan rehat yang teratur baik untuk kesihatan
做主	membuat keputusan	Perkara ini kamu yang membuat keputusan
座右铭	moto	Motonya ialah jangan pernah berputus asa
