simplified	KN	example_KN
寂寞	ಏಕಾಂಗಿ; ಒಂಟಿತನ	ಒಬ್ಬರೇ ವಾಸಿಸುವುದು ಕೆಲವೊಮ್ಮೆ ಏಕಾಂಗಿಯಾಗಿರಬಹುದು.
系领带	ಟೈ ಕಟ್ಟುವುದು	ಅವನು ಪ್ರತಿದಿನ ಕೆಲಸಕ್ಕೆ ಮುನ್ನ ಟೈ ಕಟ್ಟುತ್ತಾನೆ.
纪录	ದಾಖಲೆ	ಅವನು ಶಾಲೆಯ ದಾಖಲೆಯನ್ನು ಮುರಿದನು.
纪律	ಶಿಸ್ತು	ತರಗತಿಯ ಶಿಸ್ತು ತುಂಬಾ ಮುಖ್ಯ.
纪念	ಸ್ಮರಿಸುವುದು; ನೆನಪಿಗಾಗಿ ಮಾಡುವುದು	ಈ ದಿನವನ್ನು ಸ್ಮರಿಸಲು ನಾವು ಫೋಟೋ ತೆಗೆದುಕೊಂಡೆವು.
计算	ಲೆಕ್ಕ ಹಾಕುವುದು	ದಯವಿಟ್ಟು ಒಟ್ಟು ವೆಚ್ಚವನ್ನು ಲೆಕ್ಕ ಹಾಕಿ.
记录	ದಾಖಲಿಸುವುದು; ಟಿಪ್ಪಣಿ ಮಾಡುವುದು	ದಯವಿಟ್ಟು ಸಭೆಯ ವಿಷಯವನ್ನು ದಾಖಲಿಸಿ.
记忆	ಸ್ಮರಣೆ; ನೆನಪು	ಈ ನೆನಪು ತುಂಬಾ ಅಮೂಲ್ಯ.
嘉宾	ಗೌರವಾನ್ವಿತ ಅತಿಥಿ	ಇಂದಿನ ಅತಿಥಿ ಒಬ್ಬ ಲೇಖಕ.
夹子	ಕ್ಲಿಪ್; ಹಿಡಿಪು	ದಯವಿಟ್ಟು ದಾಖಲೆಗಳನ್ನು ಕ್ಲಿಪ್‌ನಿಂದ ಹಿಡಿಯಿರಿ.
家庭	ಕುಟುಂಬ	ಮಕ್ಕಳಿಗೆ ಕುಟುಂಬ ತುಂಬಾ ಮುಖ್ಯ.
家务	ಮನೆಕೆಲಸ	ವಾರಾಂತ್ಯದಲ್ಲಿ ನನಗೆ ಮನೆಕೆಲಸ ಮಾಡಬೇಕು.
家乡	ಹುಟ್ಟೂರು	ನನಗೆ ನನ್ನ ಹುಟ್ಟೂರು ತುಂಬಾ ನೆನಪಾಗುತ್ತದೆ.
假如	ಒಂದು ವೇಳೆ; ಯಾದರೆ	ನಾಳೆ ಮಳೆ ಬಂದರೆ, ನಾವು ಹೋಗುವುದಿಲ್ಲ.
假设	ಊಹೆ; ಕಲ್ಪಿತ ಸ್ಥಿತಿ	ನೀನು ಶಿಕ್ಷಕನಾಗಿದ್ದರೆ, ಏನು ಮಾಡುತ್ತಿದ್ದೆ?
假装	ನಟಿಸುವುದು; ಸೋಗು ಮಾಡುವುದು	ಅವನು ಕೇಳಿಸದಂತೆ ನಟಿಸಿದನು.
甲	ಪಕ್ಷ ಎ; ಮೊದಲನೆಯದು	ಪಕ್ಷ ಎ ಸಮಯಕ್ಕೆ ಹಣ ಪಾವತಿಸಬೇಕು.
价值	ಮೌಲ್ಯ	ಈ ಪುಸ್ತಕಕ್ಕೆ ತುಂಬಾ ಮೌಲ್ಯ ಇದೆ.
嫁	ಮದುವೆಯಾಗುವುದು	ಅವಳು ಮುಂದಿನ ವರ್ಷ ತನ್ನ ಗೆಳೆಯನನ್ನು ಮದುವೆಯಾಗುತ್ತಾಳೆ.
驾驶	ಚಾಲನೆ ಮಾಡುವುದು	ಕಾರು ಚಲಾಯಿಸುವಾಗ ಜಾಗರೂಕರಾಗಿ ಚಾಲನೆ ಮಾಡಿ.
兼职	ಅರೆಕಾಲಿಕ ಕೆಲಸ	ಅವನು ಸಂಜೆ ಅರೆಕಾಲಿಕ ಕೆಲಸ ಮಾಡುತ್ತಾನೆ.
坚决	ದೃಢ; ಖಚಿತ	ಅವನು ಈ ನಿರ್ಧಾರಕ್ಕೆ ದೃಢವಾಗಿ ವಿರೋಧಿಸುತ್ತಾನೆ.
坚强	ಬಲವಾದ; ಮನೋಬಲದ	ಅವಳು ಮನೋಬಲದ ವ್ಯಕ್ತಿ.
肩膀	ಭುಜ	ಅವನ ಭುಜಕ್ಕೆ ಗಾಯವಾಗಿದೆ.
艰巨	ಕಠಿಣ; ದುಸ್ತರ	ಇದು ಒಂದು ದುಸ್ತರ ಕೆಲಸ.
艰苦	ಕಷ್ಟಕರ; ಕಠಿಣ	ಅವರು ಕಷ್ಟಕರ ಜೀವನ ಅನುಭವಿಸಿದರು.
剪刀	ಕತ್ತರಿ	ದಯವಿಟ್ಟು ಕತ್ತರಿಯನ್ನು ನನಗೆ ಕೊಡಿ.
捡	ಎತ್ತಿಕೊಳ್ಳುವುದು	ಅವನು ನೆಲದಿಂದ ಪರ್ಸ್ ಎತ್ತಿಕೊಂಡನು.
简历	ರೆಸ್ಯೂಮ್; ಜೀವನವಿವರ	ಕೆಲಸಕ್ಕೆ ಅರ್ಜಿ ಹಾಕುವ ಮೊದಲು ರೆಸ್ಯೂಮ್ ಸಿದ್ಧಪಡಿಸಿ.
简直	ಸಾಕ್ಷಾತ್; ನಿಜಕ್ಕೂ	ಈ ಸುದ್ದಿ ನಿಜಕ್ಕೂ ಆಘಾತಕರ.
健身	ದೇಹಾಭ್ಯಾಸ ಮಾಡುವುದು	ಅವನು ವಾರಕ್ಕೆ ಮೂರು ಬಾರಿ ದೇಹಾಭ್ಯಾಸಕ್ಕೆ ಹೋಗುತ್ತಾನೆ.
建立	ಸ್ಥಾಪಿಸುವುದು; ನಿರ್ಮಿಸುವುದು	ನಾವು ಹೊಸ ಸಂಬಂಧವನ್ನು ಸ್ಥಾಪಿಸಿದೆವು.
建设	ನಿರ್ಮಾಣ; ನಿರ್ಮಿಸುವುದು	ನಗರ ನಿರ್ಮಾಣ ವೇಗವಾಗಿ ಅಭಿವೃದ್ಧಿಯಾಗುತ್ತಿದೆ.
建筑	ಕಟ್ಟಡ; ನಿರ್ಮಾಣ	ಈ ಕಟ್ಟಡಕ್ಕೆ ವಿಶಿಷ್ಟ ಲಕ್ಷಣಗಳಿವೆ.
键盘	ಕೀಬೋರ್ಡ್	ನನ್ನ ಕೀಬೋರ್ಡ್ ಸ್ವಚ್ಛಗೊಳಿಸಬೇಕು.
讲究	ವಿಶೇಷ ಗಮನ ಕೊಡುವುದು	ಚೀನೀಯರು ಆಹಾರಕ್ಕೆ ತುಂಬಾ ವಿಶೇಷ ಗಮನ ಕೊಡುತ್ತಾರೆ.
讲座	ಉಪನ್ಯಾಸ	ಇಂದು ರಾತ್ರಿ ಚೀನಿ ಭಾಷೆಯ ಉಪನ್ಯಾಸ ಇದೆ.
酱油	ಸೋಯಾ ಸಾಸ್	ತಿನಿಸಿಗೆ ಸ್ವಲ್ಪ ಸೋಯಾ ಸಾಸ್ ಸೇರಿಸಿ.
交换	ವಿನಿಮಯ ಮಾಡಿಕೊಳ್ಳುವುದು	ನಾವು ಫೋನ್ ಸಂಖ್ಯೆಗಳ ವಿನಿಮಯ ಮಾಡಿಕೊಂಡೆವು.
交际	ಸಾಮಾಜಿಕ ಸಂವಹನ	ಭಾಷೆ ಕಲಿಯುವಾಗ ಸಾಮಾಜಿಕ ಸಂವಹನವನ್ನೂ ಅಭ್ಯಾಸ ಮಾಡಬೇಕು.
交往	ಸಂಬಂಧ ಇರುವುದು; ಸಂಪರ್ಕದಲ್ಲಿರುವುದು	ಅವರು ಎರಡು ವರ್ಷಗಳಿಂದ ಸಂಬಂಧದಲ್ಲಿದ್ದಾರೆ.
浇	ನೀರಿಡುವುದು; ಸುರಿಸುವುದು	ದಯವಿಟ್ಟು ಪ್ರತಿದಿನ ಹೂಗಳಿಗೆ ನೀರಿಡಿ.
胶水	ಅಂಟು	ಫೋಟೋ ಅಂಟಿಸಲು ನಾನು ಅಂಟು ಬಳಿಸಿದೆ.
狡猾	ಕುತಂತ್ರಿ; ಚತುರ	ಆ ನರಿ ತುಂಬಾ ಕುತಂತ್ರಿ.
角度	ಕೋನ; ದೃಷ್ಟಿಕೋನ	ಬೇರೆ ಕೋನದಿಂದ ಸಮಸ್ಯೆಯನ್ನು ನೋಡೋಣ.
教材	ಪಾಠಪುಸ್ತಕ; ಕಲಿಕಾ ಸಾಮಗ್ರಿ	ಈ ಪಾಠಪುಸ್ತಕ ತುಂಬಾ ಉಪಯುಕ್ತ.
教练	ತರಬೇತುದಾರ	ತರಬೇತುದಾರರು ಸಮಯಕ್ಕೆ ಬರಬೇಕೆಂದು ಕೇಳುತ್ತಾರೆ.
教训	ಪಾಠ; ಅನುಭವದ ಪಾಠ	ಈ ವಿಫಲತೆ ಒಂದು ಪಾಠ.
接触	ಸಂಪರ್ಕ; ಮೊದಲ ಪರಿಚಯ	ಇದು ಚೀನಿ ಸಂಸ್ಕೃತಿಯೊಂದಿಗೆ ನನ್ನ ಮೊದಲ ಸಂಪರ್ಕ.
接待	ಸ್ವಾಗತಿಸುವುದು; ಅತಿಥಿಗಳನ್ನು ನೋಡಿಕೊಳ್ಳುವುದು	ಕಂಪನಿ ಅತಿಥಿಗಳನ್ನು ಸ್ವಾಗತಿಸಲು ಒಬ್ಬರನ್ನು ವ್ಯವಸ್ಥೆ ಮಾಡಿತು.
接近	ಸಮೀಪಿಸುವುದು; ಹತ್ತಿರವಾಗುವುದು	ವಸಂತೋತ್ಸವ ಸಮೀಪಿಸುತ್ತಿದೆ.
结实	ಗಟ್ಟಿಯಾದ; ಬಲವಾದ	ಈ ಸೂಟ್‌ಕೇಸ್ ತುಂಬಾ ಗಟ್ಟಿಯಾಗಿದೆ.
阶段	ಹಂತ	ಅಧ್ಯಯನವನ್ನು ಮೂರು ಹಂತಗಳಾಗಿ ವಿಭಜಿಸಲಾಗಿದೆ.
结构	ರಚನೆ; ಸಂರಚನೆ	ಈ ಲೇಖನದ ರಚನೆ ಸ್ಪಷ್ಟವಾಗಿದೆ.
结合	ಸಂಯೋಜಿಸುವುದು; ಜೋಡಿಸುವುದು	ಅಧ್ಯಯನವನ್ನು ಅಭ್ಯಾಸದೊಂದಿಗೆ ಸಂಯೋಜಿಸಬೇಕು.
结论	ನಿರ್ಣಯ; ತೀರ್ಮಾನ	ಅವನ ನಿರ್ಣಯ ತುಂಬಾ ನಂಬಿಸುವಂತಿದೆ.
结账	ಬಿಲ್ ಪಾವತಿಸುವುದು	ಊಟ ಮಾಡಿದ ನಂತರ ನಾವು ಬಿಲ್ ಪಾವತಿಸಲು ಹೋದೆವು.
节省	ಉಳಿಸುವುದು; ಮಿತವಾಗಿ ಬಳಸುವುದು	ಮೆಟ್ರೋ ತೆಗೆದುಕೊಳ್ಳುವುದರಿಂದ ಸಮಯ ಉಳಿಸಬಹುದು.
借口	ನೆಪ	ನೆಪ ಹೇಳುವುದನ್ನು ನಿಲ್ಲಿಸಿ.
届	ಆವೃತ್ತಿ; ಬಾರಿ	ಇದು ಮೂರನೇ ಸ್ಪರ್ಧೆ.
戒	ಬಿಡಿಸುವುದು; ಎಚ್ಚರಿಸುವುದು	ವೈದ್ಯರು ಅವನಿಗೆ ಧೂಮಪಾನ ಬಿಡಲು ಸಲಹೆ ನೀಡಿದರು.
戒指	ಉಂಗುರ	ಅವಳು ಉಂಗುರ ಧರಿಸಿದ್ದಾಳೆ.
金属	ಲೋಹ	ಇಕ್ಕಟ್ಟು ಒಂದು ರೀತಿಯ ಲೋಹ.
尽快	ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ	ದಯವಿಟ್ಟು ಇಮೇಲ್‌ಗೆ ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ಉತ್ತರಿಸಿ.
紧急	ತುರ್ತು	ಇದು ತುರ್ತು ಪರಿಸ್ಥಿತಿ.
谨慎	ಎಚ್ಚರಿಕೆಯಿಂದ; ಜಾಗರೂಕ	ಹೂಡಿಕೆ ಮಾಡುವ ಮೊದಲು ಜಾಗರೂಕರಾಗಿರಿ.
尽力	ಪೂರ್ಣ ಶ್ರಮಿಸುವುದು	ನಾನು ನಿಮಗೆ ಸಹಾಯ ಮಾಡಲು ಪೂರ್ಣ ಶ್ರಮಿಸುತ್ತೇನೆ.
尽量	ಸಾಧ್ಯವಾದಷ್ಟು	ದಯವಿಟ್ಟು ಸಾಧ್ಯವಾದಷ್ಟು ಬೇಗ ಬರಲು ಪ್ರಯತ್ನಿಸಿ.
近代	ಆಧುನಿಕ ಕಾಲ	ಆಧುನಿಕ ಚೀನಾದಲ್ಲಿ ಅನೇಕ ಬದಲಾವಣೆಗಳು ನಡೆದವು.
进步	ಪ್ರಗತಿ; ಸುಧಾರಣೆ	ಅವನ ಚೀನಿ ಭಾಷೆ ವೇಗವಾಗಿ ಸುಧಾರಿಸುತ್ತಿದೆ.
进口	ಆಮದು; ಆಮದು ಮಾಡಿದ	ಈ ಕಾರು ಆಮದು ಮಾಡಿದದ್ದು.
精力	ಶಕ್ತಿ; ಉತ್ಸಾಹ	ಮಕ್ಕಳಿಗೆ ತುಂಬಾ ಶಕ್ತಿ ಇದೆ.
精神	ಮನೋಭಾವ; ಆತ್ಮಶಕ್ತಿ	ಇಂದು ಅವನ ಮನೋಭಾವ ಚೆನ್ನಾಗಿದೆ.
经典	ಶಾಸ್ತ್ರೀಯ; ಕ್ಲಾಸಿಕ್	ಇದು ಒಂದು ಕ್ಲಾಸಿಕ್ ಚಲನಚಿತ್ರ.
经商	ವ್ಯಾಪಾರ ಮಾಡುವುದು	ಅವನ ತಂದೆ ವಿದೇಶದಲ್ಲಿ ವ್ಯಾಪಾರ ಮಾಡುತ್ತಾರೆ.
经营	ನಡೆಸುವುದು; ವ್ಯವಹಾರ ನಿರ್ವಹಿಸುವುದು	ಅವಳು ಒಂದು ಸಣ್ಣ ಅಂಗಡಿಯನ್ನು ನಡೆಸುತ್ತಾಳೆ.
酒吧	ಬಾರ್	ಅವರು ಸಂಜೆ ಬಾರ್‌ಗೆ ಹೋದರು.
救	ರಕ್ಷಿಸುವುದು; ಉಳಿಸುವುದು	ವೈದ್ಯರು ಅವನ ಜೀವ ಉಳಿಸಿದರು.
救护车	ಆಂಬುಲೆನ್ಸ್	ಆಂಬುಲೆನ್ಸ್ ಬೇಗ ಬಂತು.
舅舅	ಮಾಮ; ತಾಯಿಯ ಸಹೋದರ	ನನ್ನ ಮಾಮ ನಾಂಜಿಂಗ್‌ನಲ್ಲಿ ವಾಸಿಸುತ್ತಾರೆ.
居然	ಆಶ್ಚರ್ಯವಾಗಿ; ಅಚ್ಚರಿಯಾಗಿ	ಅವನು ತನ್ನದೇ ಹುಟ್ಟುಹಬ್ಬವನ್ನು ಮರೆತಿದ್ದಾನೆ.
桔子	ಕಿತ್ತಳೆಹಣ್ಣು; ಮಂಡರಿನ್	ಮೇಜಿನ ಮೇಲೆ ಕೆಲವು ಕಿತ್ತಳೆಹಣ್ಣುಗಳಿವೆ.
俱乐部	ಕ್ಲಬ್	ಅವಳು ಈಜು ಕ್ಲಬ್‌ಗೆ ಸೇರಿದ್ದಾಳೆ.
具备	ಹೊಂದಿರುವುದು	ಅವನಿಗೆ ನಿರ್ವಹಣಾ ಅನುಭವ ಇದೆ.
具体	ನಿರ್ದಿಷ್ಟ; ಸ್ಪಷ್ಟ	ದಯವಿಟ್ಟು ಇನ್ನಷ್ಟು ನಿರ್ದಿಷ್ಟವಾಗಿ ಹೇಳಿ.
巨大	ವಿಶಾಲ; ಭಾರೀ	ಈ ಯೋಜನೆಗೆ ಭಾರೀ ಹೂಡಿಕೆ ಬೇಕು.
据说	ಎಂದು ಹೇಳುತ್ತಾರೆ; ವರದಿಯಂತೆ	ಅವನು ಈಗಾಗಲೇ ತನ್ನ ದೇಶಕ್ಕೆ ಹಿಂದಿರುಗಿದ್ದಾನೆ ಎಂದು ಹೇಳುತ್ತಾರೆ.
捐	ದಾನ ಮಾಡುವುದು	ಎಲ್ಲರೂ ಹಣ ದಾನ ಮಾಡಲು ಸಿದ್ಧರಾಗಿದ್ದಾರೆ.
决赛	ಫೈನಲ್ ಪಂದ್ಯ	ನಾಳೆ ಫುಟ್ಬಾಲ್ ಫೈನಲ್ ಇದೆ.
决心	ದೃಢನಿಶ್ಚಯ	ಚೀನಿ ಭಾಷೆಯನ್ನು ಚೆನ್ನಾಗಿ ಕಲಿಯಬೇಕು ಎಂದು ಅವನು ದೃಢನಿಶ್ಚಯ ಮಾಡಿಕೊಂಡನು.
绝对	ಖಂಡಿತ; ಸಂಪೂರ್ಣವಾಗಿ	ಈ ವಿಷಯವನ್ನು ಖಂಡಿತ ಮರೆತಬಾರದು.
角色	ಪಾತ್ರ	ಅವಳು ಚಲನಚಿತ್ರದಲ್ಲಿ ಮಹತ್ವದ ಪಾತ್ರ ವಹಿಸುತ್ತಾಳೆ.
军事	ಸೈನಿಕ; ಸೈನ್ಯ ಸಂಬಂಧಿತ	ಅವನಿಗೆ ಸೈನಿಕ ಇತಿಹಾಸದಲ್ಲಿ ತುಂಬಾ ಆಸಕ್ತಿ ಇದೆ.
均匀	ಸಮವಾಗಿ; ಸಮಾನವಾಗಿ ಹಂಚಿದ	ದಯವಿಟ್ಟು ಬಣ್ಣವನ್ನು ಸಮವಾಗಿ ಹಚ್ಚಿ.
卡车	ಟ್ರಕ್	ಪ್ರವೇಶದ್ವಾರದಲ್ಲಿ ಒಂದು ಟ್ರಕ್ ನಿಂತಿದೆ.
开发	ಅಭಿವೃದ್ಧಿಪಡಿಸುವುದು	ಕಂಪನಿ ಹೊಸ ಉತ್ಪನ್ನವನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುತ್ತಿದೆ.
开放	ತೆರೆಯುವುದು; ಸಾರ್ವಜನಿಕರಿಗೆ ತೆರೆದಿರುವುದು	ಉದ್ಯಾನವು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ಆರು ಗಂಟೆಗೆ ತೆರೆಯುತ್ತದೆ.
开幕式	ಉದ್ಘಾಟನಾ ಸಮಾರಂಭ	ಉದ್ಘಾಟನಾ ಸಮಾರಂಭ ನಾಳೆ ಸಂಜೆ ನಡೆಯುತ್ತದೆ.
开水	ಕುದಿಸಿದ ನೀರು; ಬಿಸಿ ನೀರು	ದಯವಿಟ್ಟು ನನಗೆ ಒಂದು ಕಪ್ ಕುದಿಸಿದ ನೀರು ಕೊಡಿ.
砍	ಕತ್ತರಿಸುವುದು; ಕಡಿದುಹಾಕುವುದು	ಕಾರ್ಮಿಕನು ಕೊಂಬೆಗಳನ್ನು ಕತ್ತರಿಸುತ್ತಿದ್ದಾನೆ.
看不起	ತಿರಸ್ಕರಿಸುವುದು; ಹೀನವಾಗಿ ನೋಡುವುದು	ಯಾರನ್ನೂ ಹೀನವಾಗಿ ನೋಡಬೇಡಿ.
看望	ಭೇಟಿ ನೀಡುವುದು	ಈ ವಾರಾಂತ್ಯದಲ್ಲಿ ನಾನು ಅಜ್ಜ ಅಜ್ಜಿಯನ್ನು ನೋಡಲು ಹೋಗುತ್ತೇನೆ.
靠	ಆಧರಿಸುವುದು; ನೆತ್ತಿಕೊಳ್ಳುವುದು	ಅವನು ವಿಶ್ರಾಂತಿಗಾಗಿ ಗೋಡೆಯಿಗೆ ನೆತ್ತಿಕೊಂಡನು.
颗	ಸಣ್ಣ ಗೋಳಾಕಾರದ ವಸ್ತುವಿಗೆ ಎಣಿಕೆಪದ	ರಾತ್ರಿ ಆಕಾಶದಲ್ಲಿ ಒಂದು ನಕ್ಷತ್ರ ಇದೆ.
可见	ಸ್ಪಷ್ಟವಾಗಿ ಕಾಣುತ್ತದೆ	ಈ ವಿಧಾನ ಪರಿಣಾಮಕಾರಿ ಎಂದು ಸ್ಪಷ್ಟವಾಗಿ ಕಾಣುತ್ತದೆ.
可靠	ನಂಬಿಕೆಗೆ ಅರ್ಹ	ಅವನು ನಂಬಿಕೆಗೆ ಅರ್ಹ ಸ್ನೇಹಿತ.
可怕	ಭಯಾನಕ	ಈ ಕನಸು ತುಂಬಾ ಭಯಾನಕವಾಗಿತ್ತು.
克	ಗ್ರಾಂ	ದಯವಿಟ್ಟು ಎರಡು ಗ್ರಾಂ ಉಪ್ಪು ಸೇರಿಸಿ.
克服	ಜಯಿಸುವುದು; ಮೀರುವುದು	ನಾವು ಕಷ್ಟಗಳನ್ನು ಜಯಿಸಬೇಕು.
刻苦	ಬಹಳ ಶ್ರಮಿಸುವ; ಕಷ್ಟಪಟ್ಟು ಓದುವ	ಅವನು ಬಹಳ ಕಷ್ಟಪಟ್ಟು ಓದುತ್ತಾನೆ.
客观	ವಸ್ತುನಿಷ್ಠ; ಪಕ್ಷಪಾತರಹಿತ	ದಯವಿಟ್ಟು ಸಮಸ್ಯೆಯನ್ನು ವಸ್ತುನಿಷ್ಠವಾಗಿ ವಿಶ್ಲೇಷಿಸಿ.
课程	ಪಾಠ್ಯಕ್ರಮ; ಕೋರ್ಸ್	ಈ ಕೋರ್ಸ್ ತುಂಬಾ ಉಪಯುಕ್ತ.
空间	ಜಾಗ; ಅವಕಾಶ	ಈ ಕೊಠಡಿಯಲ್ಲಿ ತುಂಬಾ ಜಾಗ ಇದೆ.
控制	ನಿಯಂತ್ರಿಸುವುದು	ಚಾಲಕನು ಕಾರಿನ ವೇಗವನ್ನು ನಿಯಂತ್ರಿಸಿದನು.
空闲	ಖಾಲಿ ಸಮಯ; ಬಿಡುವು	ನಾಳೆ ಮಧ್ಯಾಹ್ನ ನಿಮಗೆ ಬಿಡುವು ಇದೆಯೆ?
口味	ರುಚಿ; ಆಹಾರದ ಅಭಿರುಚಿ	ಅವನ ಆಹಾರದ ರುಚಿ ಸ್ವಲ್ಪ ಸೌಮ್ಯ.
夸	ಹೊಗಳುವುದು; ಅತಿಶಯೋಕ್ತಿ ಮಾಡುವುದು	ಶಿಕ್ಷಕರು ಅವನು ಬಹಳ ಪ್ರಗತಿ ಮಾಡಿದನೆಂದು ಹೊಗಳಿದರು.
夸张	ಅತಿಶಯೋಕ್ತಿ; ಮಿತಿಮೀರಿದ	ಅವನ ಮುಖಭಾವ ಸ್ವಲ್ಪ ಅತಿಶಯೋಕ್ತಿಯಾಗಿದೆ.
会计	ಲೆಕ್ಕಿಗ; ಲೆಕ್ಕಪತ್ರ	ಅವಳು ಕಂಪನಿಯಲ್ಲಿ ಲೆಕ್ಕಿಗೆಯಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಾಳೆ.
宽	ಅಗಲ; ವಿಶಾಲ	ಈ ರಸ್ತೆ ತುಂಬಾ ಅಗಲವಾಗಿದೆ.
昆虫	ಕೀಟ	ಮಕ್ಕಳು ಕೀಟಗಳನ್ನು ಗಮನಿಸುತ್ತಿದ್ದಾರೆ.
扩大	ವಿಸ್ತರಿಸುವುದು; ಹೆಚ್ಚಿಸುವುದು	ಶಾಲೆ ಗ್ರಂಥಾಲಯವನ್ನು ವಿಸ್ತರಿಸಲು ಯೋಜಿಸಿದೆ.
辣椒	ಮೆಣಸಿನಕಾಯಿ	ತಿನಿಸಿಗೆ ತುಂಬಾ ಮೆಣಸಿನಕಾಯಿ ಸೇರಿಸಲಾಗಿದೆ.
拦	ತಡೆಯುವುದು; ಅಡ್ಡಗಟ್ಟುವುದು	ಪೊಲೀಸರು ಒಂದು ಕಾರನ್ನು ತಡೆದರು.
烂	ಕುಲುಷಿತ; ಕೊಳೆತ	ಈ ಸೇಬು ಈಗಾಗಲೇ ಕೊಳೆತುಹೋಯಿತು.
朗读	ಜೋರಾಗಿ ಓದುವುದು	ದಯವಿಟ್ಟು ಪಠ್ಯವನ್ನು ಜೋರಾಗಿ ಓದಿ.
劳动	ಶ್ರಮ; ಕೆಲಸ	ಕೆಲಸ ಜನರಿಗೆ ತೃಪ್ತಿಯ ಭಾವನೆ ಕೊಡುತ್ತದೆ.
劳驾	ಕ್ಷಮಿಸಿ; ತೊಂದರೆ ಕೊಡುತ್ತೇನೆ	ಕ್ಷಮಿಸಿ, ಮೆಟ್ರೋ ನಿಲ್ದಾಣ ಎಲ್ಲಿದೆ?
姥姥	ಅಜ್ಜಿ; ತಾಯಿಯ ತಾಯಿ	ನನ್ನ ಅಜ್ಜಿ ಅಡುಗೆ ತುಂಬಾ ಚೆನ್ನಾಗಿ ಮಾಡುತ್ತಾರೆ.
老百姓	ಸಾಮಾನ್ಯ ಜನರು	ಸಾಮಾನ್ಯ ಜನರು ಜೀವನ ವೆಚ್ಚದ ಬಗ್ಗೆ ಕಾಳಜಿ ವಹಿಸುತ್ತಾರೆ.
老板	ಮಾಲೀಕ; ಬಾಸ್	ಮಾಲೀಕ ಇಂದು ಕಚೇರಿಯಲ್ಲಿ ಇಲ್ಲ.
老婆	ಹೆಂಡತಿ	ಅವನು ತನ್ನ ಹೆಂಡತಿಗೆ ಹೂಗಳನ್ನು ಕೊಂಡನು.
老实	ಪ್ರಾಮಾಣಿಕ; ಸತ್ಯಸಂಧ	ಅವನು ಪ್ರಾಮಾಣಿಕ ವ್ಯಕ್ತಿ.
老鼠	ಇಲಿ	ಅಡುಗೆಮನೆಯಲ್ಲಿ ಒಂದು ಇಲಿ ಇದೆ.
乐观	ಆಶಾವಾದಿ	ಅವಳು ಭವಿಷ್ಯದ ಬಗ್ಗೆ ಆಶಾವಾದಿಯಾಗಿದ್ದಾಳೆ.
雷	ಗುಡುಗು	ನಿನ್ನೆ ರಾತ್ರಿ ಗುಡುಗು ತುಂಬಾ ಜೋರಾಗಿತ್ತು.
类型	ಪ್ರಕಾರ; ವರ್ಗ	ಈ ರೀತಿಯ ಚಲನಚಿತ್ರ ಯಾವ ಪ್ರಕಾರಕ್ಕೆ ಸೇರುತ್ತದೆ?
冷淡	ತಣ್ಣನೆಯ; ನಿರ್ಲಕ್ಷ್ಯದ	ಅವನ ವರ್ತನೆ ಸ್ವಲ್ಪ ತಣ್ಣನೆಯಾಗಿದೆ.
厘米	ಸೆಂಟಿಮೀಟರ್	ಈ ಪೆನ್ ಹದಿನೈದು ಸೆಂಟಿಮೀಟರ್ ಉದ್ದವಾಗಿದೆ.
梨	ಪೇರಳೆ	ನಾನು ಕೆಲವು ಪೇರಳೆಗಳನ್ನು ಕೊಂಡೆ.
离婚	ವಿಚ್ಛೇದನ ಪಡೆಯುವುದು	ಅವರು ಕಳೆದ ವರ್ಷ ವಿಚ್ಛೇದನ ಪಡೆದರು.
理论	ಸಿದ್ಧಾಂತ	ಈ ಸಿದ್ಧಾಂತ ತುಂಬಾ ಸಂಕೀರ್ಣವಾಗಿದೆ.
理由	ಕಾರಣ	ನೀನು ತಡವಾದಕ್ಕೆ ಏನು ಕಾರಣ?
利润	ಲಾಭ	ಈ ವರ್ಷ ಕಂಪನಿಯ ಲಾಭ ಹೆಚ್ಚಾಯಿತು.
利息	ಬಡ್ಡಿ	ಬ್ಯಾಂಕಿನ ಬಡ್ಡಿ ಹೆಚ್ಚು ಇಲ್ಲ.
利益	ಹಿತ; ಲಾಭ	ನಾವು ಎಲ್ಲರ ಹಿತವನ್ನು ರಕ್ಷಿಸಬೇಕು.
利用	ಬಳಸಿಕೊಳ್ಳುವುದು	ಅವನು ವಾರಾಂತ್ಯವನ್ನು ಚೀನಿ ಭಾಷೆ ಓದಲು ಬಳಸಿಕೊಳ್ಳುತ್ತಾನೆ.
力量	ಶಕ್ತಿ; ಬಲ	ಐಕ್ಯತೆಯೇ ಶಕ್ತಿ.
立即	ತಕ್ಷಣ	ದಯವಿಟ್ಟು ತಕ್ಷಣ ಇಲ್ಲಿಂದ ಹೊರಡಿ.
立刻	ತಕ್ಷಣವೇ	ಸುದ್ದಿ ಕೇಳಿದ ನಂತರ ಅವನು ತಕ್ಷಣವೇ ಹೊರಟನು.
