simplified	LT	example_LT
优胜劣汰	stipresni išlieka	Rinkos konkurencija rodo principą, kad stipresni išlieka.
优先	pirmenybė	Senyvi žmonės gali būti aptarnaujami pirmumo tvarka.
优异	puikus	Ji pasiekė puikių rezultatų.
优越	pranašus	Šios vietos geografinė padėtis pranaši.
忧郁	liūdnas	Jo veido išraiška atrodė liūdna.
油腻	riebus	Šis patiekalas per riebus.
油漆	dažai	Darbininkai dažo duris dažais.
犹如	tarsi	Ežero paviršius tarsi veidrodis.
有条不紊	tvarkingai	Susitikimas vyko tvarkingai.
幼稚	naivus	Ši mintis šiek tiek naivi.
诱惑	pagunda	Reklamoje pilna vartojimo pagundų.
愚蠢	kvailas	Šis sprendimas labai kvailas.
愚昧	tamsumas	Tamsūs įsitikinimai stabdo pažangą.
渔民	žvejys	Žvejai anksti ryte išplaukia gaudyti žuvų.
舆论	viešoji nuomonė	Viešoji nuomonė daro didelę įtaką bylai.
与日俱增	nuolat augti	Turistų skaičius nuolat auga.
宇宙	visata	Žmonija nuolat tyrinėja visatą.
羽绒服	pūkinė striukė	Žiemą reikia vilkėti pūkinę striukę.
寓言	pasakėčia	Ši pasakėčia turi didelę ugdomąją prasmę.
愈	vis labiau	Jo būklė vis labiau gerėja.
欲望	troškimas	Jis suvaldė norą apsipirkti.
熨	lyginti	Ji išlygino marškinius.
玉	nefritas	Šio nefrito spalva švelni.
预料	numatyti	Įvykių raida pranoko numatymą.
预期	lūkestis	Pardavimai buvo mažesni už lūkesčius.
预算	biudžetas	Projekto biudžetą reikia pakoreguoti.
预先	iš anksto	Prašome iš anksto paruošti medžiagą.
预言	pranašystė	Jo pranašystė neišsipildė.
预兆	ženklas	Skausmas gali būti ligos ženklas.
冤枉	neteisingai apkaltinti	Neteisingai nekaltink nekaltų žmonių.
元首	valstybės vadovas	Dviejų šalių vadovai surengė derybas.
元素	elementas	Deguonis yra cheminis elementas.
元宵节	Žibintų šventė	Per Žibintų šventę žmonės žiūri žibintus.
原告	ieškovas	Ieškovas pateikė naujų įrodymų.
原理	principas	Mokytojas paaiškino mašinos veikimo principą.
原始	pradinis	Jie išsaugojo pradinius įrašus.
原先	ankstesnis	Ankstesnis planas jau pakeistas.
园林	sodas	Sudžou sodai labai garsūs.
圆满	sėkmingas	Susitikimas baigėsi sėkmingai.
源泉	šaltinis	Praktika yra žinių šaltinis.
缘故	priežastis	Jis atsistatydino dėl sveikatos priežasčių.
约束	riboti	Taisyklės riboja darbuotojų elgesį.
乐谱	natos	Ji atidžiai skaitė natas.
岳母	uošvė	Savaitgalį jis aplankė uošvę.
孕育	brandinti	Dirvožemis brandina naują gyvybę.
蕴藏	slypėti	Kalnuose slypi gausūs mineralų ištekliai.
运算	skaičiavimas	Mokiniai praktikuoja matematinius skaičiavimus.
运行	veikti	Sistema veikia stabiliai.
酝酿	bręsti	Abi pusės brandina naują planą.
杂技	akrobatika	Vaikai mėgsta žiūrėti akrobatikos pasirodymus.
杂交	hibridas	Mokslininkai tiria hibridinius ryžius.
砸	sudaužyti	Puodelis nukrito ant žemės ir sudužo.
咋	kaip	Kaip tu dar negrįžai?
栽培	auginti	Sodininkas augina daug gėlių.
灾难	nelaimė	Po nelaimės miestas pradėjo atstatymą.
宰	skersti	Per šventę kaimo gyventojai skerdžia avį.
再接再厉	toliau stengtis	Po apdovanojimo komanda toliau stengėsi.
在意	rūpėti	Jai labai rūpi kitų nuomonė.
攒	taupyti	Jis taupo pinigus kompiuteriui.
暂且	kol kas	Šį klausimą kol kas atidėkime.
赞叹	žavėtis	Žiūrovai žavėjosi aktorių pasirodymu.
赞助	remti	Įmonė parėmė šias varžybas.
糟蹋	švaistyti	Nešvaistyk šio šviežio maisto.
遭受	patirti	Pasėliai patyrė didelę sausrą.
遭殃	nukentėti	Tiltui sugriuvus, nukentėjo netoliese gyvenantys žmonės.
遭遇	susidurti	Kelyje jie susidūrė su pūga.
噪音	triukšmas	Statybų triukšmas trukdo ilsėtis.
造型	forma	Šio automobilio forma labai išskirtinė.
责怪	kaltinti	Prašome nekaltinti vien vaiko.
贼	vagis	Policija sugavo tą vagį.
增添	pridėti	Gėlės kambariui pridėjo spalvų.
赠送	dovanoti	Parduotuvė dovanoja mažas dovanas.
扎	durti	Slaugytoja jam suleido injekciją.
扎实	tvirtas	Jo gramatikos pagrindai labai tvirti.
渣	nuosėdos	Puodelio dugne liko kavos nuosėdų.
眨	mirktelėti	Ji kelis kartus mirktelėjo.
诈骗	sukčiavimas	Policija išaiškino telefoninio sukčiavimo bylą.
摘要	santrauka	Straipsnio santrauka parašyta labai aiškiai.
债券	obligacija	Investuotojai perka vyriausybės obligacijas.
沾光	pasinaudoti ryšiais	Aš taip pat pasinaudojau draugo ryšiais.
瞻仰	pagarbiai aplankyti	Turistai pagarbiai aplankė didvyrių paminklą.
展示	rodyti	Įmonė rodo naujausius produktus.
展望	perspektyva	Ataskaitoje apžvelgiamos ateities perspektyvos.
展现	atskleisti	Kūrinys atskleidžia kaimo gyvenimą.
崭新	visiškai naujas	Jis nusipirko visiškai naują dviratį.
斩钉截铁	griežtai	Ji griežtai atsisakė.
占据	užimti	Reklama užėmė visą puslapį.
占领	užimti	Kariuomenė užėmė kalnų perėją.
战斗	mūšis	Mūšis truko tris valandas.
战略	strategija	Įmonė pakoregavo plėtros strategiją.
战术	taktika	Treneris pakeitė rungtynių taktiką.
战役	kampanija	Ši karinė kampanija pakeitė padėtį.
章程	įstatai	Asociacija priėmė naujus įstatus.
帐篷	palapinė	Jie pasistatė palapinę prie ežero.
障碍	kliūtis	Kalbos kliūtis trukdo bendravimui.
招标	skelbti konkursą	Statybos projektui paskelbtas viešas konkursas.
招收	priimti	Mokykla šiemet priima naujus mokinius.
朝气蓬勃	energingas	Jauna komanda labai energinga.
着迷	susižavėti	Vaikas labai susižavėjęs astronomija.
沼泽	pelkė	Ekspedicija perėjo pelkę.
照样	kaip įprasta	Nors lijo, treniruotė vyko kaip įprasta.
照耀	apšviesti	Saulė apšvietė aikštę.
折腾	varginti	Nebevargink šio seno kompiuterio.
遮挡	užstoti	Medžių šakos užstojo langą.
折	lankstyti	Jis sulankstė popierių į lėktuvėlį.
折磨	kankinti	Ilgalaikė nemiga ją kankina.
侦探	detektyvas	Detektyvas rado svarbią užuominą.
斟酌	apgalvoti	Prašome atidžiai apgalvoti formuluotę.
珍贵	brangus	Šios nuotraukos labai brangios.
珍稀	retas	Saugokime retus laukinius gyvūnus.
珍珠	perlas	Ji dėvi perlinius auskarus.
真理	tiesa	Praktika patikrina tiesą.
真相	tikrieji faktai	Žurnalistas stengėsi išsiaiškinti tikruosius faktus.
真挚	nuoširdus	Ji išreiškė nuoširdžią padėką.
枕头	pagalvė	Ši pagalvė per aukšta.
振奋	įkvėpti	Gera žinia visus įkvėpė.
振兴	atgaivinti	Vyriausybė skatina kaimo atgaivinimą.
镇定	ramus	Krizės metu jis išliko ramus.
镇静	nusiraminti	Slaugytoja paprašė paciento nusiraminti.
阵地	pozicija	Kariai išlaikė poziciją.
阵容	sudėtis	Komanda paskelbė pradinę sudėtį.
震撼	sukrėsti	Šis filmas labai sukrėtė žiūrovus.
震惊	šokiruoti	Žinia sukrėtė visą šalį.
争端	ginčas	Abi pusės bandė išspręsti pasienio ginčą.
争夺	varžytis	Dvi įmonės varžosi dėl rinkos dalies.
争气	pateisinti lūkesčius	Jis sunkiai mokosi, kad pateisintų šeimos lūkesčius.
争先恐后	veržtis pirmyn	Turistai veržėsi pirmyn lipti į autobusą.
争议	ginčas	Šis sprendimas sukėlė ginčų.
征服	užkariauti	Alpinistas įveikė aukštą viršukalnę.
征收	rinkti mokestį	Vyriausybė teisėtai renka mokesčius.
挣扎	grumtis	Paukštis grūmėsi tinkle.
正月	pirmasis mėnulio mėnuo	Pirmąjį mėnulio mėnesį giminaičiai lanko vieni kitus.
蒸发	garuoti	Drėgmė greitai išgaravo.
整顿	pertvarkyti	Įmonė pradėjo pertvarkyti valdymą.
政策	politika	Nauja politika remia mažas įmones.
政权	režimas	Karas pakeitė vietos režimą.
正当	pagrįstas	Jis pateikė pagrįstą reikalavimą.
正负	teigiamas ir neigiamas	Prietaisas rodo teigiamą ir neigiamą paklaidą.
正规	standartinis	Vaikas pradėjo mokytis standartinėje mokykloje.
正经	rimtas	Jis pagaliau pradėjo kalbėti rimtai.
正气	teisingumo dvasia	Visuomenei reikia stiprinti teisingumo dvasią.
正义	teisingumas	Advokatas gynė teisingumą.
正宗	autentiškas	Šis restoranas parduoda autentiškus Sičuano patiekalus.
症状	simptomas	Karščiavimas yra dažnas simptomas.
证实	patvirtinti	Tyrimas patvirtino jo teiginį.
证书	pažymėjimas	Ji gavo profesinį pažymėjimą.
郑重	iškilmingas	Jis iškilmingai pažadėjo prisiimti atsakomybę.
之际	metu	Artėjant Pavasario šventei, visi labai užsiėmę.
支撑	paremti	Stulpai remia stogą.
支出	išlaidos	Šeimos išlaidos pastebimai padidėjo.
支流	intakas	Ši upė yra Jangdzės intakas.
支配	valdyti	Emocijos neturėtų valdyti sprendimo.
支援	paremti	Gydytojai iš įvairių vietų atvyko paremti pagalbos.
支柱	ramstis	Gamyba yra vietos ekonomikos ramstis.
枝	šakelė	Ji nulaužė žydinčią šakelę.
知觉	sąmonė	Sužeistasis pamažu atgavo sąmonę.
知足常乐	pasitenkinti tuo, ką turi	Senolis dažnai sako, kad pasitenkinimas tuo, ką turi, teikia laimę.
脂肪	riebalai	Riešutuose yra sveikų riebalų.
侄子	sūnėnas	Mano sūnėnas šiemet pradėjo pradinę mokyklą.
值班	budėti	Slaugytoja šį vakarą budi.
执行	vykdyti	Teismas įvykdė nuosprendį.
执着	atkaklus	Jis labai atkaklus siekdamas idealų.
殖民地	kolonija	Ši sala kadaise buvo kolonija.
直播	tiesioginė transliacija	Šį vakarą rungtynės bus tiesiogiai transliuojamos internetu.
直径	skersmuo	Šio apskritimo skersmuo yra dešimt centimetrų.
职能	funkcija	Skyriaus funkcijas reikia perskirstyti.
职位	pareigybė	Ji pateikė paraišką vadovaujamai pareigybei.
职务	pareigos	Jo pareigos yra projekto vadovas.
指标	rodiklis	Pardavimo rodiklis jau pasiektas.
指定	paskirti	Mokytojas paskyrė jį atsakyti į klausimą.
指甲	nagas	Ji trumpai nusikirpo nagus.
指令	komanda	Kompiuteris gavo naują komandą.
指南针	kompasas	Alpinistas pasiėmė kompasą.
指示	nurodymas	Vadovas davė aiškius nurodymus.
指望	tikėtis	Nesitikėk, kad kiti už tave tai padarys.
指责	kritikuoti	Visuomenė kritikavo įmonę dėl aplinkos taršos.
制裁	sankcija	Tarptautinė bendruomenė įvedė ekonomines sankcijas.
制服	uniforma	Apsaugininkas vilkėjo tamsiai mėlyną uniformą.
制约	riboti	Lėšų trūkumas riboja plėtrą.
制止	sustabdyti	Policija laiku sustabdė konfliktą.
志气	ambicija	Jauni žmonės turi turėti ambicijų.
智力	intelektas	Žaidimai gali lavinti intelektą.
智能	išmanus	Išmanūs įrenginiai vis labiau plinta.
智商	intelekto koeficientas	Intelekto koeficientas negali nulemti visko.
治安	viešasis saugumas	Bendruomenės viešasis saugumas akivaizdžiai pagerėjo.
治理	valdyti	Vyriausybė sustiprino upės valdymą.
滞留	įstrigti	Keleiviai dėl gausaus sniego įstrigo oro uoste.
致辞	sakyti kalbą	Direktorius ceremonijoje sakė kalbą.
致力	skirti pastangas	Komanda skiria pastangas technologinėms naujovėms.
致使	sukelti	Valdymo klaidos sukėlė projekto vėlavimą.
中断	nutrūkti	Stiprus lietus sukėlė ryšio nutrūkimą.
中立	neutralus	Ta šalis laikosi neutralios pozicijos.
中央	centras	Fontanas yra aikštės centre.
忠诚	ištikimas	Darbuotojai labai ištikimi įmonei.
忠实	ištikimas	Jis yra ištikimas šio laikraščio skaitytojas.
终点	finišas	Finišas jau priekyje.
终究	galiausiai	Problema galiausiai bus išspręsta.
终身	visą gyvenimą	Jis nusprendė visą gyvenimą dirbti švietimo srityje.
终止	nutraukti	Sutartis bus nutraukta kito mėnesio pabaigoje.
衷心	nuoširdžiai	Nuoširdžiai dėkoju už tavo pagalbą.
种子	sėkla	Ūkininkai pasėjo naujas sėklas.
种族	rasė	Įstatymas draudžia rasinę diskriminaciją.
肿瘤	navikas	Gydytojas aptiko gerybinį naviką.
众所周知	kaip visiems žinoma	Kaip visiems žinoma, vanduo yra svarbus.
种植	auginti	Ši vieta tinkama auginti vynuoges.
重心	dėmesio centras	Darbo dėmesio centras persikėlė į paslaugas.
周边	aplinka	Eismas aplink mokyklą yra spūstyse.
周密	kruopštus	Jie parengė kruopštų planą.
周年	sukaktis	Įmonė šventė dešimties metų sukaktį.
周期	ciklas	Produkto atnaujinimo ciklas sutrumpėjo.
周折	nesklandumai	Tvarkant dokumentus kilo nemažai nesklandumų.
周转	lėšų apyvarta	Įmonei sunku užtikrinti lėšų apyvartą.
州	valstija	Jis gyvena Kalifornijos valstijoje JAV.
粥	košė	Ligonis ryte valgė košę.
舟	valtis	Maža valtis lėtai priartėjo prie kranto.
昼夜	dieną naktį	Darbininkai dieną naktį remontavo kelią.
皱纹	raukšlė	Močiutės veide daug raukšlių.
株	augalas	Kieme pasodinti trys medeliai.
诸位	visi	Dėkoju visiems, kad šiandien atvykote.
逐年	kasmet	Eksploatacijos sąnaudos kasmet didėja.
主办	organizuoti	Mokykla surengė meno festivalį.
主导	lemti	Rinkos paklausa lemia produkto dizainą.
主管	vadovas	Vadovas atsakingas už biudžeto tvirtinimą.
主流	pagrindinė kryptis	Aplinkosaugos idėjos tapo pagrindine kryptimi.
主权	suverenitetas	Valstybės suverenitetas turi būti gerbiamas.
主义	ideologija	Jis tyrinėja skirtingas politines ideologijas.
嘱咐	primygtinai liepti	Motina kelis kartus liepė jam pasiimti skėtį.
拄	remtis	Senolis eidamas remiasi lazda.
住宅	gyvenamasis būstas	Šiame rajone daugiausia gyvenamieji būstai.
助理	asistentas	Asistentas sutvarkė susitikimo medžiagą.
助手	pagalbininkas	Robotas yra laboratorijos pagalbininkas.
注射	injekcija	Gydytojas suleido pacientui vaistų.
注视	įdėmiai žiūrėti	Ji įdėmiai žiūrėjo į tolį.
注释	paaiškinimas	Šalia teksto yra išsamūs paaiškinimai.
注重	skirti dėmesį	Įmonė skiria dėmesį produkto kokybei.
著作	veikalas	Šis veikalas turėjo didelę įtaką.
铸造	lieti	Gamykla lieja dideles detales.
驻扎	dislokuoti	Kariuomenė dislokuota pasienyje.
拽	tempti	Jis įtempė dėžę į namą.
专长	specializacija	Duomenų analizė yra jos specializacija.
专程	specialiai vykti	Jis specialiai atvyko aplankyti mokytojo.
专利	patentas	Įmonė pateikė paraišką naujam patentui.
专题	speciali tema	Televizija parodė specialią laidą apie aplinkosaugą.
砖	plyta	Darbininkai atvežė vežimą plytų.
转达	perduoti	Prašau perduoti mano padėką.
转让	perleisti	Jis nusprendė perleisti parduotuvę.
转移	perkelti	Slaugytoja perkėlė sužeistuosius.
转折	lūžis	Istorijoje įvyko svarbus lūžis.
传记	biografija	Ji rašo tėvo biografiją.
庄稼	pasėliai	Lietus sudrėkino pasėlius.
庄严	iškilmingas	Ceremonijos atmosfera buvo iškilminga.
庄重	orus	Jis vilkėjo orius iškilmingus drabužius.
装备	įranga	Komanda aprūpinta pažangia įranga.
装卸	pakrauti ir iškrauti	Uosto darbininkai atsakingi už krovinių pakrovimą ir iškrovimą.
壮观	įspūdingas	Krioklio vaizdas labai įspūdingas.
壮丽	didingas	Čia plyti didingi kalnai ir upės.
壮烈	didvyriškas	Didvyris žuvo didvyriškai.
幢	pastatas	Gatvės kampe stovi senas pastatas.
追悼	atminimo ceremonija	Žmonės dalyvavo atminimo ceremonijoje.
追究	tirti atsakomybę	Įmonė tirs atsakomybę.
坠	kristi	Lapai krito nuo šakų.
准则	principas	Sąžiningumas yra bendradarbiavimo principas.
卓越	išskirtinis	Ji pasiekė išskirtinių rezultatų.
琢磨	svarstyti	Jis vėl ir vėl svarstė šį klausimą.
着手	imtis	Komanda rytoj imsis tyrimo.
着想	atsižvelgti	Tėvai visada atsižvelgia į vaikų poreikius.
着重	pabrėžti	Ataskaitoje pabrėžiama sąnaudų analizė.
姿态	laikysena	Ji išlaikė kuklią laikyseną.
滋润	drėkinti	Pavasario lietus sudrėkino žemę.
滋味	pojūtis	Nesėkmės pojūtį sunku pakelti.
资本	kapitalas	Verslo pradžiai reikia tam tikro kapitalo.
资产	turtas	Įmonės turtas toliau auga.
资深	patyręs	Patyręs advokatas nagrinėjo šią bylą.
资助	finansiškai remti	Fondas finansiškai remia neturtingus studentus.
子弹	kulka	Kulka pataikė į sieną.
自卑	nepilnavertiškumas	Jis nebejaučia nepilnavertiškumo.
自发	spontaniškas	Gyventojai spontaniškai išvalė gatvę.
自力更生	savarankiškumas	Kaimo gyventojai laikosi savarankiškumo.
自满	savimi patenkintas	Po sėkmės negalima tapti savimi patenkintam.
自主	savarankiškas	Studentai turi ugdyti savarankiško mokymosi gebėjimą.
宗教	religija	Jis tyrinėja pasaulio religijas.
宗旨	tikslas	Organizacijos tikslas yra tarnauti bendruomenei.
棕色	ruda	Ji nusipirko rudus odinius batus.
踪迹	pėdsakas	Policija rado įtariamojo pėdsakų.
总而言之	trumpai tariant	Trumpai tariant, planas įgyvendinamas.
总和	suma	Pelnas yra pajamų ir sąnaudų skirtumas.
纵横	išraižytas	Upės išraižė lygumą.
走廊	koridorius	Vaikai išsirikiavo koridoriuje.
走漏	nutekėti	Žinia negali nutekėti į išorę.
走私	kontrabanda	Muitinė sulaikė kontrabandines prekes.
揍	sumušti	Jį sumušė keli girti vyrai.
租赁	nuomotis	Įmonė išsinuomojo naują biurą.
足以	pakankamas	Šių įrodymų pakanka problemai paaiškinti.
祖父	senelis	Senelis mėgsta pasakoti senas istorijas.
祖国	tėvynė	Jis labai myli savo tėvynę.
祖先	protėvis	Jie pagerbia savo protėvius.
阻碍	trukdyti	Lėšų trūkumas trukdo projekto pažangai.
阻拦	sulaikyti	Apsaugininkas sulaikė nepažįstamuosius prie įėjimo.
阻挠	kliudyti	Kažkas tyčia kliudė tyrimui.
钻研	gilintis	Ji gilinasi į senovės literatūrą.
钻石	deimantas	Žiede įstatytas deimantas.
嘴唇	lūpa	Šaltas vėjas suskeldino lūpas.
罪犯	nusikaltėlis	Policija suėmė pabėgusį nusikaltėlį.
尊严	orumas	Kiekvienas žmogus turi turėti orumą.
遵循	laikytis	Gydytojai laikosi griežtų standartų.
作弊	sukčiauti	Sukčiavimas per egzaminą bus baudžiamas.
作废	nebegalioti	Senas bilietas jau nebegalioja.
作风	darbo stilius	Vadovo darbo stilius yra praktiškas.
作息	darbo ir poilsio režimas	Reguliarus darbo ir poilsio režimas naudingas sveikatai.
做主	nuspręsti	Šiuo klausimu sprendimą priimsi tu.
座右铭	devizas	Jo devizas yra niekada nepasiduoti.
