simplified	KK	example_KK
局限	шектеу	Бұл әдістің айқын шектеуі бар.
举动	әрекет	Оның әрекеті бәрін қатты толқытты.
举世瞩目	әлем назарын аудару	Бұл жоба әлем назарын аударған жетістікке жетті.
举足轻重	аса маңызды	Бұл компания салада аса маңызды орын алады.
咀嚼	шайнау	Тамақ ішкенде баяу шайнау керек.
沮丧	көңілі түсу	Жарыста жеңілгеннен кейін оның көңілі түсті.
剧本	сценарий	Режиссер сценарийді түзетіп жатыр.
剧烈	қатты	Жер қатты сілкінді.
据悉	хабарланғандай	Хабарланғандай, жиналыс келесі аптаға шегеріледі.
聚精会神	бар зейінін салу	Балалар сабаққа бар зейінін салып тыңдады.
卷	орау	Ол картаны орап, сөмкеге салды.
倔强	қыңыр	Бұл баланың мінезі өте қыңыр.
决策	шешім	Басшылық маңызды шешімді талқылап жатыр.
绝望	үмітсіздік	Сәтсіздіктен кейін ол бір кездері үмітсіздік сезінді.
觉悟	сана	Бұл тәжірибе оның санасын өсірді.
觉醒	ояну	Қоғамның қоршаған ортаға санасы оянып келеді.
军队	әскер	Әскер апат аймағына тез жетті.
君子	парасатты адам	Парасатты адам сөзі мен ісін бірдей ұстайды.
卡通	мультфильм	Бала мультфильм көруді ұнатады.
开采	өндіру	Бұл компания пайдалы қазбаларды өндіруге жауапты.
开除	оқудан шығару	Мектеп көшірген оқушыны оқудан шығаруға шешім қабылдады.
开阔	кең	Таудың басында көрініс өте кең.
开朗	ашық-жарқын	Оның мінезі ашық-жарқын, достары көп.
开明	көзі ашық	Ата-анасының көзқарасы көзі ашық.
开辟	ашу	Қала жаңа автобус бағытын ашты.
开拓	кеңейту	Компания шетел нарығын кеңейтуді жоспарлап отыр.
开展	өткізу	Мектеп қауіпсіздік тәрбиесі шарасын өткізді.
开支	шығын	Отбасының ай сайынғы шығыны көбейді.
刊登	жариялау	Газет оның мақаласын жариялады.
刊物	басылым	Бұл басылым айына бір рет шығады.
勘探	барлау	Инженерлер тобы жер асты су көздерін барлап жатыр.
侃侃而谈	еркін сөйлеу	Ол жиналыста еркін сөйледі.
砍伐	ағаш кесу	Орманды ретсіз кесуге тыйым салынады.
看待	қарау	Бұл мәселеге объективті қарауымыз керек.
慷慨	жомарт	Ол сыйақысын жомарттықпен қайырымдылыққа берді.
抗议	наразылық білдіру	Тұрғындар жаңа зауыт салуға наразылық білдірді.
考察	тексеру	Сарапшылар қоршаған ортаны тексеру үшін оқиға орнына барды.
考古	археология	Археология тобы көне қабірлерді тапты.
考核	бағалау	Компания жыл сайын қызметкерлердің жұмысын бағалайды.
考验	сынақтан өткізу	Бұл дағдарыс топтың қабілетін сынақтан өткізді.
靠拢	жақындау	Топ мүшелері ортаға қарай жақындады.
磕	соғып алу	Ол абайсызда үстелдің бұрышына соғып алды.
科目	пән	Математика оның ең сүйікті пәні.
可观	қомақты	Бұл инвестиция қомақты табыс әкелді.
可口	дәмді	Бұл мейрамхананың тағамы өте дәмді.
可恶	жексұрын	Мұндай алдау әрекеті шынымен жексұрын.
可行	іске асатын	Бұл жоспар негізінен іске асатын.
渴望	аңсау	Балалар көбірек мүмкіндік алуды аңсайды.
