simplified	NE	example_NE	SI	example_SI	TA	example_TA
主意	विचार; उपाय	तिमीसँग राम्रो उपाय छ भने भन, सुनौं.	අදහස; සැලැස්ම	ඔබට හොඳ අදහසක් තිබේ නම් කියන්න, අහමු.	யோசனை; திட்டம்	உனக்கு நல்ல யோசனை இருந்தால் சொல்லு, கேட்போம்.
祝贺	बधाई दिनु; बधाई	राम्रो नतिजा पाएकोमा तपाईंहरूलाई बधाई.	සුබ පතනවා; සුබ පැතුම්	හොඳ ප්‍රතිඵල ලබාගත් ඔබලාට සුබ පැතුම්.	வாழ்த்து; பாராட்டு	நல்ல முடிவுகள் பெற்றதற்கு உங்களுக்கு வாழ்த்துகள்.
著名	प्रसिद्ध	ऊ प्रसिद्ध अभिनेता हो.	ප්‍රසිද්ධ	ඔහු ප්‍රසිද්ධ රංගන ශිල්පියෙකි.	பிரபலமான	அவன் பிரபலமான நடிகன்.
专门	विशेष रूपमा	म विशेष रूपमा तिमीलाई भेट्न आएको हुँ.	විශේෂයෙන්	මම විශේෂයෙන් ඔබව බලන්න ආවෙමි.	சிறப்பாக; குறிப்பாக	நான் குறிப்பாக உன்னை பார்க்க வந்தேன்.
专业	मुख्य विषय; अध्ययन क्षेत्र	म विश्वविद्यालयमा कानुन विषय पढ्दै छु.	විෂය ක්ෂේත්‍රය; ප්‍රධාන විෂය	මම විශ්වවිද්‍යාලයේ නීතිය විෂය හදාරමි.	பிரிவு; முதன்மைப் பாடம்	நான் பல்கலைக்கழகத்தில் சட்டப் பிரிவில் படிக்கிறேன்.
转	मोड्नु; घुम्नु	अगाडिको पहिलो चोकमा बायाँ मोड, अस्पताल देख्नेछौ.	හැරෙනවා; මාරු කරනවා	ඉදිරියේ පළමු හන්දියේ වමට හැරෙන්න, එවිට ඔබට රෝහල පෙනේ.	திரும்பு	முன்னால் உள்ள முதல் சந்திப்பில் இடதுபுறம் திரும்பு, மருத்துவமனையைப் பார்ப்பாய்.
赚	कमाउनु; नाफा कमाउनु	उसले व्यवसाय गरेर धेरै पैसा कमायो.	උපයනවා; ලාභ ලබනවා	ඔහු ව්‍යාපාර කර බොහෝ මුදල් උපයා ඇත.	சம்பாதி; லாபம் பெறு	அவன் வணிகம் செய்து நிறைய பணம் சம்பாதித்தான்.
准确	ठ्याक्कै; सही	तिम्रो उत्तर धेरै सही छ.	නිවැරදි; හරියටම	ඔබේ පිළිතුර ඉතා නිවැරදියි.	துல்லியமான	உன் பதில் மிகவும் துல்லியமானது.
准时	समयमै; समयनिष्ठ	बैठक समयमै सुरु भयो.	කාලයට; නිසි වේලාවට	රැස්වීම නියමිත වේලාවට ආරම්භ විය.	நேரத்திற்கு	கூட்டம் நேரத்திற்கு தொடங்கியது.
仔细	सावधान; ध्यानपूर्वक	उनी काम गर्दा अत्यन्त सावधान हुन्छिन्.	පරිස්සම්; අවධානයෙන්	ඇය වැඩ කරන විට ඉතා පරිස්සම්ය.	கவனமான	அவள் வேலை செய்வதில் மிகவும் கவனமாக இருக்கிறாள்.
