simplified	ET	example_ET
指标	näitaja	Müüginäitaja on juba täidetud.
指定	määrama	Õpetaja määras tema küsimusele vastama.
指甲	küüs	Ta lõikas küüned lühikeseks.
指令	käsk	Arvuti sai uue käsu.
指南针	kompass	Mägironijal oli kompass kaasas.
指示	juhis	Juht andis selge juhise.
指望	lootma	Ära looda, et teised sinu eest töö ära teevad.
指责	süüdistama	Avalikkus süüdistab ettevõtet keskkonna saastamises.
制裁	sanktsioon	Rahvusvaheline kogukond kehtestas majandussanktsioonid.
制服	vormiriietus	Turvatöötaja kandis tumesinist vormiriietust.
制约	piirama	Rahapuudus piirab arengut.
制止	peatama	Politsei peatas konflikti õigel ajal.
志气	ambitsioon	Noortel peab olema ambitsiooni.
智力	intellekt	Mäng võib intellekti treenida.
智能	nutikas	Nutikad seadmed muutuvad üha levinumaks.
智商	IQ	IQ ei määra kõike.
治安	avalik kord	Kogukonna avalik kord paranes märgatavalt.
治理	haldamine	Valitsus tugevdas jõe haldamist.
滞留	kinni jääma	Reisijad jäid tugeva lume tõttu lennujaama kinni.
致辞	kõnet pidama	Direktor pidas tseremoonial kõne.
致力	pühenduma	Meeskond pühendub tehnoloogilisele uuendusele.
致使	põhjustama	Juhtimisviga põhjustas projekti edasilükkamise.
中断	katkema	Paduvihm põhjustas side katkemise.
中立	neutraalne	See riik hoiab neutraalset seisukohta.
中央	keskosa	Purskkaev asub väljaku keskosas.
忠诚	lojaalne	Töötajad on ettevõttele väga lojaalsed.
忠实	ustav	Ta on selle ajalehe ustav lugeja.
终点	finiš	Finiš on otse ees.
终究	lõpuks	Probleem laheneb lõpuks.
终身	eluaegne	Ta otsustas eluaegselt haridusega tegeleda.
终止	lõpetama	Leping lõpeb järgmise kuu lõpus.
衷心	südamest	Tänan sind südamest abi eest.
种子	seeme	Põllumees külvas uued seemned.
种族	rass	Seadus keelab rassilise diskrimineerimise.
肿瘤	kasvaja	Arst leidis healoomulise kasvaja.
众所周知	nagu kõigile teada	Nagu kõigile teada, on vesi tähtis.
种植	kasvatama	Siin sobib viinamarju kasvatada.
重心	rõhuasetus	Töö rõhuasetus liigub teenindusele.
周边	ümbrus	Kooli ümbruses on liiklus tihe.
周密	põhjalik	Nad koostasid põhjaliku plaani.
周年	aastapäev	Ettevõte tähistas kümnendat aastapäeva.
周期	tsükkel	Toote uuendustsükkel lühenes.
周折	viperus	Asjaajamisel tuli ette palju viperusi.
周转	käive	Ettevõttel on rahakäibega raskusi.
州	osariik	Ta elab Ameerika Ühendriikides Californias.
粥	puder	Patsient sõi hommikul putru.
舟	paat	Väike paat lähenes aeglaselt kaldale.
昼夜	ööpäev läbi	Töölised parandasid teed ööpäev läbi.
皱纹	korts	Vanaema näol on palju kortse.
株	taim	Õue istutati kolm puud.
诸位	kõik kohalviibijad	Tänan kõiki kohalviibijaid täna tulemast.
逐年	aasta-aastalt	Tegevuskulud kasvavad aasta-aastalt.
主办	korraldama	Kool korraldas kunstifestivali.
主导	juhtima	Turunõudlus juhib tootedisaini.
主管	juht	Juht vastutab eelarve kinnitamise eest.
主流	peavool	Keskkonnateadlikkus on muutunud peavooluks.
主权	suveräänsus	Riigi suveräänsust tuleb austada.
主义	ideoloogia	Ta uurib erinevaid poliitilisi ideoloogiaid.
嘱咐	manitsema	Ema manitses teda mitu korda vihmavarju kaasa võtma.
拄	toetuma	Vana inimene kõnnib kepile toetudes.
住宅	elamu	Selles piirkonnas on peamiselt elamud.
助理	assistent	Assistent korrastas koosolekumaterjalid.
助手	abiline	Robot on eksperimendi abiline.
注射	süstima	Arst süstis patsiendile ravimit.
注视	vaatlema	Ta vaatas kaugusse.
注释	märkus	Teksti kõrval on üksikasjalikud märkused.
注重	rõhutama	Ettevõte rõhutab toote kvaliteeti.
著作	teos	Sellel teosel on kaugeleulatuv mõju.
铸造	valama	Tehas valab suuri osi.
驻扎	paiknema	Väed paiknevad piiril.
拽	tirima	Ta tiris kasti tuppa.
专长	erialane tugevus	Andmeanalüüs on tema erialane tugevus.
专程	spetsiaalselt	Ta tuli spetsiaalselt õpetajat vaatama.
专利	patent	Ettevõte taotles uut patenti.
专题	erisaade	Telekanal näitas keskkonnateemalist erisaadet.
砖	tellis	Töölised tõid kohale koormatäie telliseid.
转达	edasi andma	Palun anna minu tänu edasi.
转让	üle andma	Ta otsustas poe üle anda.
转移	evakueerima	Õde evakueeris haavatud.
转折	pöördepunkt	Loos tekkis suur pöördepunkt.
传记	elulugu	Ta kirjutab isa elulugu.
庄稼	põllukultuur	Vihm kastis põllukultuure.
庄严	pidulik	Tseremoonia õhkkond oli pidulik.
庄重	väärikas	Ta kandis väärikat pidurõivast.
装备	varustus	Meeskonnal on kaasaegne varustus.
装卸	laadimine	Sadamatöölised vastutavad kaupade laadimise eest.
壮观	suurejooneline	Kose vaade on väga suurejooneline.
壮丽	suursugune	Siin on suursugused mäed ja jõed.
壮烈	kangelaslik	Kangelane langes kangelaslikult.
幢	hoone	Tänavanurgal on vana hoone.
追悼	mälestama	Inimesed osalesid mälestustseremoonial.
追究	vastutusele võtma	Ettevõte võtab süüdlased vastutusele.
坠	kukkuma	Lehed kukkusid okstelt alla.
准则	põhimõte	Ausus on koostöö põhimõte.
卓越	silmapaistev	Ta saavutas silmapaistvaid tulemusi.
琢磨	juurdlema	Ta juurdles selle küsimuse üle korduvalt.
着手	alustama	Meeskond alustab homme uurimist.
着想	arvestama	Vanemad arvestavad alati lastega.
着重	keskenduma	Aruanne keskendub kulude analüüsile.
姿态	hoiak	Ta säilitas tagasihoidliku hoiaku.
滋润	niisutama	Kevadvihm niisutas maad.
滋味	maik	Ebaõnnestumise maik ei ole meeldiv.
资本	kapital	Ettevõtlus vajab teatud kapitali.
资产	vara	Ettevõtte vara kasvab pidevalt.
资深	kogenud	Kogenud advokaat tegeleb selle juhtumiga.
资助	toetama	Fond toetab vaeseid õpilasi.
子弹	kuul	Kuul tabas seina.
自卑	alaväärsust tundma	Ta ei tunne enam alaväärsust.
自发	omaalgatuslikult	Elanikud koristasid tänava omaalgatuslikult.
自力更生	oma jõul hakkama saama	Külaelanikud jätkavad oma jõul hakkama saamist.
自满	enesega rahulolev	Pärast edu ei tohi enesega rahulolevaks muutuda.
自主	iseseisev	Õpilased peavad arendama iseseisvat õppimisoskust.
宗教	religioon	Ta uurib maailma religioone.
宗旨	eesmärk	Asutuse eesmärk on kogukonda teenida.
棕色	pruun	Ta ostis pruunid nahkkingad.
踪迹	jälg	Politsei leidis kahtlusaluse jäljed.
总而言之	lühidalt	Lühidalt, plaan on teostatav.
总和	kogusumma	Kasum on tulude ja kulude vahe kogusumma.
纵横	risti-rästi	Jõed kulgevad tasandikul risti-rästi.
走廊	koridor	Lapsed seisid koridoris järjekorras.
走漏	lekkima	Uudis ei tohi välja lekkida.
走私	salakaubavedu	Toll avastas salakauba.
揍	läbi peksma	Mitu purjus meest peksid ta läbi.
租赁	rentima	Ettevõte rentis uue kontori.
足以	piisav	Need tõendid on probleemi selgitamiseks piisavad.
祖父	vanaisa	Vanaisa armastab vanu lugusid rääkida.
祖国	kodumaa	Ta armastab sügavalt oma kodumaad.
祖先	esivanemad	Nad austasid oma esivanemaid.
阻碍	takistama	Rahapuudus takistab projekti edenemist.
阻拦	tõkestama	Turvamees tõkestas võõra sisenemise.
阻挠	takistama	Keegi takistas uurimist meelega.
钻研	süvenema	Ta süveneb vanasse kirjandusse.
钻石	teemant	Sõrmusesse oli kinnitatud teemant.
嘴唇	huuled	Külm tuul lõhestas huuled.
罪犯	kurjategija	Politsei vahistas põgenenud kurjategija.
尊严	väärikus	Igal inimesel peab olema väärikus.
遵循	järgima	Arst järgib rangeid standardeid.
作弊	spikerdama	Eksamil spikerdamise eest karistatakse.
作废	kehtetuks muutuma	Vana pilet on juba kehtetu.
作风	tööstiil	Juhi tööstiil on praktiline.
作息	päevakava	Regulaarne päevakava on tervisele kasulik.
做主	otsustama	Selle asja üle otsustad sina.
座右铭	moto	Tema moto on mitte kunagi alla anda.
