simplified	UZ	example_UZ
牺牲	qurbonlik	Ular odamlarni qutqarish uchun qurbonlik qildi.
膝盖	tizza	Uning tizzasi jarohatlandi.
习俗	urf-odat	Bahor bayramida ko'p an'anaviy urf-odatlar bor.
媳妇	xotin	Uning xotini kasalxonada ishlaydi.
袭击	hujum qilmoq	Bo'ron sohil shahriga hujum qildi.
喜闻乐见	ommaga manzur	Bu turdagi dastur tomoshabinlarga manzur.
喜悦	quvonch	Uning yuzida quvonchli tabassum paydo bo'ldi.
系列	turkum	Kompaniya yangi mahsulotlar turkumini chiqardi.
细菌	bakteriya	Yuqori harorat bakteriyalarni o'ldiradi.
细胞	hujayra	Inson tanasi son-sanoqsiz hujayralardan tashkil topgan.
细致	sinchkov	Uning kuzatuvi juda sinchkov.
峡谷	dara	Daryo chuqur daradan oqib o'tadi.
狭隘	tor fikrli	Bunday tor fikrli qarashni o'zgartirish kerak.
狭窄	tor	Bu yo'l juda tor.
霞	shafaq	Kechki shafaq osmonni qizartirdi.
下属	qo'l ostidagi xodim	Menejer qo'l ostidagi xodimlarning fikrini diqqat bilan tingladi.
先进	ilg'or	Zavod ilg'or uskunalardan foydalandi.
先前	avvalgi	Avvalgi reja allaqachon o'zgardi.
掀起	avj oldirmoq	Bu kitob munozarani avj oldirdi.
纤维	tola	Bu matoda tabiiy tola bor.
鲜明	aniq-ravshan	Uning pozitsiyasi aniq-ravshan.
嫌	yoqtirmaslik	U xonaning juda kichikligini yoqtirmadi.
嫌疑	gumon	Bu erkak kuchli gumon ostida.
弦	cholg'u tori	Gitaraning bitta tori uzildi.
衔接	bog'lamoq	Ikki kurs mazmuni yaxshi bog'langan.
贤惠	oqila va epchil	U oqila va epchil ayol deb hisoblanadi.
闲话	g'iybat	Boshqalar haqida orqadan g'iybat qilmang.
显著	sezilarli	Davolash ta'siri juda sezilarli.
宪法	konstitutsiya	Konstitutsiya fuqarolarning asosiy huquqlarini kafolatlaydi.
现场	hodisa joyi	Jurnalistlar hodisa joyiga allaqachon yetib kelgan.
现成	tayyor	Oshxonada tayyor ovqat bor.
现状	hozirgi holat	Biz sohaning hozirgi holatini tushunishimiz kerak.
线索	iz	Politsiya yangi iz topdi.
陷害	soxta ayb bilan tuzoqqa tushirmoq	U kimdir uni soxta ayb bilan tuzoqqa tushirganini aytdi.
陷阱	tuzoq	Ovchi bitta tuzoq qo'ydi.
陷入	tushib qolmoq	Kompaniya moliyaviy qiyinchilikka tushib qoldi.
馅儿	ichki masalliq	Bu somsadagi ichki masalliq juda xushbo'y.
乡镇	qishloq-shaharcha	Qishloq-shaharcha maktablari sharoiti yaxshilanmoqda.
相差	farq qilmoq	Ikki joy harorati o'n daraja farq qiladi.
相等	teng	Ikki uchburchakning maydoni teng.
相辅相成	bir-birini to'ldirmoq	Nazariya va amaliyot bir-birini to'ldiradi.
相应	tegishli	Kompaniya tegishli choralar ko'radi.
镶嵌	qadamoq	Uzukka bitta qimmatbaho tosh qadalgan.
响亮	jarangdor	Uning javobi jarangdor eshitildi.
响应	javob bermoq	Ko'p odamlar ekologik tashabbusga javob berdi.
想方设法	hamma yo'lni izlamoq	Ular xarajatni kamaytirish uchun hamma yo'lni izladi.
向导	yo'l ko'rsatuvchi	Mahalliy yo'l ko'rsatuvchi bizni tog'ga olib kirdi.
向来	doim	U doim ishonchga katta ahamiyat beradi.
向往	intilmoq	U tinch hayotga intiladi.
巷	tor ko'cha	Eski tor ko'chada ko'p kichik do'kon ochildi.
相声	qiziqchilik suhbati	Bobom an'anaviy qiziqchilik suhbatini tinglashni yaxshi ko'radi.
消除	bartaraf etmoq	Muloqot tushunmovchilikni bartaraf etadi.
消毒	dezinfeksiya qilmoq	Shifokor yarani dezinfeksiya qildi.
消防	yong'in xavfsizligi	Yong'in xavfsizligi xodimlari voqea joyiga tez yetib keldi.
消耗	sarflamoq	Uzoq safar ko'p jismoniy kuch sarflaydi.
消灭	yo'q qilmoq	Ishchilar zararkunandalarni yo'q qilmoqda.
潇洒	erkin va xushbichim	Uning yurishi erkin va xushbichim ko'rinadi.
销毁	yo'q qilib tashlamoq	Bojxona soxta mahsulotlarni yo'q qilib tashladi.
小心翼翼	juda ehtiyotkor	U qutini juda ehtiyotkor ochdi.
效益	samara	Yangi uskuna ishlab chiqarish samarasini oshirdi.
肖像	portret	Devorda uning portreti osilgan.
协会	uyushma	Bu uyushma yosh tadbirkorlarga yordam beradi.
协商	muzokara qilmoq	Ikki tomon muzokarani davom ettirishga tayyor.
协调	muvofiqlashtirmoq	Loyiha menejeri resurslarni muvofiqlashtirish uchun javobgar.
协议	kelishuv	Ikki tomon hamkorlik kelishuvini imzoladi.
协助	yordam bermoq	Ko'ngillilar keksa odamga yo'ldan o'tishda yordam berdi.
携带	olib yurmoq	Yo'lovchilar xavfli buyumlarni olib yurmasligi kerak.
屑	qipiq	Stol ustida ko'p yog'och qipig'i bor.
泄露	sizdirib yubormoq	Xodimlar mijoz ma'lumotlarini sizdirib yubormasligi kerak.
泄气	ruhdan tushmoq	Muvaffaqiyatsizlikdan keyin ruhdan tushmang.
谢绝	xushmuomalalik bilan rad etmoq	Mehmonxona tashqaridan olib kelingan ovqatni xushmuomalalik bilan rad etadi.
心得	o'rgangan xulosa	U o'qishdan olgan xulosalarini bo'lishdi.
心甘情愿	jon deb	U jon deb qolib yordam berdi.
心灵	ruh	Musiqa uning ruhiga taskin berdi.
心态	ruhiy munosabat	Ijobiy ruhiy munosabatni saqlash muhim.
心疼	ichi achimoq	Ona jarohatlangan bolasiga ichi achidi.
心血	mashaqqatli mehnat	Bu kitobda muallifning mashaqqatli mehnati jamlangan.
心眼儿	ko'ngil torligi	U biroz ko'ngli tor odam.
新陈代谢	modda almashinuvi	Jismoniy mashq modda almashinuvini tezlashtiradi.
新郎	kuyov	Kuyov eshik oldida mehmonlarni kutib oldi.
新娘	kelin	Kelin oq to'y libosida edi.
新颖	yangi va o'ziga xos	Bu dizayn juda yangi va o'ziga xos.
欣慰	ko'ngli taskin topmoq	Bolasining o'sishini ko'rib, uning ko'ngli taskin topdi.
欣欣向荣	gullab-yashnamoq	Shaharchada turizm gullab-yashnamoqda.
薪水	maosh	Uning maoshi oilani boqishga yetadi.
辛勤	mehnatkash	Dehqonlar ekinni mehnat qilib yetishtiradi.
信赖	ishonmoq	Mijozlar bu kompaniyaga juda ishonadi.
信念	e'tiqod	Qat'iy e'tiqod uni qo'llab turdi.
信仰	imon-e'tiqod	U turli imon-e'tiqodlarni hurmat qiladi.
信誉	obro'	Korxona o'z obro'sini himoya qilishi kerak.
兴高采烈	quvonchga to'lmoq	Bolalar quvonchga to'lib sinfga yugurib kirdi.
兴隆	rivojlangan	Bu eski do'konning savdosi rivojlangan.
兴旺	gullab-yashnagan	Bozor iqtisodiyoti tobora gullab-yashnamoqda.
腥	baliq hidi bor	Bu baliqda biroz baliq hidi bor.
刑事	jinoiy	Politsiya jinoiy ishni tergov qilmoqda.
形态	shakl	O'simlik shakli muhitga qarab o'zgaradi.
行政	ma'muriy	Ma'muriy bo'lim arizalarni ko'rib chiqadi.
兴致勃勃	katta qiziqish bilan	Hamma rejani katta qiziqish bilan muhokama qildi.
性感	jozibali	Bu kechki libos juda jozibali ko'rinadi.
性命	jon	Shifokor uning jonini saqlab qoldi.
性能	ishlash quvvati	Bu kompyuterning ishlash quvvati yaxshi.
凶恶	yovuz	Bu it juda yovuz ko'rinadi.
凶手	qotil	Politsiya nihoyat qotilni tutdi.
汹涌	to'lqinlanib ko'tarilmoq	Dengiz to'lqinlari qirg'oqqa shiddat bilan urildi.
胸怀	keng qalb	U keng qalbli inson.
胸膛	ko'krak	Askar ko'kragini kerdi.
雄厚	kuchli va boy	Kompaniyaning moliyaviy resurslari kuchli.
雄伟	ulug'vor	Bu ko'prik juda ulug'vor.
修复	tiklamoq	Muhandislar tizimni tiklamoqda.
修建	qurmoq	Hukumat yangi aeroport qurishni rejalashtirmoqda.
修养	tarbiya	Yaxshi tarbiya mayda tafsilotlarda ko'rinadi.
羞耻	uyat	U yolg'on gapirgandan keyin uyat his qildi.
嗅觉	hid bilish	Itning hid bilishi juda sezgir.
绣	kashta tikmoq	Buvim gul kashta tika oladi.
虚假	yolg'on	Sayt yolg'on xabar tarqatdi.
虚荣	manmanlik	Manmanlik uni ortiqcha pul sarflashga majbur qildi.
虚伪	ikkiyuzlama	U ikkiyuzlama xushmuomalalikni yoqtirmaydi.
需求	talab	Bozor talabi oshmoqda.
须知	bilishi kerak bo'lgan qoida	Iltimos, avval ro'yxatdan o'tish qoidalarini o'qing.
许可	ruxsat	Ruxsatsiz kirish mumkin emas.
序言	so'zboshi	Muallif so'zboshida fon ma'lumotini tushuntiradi.
畜牧	chorvachilik	Dasht chorvachilikni rivojlantirishga mos.
酗酒	ichkilikka berilish	Uzoq vaqt ichkilikka berilish sog'likka zarar yetkazadi.
喧哗	shovqin-suron	Kutubxonada shovqin-suron qilish taqiqlanadi.
宣誓	qasamyod qilmoq	Yangi a'zolar yig'ilishda qasamyod qildi.
宣扬	targ'ib qilmoq	Maktab halollik va ishonchni targ'ib qiladi.
悬挂	osib qo'ymoq	Devorda bitta rasm osilib turibdi.
悬念	kutilmagan sir	Film oxirida kutilmagan sir qoldi.
悬殊	katta tafovut	Ikki jamoa kuchida katta tafovut bor.
悬崖峭壁	tik qoya	Tog' yo'li yonida tik qoya bor.
旋律	kuy	Bu qo'shiqning kuyi yoqimli.
旋转	aylanmoq	Shamol tegirmoni shamolda aylanmoqda.
选拔	saralamoq	Maktab sportchilarni saralamoqda.
选举	saylov	Qishloqda saylov o'tkazildi.
选手	ishtirokchi	Bu ishtirokchi barqaror natija ko'rsatdi.
炫耀	maqtanmoq	U doim boyligi bilan maqtanishni yaxshi ko'radi.
削	kesib qisqartirmoq	Kompaniya ba'zi xarajatlarni qisqartirdi.
削弱	zaiflashtirmoq	Charchoq fikrlashni zaiflashtiradi.
学说	nazariya	Bu nazariyaning ta'siri katta.
学位	ilmiy daraja	U magistr darajasini oldi.
雪上加霜	dard ustiga chipqon	Ishdan ayrilib, keyin kasal bo'lish dard ustiga chipqon bo'ldi.
血压	qon bosimi	Shifokor unga qon bosimini nazorat qilishni eslatdi.
熏陶	ta'sirida tarbiyalanmoq	U bolaligidan musiqa ta'sirida tarbiyalandi.
寻觅	izlamoq	Ular mos uy-joyni hamma joydan izladi.
巡逻	patrul qilmoq	Politsiya kechasi ko'chalarni patrul qiladi.
循环	aylanib turmoq	Suv tizimda aylanib turadi.
循序渐进	bosqichma-bosqich	Til o'rganish bosqichma-bosqich bo'lishi kerak.
压迫	ezmoq	Eski tuzum oddiy xalqni ezdi.
压岁钱	bayram puli	Bola yangi yil bayram pulini oldi.
压缩	siqmoq	Dastur rasm hajmini siqa oladi.
压抑	bostirmoq	U ichidagi g'azabni bostirishga harakat qildi.
压榨	siqib chiqarmoq	Mashina shakarqamish sharbatini siqib chiqarmoqda.
压制	bosib turmoq	Dori og'riqni bosib turadi.
鸦雀无声	suv quygandek jim	O'qituvchi kirgach, sinf suv quygandek jim bo'ldi.
亚军	ikkinchi o'rin	U musobaqada ikkinchi o'rinni oldi.
淹没	suv bosmoq	Toshqin pastqam qishloqni suv bosdi.
烟花爆竹	mushak va petarda	Bayramda mushak va petarda otish taqiqlangan.
严峻	jiddiy	Bandlik vaziyati hanuz jiddiy.
严寒	qattiq sovuq	Qattiq sovuq transportga ta'sir qildi.
严禁	qattiq taqiqlamoq	Bu yerda chekish qat'iy taqiqlanadi.
严厉	qattiq	O'qituvchi uni qattiq tanqid qildi.
严密	puxta	Omborda puxta kuzatuv bor.
岩石	tosh	Dengiz bo'yidagi toshlar juda qattiq.
延期	muddatini kechiktirmoq	Yig'ilish kelasi haftaga qoldirildi.
延伸	cho'zilmoq	Yo'l shimol tomonga cho'ziladi.
延续	davom etmoq	Bu an'ana yuz yil davom etdi.
沿海	sohilbo'yi	Sohilbo'yi shaharlarida savdo rivojlangan.
炎热	jazirama	Jazirama havo odamni charchatadi.
言论	fikr-mulohaza	Jamoatchilik uning fikr-mulohazalariga e'tibor beradi.
掩盖	yashirmoq	U xatosini yashirishga urindi.
掩护	pana bermoq	Jamoadoshlar chekinishga pana berdi.
掩饰	yashirib ko'rsatmoq	U hayajonini yashirishga harakat qildi.
演变	o'zgarib rivojlanmoq	Shahar tuzilishi doim o'zgarib rivojlanmoqda.
演习	mashg'ulot	Maktab yong'in bo'yicha mashg'ulot o'tkazdi.
演绎	mantiqan keltirib chiqarmoq	O'qituvchi bu teoremani mantiqan keltirib chiqardi.
演奏	chalmoq	Orkestr klassik musiqa chalmoqda.
眼光	qarash	Uning sarmoya borasidagi qarashi yaxshi.
眼色	ko'z ishorasi	U hamkasbiga ko'z ishorasi qildi.
眼神	ko'z qarashi	Uning ko'z qarashi juda qat'iy edi.
厌恶	nafratlanmoq	U aldovdan nafratlanadi.
验收	qabul tekshiruvi	Loyiha tugagach, qabul tekshiruvi kerak.
验证	tekshirib tasdiqlamoq	Tajriba taxminni tekshirib tasdiqladi.
氧气	kislorod	Bemor kislorod yutishi kerak.
样品	namuna	Mijoz mahsulot namunalarini oldi.
摇摆	tebranmoq	Kichik qayiq shamol va to'lqinda tebrandi.
摇滚	rok musiqa	Yoshlar rok musiqani yaxshi ko'radi.
谣言	mish-mish	Tasdiqlanmagan mish-mishlarni tarqatmang.
遥控	masofadan boshqarmoq	U telefon orqali konditsionerni masofadan boshqardi.
遥远	olis	U qishloq shahardan juda olis.
耀眼	ko'zni qamashtirmoq	Quyosh nuri ko'zni qamashtirdi.
要点	asosiy nuqta	Iltimos, yig'ilishning asosiy nuqtalarini yozib oling.
要命	o'ta xavfli	Bu tog' yo'li o'ta xavfli.
要素	omil	Ishonch hamkorlikning muhim omilidir.
野蛮	vahshiy	U vahshiy qonun ijrosiga qarshi.
野心	ambitsiya	Uning siyosiy ambitsiyasi aniq ko'rinadi.
液体	suyuqlik	Bu suyuqlik rangsiz.
一流	birinchi darajali	Bu kasalxonaning jihozlari birinchi darajali.
一如既往	har doimgidek	U har doimgidek bizni qo'llab-quvvatlaydi.
依旧	hanuz	Yomg'ir to'xtadi, lekin ko'cha hanuz nam.
依据	asos	Hukm qonunga asoslanishi kerak.
依靠	tayanmoq	Ular hayotda qishloq xo'jaligiga tayanadi.
依赖	qaram bo'lmoq	Bolalar ota-onaga haddan tashqari qaram bo'lmasligi kerak.
依托	tayanib rivojlanmoq	Loyiha mahalliy resurslarga tayanib rivojlanadi.
衣裳	kiyim	U toza kiyim kiyib oldi.
一度	bir vaqtlar	Kompaniya bir vaqtlar bankrotlikka duch kelgan.
一贯	doimiy	U isrofgarchilikka doimiy ravishda qarshi.
一目了然	bir qarashda ravshan	Jadval mazmuni bir qarashda ravshan.
一向	hamisha	U hamisha vaqtida keladi.
仪器	asbob	Laboratoriya yangi asbob sotib oldi.
仪式	marosim	Bitiruv marosimi ertaga o'tkaziladi.
疑惑	hayronlik	Talaba javobdan hayron bo'ldi.
遗产	meros	Bu qadimiy shahar madaniy merosdir.
遗传	irsiyat	Bu kasallik irsiy bo'lishi mumkin.
遗留	ortib qolmoq	Tarixdan ortib qolgan muammolarni hal qilish kerak.
遗失	yo'qotmoq	Yo'lovchi pasportini yo'qotdi.
以便	uchun	Telefon raqamingizni qoldiring, bog'lanishimiz uchun.
以免	oldini olish uchun	Kechikmaslik uchun ertaroq chiqing.
以往	ilgarigi	Ilgarigi tajribadan foydalanish mumkin.
以至	hatto	Qamrov mahalladan hatto butun shahargacha kengaydi.
以致	natijada	Yomg'ir tinmadi, natijada yo'llar uzildi.
一帆风顺	silliq kechmoq	Tadbirkorlik doim silliq kechishi mumkin emas.
一举两得	bir yo'la ikki foyda	Ishga velosipedda borish bir yo'la ikki foyda beradi.
一丝不苟	juda sinchkov	Muhandis simlarni juda sinchkov tekshirdi.
亦	ham	U ham bu rejaga rozi bo'ldi.
异常	g'ayritabiiy	Tizimda g'ayritabiiy holat yuz berdi.
意料	kutilgan holat	Natija butunlay kutilmagan holat bo'ldi.
意识	anglamoq	U muammoning jiddiyligini asta-sekin angladi.
意图	niyat	Politsiya uning niyatini fahmladi.
意味着	anglatmoq	Sukut rozilikni anglatmaydi.
意向	istak	Ikki tomon hamkorlik istagini bildirdi.
意志	iroda	Qiyinchilik odamning irodasini sinaydi.
毅力	matonat	Muvaffaqiyat uzoq muddatli matonat talab qiladi.
毅然	qat'iyat bilan	U kompaniyadan qat'iyat bilan ketdi.
翼	qanot	Samolyot qanoti tekshirildi.
阴谋	fitna	Ular bu fitnani fosh qildi.
音响	ovoz tizimi	Mehmonxonadagi ovoz tizimi yaxshi.
引导	yo'naltirmoq	O'qituvchi talabalarni fikrlashga yo'naltirdi.
引擎	dvigatel	Mashina dvigateli birdan o'chib qoldi.
引用	iqtibos keltirmoq	Maqola ko'p materiallardan iqtibos keltirdi.
隐蔽	yashirinmoq	Askarlar o'rmonda yashirindi.
隐患	yashirin xavf	Eski simlarda yashirin xavf bor.
隐瞒	haqiqatni yashirmoq	U haqiqatni yashirmadi.
隐私	shaxsiy sir	Kompaniya foydalanuvchi shaxsiy sirini himoya qilishi kerak.
隐约	xira	Uzoqdan qo'shiq ovozi xira eshitildi.
饮食	ovqatlanish	Sog'lom ovqatlanish tiklanishga yordam beradi.
婴儿	chaqaloq	Chaqaloq tinchgina uxlayapti.
英明	dono	Rahbar dono qaror qabul qildi.
英勇	jasur	O't o'chiruvchi bolani jasorat bilan qutqardi.
盈利	foyda	Kompaniya bu yil foyda ko'ra boshladi.
迎面	ro'paradan	Sovuq shamol ro'paradan esdi.
应酬	rasmiy muloqot	Uning bugun kechqurun ko'p rasmiy muloqotlari bor.
应邀	taklif bilan	Mutaxassis anjumanga taklif bilan qatnashdi.
庸俗	did past	Bu reklamaning mazmuni did past.
拥护	qo'llab-quvvatlamoq	Hamma yangi siyosatni qo'llab-quvvatlaydi.
拥有	ega bo'lmoq	U boy tajribaga ega.
勇于	jur'at qilmoq	Yoshlar sinab ko'rishga jur'at qilishi kerak.
永恒	abadiy	Sevgi doim abadiy o'zgarmas emas.
涌现	ko'plab paydo bo'lmoq	Har joyda yaxshi o'qituvchilar ko'plab paydo bo'lmoqda.
踊跃	faol	Aholi tadbirga faol ro'yxatdan o'tdi.
用户	foydalanuvchi	Foydalanuvchi parolini o'zgartirishi mumkin.
优胜劣汰	kuchli qolib, zaif chetlanish	Bozor raqobati kuchli qolib, zaif chetlanishni ko'rsatadi.
优先	ustuvorlik	Keksalar ishini ustuvor ko'rib chiqish mumkin.
优异	a'lo	U a'lo natijaga erishdi.
优越	ustun	Bu joyning geografik o'rni ustun.
忧郁	g'amgin	Uning ifodasi g'amgin ko'rindi.
油腻	yog'li	Bu taom juda yog'li.
油漆	bo'yoq	Ishchilar eshikka bo'yoq surmoqda.
犹如	go'yo	Ko'l yuzasi go'yo ko'zgudek.
有条不紊	tartibli	Yig'ilish tartibli davom etdi.
幼稚	bolalarcha	Bu fikr biroz bolalarcha.
诱惑	vasvasa	Reklama iste'mol vasvasalariga to'la.
愚蠢	ahmoqona	Bu qaror juda ahmoqona.
愚昧	johil	Johil qarashlar taraqqiyotga to'sqinlik qiladi.
渔民	baliqchi	Baliqchilar tongda dengizga baliq ovlashga chiqadi.
舆论	jamoatchilik fikri	Jamoatchilik fikri ishga katta ta'sir qiladi.
与日俱增	kundan kunga ortmoq	Sayyohlar soni kundan kunga ortmoqda.
宇宙	koinot	Insoniyat koinotni tinimsiz o'rganmoqda.
羽绒服	patli qishki kurtka	Qishda patli qishki kurtka kiyish kerak.
寓言	masal	Bu masal tarbiyaviy ma'noga ega.
愈	tuzalmoq	Bemorning ahvoli tobora tuzalmoqda.
欲望	istak	U xarid qilish istagini jilovladi.
熨	dazmollamoq	U ko'ylakni tekis qilib dazmolladi.
玉	nefrit toshi	Bu nefrit toshining rangi iliq.
预料	oldindan kutmoq	Voqealar rivoji oldindan kutilgandan oshib ketdi.
预期	kutilgan natija	Savdo kutilgan natijadan past bo'ldi.
预算	budjet	Loyiha budjetini o'zgartirish kerak.
预先	oldindan	Iltimos, materiallarni oldindan tayyorlang.
预言	bashorat	Uning bashorati amalga oshmadi.
预兆	alomat	Og'riq kasallik alomati bo'lishi mumkin.
冤枉	nohaq ayblamoq	Aybsiz odamni nohaq ayblamang.
元首	davlat rahbari	Ikki davlat rahbari muzokara o'tkazdi.
元素	kimyoviy unsur	Kislorod kimyoviy unsurdir.
元宵节	Yuanxiao bayrami	Yuanxiao bayramida odamlar chiroqlarni tomosha qiladi.
原告	da'vogar	Da'vogar yangi dalil taqdim etdi.
原理	tamoyil	O'qituvchi mashina ishlash tamoyilini tushuntirdi.
原始	asl	Ular asl yozuvlarni saqlab qolishdi.
原先	avvalgi	Avvalgi reja allaqachon o'zgardi.
园林	bog' va parklar	Suzhou bog' va parklari juda mashhur.
圆满	muvaffaqiyatli	Yig'ilish muvaffaqiyatli yakunlandi.
源泉	manba	Amaliyot bilimning manbaidir.
缘故	sabab	U sog'lig'i sabab ishdan ketdi.
约束	cheklamoq	Tizim xodimlar xatti-harakatini cheklaydi.
乐谱	nota yozuvi	U nota yozuvini diqqat bilan o'qidi.
岳母	qaynona	U dam olish kuni qaynonasini ko'rgani bordi.
孕育	yetishtirmoq	Tuproq yangi hayotni yetishtiradi.
蕴藏	o'zida saqlamoq	Tog'li hudud boy konlarni o'zida saqlaydi.
运算	hisoblash amali	O'quvchilar matematik hisoblash amallarini mashq qiladi.
运行	ishlamoq	Tizim barqaror ishlamoqda.
酝酿	pishitmoq	Ikki tomon yangi rejani pishitmoqda.
杂技	akrobatika	Bolalar akrobatika tomoshasini yaxshi ko'radi.
杂交	chatishtirish	Olimlar chatishtirilgan guruchni o'rganmoqda.
砸	urib sindirmoq	Stakan yerga urilib sindi.
咋	nega	Nega hali qaytmading?
栽培	parvarishlab yetishtirmoq	Bog'bon ko'p gul parvarishlab yetishtirdi.
灾难	falokat	Falokatdan keyin shahar qayta qurila boshladi.
宰	so'ymoq	Bayramda qishloq ahli qo'y so'ydi.
再接再厉	yana ham g'ayrat qilmoq	Mukofotdan keyin jamoa yana ham g'ayrat qildi.
在意	ahamiyat bermoq	U boshqalarning fikriga juda ahamiyat beradi.
攒	jamg'armoq	U kompyuter olish uchun pul jamg'armoqda.
暂且	hozircha	Bu masalani hozircha chetga qo'yaylik.
赞叹	hayrat bilan maqtamoq	Tomoshabinlar aktyorning ijrosini hayrat bilan maqtadi.
赞助	homiylik qilmoq	Korxona bu musobaqaga homiylik qildi.
糟蹋	isrof qilmoq	Bu yangi ovqatlarni isrof qilmang.
遭受	boshdan kechirmoq	Dalalar og'ir qurg'oqchilikni boshdan kechirdi.
遭殃	baloga qolmoq	Ko'prik qulagach, yaqin atrof aholisi baloga qoldi.
遭遇	duch kelmoq	Ular yo'lda qor bo'roniga duch keldi.
噪音	shovqin	Qurilish shovqini dam olishga xalaqit beradi.
造型	tashqi shakl	Bu mashinaning tashqi shakli juda o'ziga xos.
责怪	ayblamoq	Iltimos, bolani biryoqlama ayblamang.
贼	o'g'ri	Politsiya o'sha o'g'rini ushladi.
增添	qo'shmoq	Gullar xonaga rang qo'shdi.
赠送	sovg'a qilmoq	Do'kon kichik sovg'alar beradi.
扎	sanchmoq	Hamshira unga ukol sanchdi.
扎实	puxta	Uning grammatika asosi puxta.
渣	qoldiq	Piyola tubida qahva qoldig'i qoldi.
眨	kiprik qoqmoq	U kiprigini qoqdi.
诈骗	firibgarlik qilmoq	Politsiya telefon firibgarligi ishini ochdi.
摘要	xulosa	Maqola xulosasi aniq yozilgan.
债券	obligatsiya	Sarmoyadorlar davlat obligatsiyasini sotib oladi.
沾光	foydasini ko'rmoq	Men ham do'stim tufayli foydasini ko'rdim.
瞻仰	ehtirom ko'rsatmoq	Sayyohlar qahramonlar yodgorligiga ehtirom ko'rsatdi.
展示	namoyish qilmoq	Kompaniya eng yangi mahsulotini namoyish qildi.
展望	istiqbol	Hisobot kelajak istiqbolini ko'rsatadi.
展现	ko'rsatmoq	Asar qishloq hayotini ko'rsatadi.
崭新	tamoman yangi	U tamoman yangi velosiped sotib oldi.
斩钉截铁	qat'iy	U qat'iy rad etdi.
占据	egallamoq	Reklama butun sahifani egalladi.
占领	bosib olmoq	Qo'shin tog' dovonini bosib oldi.
战斗	jang	Jang uch soat davom etdi.
战略	strategiya	Kompaniya rivojlanish strategiyasini o'zgartirdi.
战术	taktika	Murabbiy o'yin taktikasini o'zgartirdi.
战役	harbiy yurish	Bu harbiy yurish vaziyatni o'zgartirdi.
章程	nizom	Uyushma yangi nizomni qabul qildi.
帐篷	chodir	Ular ko'l bo'yida chodir tikdi.
障碍	to'siq	Til to'sig'i muloqotga ta'sir qiladi.
招标	tender e'lon qilmoq	Muhandislik loyihasi ochiq tender e'lon qildi.
招收	qabul qilmoq	Maktab bu yil yangi o'quvchilarni qabul qilmoqda.
朝气蓬勃	serg'ayrat	Yosh jamoa juda serg'ayrat.
着迷	maftun bo'lmoq	Bola astronomiyaga maftun bo'lgan.
沼泽	botqoqlik	Ekspeditsiya botqoqlikdan o'tdi.
照样	odatdagidek	Yomg'ir yog'di, mashg'ulot odatdagidek davom etdi.
照耀	yoritmoq	Quyosh maydonni yoritib turardi.
折腾	ovora qilmoq	Bu eski kompyuterni boshqa ovora qilmang.
遮挡	to'smoq	Daraxt shoxlari derazani to'sdi.
折	buklamoq	U qog'ozni samolyot shaklida bukladi.
折磨	qiynamoq	Uzoq davom etgan uyqusizlik uni qiynadi.
侦探	izquvar	Izquvar muhim iz topdi.
斟酌	obdan o'ylamoq	Iltimos, so'z tanlashni obdan o'ylang.
珍贵	qimmatli	Bu suratlar juda qimmatli.
珍稀	noyob	Noyob yovvoyi hayvonlarni himoya qiling.
珍珠	marvarid	U marvarid sirg'a taqqan.
真理	haqiqat	Amaliyot haqiqatni sinaydi.
真相	asl haqiqat	Jurnalist asl haqiqatni aniqlashga urindi.
真挚	samimiy	U samimiy minnatdorchilik bildirdi.
枕头	yostiq	Bu yostiq juda baland.
振奋	ruhlantirmoq	Yaxshi xabar hammani ruhlantirdi.
振兴	qayta rivojlantirmoq	Hukumat qishloqni qayta rivojlantirishni ilgari surmoqda.
镇定	vazmin	U xavfli vaziyatda vazmin qoldi.
镇静	xotirjam	Hamshira bemorga xotirjam turishni aytdi.
阵地	mudofaa o'rni	Askarlar mudofaa o'rnini saqlab qoldi.
阵容	tarkib	Jamoa boshlang'ich tarkibni e'lon qildi.
震撼	larzaga solmoq	Bu film juda larzaga soldi.
震惊	hayratda qoldirmoq	Xabar butun mamlakatni hayratda qoldirdi.
争端	mojaro	Ikki tomon chegara mojarosini hal qilishga urindi.
争夺	talashmoq	Ikki kompaniya bozor ulushi uchun talashmoqda.
争气	yuzini yorug' qilmoq	U oilasining yuzini yorug' qilish uchun astoydil o'qiydi.
争先恐后	bir-biridan o'zishga shoshilmoq	Sayyohlar avtobusga chiqishda bir-biridan o'zishga shoshildi.
争议	bahs	Bu qaror bahsga sabab bo'ldi.
征服	zabt etmoq	Alpinist cho'qqini zabt etdi.
征收	undirib olmoq	Hukumat qonun bo'yicha soliq undiradi.
挣扎	kurashmoq	Qush to'r ichida kurashdi.
正月	qamariy yilning birinchi oyi	Qamariy yilning birinchi oyida qarindoshlar bir-birini tabriklaydi.
蒸发	bug'lanmoq	Namlik tez bug'landi.
整顿	tartibga solmoq	Kompaniya boshqaruvni tartibga sola boshladi.
政策	siyosat	Yangi siyosat kichik biznesni qo'llab-quvvatlaydi.
政权	hokimiyat	Urush mahalliy hokimiyatni o'zgartirdi.
正当	qonuniy	U qonuniy talab bildirdi.
正负	musbat va manfiy	Asbob musbat va manfiy xatoni ko'rsatadi.
