simplified	HR	example_HR
崭新	potpuno nov	Kupio je potpuno nov bicikl.
斩钉截铁	odlučan	Ona je odlučno odbila.
占据	zauzeti	Oglas je zauzeo cijelu stranicu.
占领	zauzeti	Vojska je zauzela planinski prijevoj.
战斗	borba	Borba je trajala tri sata.
战略	strategija	Tvrtka je prilagodila razvojnu strategiju.
战术	taktika	Trener je promijenio taktiku utakmice.
战役	vojna kampanja	Ova kampanja promijenila je situaciju.
章程	pravila	Udruga je usvojila nova pravila.
帐篷	šator	Podigli su šatore uz jezero.
障碍	prepreka	Jezične prepreke utječu na komunikaciju.
招标	raspisati natječaj	Inženjerski projekt raspisao je javni natječaj.
招收	primati; regrutirati	Škola ove godine prima nove učenike.
朝气蓬勃	pun energije	Mladi tim pun je energije.
着迷	biti očaran	Dijete je očarano astronomijom.
沼泽	močvara	Ekspedicija je prešla močvaru.
照样	kao i obično	Padala je kiša, ali je trening nastavljen kao i obično.
照耀	obasjati	Sunčeva svjetlost obasjava trg.
折腾	petljati	Prestani petljati oko ovog starog računala.
遮挡	zakloniti	Grane su zaklonile prozor.
折	presaviti	On je presavio papir u avion.
折磨	mučiti	Dugotrajna nesanica je muči.
侦探	detektiv	Detektiv je pronašao ključni trag.
斟酌	pažljivo razmotriti	Molimo pažljivo razmotrite formulaciju.
珍贵	dragocjen	Ove fotografije su vrlo dragocjene.
珍稀	rijedak i dragocjen	Zaštitite rijetke i dragocjene divlje životinje.
珍珠	biser	Ona nosi biserne naušnice.
真理	istina	Praksa provjerava istinu.
真相	prava istina	Novinar je nastojao otkriti pravu istinu.
真挚	iskren	Ona je izrazila iskrenu zahvalnost.
枕头	jastuk	Ovaj jastuk je previsok.
振奋	ohrabriti	Dobre vijesti ohrabrile su sve.
振兴	oživjeti	Vlada potiče oživljavanje sela.
镇定	smiren	U hitnoj situaciji ostao je smiren.
镇静	smiren	Medicinska sestra rekla je pacijentu da ostane smiren.
阵地	položaj	Vojnici su zadržali položaj.
阵容	postava	Tim je objavio početnu postavu.
震撼	potresan	Ovaj film je iznimno potresan.
震惊	šokirati	Vijest je šokirala cijelu zemlju.
争端	spor	Obje strane pokušale su riješiti granični spor.
争夺	nadmetati se	Dvije se tvrtke nadmeću za tržišni udio.
争气	ponosno se dokazati	On marljivo uči kako bi obitelj bila ponosna.
争先恐后	natjecati se tko će prvi	Turisti su se natjecali tko će prvi ući u autobus.
争议	kontroverza	Ova odluka izazvala je kontroverzu.
征服	osvojiti	Alpinist je osvojio vrh.
征收	nametnuti	Vlada prema zakonu nameće poreze.
挣扎	boriti se	Ptica se borila u mreži.
正月	prvi lunarni mjesec	Tijekom prvog lunarnog mjeseca rodbina se posjećuje.
蒸发	ispariti	Vlaga je brzo isparila.
整顿	reorganizirati	Tvrtka je počela reorganizirati upravljanje.
政策	politika	Nova politika podržava mala poduzeća.
政权	režim	Rat je promijenio lokalni režim.
正当	legitiman	On je iznio legitiman zahtjev.
正负	pozitivan i negativan	Instrument pokazuje pozitivnu i negativnu pogrešku.
正规	redovan; standardan	Dijete je krenulo u redovnu školu.
正经	ozbiljan	On je napokon počeo ozbiljno govoriti.
正气	pravednost	Društvo treba promicati pravednost.
正义	pravda	Odvjetnik je branio pravdu.
正宗	autentičan	Ovaj restoran prodaje autentičnu sečuansku hranu.
症状	simptom	Vrućica je čest simptom.
证实	potvrditi	Istraga je potvrdila njegovu izjavu.
证书	certifikat	Ona je dobila stručni certifikat.
郑重	svečan; ozbiljan	On je svečano obećao da će preuzeti odgovornost.
之际	u vrijeme	U vrijeme približavanja Proljetnog festivala svi su zauzeti.
支撑	podupirati	Stupovi podupiru krov.
支出	trošak	Kućni troškovi znatno su porasli.
支流	pritok	Ova rijeka je pritok Yangtzea.
支配	dominirati	Emocije ne bi trebale dominirati prosudbom.
支援	podrška	Liječnici iz mnogih mjesta došli su pružiti podršku.
支柱	stup	Proizvodnja je stup lokalnog gospodarstva.
枝	grana	Odlomila je granu cvijeća.
知觉	svijest	Ozlijeđena osoba postupno je povratila svijest.
知足常乐	zadovoljstvo donosi sreću	Starac često kaže da zadovoljstvo donosi sreću.
脂肪	masnoća	Orašasti plodovi sadrže zdrave masnoće.
侄子	nećak	Moj nećak ove je godine krenuo u osnovnu školu.
值班	biti dežuran	Medicinska sestra večeras je dežurna.
执行	provesti	Sud je proveo presudu.
执着	ustrajan	On je vrlo ustrajan u svojim idealima.
殖民地	kolonija	Ovaj otok je nekada bio kolonija.
直播	prijenos uživo	Utakmica će se večeras prenositi uživo na internetu.
直径	promjer	Promjer ovog kruga je deset centimetara.
职能	funkcija	Funkcije odjela treba preraspodijeliti.
职位	radno mjesto	Ona se prijavila za rukovodeće radno mjesto.
职务	dužnost	Njegova dužnost je nadzornik projekta.
指标	pokazatelj; cilj	Prodajni cilj već je ispunjen.
指定	odrediti	Učitelj ga je odredio da odgovori na pitanje.
指甲	nokat	Ona je kratko odrezala nokte.
指令	naredba	Računalo je primilo novu naredbu.
指南针	kompas	Planinar je ponio kompas.
指示	uputa	Upravitelj je dao jasne upute.
指望	oslanjati se na	Nemoj se oslanjati na druge da to završe umjesto tebe.
指责	kritizirati	Javnost je kritizirala tvrtku zbog onečišćenja okoliša.
制裁	sankcija	Međunarodna zajednica uvela je gospodarske sankcije.
制服	uniforma; svladati	Zaštitar je nosio tamnoplavu uniformu.
制约	ograničavati	Nedostatno financiranje ograničava razvoj.
制止	zaustaviti	Policija je na vrijeme zaustavila sukob.
志气	ambicija	Mladi bi trebali imati ambiciju.
智力	inteligencija	Igre mogu trenirati inteligenciju.
智能	pametan	Pametni uređaji postaju sve češći.
智商	kvocijent inteligencije	Kvocijent inteligencije ne može odrediti sve.
治安	javna sigurnost	Javna sigurnost u zajednici očito se poboljšala.
治理	upravljanje	Vlada je ojačala upravljanje rijekom.
滞留	zadržati se	Putnici su zbog jakog snijega ostali zadržani u zračnoj luci.
致辞	održati govor	Ravnatelj je održao govor na ceremoniji.
致力	posvetiti se	Tim je posvećen tehnološkim inovacijama.
致使	prouzročiti	Pogreške u upravljanju prouzročile su kašnjenje projekta.
中断	prekinuti	Obilna kiša prouzročila je prekid komunikacije.
中立	neutralan	Ta zemlja održava neutralan stav.
中央	središte	Fontana se nalazi u središtu trga.
忠诚	odan	Zaposlenici su odani tvrtki.
忠实	vjeran	On je vjeran čitatelj ovih novina.
终点	cilj	Ciljna linija je odmah ispred.
终究	na kraju	Problem će se na kraju riješiti.
终身	cijeli život	Odlučio je cijeli život raditi u obrazovanju.
终止	prekinuti	Ugovor se prekida krajem sljedećeg mjeseca.
衷心	iskreno	Iskreno vam zahvaljujem na pomoći.
种子	sjeme	Poljoprivrednici su posijali novo sjeme.
种族	rasa; etnička pripadnost	Zakon zabranjuje rasnu diskriminaciju.
肿瘤	tumor	Liječnik je pronašao benigni tumor.
众所周知	kao što svi znaju	Kao što svi znaju, voda je važna.
种植	uzgajati	Ovo mjesto je pogodno za uzgoj grožđa.
重心	fokus	Fokus rada pomaknuo se prema usluzi.
周边	okolica	Promet oko škole je zakrčen.
周密	temeljit	Oni su napravili temeljit plan.
周年	godišnjica	Tvrtka je proslavila desetu godišnjicu.
周期	ciklus	Ciklus ažuriranja proizvoda se skratio.
周折	komplikacije	Obavljanje postupaka uključivalo je mnogo komplikacija.
周转	obrt sredstava	Tvrtka ima poteškoće s obrtom gotovine.
州	savezna država	On živi u Kaliforniji u Sjedinjenim Državama.
粥	kaša	Pacijent je ujutro jeo kašu.
舟	čamac	Mali čamac polako se približio obali.
昼夜	danonoćno	Radnici su danonoćno popravljali cestu.
皱纹	bora	Baka ima mnogo bora na licu.
株	stablo	U dvorištu su posađena tri stabla.
诸位	svi prisutni	Hvala svima što ste danas došli.
逐年	iz godine u godinu	Operativni troškovi rastu iz godine u godinu.
主办	organizirati	Škola je organizirala umjetnički festival.
主导	voditi	Tržišna potražnja vodi dizajn proizvoda.
主管	nadređeni	Nadređeni je odgovoran za odobravanje proračuna.
主流	glavna struja	Ekološke ideje postale su glavna struja.
主权	suverenitet	Nacionalni suverenitet mora se poštovati.
主义	ideologija	On proučava različite političke ideologije.
嘱咐	uputiti	Majka mu je više puta rekla da ponese kišobran.
拄	oslanjati se	Starac hoda oslanjajući se na štap.
住宅	stambeni prostor	Ovo područje uglavnom je stambeno.
助理	asistent	Asistent je organizirao materijale za sastanak.
助手	pomoćnik	Robot je laboratorijski pomoćnik.
注射	injekcija	Liječnik je pacijentu ubrizgao lijek.
注视	netremice gledati	Ona je netremice gledala u daljinu.
注释	bilješka	Pokraj teksta nalaze se detaljne bilješke.
注重	pridavati važnost	Tvrtka pridaje važnost kvaliteti proizvoda.
著作	djelo	Ovo djelo ima dalekosežan utjecaj.
铸造	lijevati	Tvornica lijeva velike dijelove.
驻扎	biti stacioniran	Postrojbe su stacionirane na granici.
拽	vući	On je odvukao kutiju u sobu.
专长	specijalnost	Analiza podataka njezina je specijalnost.
专程	posebno putovanje	On je posebno otputovao posjetiti učitelja.
专利	patent	Tvrtka je prijavila novi patent.
专题	posebna tema	Televizijska postaja emitirala je posebnu emisiju o zaštiti okoliša.
砖	cigla	Radnici su donijeli kolica cigli.
转达	prenijeti	Molim vas, prenesite moju zahvalnost.
转让	prenijeti vlasništvo	Odlučio je prenijeti vlasništvo nad trgovinom.
转移	premjestiti	Medicinska sestra premjestila je ranjenike.
转折	prekretnica	U priči se pojavila velika prekretnica.
传记	biografija	Ona piše biografiju svojeg oca.
庄稼	usjevi	Kiša je nahranila usjeve.
庄严	svečan	Ceremonija je imala svečano ozračje.
庄重	dostojanstven	Nosio je dostojanstvenu svečanu odjeću.
装备	oprema	Tim je opremljen naprednom opremom.
装卸	utovar i istovar	Lučki radnici odgovorni su za utovar i istovar robe.
壮观	spektakularan	Prizor vodopada vrlo je spektakularan.
壮丽	veličanstven	Ovdje su veličanstvene planine i rijeke.
壮烈	junački	Junak je poginuo junački.
幢	zgrada	Na uglu se nalazi stara zgrada.
追悼	komemoracija	Ljudi su prisustvovali komemoraciji.
追究	istražiti	Tvrtka će istražiti odgovornost.
坠	pasti	Lišće je palo s grana.
准则	načelo	Poštenje je načelo suradnje.
卓越	izvanredan	Ona je postigla izvanredna dostignuća.
琢磨	promišljati	On je više puta promišljao ovaj problem.
着手	započeti	Tim će sutra započeti istragu.
着想	uzeti u obzir	Roditelji uvijek uzimaju u obzir potrebe svoje djece.
着重	naglasiti	Izvješće naglašava analizu troškova.
姿态	stav	Ona je zadržala skroman stav.
滋润	ovlažiti	Proljetna kiša ovlažila je zemlju.
滋味	osjećaj	Osjećaj neuspjeha teško je podnijeti.
资本	kapital	Pokretanje posla zahtijeva nešto kapitala.
资产	imovina	Imovina tvrtke stalno raste.
资深	iskusan	Iskusni odvjetnik vodio je ovaj slučaj.
资助	financijski poduprijeti	Zaklada financijski podupire siromašne učenike.
子弹	metak	Metak je pogodio zid.
自卑	osjećati se manje vrijednim	On se više ne osjeća manje vrijednim.
自发	spontan	Stanovnici su spontano očistili ulicu.
自力更生	oslanjanje na vlastite snage	Seljani ustraju u oslanjanju na vlastite snage.
自满	samozadovoljan	Čovjek ne bi trebao postati samozadovoljan nakon uspjeha.
自主	samostalan	Učenici trebaju razviti sposobnost samostalnog učenja.
宗教	religija	On proučava svjetske religije.
宗旨	cilj	Cilj organizacije je služiti zajednici.
棕色	smeđa	Ona je kupila smeđe kožne cipele.
踪迹	trag	Policija je pronašla tragove osumnjičenika.
总而言之	ukratko	Ukratko, plan je izvediv.
总和	zbroj	Dobit je razlika između ukupnog prihoda i troškova.
纵横	isprepleten	Rijeke su isprepletene po ravnici.
走廊	hodnik	Djeca su se poredala u hodniku.
走漏	procuriti	Vijest ne smije procuriti.
走私	krijumčariti	Carina je zaplijenila krijumčarenu robu.
揍	prebiti	Pretuklo ga je nekoliko pijanih muškaraca.
租赁	unajmiti	Tvrtka je unajmila novi ured.
足以	dovoljan	Ovaj dokaz je dovoljan da objasni problem.
祖父	djed	Djed voli pričati stare priče.
祖国	domovina	On duboko voli svoju domovinu.
祖先	preci	Oni štuju svoje pretke.
阻碍	ometati	Nedostatak sredstava ometa napredak projekta.
阻拦	zaustaviti	Čuvar je spriječio strance da uđu.
阻挠	opstruirati	Netko je namjerno opstruirao istragu.
钻研	temeljito proučavati	Ona temeljito proučava drevnu književnost.
钻石	dijamant	U prsten je ugrađen dijamant.
嘴唇	usna	Hladan vjetar ispucao je usne.
罪犯	zločinac	Policija je uhitila odbjeglog zločinca.
尊严	dostojanstvo	Svatko bi trebao imati dostojanstvo.
遵循	slijediti	Liječnici slijede stroge standarde.
作弊	varati	Varanje na ispitima bit će kažnjeno.
作废	postati nevažeći	Stara karta već je nevažeća.
作风	stil rada	Stil rada vođe je praktičan.
作息	ritam rada i odmora	Redovit ritam rada i odmora koristi zdravlju.
做主	donijeti odluku	Ti donesi odluku o ovom pitanju.
座右铭	životno geslo	Njegovo životno geslo je nikad ne odustati.
