simplified	ML	example_ML
开水	കാച്ചിയ വെള്ളം	ദയവായി എനിക്ക് ഒരു കപ്പ് കാച്ചിയ വെള്ളം തരൂ.
砍	വെട്ടുക	തൊഴിലാളി കൊമ്പുകൾ വെട്ടുന്നു.
看不起	അവജ്ഞയോടെ കാണുക	ആരെയും അവജ്ഞയോടെ കാണരുത്.
看望	സന്ദർശിക്കുക	ഈ വാരാന്ത്യത്തിൽ ഞാൻ മുത്തച്ഛന്മാരെ സന്ദർശിക്കും.
靠	ചാരുക	അവൻ വിശ്രമിക്കാൻ ഭിത്തിയോട് ചാര്ന്നു.
颗	ചെറിയ ഗോളാകൃതിയുള്ള വസ്തുക്കൾക്കുള്ള എണ്ണംപദം	രാത്രി ആകാശത്ത് ഒരു നക്ഷത്രമുണ്ട്.
可见	അതിൽ നിന്ന് വ്യക്തമാണ്	ഈ രീതി ഫലപ്രദമാണെന്ന് വ്യക്തമാണ്.
可靠	വിശ്വസനീയമായ	അവൻ വിശ്വസനീയനായ സുഹൃത്താണ്.
可怕	ഭയങ്കരമായ	ഈ സ്വപ്നം വളരെ ഭയങ്കരമായിരുന്നു.
克	ഗ്രാം	ദയവായി രണ്ട് ഗ്രാം ഉപ്പ് ചേർക്കൂ.
克服	മറികടക്കുക	നമുക്ക് ബുദ്ധിമുട്ടുകൾ മറികടക്കണം.
刻苦	കഠിനാധ്വാനിയായ	അവൻ വളരെ കഠിനമായി പഠിക്കുന്നു.
客观	വസ്തുനിഷ്ഠമായ	ദയവായി പ്രശ്നം വസ്തുനിഷ്ഠമായി വിശകലനം ചെയ്യൂ.
课程	കോഴ്‌സ്; പാഠ്യം	ഈ കോഴ്‌സ് വളരെ ഉപകാരപ്രദമാണ്.
空间	സ്ഥലം; സ്പേസ്	ഈ മുറിയിൽ ധാരാളം സ്ഥലം ഉണ്ട്.
控制	നിയന്ത്രിക്കുക	ഡ്രൈവർ കാറിന്റെ വേഗം നിയന്ത്രിച്ചു.
空闲	ഒഴിവുസമയം	നാളെ ഉച്ചതിരിഞ്ഞ് നിനക്ക് ഒഴിവുസമയം ഉണ്ടോ?
口味	രുചി; ഭക്ഷണരുചി	അവന്റെ ഭക്ഷണരുചി താരതമ്യേന മൃദുവാണ്.
夸	പ്രശംസിക്കുക; വീമ്പുപറയുക	വലിയ പുരോഗതി കൈവരിച്ചതിന് അധ്യാപകൻ അവനെ പ്രശംസിച്ചു.
夸张	അതിശയോക്തിയായ	അവന്റെ പ്രകടനം അല്പം അതിശയോക്തിയാണ്.
会计	അക്കൗണ്ടന്റ്	അവൾ കമ്പനിയിൽ അക്കൗണ്ടന്റായി ജോലി ചെയ്യുന്നു.
宽	വിശാലമായ	ഈ റോഡ് വളരെ വിശാലമാണ്.
昆虫	കീടം	കുട്ടികൾ കീടങ്ങളെ നിരീക്ഷിക്കുന്നു.
扩大	വിപുലീകരിക്കുക	സ്കൂൾ ലൈബ്രറി വിപുലീകരിക്കാൻ പദ്ധതിയിടുന്നു.
辣椒	മുളക്	വിഭവത്തിൽ വളരെ മുളക് ചേർത്തിരുന്നു.
拦	തടയുക	പോലീസ് ഒരു കാർ തടഞ്ഞു.
烂	പഴുത്തുപോയ; ചീഞ്ഞ	ഈ ആപ്പിൾ ഇതിനകം ചീഞ്ഞു.
朗读	ശബ്ദത്തോടെ വായിക്കുക	ദയവായി പാഠഭാഗം ശബ്ദത്തോടെ വായിക്കൂ.
劳动	തൊഴിൽ; കഠിനാധ്വാനം	തൊഴിൽ മനുഷ്യനെ നിറവേറ്റപ്പെട്ടതായി അനുഭവിപ്പിക്കുന്നു.
劳驾	ക്ഷമിക്കണം; ദയവായി	ക്ഷമിക്കണം, സബ്‌വേ സ്റ്റേഷൻ എവിടെയാണ്?
姥姥	അമ്മമ്മ	എന്റെ അമ്മമ്മ വളരെ നന്നായി പാചകം ചെയ്യുന്നു.
老百姓	സാധാരണ ജനങ്ങൾ	സാധാരണ ജനങ്ങൾ ജീവിതച്ചെലവിനെ കുറിച്ച് ശ്രദ്ധിക്കുന്നു.
老板	മുതലാളി	മുതലാളി ഇന്ന് ഓഫീസിൽ ഇല്ല.
老婆	ഭാര്യ	അവൻ ഭാര്യയ്ക്കായി പൂക്കൾ വാങ്ങി.
老实	സത്യസന്ധമായ	അവൻ സത്യസന്ധനായ ആളാണ്.
老鼠	എലി	അടുക്കളയിൽ ഒരു എലി ഉണ്ട്.
乐观	ആശാവാദിയായ	അവൾ ഭാവിയെക്കുറിച്ച് ആശാവാദിയാണ്.
雷	ഇടി	ഇന്നലെ രാത്രി ഇടി വളരെ ശക്തമായിരുന്നു.
类型	തരം	ഈ സിനിമ ഏത് തരത്തിലേക്കാണ് പെടുന്നത്?
冷淡	തണുത്ത; അനാസക്തമായ	അവന്റെ സമീപനം അല്പം അനാസക്തമാണ്.
厘米	സെന്റിമീറ്റർ	ഈ പേനയ്ക്ക് പതിനഞ്ച് സെന്റിമീറ്റർ നീളമുണ്ട്.
梨	പേർപ്പഴം	ഞാൻ ചില പേർപ്പഴങ്ങൾ വാങ്ങി.
离婚	വിവാഹമോചനം ചെയ്യുക	അവർ കഴിഞ്ഞ വർഷം വിവാഹമോചനം ചെയ്തു.
理论	സിദ്ധാന്തം	ഈ സിദ്ധാന്തം വളരെ സങ്കീർണ്ണമാണ്.
理由	കാരണം	വൈകിയതിന് നിനക്ക് എന്ത് കാരണമുണ്ട്?
利润	ലാഭം	ഈ വർഷം കമ്പനിയുടെ ലാഭം വർധിച്ചു.
利息	പലിശ	ബാങ്കിന്റെ പലിശ ഉയർന്നതല്ല.
利益	താൽപര്യം; ഗുണം	എല്ലാവരുടെയും താൽപര്യങ്ങൾ നാം സംരക്ഷിക്കണം.
利用	ഉപയോഗപ്പെടുത്തുക	അവൻ വാരാന്ത്യം ചൈനീസ് പഠിക്കാൻ ഉപയോഗിക്കുന്നു.
力量	ശക്തി	ഐക്യം ശക്തിയാണ്.
立即	ഉടൻ	ദയവായി ഇവിടെ നിന്ന് ഉടൻ പോകൂ.
立刻	ഉടൻ തന്നെ	വാർത്ത കേട്ട ഉടൻ അവൻ പുറപ്പെട്ടു.
联合	കൂടെ ചേർന്ന്; സംയുക്തമായി	രണ്ട് കമ്പനികളും സംയുക്തമായി ഒരു ഉൽപ്പന്നം വികസിപ്പിച്ചു.
连忙	വേഗത്തിൽ; ഉടൻ	ഫോൺ മുഴങ്ങുന്നത് കേട്ട് അവൻ ഉടൻ എടുത്തു.
连续	തുടർച്ചയായി	അവൻ തുടർച്ചയായി പത്ത് മണിക്കൂർ ജോലി ചെയ്തു.
恋爱	പ്രണയബന്ധം	അവർ പ്രണയബന്ധത്തിലാണ്.
粮食	ധാന്യം; ഭക്ഷ്യധാന്യം	ഈ വർഷം ധാന്യോൽപാദനം വർധിച്ചു.
良好	നല്ല; അനുകൂലമായ	അവന് നല്ല പഠനശീലങ്ങളുണ്ട്.
亮	പ്രകാശമുള്ള; തെളിഞ്ഞ	മുറിയിലെ വെളിച്ചം വളരെ തെളിച്ചമുള്ളതാണ്.
了不起	വിസ്മയകരമായ; അത്ഭുതകരമായ	അവൾ ശ്രദ്ധേയമായ ഫലങ്ങൾ നേടി.
列车	ട്രെയിൻ	ട്രെയിൻ ഉടൻ പുറപ്പെടും.
临时	താൽക്കാലിക	ഇത് ഒരു താൽക്കാലിക തീരുമാനമാണ്.
灵活	സൗകര്യപ്രദമായ; ഇളവുള്ള	പഠനരീതികൾ ഇളവുള്ളതായിരിക്കണം.
铃	മണി	ക്ലാസ് മണി മുഴങ്ങി.
零件	ഭാഗം; ഘടകം	യന്ത്രത്തിൽ ഒരു ഭാഗം കാണുന്നില്ല.
零食	ലഘുഭക്ഷണം	കുട്ടികൾക്ക് ലഘുഭക്ഷണം തിന്നാൻ ഇഷ്ടമാണ്.
领导	നേതാവ്; നേതൃത്വം	നേതാവ് യോഗത്തിലാണ്.
领域	മേഖല	അവൾ വിദ്യാഭ്യാസമേഖലയിൽ ജോലി ചെയ്യുന്നു.
流传	പാരമ്പര്യമായി പടരുക	ഈ കഥ ഏറെക്കാലമായി പ്രചരിച്ചുവരുന്നു.
流泪	കണ്ണുനീർ പൊഴിക്കുക	ഈ വാർത്ത കേട്ട ശേഷം അവൾ കണ്ണുനീർ പൊഴിച്ചു.
浏览	ഒന്ന് നോക്കുക; ബ്രൗസ് ചെയ്യുക	ഞാൻ ആദ്യം വെബ്‌പേജ് ഒന്ന് നോക്കും.
龙	ഡ്രാഗൺ	ചൈനീസ് സംസ്കാരത്തിൽ ഡ്രാഗൺ ഉണ്ട്.
漏	ചോരുക	മേൽക്കൂരയിൽ നിന്ന് മഴവെള്ളം ചോരുന്നു.
录取	പ്രവേശനം ലഭിക്കുക	അവന് സർവകലാശാലയിൽ പ്രവേശനം ലഭിച്ചു.
录音	ശബ്ദം റെക്കോർഡ് ചെയ്യുക	ദയവായി റെക്കോർഡിംഗ് ആരംഭിക്കൂ.
陆地	കരഭൂമി	കടലാമ കരഭൂമിയിലേക്ക് കയറി.
陆续	തുടർച്ചയായി; ഒരാളൊരാൾ ആയി	അതിഥികൾ ഒരാളൊരാൾ ആയി എത്തി.
轮流	മാറിമാറി ചെയ്യുക	ഞങ്ങൾ ക്ലാസ് മുറി മാറിമാറി വൃത്തിയാക്കുന്നു.
论文	പ്രബന്ധം	അവൾ ബിരുദപ്രബന്ധം എഴുതുന്നു.
逻辑	തർക്കശാസ്ത്രം; ലോജിക്	അവന്റെ തർക്കശാസ്ത്രം വളരെ വ്യക്തമാണ്.
落后	പിന്നിലാകുക	നമുക്ക് മറ്റുള്ളവരെക്കാൾ പിന്നിലാകാൻ പാടില്ല.
骂	ശകാരിക്കുക	ദയവായി കുട്ടിയെ ശകാരിക്കരുത്.
麦克风	മൈക്രോഫോൺ	ദയവായി മൈക്രോഫോൺ അവന് കൊടുക്കൂ.
馒头	ആവിയിൽ വേവിച്ച ബൺ	പ്രഭാതഭക്ഷണത്തിന് ഞാൻ ആവിയിൽ വേവിച്ച ബൺ കഴിച്ചു.
满足	തൃപ്തിപ്പെടുത്തുക; നിറവേറ്റുക	ഈ ഉത്തരം ആവശ്യങ്ങൾ നിറവേറ്റുന്നില്ല.
毛病	പ്രശ്നം; തകരാർ	ഈ കമ്പ്യൂട്ടറിന് ഒരു ചെറിയ പ്രശ്നമുണ്ട്.
矛盾	വിരോധാഭാസം; സംഘർഷം	അവർക്കിടയിൽ ചില സംഘർഷങ്ങളുണ്ട്.
