simplified	RO	example_RO
终止	a înceta	Contractul încetează la sfârșitul lunii viitoare.
衷心	sincer	Îți mulțumesc sincer pentru ajutor.
种子	sămânță	Țăranii au semănat semințe noi.
种族	rasă	Legea interzice discriminarea rasială.
肿瘤	tumoră	Doctorul a găsit o tumoră benignă.
众所周知	după cum se știe	După cum se știe, apa este importantă.
种植	a cultiva	Acest loc este potrivit pentru cultivarea strugurilor.
重心	focalizare	Focalizarea muncii s-a mutat spre servicii.
周边	împrejurimi	Traficul din împrejurimile școlii este aglomerat.
周密	amănunțit	Ei au făcut un plan amănunțit.
周年	aniversare	Compania a sărbătorit a zecea aniversare.
周期	ciclu	Ciclul de actualizare a produsului s-a scurtat.
周折	complicații	Rezolvarea formalităților a implicat multe complicații.
周转	rulaj de numerar	Compania are dificultăți cu rulajul de numerar.
州	stat	El locuiește în statul California din Statele Unite.
粥	terci	Pacientul a mâncat terci dimineața.
舟	barcă	Barca mică s-a apropiat încet de mal.
昼夜	zi și noapte	Muncitorii au reparat drumul zi și noapte.
皱纹	rid	Bunica are multe riduri pe față.
株	plantă	În curte au fost plantați trei copaci.
诸位	doamnelor și domnilor	Vă mulțumesc tuturor că ați venit astăzi.
逐年	an de an	Costurile operaționale cresc an de an.
主办	a organiza	Școala a organizat festivalul de artă.
主导	a conduce	Cererea pieței conduce designul produsului.
主管	supervizor	Supervizorul este responsabil de aprobarea bugetului.
主流	curent principal	Ideile ecologice au devenit curent principal.
主权	suveranitate	Suveranitatea națională trebuie respectată.
主义	doctrină	El studiază diferite doctrine politice.
嘱咐	a îndemna	Mama i-a spus în mod repetat să ia umbrela.
拄	a se sprijini	Bătrânul merge sprijinindu-se într-un baston.
住宅	locuință	Această zonă este în principal rezidențială.
助理	asistent	Asistentul a organizat materialele pentru ședință.
助手	ajutor	Robotul este un ajutor de laborator.
注射	injecție	Doctorul i-a injectat pacientului medicamentul.
注视	a privi atent	Ea privea atent în depărtare.
注释	notă explicativă	Lângă text sunt note explicative detaliate.
注重	a pune accent pe	Compania pune accent pe calitatea produsului.
著作	lucrare	Această lucrare are o influență profundă.
铸造	a turna	Fabrica toarnă piese mari.
驻扎	a staționa	Trupele sunt staționate la graniță.
拽	a trage	El a tras cutia în casă.
专长	specialitate	Analiza datelor este specialitatea ei.
专程	drum special	El a făcut un drum special ca să-l viziteze pe profesor.
专利	brevet	Compania a solicitat un nou brevet.
专题	subiect special	Postul de televiziune a difuzat un program special despre protecția mediului.
砖	cărămidă	Muncitorii au adus un cărucior cu cărămizi.
转达	a transmite	Vă rog să transmiteți mulțumirile mele.
转让	a transfera	El a decis să transfere magazinul.
转移	a transfera	Asistenta a transferat răniții.
转折	punct de cotitură	În poveste a apărut un punct de cotitură major.
传记	biografie	Ea scrie biografia tatălui ei.
庄稼	culturi agricole	Ploaia a hrănit culturile agricole.
庄严	solemn	Atmosfera ceremoniei era solemnă.
庄重	demn	El purta haine de ceremonie demne.
装备	echipament	Echipa este dotată cu echipament avansat.
装卸	încărcare și descărcare	Muncitorii din port sunt responsabili de încărcarea și descărcarea mărfurilor.
壮观	spectaculos	Peisajul cascadei este foarte spectaculos.
壮丽	măreț	Aici sunt munți și râuri mărețe.
壮烈	eroic	Eroul a murit eroic.
幢	clădire	La colțul străzii este o clădire veche.
追悼	comemorare	Oamenii au participat la ceremonia de comemorare.
追究	a investiga	Compania va investiga responsabilitatea.
坠	a cădea	Frunzele au căzut de pe crengi.
准则	principiu	Onestitatea este un principiu al cooperării.
卓越	remarcabil	Ea a obținut realizări remarcabile.
琢磨	a chibzui	El a chibzuit îndelung asupra acestei probleme.
着手	a începe	Echipa va începe investigația mâine.
着想	a lua în considerare	Părinții iau mereu în considerare nevoile copiilor.
着重	a sublinia	Raportul subliniază analiza costurilor.
姿态	atitudine	Ea a păstrat o atitudine modestă.
滋润	a umezi	Ploaia de primăvară a umezit pământul.
滋味	senzație	Senzația eșecului este greu de suportat.
资本	capital	Începerea unei afaceri necesită un anumit capital.
资产	active	Activele companiei continuă să crească.
资深	experimentat	Un avocat experimentat s-a ocupat de acest caz.
资助	a sprijini financiar	Fundația sprijină financiar studenții săraci.
子弹	glonț	Glonțul a lovit peretele.
自卑	inferioritate	El nu se mai simte inferior.
自发	spontan	Locuitorii au curățat spontan strada.
自力更生	autonomie	Sătenii insistă pe autonomie.
自满	mulțumit de sine	După succes nu trebuie să devii mulțumit de sine.
自主	autonom	Elevii trebuie să dezvolte capacitatea de învățare autonomă.
宗教	religie	El studiază religiile lumii.
宗旨	scop	Scopul organizației este să servească comunitatea.
棕色	maro	Ea a cumpărat pantofi de piele maro.
踪迹	urmă	Poliția a găsit urmele suspectului.
总而言之	pe scurt	Pe scurt, planul este fezabil.
总和	sumă	Profitul este diferența dintre veniturile totale și costuri.
纵横	întretăiat	Râurile se întrepătrund pe câmpie.
走廊	coridor	Copiii s-au aliniat pe coridor.
走漏	a se scurge	Vestea nu trebuie să se scurgă.
走私	contrabandă	Vama a confiscat mărfuri de contrabandă.
揍	a bate	El a fost bătut de câțiva bețivi.
租赁	a închiria	Compania a închiriat un nou birou.
足以	suficient	Aceste dovezi sunt suficiente pentru a explica problema.
祖父	bunic	Bunicului îi place să spună povești vechi.
祖国	patrie	El își iubește profund patria.
祖先	strămoș	Ei își venerează strămoșii.
阻碍	a împiedica	Lipsa fondurilor împiedică progresul proiectului.
阻拦	a opri	Paznicul a oprit străinii să intre.
阻挠	a obstrucționa	Cineva a obstrucționat intenționat ancheta.
钻研	a aprofunda	Ea aprofundează literatura antică.
钻石	diamant	În inel este montat un diamant.
嘴唇	buză	Vântul rece a crăpat buzele.
罪犯	infractor	Poliția l-a arestat pe infractorul fugit.
尊严	demnitate	Fiecare persoană ar trebui să aibă demnitate.
遵循	a urma	Medicii urmează standarde stricte.
作弊	a trișa	Trișatul la examene va fi sancționat.
作废	a anula	Biletul vechi este deja invalid.
作风	stil de lucru	Stilul de lucru al liderului este pragmatic.
作息	program de muncă și odihnă	Un program regulat de muncă și odihnă este benefic pentru sănătate.
做主	a decide	Tu decizi în această privință.
座右铭	deviză	Deviza lui este să nu renunțe niciodată.
