simplified	FI	example_FI
意味着	merkitä	Tämä päätös merkitsee suurta muutosta
意向	aikomus	Asiakas ilmaisi ostoaikomuksensa
意志	tahdonvoima	Vahva tahdonvoima auttoi häntä selviytymään
毅力	sinnikkyys	Hänen sinnikkyytensä teki vaikutuksen kaikkiin
毅然	päättäväisesti	Hän päättäväisesti kieltäytyi tarjouksesta
翼	siipi	Linnun siipi loukkaantui
阴谋	salajuoni	He paljastivat vihollisen salajuonen
音响	kaiutin	Huoneen kaiuttimet soivat hyvin
引导	ohjata	Opettaja ohjasi opiskelijoita keskustelussa
引擎	moottori	Auton moottori käynnistyi hitaasti
引用	lainata	Artikkeli lainasi useita tutkimuksia
隐蔽	piilottaa	Sotilaat piilottivat aseman metsään
隐患	piilevä vaara	Tässä rakennuksessa on piilevä turvallisuusvaara
隐瞒	salata	Hän salasi totuuden perheeltään
隐私	yksityisyys	Meidän täytyy kunnioittaa käyttäjien yksityisyyttä
隐约	epäselvä	Kaukaa kuului epäselvä ääni
饮食	ruokavalio	Terveellinen ruokavalio on tärkeä
婴儿	vauva	Vauva nukkui rauhallisesti
英明	viisas	Viisas päätös pelasti tilanteen
英勇	urhea	Urheat palomiehet pelastivat lapset
盈利	voitto	Yritys teki tänä vuonna voittoa
迎面	vastaan	Kylmä tuuli puhalsi vastaan
应酬	seurustelu	Työhön kuuluu paljon seurustelua asiakkaiden kanssa
应邀	kutsuttuna	Hän osallistui kokoukseen kutsuttuna
庸俗	vulgääri	Tämä vitsi oli hyvin vulgääri
拥护	tukea	Kansalaiset tukivat uudistusta
拥有	omistaa	Hän omistaa pienen kirjakaupan
勇于	uskaltaa	Meidän täytyy uskaltaa myöntää virheet
永恒	ikuinen	Rakkaus on kirjallisuuden ikuinen teema
涌现	ilmaantua	Uusia yrityksiä ilmaantui nopeasti
踊跃	innokkaasti	Oppilaat ilmoittautuivat innokkaasti mukaan
用户	käyttäjä	Tällä sovelluksella on miljoonia käyttäjiä
优胜劣汰	luonnonvalinta	Kilpailu johtaa usein luonnonvalintaan
优先	etusija	Lapsille annetaan etusija
优异	erinomainen	Hän saavutti erinomaisia tuloksia
优越	ylivoimainen	Tällä kaupungilla on ylivoimaiset sijaintiedut
忧郁	melankolinen	Hänen ilmeensä oli melankolinen
油腻	rasvainen	Tämä ruoka on liian rasvaista
油漆	maali	Seinään tarvitaan uusi kerros maalia
犹如	kuin	Järvi oli kuin peili
有条不紊	järjestelmällinen	Työ eteni järjestelmällisesti
幼稚	lapsellinen	Tämä ajatus on liian lapsellinen
诱惑	houkutus	Hän ei voinut vastustaa houkutusta
愚蠢	typerä	Tämä oli typerä päätös
愚昧	tietämätön	Tietämätön asenne hidastaa kehitystä
渔民	kalastaja	Kalastajat lähtivät merelle aamulla
舆论	yleinen mielipide	Yleinen mielipide vaikutti päätökseen
与日俱增	kasvaa päivä päivältä	Paine kasvaa päivä päivältä
宇宙	maailmankaikkeus	Ihminen tutkii maailmankaikkeuden salaisuuksia
羽绒服	untuvatakki	Talvella hän käyttää paksua untuvatakkia
寓言	satu	Tämä satu sisältää syvän opetuksen
愈	parantua	Hänen haavansa parani nopeasti
欲望	halu	Ihmisen halu ei ole aina järkevää
熨	silittää	Hän silitti paidan ennen lähtöä
玉	jade	Tämä jade on hyvin arvokas
预料	ennakoida	Hän ennakoi vaikeudet etukäteen
预期	odotettu	Tulos ylitti odotetun tason
预算	budjetti	Projektin budjetti on rajallinen
预先	etukäteen	Ilmoita meille etukäteen
预言	ennustaa	Asiantuntija ennusti talouden elpymistä
预兆	enne	Tummat pilvet olivat sateen enne
冤枉	vääryys	Hän kärsi suuren vääryyden
元首	valtionpäämies	Valtionpäämies vieraili naapurimaassa
元素	alkuaine	Happi on tärkeä alkuaine
元宵节	lyhtyjuhla	Lyhtyjuhla päättää kevätjuhlan kauden
原告	kantaja	Kantaja esitti todisteet oikeudessa
原理	periaate	Opettaja selitti koneen toimintaperiaatteen
原始	alkuperäinen	Tämä on alkuperäinen asiakirja
原先	alkuperäinen	Alkuperäinen suunnitelma muuttui
园林	puutarha	Suzhoun puutarhat ovat kuuluisia
圆满	onnistunut	Kokous päättyi onnistuneesti
源泉	lähde	Luonto on taiteen inspiraation lähde
缘故	syy	Hän ei tullut paikalle sairauden vuoksi
约束	rajoittaa	Säännöt rajoittavat kaikkien toimintaa
乐谱	nuotti	Hän luki nuottia soittaessaan pianoa
岳母	anoppi	Hänen anoppinsa tuli käymään viikonloppuna
孕育	synnyttää	Tämä maa synnytti rikkaan kulttuurin
蕴藏	sisältää	Vuoristo sisältää runsaasti mineraaleja
运算	laskutoimitus	Tämä laskutoimitus on hyvin monimutkainen
运行	toimia	Järjestelmä toimii vakaasti
酝酿	kypsytellä	He kypsyttelivät uutta suunnitelmaa pitkään
杂技	akrobatia	Yleisö hämmästyi akrobatiasta
杂交	risteytys	Tämä kasvi on kahden lajin risteytys
砸	murskata	Kivi murskasi ikkunan
咋	miten	Miten tämä asia tapahtui
栽培	viljellä	Puutarhuri viljelee uusia lajikkeita
灾难	katastrofi	Tulva oli suuri katastrofi
宰	teurastaa	Maaseudulla ihmiset teurastavat lampaan juhlaa varten
再接再厉	jatkaa ponnistelua	Voiton jälkeen joukkue jatkoi ponnistelua
在意	välittää	Hän välittää paljon muiden mielipiteistä
攒	säästää	Hän säästi rahaa matkaa varten
暂且	toistaiseksi	Jätetään tämä kysymys toistaiseksi sivuun
赞叹	ihailla	Kaikki ihailivat hänen rohkeuttaan
赞助	sponsoroida	Yritys sponsoroi urheilutapahtumaa
糟蹋	tuhlata	Älä tuhlaa hyvää ruokaa
遭受	kärsiä	Alue kärsi vakavista tulvista
遭殃	joutua kärsimään	Sivulliset joutuivat kärsimään konfliktista
遭遇	kohdata	Hän kohtasi matkalla monia vaikeuksia
噪音	melu	Kadun melu häiritsi lepoa
造型	muotoilu	Tämän auton muotoilu on moderni
责怪	syyttää	Älä syytä häntä kaikesta
贼	varas	Poliisi sai varkaan kiinni
增添	lisätä	Kukat lisäsivät huoneeseen väriä
赠送	lahjoittaa	Kauppa lahjoitti asiakkaille pieniä lahjoja
扎	pistää	Neula pisti sormeen
扎实	vankka	Hänellä on vankka kielitaito
渣	jäte	Kupin pohjalle jäi teejätettä
眨	räpäyttää	Hän räpäytti silmiään nopeasti
诈骗	huijaus	Poliisi tutki verkkohuijausta
摘要	tiivistelmä	Artikkelin tiivistelmä on hyvin selkeä
债券	joukkovelkakirja	Hän sijoitti joukkovelkakirjoihin
沾光	hyötyä muiden ansiosta	Sain hyötyä muiden ansiosta tästä mahdollisuudesta
瞻仰	kunnioittavasti katsella	Turistit katselivat muistomerkkiä kunnioittavasti
展示	esitellä	Museo esittelee uusia löytöjä
展望	näkymä	Raportti käsittelee tulevaisuuden näkymiä
展现	näyttäytyä	Hänen kykynsä näyttäytyi kilpailussa
崭新	upouusi	Hän osti upouuden pyörän
斩钉截铁	päättäväinen	Hän vastasi päättäväisesti
占据	vallata	Tuote valtasi suuren markkinaosuuden
占领	miehittää	Armeija miehitti kaupungin
战斗	taistella	Sotilaat taistelivat rohkeasti
战略	strategia	Yritys muutti kehitysstrategiaansa
战术	taktiikka	Valmentaja selitti uuden taktiikan
战役	sotaretki	Tämä sotaretki muutti historian kulkua
章程	säännöt	Yhdistyksen säännöt täytyy lukea huolellisesti
帐篷	teltta	Leirintäalueelle pystytettiin teltta
障碍	este	Kielimuuri on viestinnän este
招标	kilpailuttaa	Hallitus kilpailutti rakennushankkeen
招收	rekrytoida	Yliopisto rekrytoi uusia opiskelijoita
朝气蓬勃	elinvoimainen	Nuoret ovat täynnä elinvoimaa
着迷	ihastua	Hän ihastui klassiseen musiikkiin
沼泽	suo	Retkikunta kulki laajan suon läpi
照样	kuten ennen	Hän työskentelee kuten ennenkin
照耀	valaista	Aurinko valaisi koko laakson
折腾	rasittaa	Älä rasita itseäsi liikaa
遮挡	peittää	Pilvet peittivät auringon
折	katkaista	Tuuli katkaisi oksan
折磨	kiduttaa	Sairaus kidutti häntä pitkään
侦探	etsivä	Etsivä löysi tärkeän vihjeen
斟酌	harkita	Harkitse sanojasi ennen vastaamista
珍贵	arvokas	Tämä kokemus on hyvin arvokas
珍稀	harvinainen	Tämä on harvinainen eläinlaji
珍珠	helmi	Helmi kiilsi valossa
真理	totuus	Totuus kestää ajan koetuksen
真相	tosiasiat	Meidän täytyy selvittää tapauksen tosiasiat
真挚	vilpitön	Hänen kiitoksensa oli vilpitön
枕头	tyyny	Hän vaihtoi uuden tyynyn sänkyyn
振奋	innostaa	Tämä uutinen innosti koko tiimiä
振兴	elvyttää	Hallitus pyrkii elvyttämään maaseutua
镇定	rauhallinen	Hän pysyi vaaran hetkellä rauhallisena
镇静	tyyni	Lääkäri käsitteli tilanteen tyynesti
阵地	asema	Sotilaat puolustivat asemaansa
阵容	kokoonpano	Joukkueen kokoonpano on vahva
震撼	järkyttää	Uutinen järkytti koko maata
震惊	hämmästyttää	Tulos hämmästytti yleisöä
争端	kiista	Kaksi maata ratkaisi kiistan neuvotteluilla
争夺	taistella jostakin	Kaksi yritystä taisteli markkinaosuudesta
争气	tehdä kunniaa	Hän opiskeli ahkerasti tehdäkseen perheelleen kunniaa
争先恐后	kilpailla etunenässä	Ihmiset kilpailivat etunenässä ilmoittautumisesta
争议	kiistanalaisuus	Tämä päätös herätti paljon kiistanalaisuutta
征服	valloittaa	Tutkijat valloittivat korkean vuoren
征收	periä	Valtio perii uuden veron
挣扎	kamppailla	Hän kamppaili vaikeuksien keskellä
正月	ensimmäinen kuukalenterikuukausi	Ensimmäisen kuukalenterikuukauden aikana sukulaiset vierailevat toistensa luona
蒸发	haihtua	Vesi haihtuu nopeasti kuumuudessa
整顿	järjestää uudelleen	Yritys järjesti hallintonsa uudelleen
政策	politiikka	Uusi politiikka tukee pieniä yrityksiä
政权	hallinto	Vanha hallinto kaatui nopeasti
正当	oikeutettu	Hänen vaatimuksensa oli oikeutettu
正负	plus ja miinus	Laskussa täytyy erottaa plus ja miinus
正规	virallinen	Hän sai virallisen koulutuksen
正经	kunnollinen	Hän haluaa löytää kunnollisen työn
正气	oikeamielisyys	Yhteiskunta tarvitsee oikeamielisyyttä
正义	oikeudenmukaisuus	Ihmiset puolustivat oikeudenmukaisuutta
正宗	aito	Tämä ravintola tarjoaa aitoa Sichuanin ruokaa
症状	oire	Potilaalla oli kuumeen oireita
证实	vahvistaa	Tutkimus vahvisti epäilyn
证书	todistus	Hän sai pätevyystodistuksen
郑重	vakava	Hän antoi vakavan lupauksen
之际	hetkellä	Kevätjuhlan hetkellä perhe kokoontui yhteen
支撑	tukea	Pilarit tukevat kattoa
支出	meno	Perheen menot kasvoivat
支流	sivujoki	Tämä pieni joki on suuren joen sivujoki
支配	hallita	Raha ei saa hallita elämää
支援	tukea	Naapurikaupunki tuki pelastustyötä
支柱	pilari	Maatalous on alueen talouden pilari
枝	oksa	Lintu seisoi oksalla
知觉	tajunta	Hän menetti hetkeksi tajuntansa
知足常乐	tyytyväinen on onnellinen	Tyytyväinen on onnellinen, hän sanoi hymyillen
脂肪	rasva	Liiallinen rasva ei ole terveellistä
侄子	veljenpoika	Hänen veljenpoikansa aloitti koulun
值班	olla päivystysvuorossa	Hän on tänä yönä päivystysvuorossa
执行	toteuttaa	Tiimi toteutti suunnitelman nopeasti
执着	sitkeä	Hän on sitkeä tutkimustyössään
殖民地	siirtomaa	Tämä alue oli ennen siirtomaa
直播	suora lähetys	Kilpailusta tehtiin suora lähetys
直径	halkaisija	Ympyrän halkaisija on kymmenen senttimetriä
职能	toiminto	Tällä osastolla on selkeä toiminto
职位	virka	Hän haki uutta virkaa
职务	tehtävä	Hänen tehtävänsä yrityksessä muuttui
指标	indikaattori	Tämä indikaattori mittaa talouskasvua
指定	nimetä	Opettaja nimesi hänet ryhmän johtajaksi
指甲	kynsi	Hän leikkasi kyntensä lyhyiksi
指令	käsky	Tietokone suoritti käskyn
指南针	kompassi	Kompassi osoittaa pohjoiseen
指示	ohje	Johtaja antoi selkeän ohjeen
指望	toivoa	Älä toivo hänen ratkaisevan kaikkea
指责	syyttää	He syyttivät johtajaa virheestä
制裁	pakote	Maa joutui taloudellisten pakotteiden kohteeksi
制服	alistaa	Poliisi alisti rikollisen vastarinnan
制约	rajoittaa	Resurssit rajoittavat hankkeen kehitystä
制止	estää	Opettaja esti riidan ajoissa
志气	kunnianhimo	Nuorella miehellä on paljon kunnianhimoa
智力	älykkyys	Tämä peli kehittää lasten älykkyyttä
智能	älykäs	Älykäs järjestelmä säästää energiaa
智商	älykkyysosamäärä	Älykkyysosamäärä ei selitä kaikkea
治安	järjestys	Yöllä alueen järjestys on hyvä
治理	hallita	Kaupunki paransi ympäristön hallintaa
滞留	jäädä jumiin	Matkustajat jäivät jumiin asemalle
致辞	pitää puhe	Johtaja piti puheen avajaisissa
致力	omistautua	Hän omistautuu köyhyyden vähentämiselle
致使	aiheuttaa	Rankkasade aiheutti tien sortumisen
中断	keskeyttää	Sähkökatko keskeytti kokouksen
中立	puolueeton	Maa pysyi puolueettomana konfliktissa
中央	keskus	Kaupungin keskuksessa on suuri aukio
忠诚	uskollinen	Hän on uskollinen ystävilleen
忠实	luotettava	Hän on luotettava lukija ja tukija
终点	maaliviiva	Juoksija ylitti maaliviivan
终究	lopulta	Totuus tulee lopulta ilmi
终身	elämänikäinen	Oppiminen on elämänikäinen prosessi
终止	lopettaa	Sopimus päätettiin lopettaa
衷心	sydämellinen	Esitän sydämelliset kiitokset
种子	siemen	Siemenet kylvettiin keväällä
种族	etninen ryhmä	Eri etniset ryhmät elävät täällä yhdessä
肿瘤	kasvain	Lääkäri löysi kasvaimen varhain
众所周知	kuten kaikki tietävät	Kuten kaikki tietävät, terveys on tärkeää
种植	istuttaa	Tilalla istutetaan hedelmäpuita
重心	painopiste	Työn painopiste siirtyi koulutukseen
周边	ympäristö	Koulun ympäristö on turvallinen
周密	huolellinen	Suunnitelma oli hyvin huolellinen
周年	vuosipäivä	Yritys juhli kymmenettä vuosipäiväänsä
周期	jakso	Talouden jakso vaikuttaa sijoituksiin
周折	mutka	Tämä hanke kohtasi monia mutkia
周转	kierto	Yrityksen varojen kierto parani
州	osavaltio	Hän asuu Kalifornian osavaltiossa
粥	puuro	Aamiaiseksi hän söi riisipuuroa
舟	vene	Pieni vene kulki joella
昼夜	vuorokauden ympäri	Tehdas toimii vuorokauden ympäri
皱纹	ryppy	Hänen kasvoilleen ilmestyi ryppyjä
株	kasvin luokittelusana	Pihalla kasvaa kolme nuorta puuta
诸位	hyvät kuulijat	Hyvät kuulijat, kokous alkaa nyt
逐年	vuosi vuodelta	Tulot kasvoivat vuosi vuodelta
主办	järjestää	Koulu järjesti urheilukilpailun
主导	johtaa	Tämä yritys johtaa markkinoita
主管	vastuuhenkilö	Hän on tämän hankkeen vastuuhenkilö
主流	valtavirta	Tämä ajatus on jo valtavirtaa
主权	suvereniteetti	Maa puolustaa suvereniteettiaan
主义	ideologia	Tämä ideologia vaikutti moniin ihmisiin
嘱咐	kehottaa	Äiti kehotti lasta olemaan varovainen
拄	nojaata	Vanhus nojasi keppiinsä
住宅	asunto	Tämä alue on pääasiassa asuntoaluetta
助理	avustaja	Hänen avustajansa järjesti aikataulun
助手	apulainen	Tietokoneesta tuli hänen tärkeä apulaisensa
注射	pistos	Hoitaja antoi potilaalle pistoksen
注视	tuijottaa	Hän tuijotti näyttöä hiljaa
注释	alaviite	Kirjan alaviitteet selittävät vaikeat sanat
注重	painottaa	Koulu painottaa käytännön taitoja
著作	teos	Tämä teos on hänen tunnetuin kirjansa
铸造	valaa	Tehdas valaa metalliosia
驻扎	sijoittaa	Joukot sijoitettiin rajalle
拽	raahata	Hän raahasi laatikon ovelle
专长	erikoisala	Hänen erikoisalansa on tekoäly
专程	erikseen tehty matka	Hän teki erikseen matkan kiittääkseen opettajaa
专利	patentti	Yritys haki uutta patenttia
专题	erikoisaihe	Lehti julkaisi erikoisaiheen ilmastonmuutoksesta
砖	tiili	Seinä rakennettiin punaisista tiilistä
转达	välittää	Välitä kiitokseni hänelle
转让	siirtää	Hän siirsi osuutensa veljelleen
转移	siirtää	Sairaala siirsi potilaan toiselle osastolle
转折	käänne	Tarinassa tapahtui äkillinen käänne
传记	elämäkerta	Hän kirjoitti kuuluisan tiedemiehen elämäkerran
庄稼	viljelykasvit	Pellon viljelykasvit kasvoivat hyvin
庄严	juhlallinen	Seremonia oli juhlallinen
庄重	arvokas	Hänen puheensa oli vakava ja arvokas
装备	varustus	Joukkue sai uutta varustusta
装卸	lastata ja purkaa	Työntekijät lastasivat ja purkivat tavaraa satamassa
壮观	mahtava	Vesiputouksen näkymä oli mahtava
壮丽	upea	Vuoriston maisema oli upea
壮烈	sankarillinen	Sotilas kuoli sankarillisesti
幢	rakennuksen luokittelusana	Tällä kadulla on monta korkeaa rakennusta
追悼	muistotilaisuus	Perhe järjesti hänelle muistotilaisuuden
追究	tutkia vastuuta	Yhtiö tutkii vastuuta onnettomuudesta
坠	pudota	Kivi putosi rotkoon
准则	periaate	Rehellisyys on hänen tärkein periaatteensa
卓越	erinomainen	Hän teki erinomaista työtä
琢磨	pohtia	Hän pohti asiaa pitkään
着手	ryhtyä	Ryhmä ryhtyi korjaustyöhön heti
着想	ottaa huomioon	Meidän täytyy ottaa asiakkaiden tarpeet huomioon
着重	painottaa	Raportti painottaa turvallisuutta
姿态	asento	Tanssijan asento oli kaunis
滋润	kostuttaa	Sade kostutti kuivan maan
滋味	maku	Tällä teellä on erityinen maku
资本	pääoma	Yritys tarvitsee lisää pääomaa
资产	omaisuus	Hänen omaisuutensa kasvoi vuosien aikana
资深	kokenut	Hän on kokenut toimittaja
资助	rahoittaa	Säätiö rahoitti opiskelijoita
子弹	luoti	Luoti osui seinään
自卑	alemmuudentunne	Hän kärsi pitkään alemmuudentunteesta
自发	oma-aloitteinen	Asukkaat järjestivät oma-aloitteisen siivouksen
自力更生	omavaraisuus	Kylä kehitti talouttaan omavaraisuuden avulla
自满	omahyväinen	Menestys teki hänestä omahyväisen
自主	itsenäinen	Opiskelijoiden täytyy oppia itsenäiseen ajatteluun
宗教	uskonto	Uskonto vaikuttaa hänen elämäntapaansa
宗旨	tavoite	Yhdistyksen tavoite on auttaa lapsia
棕色	ruskea	Hän osti ruskean takin
踪迹	jälki	Poliisi löysi epäillyn jäljet
总而言之	lyhyesti sanottuna	Lyhyesti sanottuna suunnitelma onnistui
总和	summa	Nämä luvut muodostavat kokonaismäärän
纵横	ristiin rastiin	Kaupungissa kulkee teitä ristiin rastiin
走廊	käytävä	Oppilaat odottivat käytävällä
走漏	vuotaa	Uutinen vuoti etukäteen
走私	salakuljettaa	Rikolliset salakuljettivat tavaraa rajan yli
揍	hakata	Hän hakkasi vastustajansa tappelussa
租赁	vuokrata	Yritys vuokrasi uuden toimiston
足以	riittää	Nämä todisteet riittävät selittämään asian
祖父	isänisä	Hänen isänisänsä asuu maaseudulla
祖国	isänmaa	Hän kaipasi isänmaataan ulkomailla
祖先	esi-isä	Meidän täytyy kunnioittaa esi-isiä
阻碍	estää	Huono sää esti matkan
阻拦	pysäyttää	Poliisi pysäytti auton
阻挠	sabotoida	Joku yritti sabotoida neuvotteluja
钻研	perehtyä	Hän perehtyy syvällisesti historiaan
钻石	timantti	Sormuksessa on pieni timantti
嘴唇	huuli	Hänen huulensa olivat kuivat
罪犯	rikollinen	Rikollinen tuomittiin vankilaan
尊严	arvokkuus	Jokaisella ihmisellä on arvokkuus
遵循	noudattaa	Meidän täytyy noudattaa sääntöjä
作弊	huijata	Opiskelija jäi kiinni huijaamisesta
作废	mitätöidä	Vanha lippu mitätöitiin
作风	tyyli	Hänen työtyylinsä on tehokas
作息	työ- ja lepoaika	Säännöllinen työ- ja lepoaika auttaa terveyttä
做主	päättää	Tässä asiassa sinä saat päättää
座右铭	motto	Hänen mottonsa on olla koskaan luovuttamatta
