simplified	FR	example_FR
君子	homme noble; personne vertueuse	Une personne vertueuse doit être cohérente dans ses paroles et ses actes.
卡通	dessin animé	Les enfants aiment regarder des films d'animation.
开采	exploiter; extraire	Cette entreprise est responsable de l'exploitation des minerais.
开除	expulser; renvoyer	L'école a décidé de renvoyer l'élève qui a triché.
开阔	large; dégagé	Du sommet de la montagne, la vue est très dégagée.
开朗	ouvert; enjoué	Elle a un caractère ouvert et enjoué, et beaucoup d'amis.
开明	ouvert d'esprit	L'attitude des parents est très ouverte d'esprit.
开辟	ouvrir; créer	La ville a ouvert de nouvelles lignes de bus.
开拓	développer; ouvrir de nouveaux horizons	L'entreprise prévoit de développer les marchés étrangers.
开展	lancer; développer	L'école a lancé des activités d'éducation à la sécurité.
开支	dépenses	Les dépenses mensuelles de la famille ont augmenté.
刊登	publier	Le journal a publié son article.
刊物	publication; périodique	Cette publication paraît une fois par mois.
勘探	prospection	L'équipe d'ingénieurs prospecte des sources d'eau souterraines.
侃侃而谈	parler avec assurance	Il a parlé avec assurance pendant la réunion.
砍伐	abattre; couper	Il est interdit d'abattre les forêts sans autorisation.
看待	considérer; voir	Nous devons considérer ce problème objectivement.
慷慨	généreux	Il a généreusement donné sa prime.
抗议	protester; protestation	Les habitants protestent contre la construction d'une nouvelle usine.
考察	enquêter sur place; étudier	Les experts sont allés sur place pour étudier l'environnement.
考古	archéologie	L'équipe d'archéologie a découvert une tombe ancienne.
考核	évaluer; contrôler	L'entreprise évalue chaque année les performances des employés.
考验	mettre à l'épreuve	Cette crise a mis à l'épreuve les capacités de l'équipe.
靠拢	se rapprocher	Les membres de l'équipe se sont rapprochés du centre.
磕	heurter; cogner	Il a heurté le coin de la table par accident.
科目	matière	Les mathématiques sont sa matière préférée.
可观	considérable	Cet investissement a apporté des revenus considérables.
可口	savoureux	Les plats de ce restaurant sont très savoureux.
可恶	détestable	Ce genre de tromperie est vraiment détestable.
可行	faisable	Ce plan est globalement faisable.
渴望	aspirer à; désirer	Les enfants aspirent à obtenir plus de chances.
克制	se maîtriser; retenue	Pendant une dispute, il faut maîtriser ses émotions.
刻不容缓	ne souffrir aucun délai	La protection des sources d'eau ne souffre aucun délai.
客户	client	Le client est très satisfait du service.
课题	sujet; problématique	Ce sujet mérite une étude approfondie.
啃	ronger; mordiller	L'enfant est en train de ronger un épi de maïs.
恳切	sincère; pressant	Il a sincèrement demandé l'aide de tout le monde.
坑	trou; fosse	Il y a un trou très profond au bord de la route.
空洞	vide; creux	Le contenu de ce rapport est creux.
空前绝后	sans précédent et inégalé	Ce spectacle peut être qualifié de sans précédent et inégalé.
空想	rêverie; fantasme	On ne peut pas résoudre le problème avec de simples rêveries.
空虚	vide; sentiment de vide	Après cette période chargée, il a ressenti un grand vide.
孔	trou; orifice	Il y a un petit trou dans le mur.
恐怖	terrifiant; effrayant	L'ambiance de ce film est très terrifiante.
恐吓	menacer; intimider	L'autre partie a menacé et intimidé le témoin.
恐惧	peur; crainte	L'obscurité fait peur à l'enfant.
空白	espace vide	Veuillez signer dans l'espace vide.
空隙	interstice; espace	Il y a un espace entre la porte et le sol.
口气	ton; manière de parler	Son ton était très ferme.
口腔	cavité buccale	Le médecin a examiné sa cavité buccale.
口头	oral; verbal	Ils n'ont qu'un accord oral.
口音	accent	Son mandarin a un léger accent.
扣	attacher; boutonner	Veuillez bien attacher votre ceinture de sécurité.
哭泣	pleurer	La fille se cache dans un coin et pleure.
枯萎	se faner; flétrir	Le manque d'eau a fait faner les fleurs.
枯燥	ennuyeux; aride	Ce travail est un peu ennuyeux.
苦尽甘来	après l'amertume vient la douceur	Après des années de persévérance, après l'amertume vient enfin la douceur.
苦涩	amer; âpre	Cette tisane médicinale a un goût amer.
挎	porter au bras	Elle est sortie en portant un sac en tissu au bras.
跨	franchir; enjamber	Il a franchi le fossé et a continué d'avancer.
快活	joyeux; gai	Les enfants jouent joyeusement sur l'herbe.
宽敞	spacieux	Cette salle de classe est lumineuse et spacieuse.
宽容	tolérance; tolérant	La société a besoin de plus de compréhension et de tolérance.
款待	recevoir chaleureusement; traiter avec hospitalité	L'hôte a reçu les invités chaleureusement.
款式	style; modèle	Le style de ce vêtement est très moderne.
筐	panier	Il est rentré avec un panier de pommes sur le dos.
况且	de plus; d'ailleurs	La route est longue, et de plus il va bientôt faire nuit.
旷课	sécher les cours	Les élèves qui sèchent les cours sans raison seront signalés.
框架	cadre; structure	Il faut d'abord définir la structure du rapport.
矿产	ressources minérales	Cette région est riche en ressources minérales.
亏待	traiter injustement	L'entreprise ne traitera pas injustement les employés sérieux.
亏损	perte; déficit	L'usine a subi de lourdes pertes cette année.
捆绑	attacher; lier	Veuillez attacher solidement ces caisses.
扩充	agrandir; enrichir	L'école prévoit d'enrichir la collection de la bibliothèque.
扩散	se propager; diffuser	La rumeur s'est vite propagée en ligne.
扩张	expansion; s'étendre	L'entreprise développe prudemment ses activités.
啦	particule finale	Ne t'inquiète pas, tout ira mieux.
喇叭	klaxon; haut-parleur	Le klaxon de la voiture a soudain retenti.
蜡烛	bougie	Il y a des bougies plantées sur le gâteau d'anniversaire.
来历	origine; histoire	L'origine de cette antiquité est inconnue.
来源	source; origine	Les informations doivent indiquer leur source.
栏目	rubrique	Cette rubrique est diffusée une fois par semaine.
懒惰	paresseux; paresse	La paresse nuit aux résultats scolaires.
狼狈	dans un piteux état	Après la pluie, il était trempé et dans un piteux état.
狼吞虎咽	dévorer; manger goulûment	Il était affamé et a mangé goulûment.
捞	repêcher; retirer de l'eau	Le pêcheur a repêché un filet dans la rivière.
唠叨	rabâcher; bavarder	La mère rabâche toujours pour de petites choses.
牢固	solide; sûr	La structure de ce pont est très solide.
牢骚	plainte; mécontentement	Il est plein de plaintes, mais ne veut pas changer.
乐趣	plaisir; joie	La lecture lui apporte beaucoup de plaisir.
乐意	être disposé à; volontiers	Je suis tout à fait disposé à t'aider à corriger ton CV.
雷达	radar	Le radar a détecté un avion au loin.
类似	similaire	Des problèmes similaires sont déjà apparus auparavant.
冷酷	froid; impitoyable	Son ton semblait très froid.
冷落	négliger; traiter froidement	Le nouvel employé a l'impression d'être négligé.
冷却	refroidir; refroidissement	La machine doit d'abord refroidir avant la réparation.
愣	rester interdit; fixer d'un air vide	En entendant cette nouvelle, il est resté interdit.
黎明	aube	À l'aube, la ville s'est peu à peu réveillée.
理睬	prêter attention à; répondre	Il est en colère et ne répond à personne.
理所当然	aller de soi	Ne considère pas l'aide des autres comme allant de soi.
理直气壮	avoir raison et parler avec assurance	Les preuves étaient suffisantes, et il a parlé avec assurance.
理智	raison; rationalité	Il faut rester rationnel face à un conflit.
礼节	étiquette; règles de politesse	Les différentes cultures ont des règles de politesse différentes.
礼尚往来	rendre la politesse	Entre voisins, on attache de l'importance à rendre la politesse.
里程碑	étape importante; jalon	Ce succès est une étape importante du projet.
例外	exception	Tout le monde doit participer, sans exception.
利害	intérêts; avantages et inconvénients	Cela concerne les intérêts des deux parties.
力求	s'efforcer de	Nous nous efforçons de réduire les erreurs au minimum.
力所能及	dans la mesure de ses moyens	Veuillez faire quelque chose dans la mesure de vos moyens.
力争	s'efforcer d'obtenir; tout faire pour	L'équipe s'efforce de terminer la tâche en avance.
历代	générations successives; dynasties successives	Des savants de générations successives ont étudié ce problème.
历来	de tout temps; toujours	Cette ville a toujours accordé de l'importance à l'éducation.
立场	position; point de vue	Il a exprimé sa position pendant la réunion.
立方	cube; mètre cube	Ce réservoir d'eau a une capacité de trois mètres cubes.
立交桥	échangeur; pont routier	Cet échangeur a réduit les embouteillages.
立体	en trois dimensions; relief	Cette peinture a un fort effet de relief.
立足	s'implanter; prendre appui	L'entreprise doit s'implanter sur le marché local.
粒	grain; particule	Il y a quelques grains de riz sur la table.
廉洁	intègre; probité	Les fonctionnaires doivent rester intègres.
联欢	réunion festive	Les camarades ont organisé une fête du Nouvel An.
联络	contacter; liaison	Veuillez contacter le client dès que possible.
联盟	alliance; coalition	Plusieurs pays ont formé une alliance commerciale.
联想	associer; faire penser à	Cette photo me fait penser à mon enfance.
连年	année après année	Cette région subit des inondations année après année.
连锁	chaîne	Cette entreprise exploite une chaîne de supermarchés.
连同	avec; ainsi que	Veuillez envoyer la facture avec le contrat.
良心	conscience	Il faut vivre en accord avec sa conscience.
晾	faire sécher à l'air	Elle fait sécher les vêtements sur le balcon.
谅解	compréhension	J'espère que tu pourras comprendre nos difficultés.
辽阔	vaste; immense	La prairie est immense, on n'en voit pas le bout.
列举	énumérer; citer	Le professeur a cité trois exemples.
临床	clinique	Ce médicament fait l'objet d'essais cliniques.
淋	être trempé; ruisseler	Ne reste pas trop longtemps sous la pluie.
吝啬	avare; radin	Il n'est jamais avare avec ses amis.
伶俐	vif; intelligent	Cette petite fille est vive et intelligente.
凌晨	petit matin; avant l'aube	L'avion décolle à trois heures du matin.
灵感	inspiration	La musique lui a donné de l'inspiration créative.
灵魂	âme; esprit	La liberté est l'âme de cette œuvre.
灵敏	sensible; réactif	Cet instrument réagit de façon très sensible.
零星	épars; fragmentaire	Il y a des lumières éparses dans le ciel nocturne.
领会	comprendre; saisir	Il a vite compris ce que voulait dire le professeur.
领事馆	consulat	Il est allé au consulat pour faire son visa.
领土	territoire	Chaque pays attache de l'importance à l'intégrité de son territoire.
领悟	comprendre; prendre conscience	Après son échec, il a compris ce qu'était la responsabilité.
领先	être en tête; mener	Leur technologie est actuellement en tête du secteur.
领袖	dirigeant; leader	Ce dirigeant est profondément respecté par le peuple.
溜	se faufiler; filer	Le petit chien s'est faufilé par l'entrebâillement de la porte.
流浪	errer; vagabonder	Quand il était jeune, il a erré un peu partout.
流露	révéler; laisser paraître	La joie se lisait sur son visage.
流氓	voyou; gangster	La police a arrêté plusieurs voyous de rue.
流通	circuler	Cette monnaie circulait autrefois dans la région.
留恋	regretter de partir; être attaché à	Au moment du diplôme, tout le monde était attaché au campus.
留念	garder en souvenir	Nous avons pris une photo devant la porte de l'école en souvenir.
留神	faire attention	Il faut absolument faire attention en traversant la route.
聋哑	sourd-muet	L'école offre de l'aide aux enfants sourds-muets.
