simplified	SI	example_SI
风土人情	දේශීය සිරිත් විරිත්	ගමන් කිරීමෙන් දේශීය සිරිත් විරිත් තේරුම් ගත හැක.
风味	දේශීය රසය	මෙම කඩයට ඝන දේශීය රසයක් ඇත.
逢	සෑම විටම හමු වීම	සෑම සතිඅන්තයකම උද්‍යානය ඉතා සජීවී වේ.
奉献	කැප කිරීම	වෛද්‍යවරයා රෝගීන් වෙනුවෙන් බොහෝ කාලය කැප කළේය.
否决	ප්‍රතික්ෂේප කිරීම	අධ්‍යක්ෂ මණ්ඩලය මෙම යෝජනාව ප්‍රතික්ෂේප කළේය.
夫妇	විවාහක යුවළ	මෙම විවාහක යුවළ කුඩා කඩයක් පවත්වාගෙන යයි.
夫人	මහත්මිය	වං මහතා සහ මහත්මිය රාත්‍රී භෝජන සංග්‍රහයට එක්ව සහභාගි වූහ.
敷衍	උඩින් පමණක් කිරීම	ඔහු උඩින් පමණක් වචන කිහිපයකින් පිළිතුරු දුන්නේය.
俘虏	යුද සිරකරුවා	යුද්ධය අවසන් වූ පසු යුද සිරකරුවන් නිදහස් කරන ලදී.
幅度	ප්‍රමාණය	මෙම මිල අඩුවීමේ ප්‍රමාණය ඉතා විශාලය.
服从	කීකරු වීම	සොල්දාදුවන් අණට කීකරු විය යුතුය.
服气	පිළිගැනීම	ඔහු තරගය පරාජය වූ නමුත් හදවතින් පිළිගත්තේ නැත.
福利	සුභසාධනය	සේවකයන් සමාගමේ සුභසාධනයට බෙහෙවින් වැදගත්කමක් දෙති.
福气	වාසනාව	හොඳ ගුරුවරයෙකු හමුවීම ඔහුගේ වාසනාවකි.
符号	සංකේතය	මෙම සංකේතය අනතුර නියෝජනය කරයි.
辐射	විකිරණ	වෛද්‍යවරයා ඔහුට ශක්තිමත් විකිරණවලින් ඈත්ව සිටීමට අනතුරු ඇඟවීය.
俯视	ඉහළින් බැලීම	කඳු මුදුනෙන් මුළු නගරයම ඉහළින් බැලිය හැක.
抚摸	මෘදු ලෙස අත ගෑම	ඇය දරුවාගේ හිස මෘදු ලෙස අත ගෑවාය.
抚养	හදා වඩා ගැනීම	ආච්චි සීයා දරුවා හදා වඩා ගැනීමට උදව් කරති.
腐败	දූෂණය	රජය දූෂණයට එරෙහිව ක්‍රියා කරමින් සිටී.
腐烂	කුනුවීම	පලතුරු වැඩි වේලාවක් තැබුවහොත් කුනුවේ.
腐蚀	ක්ෂය කිරීම	ඇසිඩ් ලෝහ මතුපිට ක්ෂය කරයි.
腐朽	පිරිහුණු	ඔවුන් පිරිහුණු පද්ධතිය විවේචනය කළහ.
辅助	සහාය දීම	මෙම මෙවලම ඉගැන්වීමට සහාය දිය හැක.
副	උප	ඇය උප කළමනාකාරිනිය ලෙස පත් කරන ලදී.
复活	නැවත ජීවනය ලැබීම	මෙම සාම්ප්‍රදායික උත්සවය නැවත ජීවනය ලබමින් සිටී.
复兴	පුනරුදය	සංස්කෘතික පුනරුදයට දිගුකාලීන උත්සාහයක් අවශ්‍ය වේ.
富裕	ධනවත්	මෙම ගම දැන් තව තවත් ධනවත් වෙමින් පවතී.
腹泻	අතීසාරය	ඔහුට දරුණු අතීසාරයක් ඇති බැවින් වෛද්‍යවරයෙකු හමුවිය යුතුය.
覆盖	ආවරණය කිරීම	දැඩි හිම මුළු නිම්නයම ආවරණය කළේය.
负担	බර	කුලිය ඔහුගේ ප්‍රධාන බර බවට පත් විය.
赋予	ලබා දීම	නීතිය පුරවැසියන්ට මූලික අයිතිවාසිකම් ලබා දෙයි.
附和	අනුමත කර පසුපස යාම	ඔහුට තමන්ගේ අදහසක් නැති අතර අන් අය අනුමත කර පසුපස යයි.
附件	ඇමුණුම	කරුණාකර විද්‍යුත් තැපෑලේ ඇමුණුම බලන්න.
附属	අනුබද්ධ	මෙම රෝහල විශ්වවිද්‍යාලයට අනුබද්ධ රෝහලකි.
改良	වැඩිදියුණු කිරීම	විශේෂඥයන් මෙම වී වර්ගය වැඩිදියුණු කරමින් සිටිති.
盖章	මුද්‍රාව තැබීම	ගිවිසුම අත්සන් කළ පසු මුද්‍රාව තැබිය යුතුය.
钙	කැල්සියම්	කිරිවල කැල්සියම් බහුලව ඇත.
尴尬	අපහසු	රැස්වීමේදී අපහසු නිහඬතාවක් ඇති විය.
干旱	නියඟය	දිගුකාලීන නියඟය වගාවට බලපෑවේය.
干扰	බාධා කිරීම	ශබ්දය මගේ වැඩට බාධා කරයි.
干涉	අතපෙවීම	දෙමාපියන් දරුවන්ගේ තේරීම්වලට අධික ලෙස අත නොපෙවිය යුතුය.
干预	මැදිහත් වීම	රජය වෙළඳපොළ අවදානමට කාලෝචිතව මැදිහත් විය.
感慨	හැඟීම් බර වීම	පැරණි ඡායාරූප දැක ඔහු ඉතා හැඟීම් බර විය.
感染	ආසාදනය වීම	මෙම වෛරසය දරුවන්ට පහසුවෙන් ආසාදනය වේ.
干劲	උනන්දුව	සියලුදෙනා වැඩ කරන විට ඉතා උනන්දුවෙන් සිටිති.
扛	උර මත ඔසවා ගැනීම	කතාව අනුව ඔහු ඉතා ශක්තිමත් නිසා විශාල බරක් උර මත ඔසවා ගත හැක.
纲领	ක්‍රියාමාර්ග මූලධර්මය	රැස්වීම නව ක්‍රියාමාර්ග මූලධර්මයක් සම්මත කළේය.
岗位	තනතුර	ඇය ඉක්මනින් නව තනතුරට හැඩගැසුණාය.
港口	වරාය	බඩු නෞකාව වරායේ නවතා ඇත.
港湾	බොක්ක	කුඩා බෝට්ටුව නිහඬ බොක්කට ඇතුළු විය.
杠杆	ලීවරය	මෙම ආයෝජනය ඉහළ ලීවරයක් භාවිත කළේය.
高超	ඉතා දක්ෂ	ඔහුගේ වාහන අලුත්වැඩියා තාක්ෂණය ඉතා දක්ෂය.
高潮	උච්ච අවස්ථාව	තරගය අවසන් මිනිත්තු දහයේදී උච්ච අවස්ථාවට ළඟා විය.
高峰	උච්ච කාලය	උදේ අටට ගමනාගමන උච්ච කාලයයි.
高明	විශිෂ්ට	මෙම ක්‍රමය ඇත්තෙන්ම විශිෂ්ටය.
高尚	උසස්	වෛද්‍යවරුන්ගේ වෘත්තීය ආත්මය ඉතා උසස්ය.
