simplified	HI	example_HI	BN	example_BN	TL	example_TL
科学	विज्ञान; वैज्ञानिक	उसने स्कूल में बहुत वैज्ञानिक ज्ञान सीखा।	বিজ্ঞান; বৈজ্ঞানিক	সে স্কুলে অনেক বৈজ্ঞানিক জ্ঞান শিখেছে।	agham; siyentipiko	Marami siyang natutuhang kaalamang siyentipiko sa paaralan.
咳嗽	खाँसना; खाँसी	उसे ज़ुकाम है और बहुत तेज़ खाँसी है।	কাশি; কাশা	তার সর্দি হয়েছে, খুব কাশি হচ্ছে।	umubo; ubo	May sipon siya at malakas ang ubo.
可怜	बेचारा; दयनीय	यह बच्चा घर नहीं ढूँढ पा रहा, सचमुच बेचारा है।	করুণ; বেচারা	এই শিশুটি বাড়ি খুঁজে পাচ্ছে না, সত্যিই বেচারা।	kaawa-awa	Hindi mahanap ng batang ito ang bahay niya, kaawa-awa talaga.
可是	लेकिन; मगर	हालाँकि मैं बहुत जाना चाहता हूँ, लेकिन सचमुच समय नहीं है।	কিন্তু; তবে	যদিও আমি খুব যেতে চাই, কিন্তু সত্যিই সময় নেই।	pero; ngunit	Gusto ko talagang pumunta, pero wala talaga akong oras.
可惜	अफ़सोस; दुख की बात	तुम हमारे मिलन में नहीं आ सकते, यह बहुत अफ़सोस की बात है।	দুঃখের বিষয়; আফসোস	তুমি আমাদের জমায়েতে আসতে পারবে না, এটা খুব দুঃখের।	nakapanghihinayang	Nakapanghihinayang na hindi ka makakadalo sa pagtitipon namin.
客厅	बैठक कमरा	पापा बैठक कमरे में टीवी देख रहे हैं।	বসার ঘর	বাবা বসার ঘরে টিভি দেখছেন।	sala	Nanonood ng telebisyon si Papa sa sala.
肯定	निश्चित होना; ज़रूर	मैं पाँच बजे से पहले ज़रूर लौट आऊँगा।	নিশ্চিত; অবশ্যই	আমি পাঁচটার আগে নিশ্চয়ই ফিরে আসব।	tiyak; sigurado	Tiyak na babalik ako bago mag-alas singko.
空	खाली	यह कमरा खाली है।	খালি	এই ঘরটি খালি।	walang laman; bakante	Walang laman ang kuwartong ito.
空气	हवा; वायु	पार्क की हवा बहुत ताज़ा है।	বাতাস; বায়ু	পার্কের বাতাস খুব তাজা।	hangin	Sariwa ang hangin sa parke.
恐怕	शायद; डर है कि	शायद बारिश होने वाली है, क्या तुम छाता लाए हो?	সম্ভবত; আশঙ্কা হচ্ছে	সম্ভবত বৃষ্টি হবে, তুমি কি ছাতা এনেছ?	mukhang; baka	Mukhang uulan, nagdala ka ba ng payong?
苦	कड़वा; कष्ट	यह कॉफ़ी बहुत कड़वी है।	তিক্ত; কষ্ট	এই কফিটা খুব তিতা।	mapait; hirap	Napakapait ng kapeng ito.
矿泉水	खनिज पानी	मैंने खनिज पानी की दो बोतलें खरीदीं।	মিনারেল পানি	আমি দুই বোতল মিনারেল পানি কিনেছি।	tubig mineral	Bumili ako ng dalawang bote ng tubig mineral.
困	नींद आना; थका हुआ	मुझे नींद आ रही है, मैं सोने जा रहा हूँ।	ঘুম পেতে থাকা; ক্লান্ত	আমার ঘুম পাচ্ছে, আমি ঘুমাতে যাব।	inaantok; pagod	Inaantok ako at matutulog na.
困难	कठिन; कठिनाई	यह काम मेरे लिए बहुत कठिन है।	কঠিন; অসুবিধা	এই কাজটি আমার জন্য খুব কঠিন।	mahirap; kahirapan	Mahirap para sa akin ang gawaing ito.
垃圾桶	कूड़ादान	सड़क पर बहुत से कूड़ेदान हैं।	আবর্জনার ঝুড়ি; ডাস্টবিন	রাস্তায় অনেক ডাস্টবিন আছে।	basurahan	Maraming basurahan sa kalye.
拉	खींचना; पकड़ना	माँ ने बेटी का हाथ पकड़ा।	টানা; ধরে রাখা	মা মেয়ের হাত ধরে ছিলেন।	hatakin; hawakan	Hawak ni Nanay ang kamay ng anak niyang babae.
辣	तीखा; मिर्चीदार	मुझे बहुत तीखा खाना खाने की आदत नहीं है।	ঝাল; তীব্র	আমি খুব ঝাল খাবার খেতে অভ্যস্ত নই।	maanghang	Hindi ako sanay kumain ng masyadong maanghang na pagkain.
来不及	समय न होना; देर हो जाना	आज सुबह मैं देर से उठा, नाश्ता करने का समय नहीं रहा।	সময় না পাওয়া; দেরি হয়ে যাওয়া	আজ সকালে দেরিতে উঠেছি, নাশতা করার সময় পাইনি।	hindi na umabot; huli na	Nahuli akong gumising kaninang umaga kaya hindi na ako umabot sa almusal.
来得及	समय होना; समय पर कर पाना	फ़िल्म साढ़े नौ बजे ही शुरू होगी, अभी समय है।	সময় থাকা; সময়মতো পারা	সিনেমা সাড়ে নয়টায় শুরু হবে, এখনও সময় আছে।	umabot pa; may oras pa	Alas-nuwebe y media pa magsisimula ang pelikula, kaya may oras pa.
来自	से आना; का होना	मैं शानदोंग प्रांत से हूँ।	থেকে আসা	আমি শানদং প্রদেশ থেকে এসেছি।	mula sa	Mula ako sa lalawigan ng Shandong.
