simplified	IS	example_IS
以往	fyrri	Fyrri reynsla er þess virði að hafa til hliðsjónar.
以至	jafnvel	Umfangið stækkaði til hverfisins og jafnvel allrar borgarinnar.
以致	valda	Úrhellið hélt áfram og olli því að vegir lokuðust.
一帆风顺	ganga snurðulaust	Að stofna fyrirtæki getur ekki alltaf gengið snurðulaust.
一举两得	slá tvær flugur í einu	Að hjóla í vinnuna getur slegið tvær flugur í einu.
一丝不苟	afar nákvæmur	Verkfræðingurinn skoðaði raflagnirnar afar nákvæmlega.
亦	einnig	Hann samþykkti einnig þessa áætlun.
异常	óeðlilegur	Óeðlilegt ástand kom upp í kerfinu.
意料	búast við	Niðurstaðan var algjörlega óvænt.
意识	gera sér grein fyrir	Hann gerði sér smám saman grein fyrir alvarleika vandans.
意图	ásetningur	Lögreglan sá í gegnum ásetning hans.
意味着	þýða	Þögn þýðir ekki samþykki.
意向	áhugi	Báðir aðilar lýstu áhuga á samstarfi.
意志	vilji	Erfiðleikar reyna á vilja manns.
毅力	þrautseigja	Árangur krefst langvarandi þrautseigju.
毅然	ákveðið	Hún yfirgaf fyrirtækið ákveðið.
翼	vængur	Vængur flugvélarinnar var skoðaður.
阴谋	samsæri	Þau afhjúpuðu þetta samsæri.
音响	hljóðkerfi	Hljóðkerfið í stofunni er gott.
引导	leiðbeina	Kennarinn leiðbeinir nemendum við að hugsa.
引擎	vél	Vél bílsins drap skyndilega á sér.
引用	vísa í	Ritgerðin vísaði í mikið af gögnum.
隐蔽	fela sig	Hermennirnir földu sig í skóginum.
隐患	leynileg hætta	Gamlar raflagnir fela í sér leynilega öryggishættu.
隐瞒	leyna	Hann leyndi ekki sannleikanum.
隐私	einkalíf	Fyrirtækið verður að vernda einkalíf notenda.
隐约	óljóst	Í fjarska heyrðist óljóst söngur.
饮食	mataræði	Heilbrigt mataræði hjálpar bata.
婴儿	ungbarn	Ungbarnið sefur rólega.
英明	vitur	Leiðtoginn tók vitra ákvörðun.
英勇	hugrakkur	Slökkviliðsmaðurinn bjargaði barninu hugrakklega.
盈利	hagnaður	Fyrirtækið fór að skila hagnaði á þessu ári.
迎面	beint á móti	Kaldur vindur blés beint á móti okkur.
应酬	félagslegar skyldur	Hann hefur margar félagslegar skyldur í kvöld.
应邀	í boði	Sérfræðingurinn tók þátt í umræðuvettvanginum í boði.
庸俗	lágkúrulegur	Innihald þessarar auglýsingar er mjög lágkúrulegt.
拥护	styðja	Allir styðja nýju stefnuna.
拥有	hafa	Hann hefur mikla reynslu.
勇于	þora	Ungt fólk ætti að þora að prófa.
永恒	eilífur	Ást er ekki eilíf og óbreytanleg.
涌现	koma fram	Framúrskarandi kennarar koma fram víða.
踊跃	áhugasamur	Íbúar skráðu sig áhugasamir í viðburðinn.
用户	notandi	Notendur geta breytt lykilorðum sínum.
优胜劣汰	hinir hæfustu lifa af	Samkeppni á markaði sýnir að hinir hæfustu lifa af.
优先	forgangur	Eldra fólk má fá forgang í afgreiðslu.
优异	frábær	Hún náði frábærum árangri.
优越	hagstæður	Þessi staður hefur hagstæða landfræðilega stöðu.
忧郁	þunglyndislegur	Svipur hans virtist þunglyndislegur.
油腻	feitur	Þessi réttur er of feitur.
油漆	málning	Verkamenn eru að mála hurðina með málningu.
犹如	eins og	Yfirborð vatnsins er eins og spegill.
有条不紊	skipulega	Fundurinn fór skipulega fram.
幼稚	barnslegur	Þessi hugmynd er svolítið barnsleg.
诱惑	freisting	Auglýsingin er full af neyslufreistingum.
愚蠢	heimskulegur	Þessi ákvörðun er mjög heimskuleg.
愚昧	fáfróður	Fáfróðar hugmyndir hindra framfarir.
渔民	sjómaður	Sjómenn fara snemma á sjó að veiða.
舆论	almenningsálit	Almenningsálit hefur mikil áhrif á málið.
与日俱增	aukast dag frá degi	Fjöldi ferðamanna eykst dag frá degi.
宇宙	alheimur	Mannkynið heldur áfram að kanna alheiminn.
羽绒服	dúnúlpa	Á veturna þarf að klæðast dúnúlpu.
寓言	dæmisaga	Þessi dæmisaga hefur mikið fræðslugildi.
愈	batna	Ástandið batnar sífellt.
欲望	löngun	Hann hafði stjórn á löngun sinni til að versla.
熨	strauja	Hún straujaði skyrtuna slétta.
玉	jaði	Þessi jaðisteinn hefur mildan lit.
预料	vænting	Þróun málsins fór fram úr væntingum.
预期	væntur	Salan var undir væntingum.
预算	fjárhagsáætlun	Fjárhagsáætlun verkefnisins þarf að laga.
预先	fyrirfram	Vinsamlegast undirbúðu gögnin fyrirfram.
预言	spá	Spá hans rættist ekki.
预兆	viðvörunarmerki	Sársauki getur verið viðvörunarmerki um sjúkdóm.
冤枉	gera rangt til	Ekki gera rangt til við saklausan mann.
元首	þjóðhöfðingi	Þjóðhöfðingjar ríkjanna tveggja héldu viðræður.
元素	frumefni	Súrefni er efnafræðilegt frumefni.
元宵节	Luktahátíð	Á Luktahátíðinni horfir fólk á skrautluktir.
原告	stefnandi	Stefnandinn lagði fram ný sönnunargögn.
原理	lögmál	Kennarinn útskýrði lögmál vélarinnar.
原始	upprunalegur	Þau varðveittu upprunalegar skrár.
原先	upprunalegur	Upprunalega áætlunin hefur þegar breyst.
园林	garður	Suzhou-garðarnir eru mjög frægir.
圆满	fullkominn	Fundurinn náði fullkomnum árangri.
源泉	uppspretta	Reynsla er uppspretta þekkingar.
缘故	ástæða	Hann sagði upp starfi vegna heilsufarsástæðna.
约束	takmarka	Kerfið takmarkar hegðun starfsmanna.
乐谱	nótnablöð	Hún las nótnablöðin vandlega.
岳母	tengdamóðir	Hann fór um helgina að heimsækja tengdamóður sína.
孕育	næra	Jarðvegurinn nærir nýtt líf.
蕴藏	geyma	Fjallasvæðið geymir auðugar jarðefnaauðlindir.
运算	reikniaðgerð	Nemendur æfa stærðfræðilegar reikniaðgerðir.
运行	keyra	Kerfið keyrir stöðugt.
酝酿	í undirbúningi	Aðilarnir eru með nýja áætlun í undirbúningi.
杂技	loftfimleikar	Börnunum finnst gaman að horfa á loftfimleikasýningar.
杂交	blendingur	Vísindamenn rannsaka blendingahrísgrjón.
砸	mölva	Bikarinn skall í gólfið og molnaði.
咋	hvernig stendur á	Hvernig stendur á að þú ert ekki kominn aftur.
栽培	rækta	Garðyrkjumaðurinn ræktaði mörg blóm.
灾难	hamfarir	Borgin hóf enduruppbyggingu eftir hamfarirnar.
宰	slátra	Á hátíðinni slátruðu þorpsbúar kind.
再接再厉	halda áfram af krafti	Eftir verðlaunin hélt liðið áfram af krafti.
在意	skipta máli	Henni skiptir mjög máli hvað öðrum finnst.
攒	safna	Hann safnar peningum til að kaupa tölvu.
暂且	í bili	Setjum þetta mál til hliðar í bili.
赞叹	dá	Áhorfendur dáðu frammistöðu leikarans.
赞助	styrkja	Fyrirtækið styrkti þessa keppni.
糟蹋	sóa	Ekki sóa þessum ferska mat.
遭受	verða fyrir	Akrarnir urðu fyrir alvarlegum þurrki.
遭殃	lenda illa í því	Þegar brúin hrundi lentu íbúar í nágrenninu illa í því.
遭遇	lenda í	Þau lentu í snjóstormi á leiðinni.
噪音	hávaði	Hávaði frá framkvæmdum truflar hvíld.
造型	lögun	Lögun þessa bíls er mjög sérstök.
责怪	ásaka	Vinsamlegast ekki ásaka barnið endalaust.
贼	þjófur	Lögreglan náði þjófnum.
增添	bæta við	Fersk blóm bæta lit við herbergið.
赠送	gefa	Verslunin gefur litlar gjafir.
扎	stinga	Hjúkrunarfræðingurinn stakk hann með sprautu.
扎实	traustur	Málfræðigrunnur hans er mjög traustur.
渣	korgur	Kaffikorgur varð eftir á botni bollans.
眨	depla	Hún deplaði augunum.
诈骗	svik	Lögreglan upplýsti símasvikamál.
摘要	útdráttur	Útdráttur ritgerðarinnar er mjög skýr.
债券	skuldabréf	Fjárfestar kaupa ríkisskuldabréf.
沾光	njóta góðs af	Ég naut líka góðs af vini mínum.
瞻仰	votta virðingu	Ferðamenn votta hetjuminnisvarðanum virðingu.
展示	sýna	Fyrirtækið sýndi nýjustu vöruna.
展望	horfa fram á við	Skýrslan horfir fram á framtíðarþróun.
展现	sýna	Verkið sýnir sveitalíf.
崭新	glænýr	Hann keypti glænýtt reiðhjól.
斩钉截铁	afdráttarlaus	Hún hafnaði þessu afdráttarlaust.
占据	taka yfir	Auglýsingin tók yfir alla síðuna.
占领	hernema	Herinn hernam fjallaskarðið.
战斗	bardagi	Bardagann stóð í þrjár klukkustundir.
战略	stefna	Fyrirtækið lagaði þróunarstefnu sína.
战术	leikskipulag	Þjálfarinn breytti leikskipulagi leiksins.
战役	herferð	Þessi herferð breytti stöðunni.
章程	reglur	Samtökin samþykktu nýjar reglur.
帐篷	tjald	Þau reistu tjöld við vatnið.
障碍	hindrun	Tungumálahindranir hafa áhrif á samskipti.
招标	bjóða út	Verkfræðiverkefnið var boðið út opinberlega.
招收	taka inn	Skólinn tekur inn nýnema á þessu ári.
朝气蓬勃	fullur orku	Unga liðið er fullt af orku.
着迷	heillaður	Barnið er mjög heillað af stjörnufræði.
沼泽	mýri	Leiðangurinn fór yfir mýrina.
照样	eins og venjulega	Það rigndi en æfingin fór fram eins og venjulega.
照耀	lýsa	Sólarljós lýsti torgið.
折腾	vesenast	Ekki vesenast meira í þessari gömlu tölvu.
遮挡	byrgja	Greinarnar byrgðu gluggann.
折	brjóta	Hann braut pappírinn saman í flugvél.
折磨	kvelja	Langvarandi svefnleysi kvelur hana.
侦探	leynilögreglumaður	Leynilögreglumaðurinn fann lykilvísbendingu.
斟酌	íhuga	Vinsamlegast íhugaðu orðalagið vandlega.
珍贵	dýrmætur	Þessar myndir eru mjög dýrmætar.
珍稀	sjaldgæfur	Verndum sjaldgæf villt dýr.
珍珠	perla	Hún er með perlueyrnalokka.
真理	sannleikur	Reynslan prófar sannleikann.
真相	sannleikur	Fréttamaðurinn lagði sig fram um að komast að sannleikanum.
真挚	einlægur	Hún lýsti einlægu þakklæti.
枕头	koddi	Þessi koddi er of hár.
振奋	hressa	Góðu fréttirnar hresstu alla við.
振兴	endurreisn	Ríkisstjórnin stuðlar að endurreisn sveitanna.
镇定	rólegur	Hann hélt ró sinni í neyðinni.
镇静	ró	Hjúkrunarfræðingurinn sagði sjúklingnum að halda ró sinni.
阵地	varnarstaða	Hermennirnir héldu varnarstöðunni.
阵容	liðsskipan	Liðið tilkynnti byrjunarliðsskipanina.
震撼	sláandi	Þessi kvikmynd er mjög sláandi.
震惊	hneyksla	Fréttin hneykslaði allt landið.
争端	deila	Aðilarnir reyndu að leysa landamæradeiluna.
争夺	keppa um	Fyrirtækin tvö keppa um markaðshlutdeild.
争气	sýna dugnað	Hann lærir af kappi til að sýna fjölskyldu sinni dugnað.
争先恐后	keppast við	Ferðamennirnir kepptust við að komast í bílinn.
争议	ágreiningur	Þessi ákvörðun vakti ágreining.
征服	sigra	Fjallgöngumaðurinn sigraði tindinn.
征收	innheimta	Ríkisstjórnin innheimtir skatta samkvæmt lögum.
挣扎	berjast um	Litli fuglinn barðist um í netinu.
正月	fyrsti tunglmánuður	Í fyrsta tunglmánuði heimsækja ættingjar hver annan um nýárið.
蒸发	gufa upp	Rakinn gufaði fljótt upp.
整顿	endurskipuleggja	Fyrirtækið byrjaði að endurskipuleggja stjórnunina.
政策	stefna	Nýja stefnan styður lítil fyrirtæki.
政权	stjórnvöld	Stríðið breytti staðbundnum stjórnvöldum.
正当	réttmætur	Hann setti fram réttmæta kröfu.
正负	jákvæður og neikvæður	Mælirinn sýnir jákvæða og neikvæða skekkju.
正规	formlegur	Barnið fór í formlegan skóla.
正经	alvarlegur	Hann fór loksins að tala alvarlega.
正气	réttlæti	Samfélagið þarf að efla réttlæti.
正义	réttlæti	Lögmaðurinn varði réttlætið.
正宗	ekta	Þessi veitingastaður selur ekta Sichuan-mat.
症状	einkenni	Hiti er algengt einkenni.
证实	staðfesta	Rannsóknin staðfesti frásögn hans.
证书	skírteini	Hún fékk faglegt skírteini.
郑重	hátíðlegur	Hann lofaði hátíðlega að bera ábyrgð.
之际	í aðdraganda	Í aðdraganda Vorhátíðarinnar eru allir uppteknir.
支撑	styðja	Súlurnar styðja þakið.
支出	útgjöld	Útgjöld heimilisins hafa aukist greinilega.
支流	þverá	Þessi á er þverá Yangtze.
支配	ráða	Tilfinningar ættu ekki að ráða dómgreind.
支援	aðstoð	Læknar víða að komu til að veita aðstoð.
支柱	stoð	Framleiðsla er stoð staðbundins hagkerfis.
枝	grein	Hún braut af blómagrein.
知觉	meðvitund	Sá særði endurheimti smám saman meðvitund.
知足常乐	nægja sér með sitt	Gamli maðurinn segir oft að sá sem nægir sér með sitt sé hamingjusamur.
脂肪	fita	Hnetur innihalda holla fitu.
侄子	bróðursonur	Bróðursonur minn byrjaði í grunnskóla í ár.
值班	á vakt	Hjúkrunarfræðingurinn er á vakt í kvöld.
执行	framkvæma	Dómstóllinn framkvæmdi dóminn.
执着	þrautseigur	Hann er mjög þrautseigur gagnvart hugsjónum sínum.
殖民地	nýlenda	Þessi eyja var einu sinni nýlenda.
直播	beint streymi	Leikurinn verður í beinu streymi á netinu í kvöld.
直径	þvermál	Þvermál þessa hrings er tíu sentímetrar.
职能	hlutverk	Hlutverk deildarinnar þarf að skipta upp á nýtt.
职位	staða	Hún sótti um stjórnunarstöðu.
职务	starf	Starf hans er verkefnisstjóri.
指标	markmið	Sölumarkmiðinu hefur þegar verið náð.
指定	tilnefna	Kennarinn tilnefndi hann til að svara spurningunni.
指甲	nögl	Hún klippti neglurnar stuttar.
指令	fyrirmæli	Tölvan fékk ný fyrirmæli.
指南针	áttaviti	Fjallgöngumaðurinn hafði áttavita með sér.
指示	leiðbeiningar	Framkvæmdastjórinn gaf skýrar leiðbeiningar.
指望	reiða sig á	Ekki reiða þig á að aðrir ljúki þessu fyrir þig.
指责	gagnrýna	Almenningur gagnrýndi fyrirtækið fyrir mengun.
制裁	refsiaðgerð	Alþjóðasamfélagið beitti efnahagslegum refsiaðgerðum.
制服	einkennisbúningur	Öryggisvörðurinn klæddist dökkbláum einkennisbúningi.
制约	hamla	Fjárskortur hamlar þróun.
制止	stöðva	Lögreglan stöðvaði átökin í tæka tíð.
志气	metnaður	Ungt fólk ætti að hafa metnað.
智力	greind	Leikir geta þjálfað greind.
智能	snjall	Snjalltæki verða sífellt algengari.
智商	greindarvísitala	Greindarvísitala getur ekki ráðið öllu.
治安	almannaöryggi	Almannaöryggi í hverfinu hefur batnað greinilega.
治理	stjórna	Ríkisstjórnin styrkti stjórnun árinnar.
滞留	teppast	Farþegar tepptust á flugvellinum vegna mikils snjós.
致辞	halda ræðu	Skólastjórinn hélt ræðu við athöfnina.
致力	helga sig	Liðið helgar sig tækninýsköpun.
致使	valda	Mistök í stjórnun ollu því að verkefninu var seinkað.
中断	rofna	Úrhellið olli því að samskipti rofnuðu.
中立	hlutlaus	Landið heldur hlutlausri afstöðu.
中央	miðja	Gosbrunnurinn er í miðju torgsins.
忠诚	trúr	Starfsmennirnir eru fyrirtækinu mjög trúir.
忠实	trúr	Hann er trúr lesandi þessa dagblaðs.
终点	endamark	Endamarkið er rétt fram undan.
终究	að lokum	Vandinn verður leystur að lokum.
终身	ævilangt	Hann ákvað að starfa við menntun ævilangt.
终止	ljúka	Samningnum lýkur í lok næsta mánaðar.
衷心	einlæglega	Ég þakka þér einlæglega fyrir hjálpina.
种子	fræ	Bændur sáðu nýjum fræjum.
种族	kynþáttur	Lögin banna kynþáttamismunun.
肿瘤	æxli	Læknirinn fann góðkynja æxli.
众所周知	eins og allir vita	Eins og allir vita er vatn mikilvægt.
种植	rækta	Þessi staður hentar til að rækta vínber.
重心	áhersla	Áhersla vinnunnar færðist yfir á þjónustu.
周边	umhverfi	Umferð í umhverfi skólans er þung.
周密	vandlegur	Þau gerðu vandlega áætlun.
周年	afmæli	Fyrirtækið fagnaði tíu ára afmæli.
周期	hringrás	Hringrás vöruuppfærslna hefur styst.
周折	flækjur	Afgreiðsla formsatriðanna fól í sér margar flækjur.
周转	veltufé	Fyrirtækið á í erfiðleikum með veltufé.
州	fylki	Hann býr í Kaliforníufylki í Bandaríkjunum.
粥	grautur	Sjúklingurinn borðaði graut um morguninn.
舟	bátur	Litli báturinn nálgaðist ströndina hægt.
昼夜	dag og nótt	Verkamenn gerðu við veginn dag og nótt.
皱纹	hrukka	Amma er með margar hrukkur í andlitinu.
株	planta	Þrjú tré voru gróðursett í garðinum.
诸位	allir	Þakka ykkur öllum fyrir að koma í dag.
逐年	ár frá ári	Rekstrarkostnaður hækkar ár frá ári.
主办	halda	Skólinn hélt listahátíðina.
主导	leiða	Eftirspurn á markaði leiðir vöruhönnun.
主管	yfirmaður	Yfirmaðurinn ber ábyrgð á samþykki fjárhagsáætlunar.
主流	meginstraumur	Umhverfishugsjónir eru orðnar meginstraumur.
主权	fullveldi	Fullveldi ríkisins verður að virða.
主义	kenningarstefna	Hann rannsakar ólíkar stjórnmálakenningar.
嘱咐	minna á	Móðirin minnti hann ítrekað á að taka regnhlíf.
拄	styðjast við	Gamli maðurinn gengur og styðst við staf.
住宅	íbúðarhúsnæði	Þetta svæði er að mestu íbúðarhúsnæði.
助理	aðstoðarmaður	Aðstoðarmaðurinn raðaði fundargögnunum.
助手	hjálpari	Vélmennið er hjálpari á rannsóknarstofunni.
注射	sprauta	Læknirinn sprautaði lyfi í sjúklinginn.
注视	horfa fast	Hún horfði fast út í fjarskann.
注释	athugasemd	Ítarlegar athugasemdir eru við hlið textans.
注重	leggja áherslu á	Fyrirtækið leggur áherslu á vörugæði.
著作	rit	Þetta rit hefur víðtæk áhrif.
铸造	steypa	Verksmiðjan steypir stóra íhluti.
驻扎	vera staðsettur	Hersveitirnar eru staðsettar við landamærin.
拽	draga	Hann dró kassann inn í húsið.
专长	sérsvið	Gagnagreining er hennar sérsvið.
专程	sérferð	Hann fór sérferð til að heimsækja kennarann.
专利	einkaleyfi	Fyrirtækið sótti um nýtt einkaleyfi.
专题	sérþáttur	Sjónvarpsstöðin sýndi sérþátt um umhverfisvernd.
砖	múrsteinn	Verkamenn komu með vagn af múrsteinum.
转达	koma á framfæri	Vinsamlegast komdu þakklæti mínu á framfæri.
转让	framselja	Hann ákvað að framselja verslunina.
转移	flytja	Hjúkrunarfræðingurinn flutti særðu mennina.
转折	þáttaskil	Mikil þáttaskil urðu í sögunni.
传记	ævisaga	Hún er að skrifa ævisögu föður síns.
庄稼	uppskera	Rigningin nærði uppskeruna.
庄严	hátíðlegur	Andrúmsloft athafnarinnar var hátíðlegt.
庄重	virðulegur	Hann klæddist virðulegum sparifötum.
装备	búnaður	Liðið er búið háþróuðum búnaði.
装卸	ferma og afferma	Hafnarverkamenn bera ábyrgð á að ferma og afferma vörur.
壮观	stórfenglegur	Útsýnið við fossinn er mjög stórfenglegt.
壮丽	tignarlegur	Hér eru tignarleg fjöll og ár.
壮烈	hetjulegur	Hetjan féll hetjulega.
幢	hús	Á götuhorninu er gamalt hús.
追悼	minningarathöfn	Fólk tók þátt í minningarathöfninni.
追究	rannsaka	Fyrirtækið mun rannsaka ábyrgðina.
坠	falla	Lauf féllu af greinunum.
准则	viðmið	Heiðarleiki er viðmið í samstarfi.
卓越	framúrskarandi	Hún náði framúrskarandi árangri.
琢磨	velta fyrir sér	Hann velti þessu máli endurtekið fyrir sér.
着手	hefja	Liðið mun hefja rannsóknina á morgun.
着想	hugsa um	Foreldrar hugsa alltaf um þarfir barna sinna.
着重	leggja áherslu á	Skýrslan leggur áherslu á kostnaðargreiningu.
姿态	afstaða	Hún hélt hógværri afstöðu.
滋润	vökva	Vorregnið vökvaði jörðina.
滋味	tilfinning	Tilfinningin eftir mistök er erfið að þola.
资本	fjármagn	Að stofna fyrirtæki krefst nokkurs fjármagns.
资产	eignir	Eignir fyrirtækisins halda áfram að vaxa.
资深	reynslumikill	Reynslumikill lögfræðingur sinnti málinu.
资助	fjárhagslega styðja	Sjóðurinn styður fátæka nemendur fjárhagslega.
子弹	kúla	Kúlan lenti í veggnum.
自卑	minnimáttarkennd	Hann finnur ekki lengur fyrir minnimáttarkennd.
自发	sjálfsprottinn	Íbúar hreinsuðu götuna sjálfsprottið.
自力更生	sjálfsbjörg	Þorpsbúar halda fast við sjálfsbjörg.
自满	sjálfumglaður	Eftir árangur má maður ekki verða sjálfumglaður.
自主	sjálfstæður	Nemendur þurfa að þróa sjálfstæða námshæfni.
宗教	trúarbrögð	Hann rannsakar trúarbrögð heimsins.
宗旨	markmið	Markmið stofnunarinnar er að þjóna samfélaginu.
棕色	brúnn	Hún keypti brúna leðurskó.
踪迹	ummerki	Lögreglan fann ummerki grunaða mannsins.
总而言之	í stuttu máli	Í stuttu máli er áætlunin framkvæmanleg.
总和	summa	Hagnaður er mismunurinn á summu tekna og kostnaðar.
纵横	þvers og kruss	Árnar liggja þvers og kruss um sléttuna.
走廊	gangur	Börnin röðuðu sér upp á ganginum.
走漏	leka	Fréttin má ekki leka út.
走私	smygla	Tollurinn lagði hald á smyglaðar vörur.
揍	berja	Hann var barinn af nokkrum ölvuðum mönnum.
租赁	leigja	Fyrirtækið leigði nýja skrifstofu.
足以	nægja	Þessi sönnunargögn nægja til að skýra vandann.
祖父	afi	Afi hefur gaman af að segja gamlar sögur.
祖国	föðurland	Hann elskar föðurland sitt innilega.
祖先	forfeður	Þau heiðra forfeður sína.
阻碍	hindra	Fjárskortur hindrar framgang verkefnisins.
阻拦	stöðva	Öryggisvörðurinn stöðvaði ókunnuga við innganginn.
阻挠	torvelda	Einhver torveldaði rannsóknina viljandi.
钻研	kafa djúpt í	Hún kafar djúpt í fornbókmenntir.
钻石	demantur	Demantur er settur í hringinn.
嘴唇	varir	Kaldur vindurinn sprengdi varirnar.
罪犯	glæpamaður	Lögreglan handtók flótta glæpamanninn.
尊严	virðing	Hver manneskja ætti að hafa virðingu.
遵循	fylgja	Læknar fylgja ströngum stöðlum.
作弊	svindla	Svindl í prófi verður refsað.
作废	ógildur	Gamli miðinn er þegar ógildur.
作风	vinnubrögð	Vinnubrögð leiðtogans eru hagnýt.
作息	dagskipulag	Reglulegt dagskipulag er gott fyrir heilsuna.
做主	ráða	Þú ræður þessu máli.
座右铭	kjörorð	Kjörorð hans eru að gefast aldrei upp.
